,G,MEP,MKP,GMP,MK,MPP,CMP,ST,LT,CLP
G,-0.05091550816203336,0.08311415334352745,0.38717440324771624,0.26160557782224614,0.1448786453993336,0.5287929734328015,0.4076570142920638,0.48732757804732285,0.5058346890156638,0.507253501553158
MEP,0.08106767866162669,-0.0500822403827992,0.5342563295539168,0.4743684655459938,0.37872276498118507,0.631177149097628,0.5547539205880478,0.5663178017483688,0.6058206587499713,0.5937152874920154
MKP,0.4824768589173809,0.5929648736091556,-0.05290380174496116,0.018552455882333743,0.04117895501325582,0.02572507127079942,-0.03652567794277216,0.000704952811686789,-0.0025860836792757635,0.005132375447004629
GMP,0.31211446785549085,0.5116284267301332,0.015152628448881406,-0.05250595636090729,0.020706645130171543,0.059789323541865044,-0.017774737231788608,0.05236773112333895,0.14967790457229085,0.10361139688545629
MK,0.1862656198133737,0.3969839295739896,0.04000494422593857,0.0199467061700676,-0.052352355000656506,0.19281429289217625,0.032786066679667894,0.15611923589233329,0.2339325033373419,0.19166008430842785
MPP,0.6839877260859287,0.7345254950996398,0.025630262268449118,0.07561239559026313,0.21642051422309408,-0.05326654998585452,0.0027389318156376408,-0.03495139967143129,0.015458157451660078,0.0024041322437631796
CMP,0.5155503964506873,0.6265690084835376,-0.036376006517190584,-0.01525342404617467,0.03499415677876703,0.002672302816674188,-0.0530690042526473,-0.015930628989561102,0.011462790473892502,0.016141340845054412
ST,0.625681091874972,0.6587422760099175,0.0008681512636675437,0.06384049038171527,0.16963672985106004,-0.0350340398002037,-0.01553291538947222,-0.05303605276985516,-0.010540068231838312,0.0039266961693203845
LT,0.6909106343837881,0.7327868145953395,-0.0021578526862543676,0.1833453048734733,0.26206147998219914,0.015445228285256497,0.012759098920345442,-0.010848452801512157,-0.053316087752933776,0.0037374309951383397
CLP,0.6487428802296004,0.692963515770848,0.0052276618668445005,0.12741061767251405,0.2039198549120833,0.0015849996104974687,0.01724231808947667,0.002362407192320448,0.004149270248627081,-0.05320266373455025
