,G,MEP,MKP,GMP,MK,MPP,CMP,ST,LT,CLP
G,-6.072937212577416,-5.871692895613913,-4.343163207077517,-4.957803889160729,-5.484079665728688,-2.811033137502598,-4.210005103108739,-3.409811681842438,-2.958895725188391,-3.4770614236337667
MEP,-5.871694397769158,-5.965041394404455,-3.8843595954164396,-4.584345546494124,-5.144975634788999,-2.1954850373410846,-3.704188716267976,-2.860427024715454,-2.354528150510962,-2.8413224210019656
MKP,-4.343157560658618,-3.884359264923672,-6.255313664667061,-6.0412015471358576,-5.910621084746947,-5.94677638231268,-6.252292907388697,-6.1172143191952415,-6.031574538339529,-6.024860984615038
GMP,-4.957824549960349,-4.584390729009366,-6.041200175929678,-6.222839125340348,-6.033565625454023,-5.624464694778615,-6.055037282374839,-5.8374543848101945,-5.473149545521209,-5.475107754095783
MK,-5.484079402627772,-5.144978294790386,-5.91062198589237,-6.033563086548947,-6.220118553824479,-5.090096223393703,-5.85520462569349,-5.433887180731304,-5.195057590246908,-5.429208744325677
MPP,-2.811085345632377,-2.195569713339947,-5.946787176616335,-5.624465422334135,-5.09011582541018,-6.285459066943401,-6.047655675093543,-6.223973604605087,-6.098346796868283,-5.845826418408625
CMP,-4.2100019292156485,-3.704194530870897,-6.252293111682025,-6.055039342160665,-5.855203985956928,-6.047650454511428,-6.278795043393632,-6.181884582214252,-6.06622317255294,-6.021674663623656
ST,-3.409820783627278,-2.860452209753995,-6.117216715522633,-5.83745333189347,-5.433889460128382,-6.223972930931833,-6.181885077889578,-6.261121224278037,-6.141686923901185,-5.9371343668357195
LT,-2.9588716677659903,-2.3545036526269385,-6.031574318970174,-5.473157862256344,-5.19505042094354,-6.098341579518089,-6.066223665030276,-6.141686636109701,-6.296888111968474,-6.1422632001225725
CLP,-3.477061428363274,-2.8413230173037736,-6.024860011495614,-5.475111474450834,-5.429208462875879,-5.845809034709873,-6.021671844000367,-5.937127261074697,-6.142265044384474,-6.274705480652356
