,G,MEP,MKP,GMP,MK,MPP,CMP,ST,LT,CLP
G,1.31643090178997e-16,0.009804227078483212,0.02917441481509906,0.01927953003601772,0.012306148531078247,0.04834090738241913,0.03093333762839531,0.04265263760276895,0.04917575951084181,0.04399824101516957
MEP,0.009804227078483194,1.1365950269737852e-16,0.03518685019507808,0.026464688994312754,0.02608553366191388,0.05271402796336583,0.04136948543904265,0.049143319454007385,0.05563482824923056,0.050280778035954626
MKP,0.029174414815099067,0.03518685019507807,1.2275506758639052e-16,0.004293593071944515,0.008397832891546698,0.006051578752541592,0.0012100578668087136,0.003304094528194015,0.00449413325260325,0.004073616444955503
GMP,0.01927953003601773,0.02646468899431277,0.004293593071944509,1.098938319601789e-16,0.006779304450526017,0.00883838086402955,0.004753088636999858,0.0072543424490301624,0.013753228426041132,0.010350690356858868
MK,0.01230614853107824,0.0260855336619139,0.008397832891546716,0.006779304450526009,1.4278999890239471e-16,0.0200749394281503,0.007188005135715235,0.015135276419221917,0.017776437643490177,0.017129584472966985
MPP,0.04834090738241914,0.052714027963365835,0.006051578752541589,0.008838380864029547,0.02007493942815029,1.2771987618185643e-16,0.005988366211924028,0.001440519830900695,0.006079300430418084,0.004419048006912674
CMP,0.030933337628395317,0.04136948543904265,0.0012100578668087182,0.004753088636999858,0.007188005135715235,0.005988366211924028,1.367071184728171e-16,0.003058528513381693,0.004572418299241219,0.004632958070892083
ST,0.04265263760276895,0.04914331945400739,0.003304094528194018,0.007254342449030164,0.015135276419221917,0.0014405198309006995,0.0030585285133816953,1.2727200467456885e-16,0.003362088929084104,0.003757525136972753
LT,0.04917575951084181,0.055634828249230564,0.004494133252603254,0.013753228426041125,0.017776437643490177,0.00607930043041808,0.004572418299241217,0.003362088929084104,1.4561664885009348e-16,0.0037905199636156395
CLP,0.04399824101516956,0.050280778035954626,0.004073616444955505,0.010350690356858865,0.017129584472966992,0.004419048006912682,0.00463295807089208,0.0037575251369727516,0.0037905199636156374,1.3389915948378165e-16
