,G,MEP,MKP,GMP,MK,MPP,CMP,ST,LT,CLP
G,112.93251008930099,465.4735926418382,232.65235523179217,272.9116013313338,240.71522435773375,416.6110926851437,245.54475108041922,294.6060304503659,324.8641550230318,282.6263475835406
MEP,465.4735926418373,94.79229392624677,469.75194227682306,261.83617057043216,936.6386128511194,376.7520914598528,720.9182897425128,488.77191888969503,799.4830803003041,570.988335649636
MKP,232.65235523179157,469.75194227681993,110.60281648110697,162.31037791312954,286.4349623489133,179.61655066533368,153.88276327356624,119.03607684326686,167.76541370860255,126.10936918007441
GMP,272.9116013313329,261.8361705704334,162.3103779131291,105.2230237214756,477.05425224323335,140.84567298547907,287.40216847332454,160.0279042346105,322.64441334452556,212.23524460669273
MK,240.7152243577333,936.6386128511176,286.43496234891336,477.05425224323335,122.22293829049238,566.9213610471086,179.83610277524372,343.95077016362563,223.051985471223,289.88051160720363
MPP,416.61109268514366,376.75209145985275,179.61655066533342,140.8456729854783,566.9213610471086,104.16802159339471,310.62634290182655,148.41242787513488,307.6492991971634,203.57228655805142
CMP,245.54475108041942,720.9182897425136,153.882763273566,287.40216847332186,179.83610277524414,310.62634290182524,116.73695790329705,173.442220563502,130.45158835121399,154.10292363944646
ST,294.6060304503654,488.7719188896946,119.03607684326659,160.0279042346098,343.9507701636247,148.41242787513448,173.442220563502,109.35294532953804,175.96308739373788,133.0805439176228
LT,324.8641550230327,799.4830803003024,167.76541370860295,322.64441334452516,223.05198547122274,307.64929919716246,130.45158835121333,175.9630873937381,116.1268867885945,147.321756116902
CLP,282.6263475835413,570.9883356496352,126.10936918007388,212.23524460669225,289.880511607204,203.57228655805096,154.10292363944757,133.0805439176236,147.3217561169018,111.23552199987067
