,arc_pair_48468,arc_pair_337111,arc_pair_542791,arc_pair_313438,arc_pair_624573,arc_pair_144158,arc_pair_720681,arc_pair_588558,arc_pair_450035,arc_pair_384979,arc_pair_131562,arc_pair_119264,arc_pair_16513,arc_pair_641885,arc_pair_703887,arc_pair_22407,arc_pair_89302,arc_pair_149569
arc_pair_48468,0.0,807.1929949782107,222.7015436658238,61.18124108139707,188.81468979143946,149.7451884122783,139.18891035471628,430.6265425045409,103.82224315603675,196.37340004767464,81.04689643960357,311.76113939956423,549.0829271255645,149.4129799067036,279.3063835264826,615.7007789232716,92.03108581357472,158.63488930090696
arc_pair_337111,807.1929949782107,0.0,347.2399755552336,790.9208489222783,580.183206449571,568.3736721944146,995.547420597826,235.59958470846325,671.3947730810938,921.0632288557789,1037.7616616481066,939.2080820294271,148.22578388327352,698.625734967912,1164.8937182965583,229.0558261123942,838.2479036210033,846.5035272335504
arc_pair_542791,222.7015436658238,347.2399755552336,0.0,205.77353497670094,100.31354958190056,79.76687905085753,369.30808877347374,117.4131668206382,150.55037194920004,323.04584960378514,356.9205839312784,403.99252271033174,165.22364379572144,196.51014425024107,458.7892835188434,342.3486609764786,243.97376953915403,285.60195466723667
arc_pair_313438,61.18124108139707,790.9208489222783,205.77353497670094,0.0,148.0043537648377,156.88829594415367,131.08574091469325,429.3175691753266,60.11400640697344,104.47444685976708,89.09072447305736,246.4135414425685,508.4439521947603,85.73949935610865,154.38396366395784,703.5052752867808,33.624636898279725,61.006193206897905
arc_pair_624573,188.81468979143946,580.183206449571,100.31354958190056,148.0043537648377,0.0,42.136841528777474,320.53729547031674,285.2364392544268,97.22954036164307,261.15519005814707,299.1497554514665,368.47428301395945,333.73750724148726,142.90446871796786,355.1769303267341,584.4444332468854,190.9722942802856,193.78195524115952
arc_pair_144158,149.7451884122783,568.3736721944146,79.76687905085753,156.88829594415367,42.136841528777474,0.0,293.96437185722823,250.96167143655202,107.60606563753987,277.50951552195437,272.09847048302254,383.8781918301256,335.5262669402782,163.89177171830937,396.7495430675515,484.5544280767933,194.00739628134053,235.60387787483523
arc_pair_720681,139.18891035471628,995.547420597826,369.30808877347374,131.08574091469325,320.53729547031674,293.96437185722823,0.0,613.5374293913854,218.83978135807615,68.64429694125837,145.35215482653874,142.67235824180938,707.0130733219999,142.24353002873087,151.1108746939404,814.81162312466,72.7924283215869,142.4793442835596
arc_pair_588558,430.6265425045409,235.59958470846325,117.4131668206382,429.3175691753266,285.2364392544268,250.96167143655202,613.5374293913854,0.0,358.6386824110626,565.3933690062715,593.3320967282609,650.3082339145724,80.78474563537915,388.3479506346798,732.5751446496824,294.2981321821659,472.8116939743183,505.3068532911129
arc_pair_450035,103.82224315603675,671.3947730810938,150.55037194920004,60.11400640697344,97.22954036164307,107.60606563753987,218.83978135807615,358.6386824110626,0.0,153.01339332122708,204.1632646274955,293.3830555716256,401.6867440237645,111.42227494047931,240.18712169657374,630.490133898505,98.20115888495789,107.7753731132936
arc_pair_384979,196.37340004767464,921.0632288557789,323.04584960378514,104.47444685976708,261.15519005814707,277.50951552195437,68.64429694125837,565.3933690062715,153.01339332122708,0.0,186.4197852456451,130.46622107118196,620.8151486986395,96.44543292909661,83.60775433154414,832.8605028178862,53.312802516209054,84.51523758021723
arc_pair_131562,81.04689643960357,1037.7616616481066,356.9205839312784,89.09072447305736,299.1497554514665,272.09847048302254,145.35215482653874,593.3320967282609,204.1632646274955,186.4197852456451,0.0,353.9103343001902,729.9535808810889,176.44699682186794,208.99702171873108,841.5743070661351,93.93580520537049,175.1834065530263
arc_pair_119264,311.76113939956423,939.2080820294271,403.99252271033174,246.4135414425685,368.47428301395945,383.8781918301256,142.67235824180938,650.3082339145724,293.3830555716256,130.46622107118196,353.9103343001902,0.0,674.7100455388287,170.44347883328356,182.56459940412535,849.942834769891,169.45530752662972,210.50821380075936
arc_pair_16513,549.0829271255645,148.22578388327352,165.22364379572144,508.4439521947603,333.73750724148726,335.5262669402782,707.0130733219999,80.78474563537915,401.6867440237645,620.8151486986395,729.9535808810889,674.7100455388287,0.0,441.61656311138614,778.0515442682621,351.55551978995385,550.755043758864,538.8474709091447
arc_pair_641885,149.4129799067036,698.625734967912,196.51014425024107,85.73949935610865,142.90446871796786,163.89177171830937,142.24353002873087,388.3479506346798,111.42227494047931,96.44543292909661,176.44699682186794,170.44347883328356,441.61656311138614,0.0,150.87643726379335,639.9106625125565,69.60362547511974,89.3185651140589
arc_pair_703887,279.3063835264826,1164.8937182965583,458.7892835188434,154.38396366395784,355.1769303267341,396.7495430675515,151.1108746939404,732.5751446496824,240.18712169657374,83.60775433154414,208.99702171873108,182.56459940412535,778.0515442682621,150.87643726379335,0.0,1134.172539018099,109.53587983919657,124.25715642744218
arc_pair_22407,615.7007789232716,229.0558261123942,342.3486609764786,703.5052752867808,584.4444332468854,484.5544280767933,814.81162312466,294.2981321821659,630.490133898505,832.8605028178862,841.5743070661351,849.942834769891,351.55551978995385,639.9106625125565,1134.172539018099,0.0,724.1927984209998,840.9843858600249
arc_pair_89302,92.03108581357472,838.2479036210033,243.97376953915403,33.624636898279725,190.9722942802856,194.00739628134053,72.7924283215869,472.8116939743183,98.20115888495789,53.312802516209054,93.93580520537049,169.45530752662972,550.755043758864,69.60362547511974,109.53587983919657,724.1927984209998,0.0,48.06573319740828
arc_pair_149569,158.63488930090696,846.5035272335504,285.60195466723667,61.006193206897905,193.78195524115952,235.60387787483523,142.4793442835596,505.3068532911129,107.7753731132936,84.51523758021723,175.1834065530263,210.50821380075936,538.8474709091447,89.3185651140589,124.25715642744218,840.9843858600249,48.06573319740828,0.0
