,arc_pair_456604,arc_pair_331769,arc_pair_674550,arc_pair_48468,arc_pair_531949,arc_pair_11846,arc_pair_103391,arc_pair_729370,arc_pair_346988,arc_pair_447808,arc_pair_207889,arc_pair_271576,arc_pair_678882,arc_pair_441708,arc_pair_731832,arc_pair_721608,arc_pair_542791,arc_pair_167032,arc_pair_245815,arc_pair_227497,arc_pair_650844,arc_pair_716977,arc_pair_172545,arc_pair_330006,arc_pair_291095,arc_pair_467699,arc_pair_394065,arc_pair_412268,arc_pair_272720,arc_pair_248627,arc_pair_486263,arc_pair_629487,arc_pair_499207,arc_pair_103155,arc_pair_544199,arc_pair_252765,arc_pair_288820,arc_pair_295101,arc_pair_594469,arc_pair_599471,arc_pair_209062,arc_pair_449190,arc_pair_405693,arc_pair_97861,arc_pair_500423,arc_pair_347367,arc_pair_479635,arc_pair_551617,arc_pair_453658,arc_pair_346148,arc_pair_493242,arc_pair_66695,arc_pair_653762,arc_pair_403498,arc_pair_311226,arc_pair_672654,arc_pair_688919,arc_pair_420992,arc_pair_461323,arc_pair_588393,arc_pair_42191,arc_pair_206589,arc_pair_314140,arc_pair_396586,arc_pair_116754,arc_pair_131562,arc_pair_33919,arc_pair_423993,arc_pair_551110,arc_pair_90677,arc_pair_444158,arc_pair_719822,arc_pair_127896,arc_pair_483480,arc_pair_89302,arc_pair_674772,arc_pair_297765,arc_pair_534066,arc_pair_420594,arc_pair_642267,arc_pair_291469,arc_pair_201929,arc_pair_723396
arc_pair_456604,0.0,174.2867205990316,3924.220918041931,887.0972294573578,1578.195809904354,3632.0019015457674,404.07620911449936,3722.9045785480357,760.4842661011992,3949.8400060314175,4094.598509852836,372.6964376420096,4600.04454900106,2848.2223215456497,1382.4706193155507,1227.0960702442846,2060.346312514133,2215.16373860128,1338.5614382783988,1431.6888370046486,1369.880624613999,3657.512810933207,685.0719498411452,1909.5700233721914,1997.3748205496813,3384.9753943524556,3559.051429579092,975.8925468522948,4335.548006189416,436.34002462890084,166.94752231662048,900.5357597587818,1826.159923867524,2732.237233977903,2469.356187885325,3066.5382815595185,3802.2333299325246,5348.899139188505,1352.9984507894574,891.9063111023564,3357.8977849842745,2204.000453763962,3530.8736834171864,146.6635579667766,2655.8284827788793,1321.1648828104485,2819.8357374505053,3211.342250079674,5110.0475967966195,4479.056888134316,1371.229822196368,2288.170026991689,1721.8885968547504,2936.8005347324033,7299.946968453222,5758.412876853538,1821.3872402057173,190.07526785135238,2464.9913315533345,3078.1885247320747,1847.383001648832,668.1973701846565,7419.162057729337,5005.279029563839,552.3778569305833,1081.3314084754654,3297.684384256352,1046.6812192283728,3694.872962664755,771.4087713684488,5847.233935823257,2528.1755601796312,3979.586113511988,5645.429492837059,662.8841642040203,1229.9895865742205,585.6255603756995,3359.846496703565,3489.846302854222,118.2349840899408,1804.528370784561,780.3292984224505,3919.3391528650823
arc_pair_331769,174.2867205990316,0.0,4556.823712126054,1266.7818722207464,2027.6958279121231,4330.9618608481915,440.2575329781141,4439.273274585298,738.4536391844329,4752.138586781992,4740.4206077239505,562.6268314942143,5676.734835569048,3668.8601168645932,1802.1766115072046,1101.641803082905,2599.486664683355,2716.7971418187794,1846.145922163224,1788.0780715317617,1713.9897078375736,4274.60001884061,362.33719881325567,2294.3700644376327,2483.3941872977844,4047.2153217174155,4040.0000308641997,1199.719970231932,5323.347818002524,622.782908189878,227.9985863839669,1279.354524865227,2229.277488281111,3347.975175768113,2810.635856178948,3617.9811535103004,4500.08647473375,6259.002704200899,1743.399032028914,1188.0020205932578,3929.095127626467,2738.629853980981,4197.861269596931,301.26807229370445,3245.725742711572,1696.7997375428076,3365.658955837612,3760.7335740835947,6262.82454923209,5293.918604268745,1877.9197157828032,2827.3502772147094,2157.5670570412003,3621.3158096647844,8184.55206505302,6848.281062654681,2214.1507144315246,84.19898577876852,2943.8657648780163,3468.87113685563,2378.1413391399287,892.0023558805412,9026.657866573878,5795.014185343588,578.3014517024774,1332.7995982569303,3935.46156445398,1382.1623496646334,4501.467726230601,1139.4516735941004,6731.03551195807,3163.8905342074395,4747.562442951846,6883.298902635548,849.2640221999353,1648.8112458926544,646.7635210957276,4001.7598455509656,4253.955625188607,248.17707463522126,2177.8485602047854,1145.7132287821103,4536.796095905027
arc_pair_674550,3924.220918041931,4556.823712126054,0.0,2641.955310709482,1747.2547086251077,238.74787806523767,3231.00702587936,262.09306022127936,5210.730178159447,213.23997381713292,452.3275864703499,3348.6125169979023,1173.788102561709,808.245077649998,1615.350648853877,7145.111032958516,951.3145969317849,997.9467244370896,1582.2175439180894,1817.5262913939894,2193.8373339831624,277.823989615739,6523.004940875881,1462.800837591043,1198.9672488998474,358.71431363862354,748.4896406996841,2362.3454590259835,980.8048352111656,3093.7129543436163,4179.2029111973625,2421.662766982346,1459.1718515498508,704.7166286195053,1158.58496556306,630.8480789716185,171.36224709133924,571.5628930914529,1726.0618423927447,2406.57220076412,245.79689854979765,1008.6404271464063,204.00584755653335,4064.3113298188387,846.3359964755391,1840.635816905122,1114.679797365606,468.7194155869144,1353.3714478341974,453.82003515762347,1458.1407497884406,866.581692713015,1641.608376985255,693.2307713470967,1345.8927666858265,1127.8652619823426,1958.0507288783695,4518.554732212334,799.7024292516579,728.9060755941687,1181.4260939261867,2880.159938258734,3145.4093165406903,443.11654329099076,5908.9225796399005,2852.7825748549603,693.8462505208067,2047.1263922767212,450.1846836565156,2347.264875643214,850.8831832771401,1066.1463522391446,191.37440133688764,1775.0025410914104,2659.46194087439,2010.1244650247072,5686.665402639802,335.8203424960159,417.875463163435,4261.287342571842,1605.6899766310269,2611.6489787210007,381.5896301932976
arc_pair_48468,887.0972294573578,1266.7818722207464,2641.955310709482,0.0,809.8860034860929,2336.59422023894,495.90465497229127,2382.338332622975,2107.3765098898034,2634.289462710902,2671.253285397539,542.4037582447713,3311.546156168261,1757.2636520760013,507.49953586679055,3113.318704872092,1018.7111984884976,1380.6703559046912,592.0433597866748,520.3847345601163,269.42598529790445,2269.049959985097,2223.017247473397,963.4834853045714,1002.8987434595114,2113.6943394430023,2311.4973746192645,319.4065056106129,3183.932382006926,495.9540128771662,1026.2186686966895,74.02266803184656,779.081296462498,1719.2802497296173,1489.4466666332182,1887.941704883151,2483.3978734531725,3718.7369779561363,474.94555740484265,454.48462728257545,2134.0388920500263,1226.7316176793458,2285.3495142039533,875.1909255344945,1436.4030068797738,614.072912128841,1532.2834391194224,1971.6391268789991,3576.509106267288,3185.925522197702,563.6831427109597,1375.3799920350962,726.6714643050643,1486.2669890595039,5087.963293999196,4094.2264197861673,804.3664359405627,1187.0367485525794,1649.158882057928,2152.9230038639566,814.8851864147971,221.35339187889286,5698.817264315482,3516.7360654669346,2064.2043370869474,186.55021754804534,2126.507790617412,185.73179104250133,2364.0677069704725,100.12341161883982,4180.22231075012,1267.5866021199815,2717.9270188791825,4167.541374882676,325.70263734653037,297.8148265173438,2032.3084576556848,2072.370222803423,2195.965419060392,1240.0211078746245,967.4965306149932,213.69379829130384,2366.679702677717
arc_pair_531949,1578.195809904354,2027.6958279121231,1747.2547086251077,809.8860034860929,0.0,1494.472315038478,1111.6671248513233,1508.8382581102144,2499.420167688063,1853.886577193464,1741.3222159005409,1265.3517958523757,2631.5434715337005,1258.5841286900848,272.2101443745835,3763.3468137451505,373.15576099654805,895.2361510360724,384.3412547430346,373.0891931755052,629.4354183882108,1519.8550448387955,3232.572875993938,184.1778110271417,353.4848549152208,1253.9000494246104,1431.504300351343,568.9434271847855,2361.1897595691653,1050.206537004384,1713.544755015899,620.4448427564298,282.8128148871061,1194.4461933791372,681.0667628252822,991.1698495500153,1579.6105813035517,2758.4781621741827,356.97647983526673,776.3328825476607,1325.205880547867,537.9048533374713,1600.3401346993946,1760.5170516343776,632.4067628393665,261.9017338278704,634.3183685801094,1091.8695472596366,2949.0684170084523,2288.9275819445215,420.8596081700515,654.0719569847366,424.02053454617123,918.333152874184,4091.4704250983004,3209.2604604775283,641.2165635418094,1993.483781724069,921.1070238752392,1230.5406143876144,302.8462712745791,806.011623544333,4801.259632965862,2551.938285706804,2892.0198079283577,958.0005564521641,1255.232713420177,532.4822718390066,1826.9331515593378,614.7937549246299,3172.8198062721603,796.1691962496899,1860.7118152771968,3337.9450418440724,824.2030899005182,400.05751834543565,2817.644119547825,1277.3279494797384,1630.0630918659065,1901.088047942054,289.51132951961057,783.7889917752874,1490.2712273271654
arc_pair_11846,3632.0019015457674,4330.9618608481915,238.74787806523767,2336.59422023894,1494.472315038478,0.0,3020.1237459848767,191.6358685709875,4882.16616966553,282.04279415358343,369.7798389628658,3090.9574570269024,1102.400721179731,650.3762079092046,1409.713795030185,6808.071527933215,752.3134257576569,904.2777657803183,1400.6567822604968,1641.3932372578054,1986.8623142685476,248.55664280759083,6220.447111745377,1316.3162908853205,993.661472297897,197.8749589340679,717.9534425272233,2170.2417342098033,936.6172300571232,2767.4882177686613,3885.393927770072,2104.318691362546,1308.7194138227421,586.8686383686318,1091.240110934447,482.7618837046496,113.5171912939553,694.057967823001,1509.769119257832,2133.1034266361844,187.05556940278444,799.8207495194615,313.4882961359515,3750.036075871439,610.696693313109,1610.23532415196,932.0927152132175,387.16381496780076,1233.2609554025676,564.2401479385719,1254.8993610225816,769.5842255729129,1414.6553031549743,514.9279322323122,1515.5221846690026,1132.142248952135,1743.5601306321842,4300.609072058222,731.8891955656142,786.4160173922697,940.6978702156443,2623.6302480723202,2731.0598367198177,581.8142748734466,5588.484640229307,2639.879274962281,515.2526403680542,1854.471752089863,508.0444949785271,2044.0310037091938,1003.4417267412751,794.3009926035103,305.2934649380989,1701.280031894939,2402.891359765829,1738.470795750927,5334.195621941288,206.3970574926435,406.21176675488715,3932.9937448686997,1456.4369422587922,2353.964241795453,301.58143360253047
arc_pair_103391,404.07620911449936,440.2575329781141,3231.00702587936,495.90465497229127,1111.6671248513233,3020.1237459848767,0.0,3098.0397241610403,1159.9305087272967,3436.0908491938617,3342.381675368974,268.3574774506627,4395.4959427954955,2606.0403492198634,885.2535485272771,1899.395159365937,1490.838070927872,1818.064908907923,1059.340623868068,799.3531611581305,675.8664001106815,2948.520065004691,1035.9223437949304,1238.0059615165264,1483.2132875771524,2767.6364525145,2721.9144824901364,407.647545839008,4083.9282311498164,184.95230059422062,459.56051110736195,459.5772092194335,1146.008842073988,2337.8000358137474,1698.8931032024152,2391.6072447076194,3166.827318472277,4697.667651251702,774.0067251347364,474.6593899854973,2688.6372829187267,1657.203809058826,2988.3687769684166,546.4557523477242,2003.7581542575015,808.3590516787831,2041.159776084757,2472.826507394802,4895.755204798651,3951.143992392983,1006.9264576003197,1805.2019651994167,1089.811766063371,2309.0745768222528,6218.462641530361,5306.276796032549,1073.1225659685408,484.78615162133246,2029.9957263089445,2334.298288476936,1362.7246325005967,255.3959496450995,7510.87960862641,4291.932296765648,1260.6125676762645,593.2153567339191,2666.3609835621023,559.8062974031765,3294.0064026490354,383.30115546450816,5098.738242950246,2023.8424053806914,3438.63881717258,5517.798805499405,184.62803044627205,699.5492833988332,1251.8383316723437,2745.5666366533396,3029.242670728112,597.4844339971271,1150.3358984200133,516.3381768151781,3070.3443960079476
arc_pair_729370,3722.9045785480357,4439.273274585298,262.09306022127936,2382.338332622975,1508.8382581102144,191.6358685709875,3098.0397241610403,0.0,4925.599318815031,332.9258658255573,417.5670848117621,3195.429299946013,1240.1225835185164,655.7602009652779,1448.0965139324387,6831.743134644157,743.4866091883698,844.6958606491418,1359.003888773594,1623.5356313254426,1936.4799934334908,232.73777582245873,6270.4648415364545,1322.1531874266793,1038.6745364238238,223.5299216032189,736.2728279475297,2200.577203080743,1106.649269568435,2872.312148399899,4011.283865666334,2157.5412557879895,1288.1409059759353,543.2410571295169,1092.2731006958747,515.9319664092644,195.57259664553493,778.4122955443106,1519.6815229767878,2128.6151259189232,210.41700084603974,766.3445724577223,377.855676286946,3794.8041887243094,634.2618180371518,1619.2248053062822,970.3934810441351,387.22573398900045,1440.8424608835571,655.8695606003484,1285.742484033194,716.4910552459941,1466.2187266052363,468.88626978561723,1585.2123503158361,1295.8353851764261,1691.635967126082,4364.197254320388,696.7604870166073,687.2110979275565,953.7809567324339,2683.9296774090903,2887.5923980012985,658.6304258712536,5664.823270698237,2576.886419270249,567.1476218646263,1837.3570756530285,562.8351580378055,2113.214423980113,1111.978226532944,781.1841204750306,380.3070550559292,1829.8244694929897,2516.411309432208,1736.3961213396992,5384.48514416695,255.90035326869398,400.93320165036414,4056.2322067351956,1402.9534222698937,2334.5388166759885,344.42669238912634
arc_pair_346988,760.4842661011992,738.4536391844329,5210.730178159447,2107.3765098898034,2499.420167688063,4882.16616966553,1159.9305087272967,4925.599318815031,0.0,5280.30946447285,5392.5603757114,1290.7141624316207,6314.941994537288,4349.33267849635,2441.237549159762,377.8634728280862,3061.954400618537,3283.1606563054866,2533.7198271182547,2357.65078899699,2612.143418078997,5092.016736155853,938.1434554499243,2761.5744643952357,3150.122104558532,4517.997994025284,4638.32053101529,1798.1587616359984,5841.953997883369,1233.816255728795,879.294841426446,1979.624193290808,2866.63858214602,4014.698777108364,3284.6601241557614,4083.0107975173905,5003.587121463004,6971.722554125945,2221.7575443115047,1533.988608200607,4580.367225103183,3178.4598692290465,4955.911778275049,1091.0290093973101,3709.173593448508,2153.8218709636226,3828.686473166631,4210.366452261703,7107.6028405942725,5741.393776863399,2490.0451929071664,3352.7676507151814,2603.1674996089446,4356.6085210348865,9549.068166670122,7634.446945761078,2607.896684026544,828.7217445577669,3484.8517860537836,3766.1130682902317,3015.7130559293887,1508.9430257962395,9638.097060348355,6253.226405609718,453.0986088512407,2354.2663458143134,4249.484593775967,2196.5085308672165,5342.609047663143,1804.0386666017696,7613.149663322702,3903.5011309414735,5256.906069957056,7639.956571793821,1483.982835705052,2244.280050268574,294.2767412679677,4534.88324106759,5043.9609699483335,571.2646425135288,2464.9021477399842,1833.3162212549955,5306.284815697036
arc_pair_447808,3949.8400060314175,4752.138586781992,213.23997381713292,2634.289462710902,1853.886577193464,282.04279415358343,3436.0908491938617,332.9258658255573,5280.30946447285,0.0,657.8505554916667,3332.7921553424612,769.7650217053,591.5444784010829,1718.2901092045709,7212.986766880151,1049.5161432948537,1062.9321186487298,1591.2869453897017,1971.6976756106842,2376.9775580241417,405.0077102947696,6769.310537325586,1704.4063868054657,1323.8576571396582,371.9266560142306,1132.8042290335684,2542.1796931938266,679.5850188427486,3117.3225667527704,4194.420480017125,2449.435914134797,1663.8914609959365,712.5064002383248,1557.0794293523904,803.2393549743294,245.7951432743512,466.78828179467075,1844.3738938641511,2449.6204115018522,409.65273129264284,1101.2031569965457,248.5175184853191,4010.1172405283032,946.0102995857925,1929.1278244054818,1322.919724748442,663.6554020843961,948.9971683066893,317.591806884007,1469.3214484126595,958.275223251197,1757.4973532909826,727.7323303957568,1466.6018005761719,930.2598288315165,2114.1399680835443,4685.3826431317375,1001.3563699857937,1087.9243358888518,1221.9804719139327,2944.13051167368,2344.768411581855,463.43480710332534,5872.173153334542,2979.4112174506563,792.2620368365756,2213.298903119397,319.2209351991104,2359.231101714221,866.7143365750503,1076.011397815381,118.8906899040565,1412.5292735626542,2791.7374080612317,2080.5839584081245,5632.367837040886,431.336623356065,392.9887799992261,4262.501483730176,1780.9616446762336,2625.8053126948275,587.1453050138244
