,cell29_HAP1_,cell412_HAP1_,cell547_K562_,cell570_K562_,cell512_K562_,cell583_GM12878_,cell482_HeLa_,cell529_GM12878_,cell13_HeLa_,cell278_HeLa_,cell614_K562_,cell370_HeLa_,cell361_HAP1_,cell38_HAP1_,cell456_HAP1_,cell577_GM12878_,cell587_K562_,cell478_HAP1_,cell43_HAP1_,cell342_HeLa_,cell531_K562_,cell506_K562_,cell539_GM12878_,cell108_HAP1_,cell417_HAP1_,cell517_GM12878_,cell132_HeLa_,cell65_HAP1_,cell504_GM12878_,cell218_HAP1_,cell591_K562_,cell524_GM12878_,cell611_GM12878_,cell301_HeLa_,cell606_GM12878_,cell554_K562_,cell569_GM12878_,cell81_HeLa_,cell299_HeLa_,cell146_HeLa_,cell55_HeLa_,cell404_HAP1_,cell553_GM12878_,cell322_HeLa_,cell399_HAP1_,cell557_GM12878_,cell309_HeLa_,cell602_K562_,cell165_HeLa_,cell174_HAP1_,cell485_HeLa_,cell601_GM12878_,cell540_K562_,cell515_K562_,cell366_HeLa_,cell488_HAP1_,cell527_GM12878_,cell605_GM12878_,cell415_HAP1_,cell588_K562_,cell578_GM12878_,cell610_K562_,cell109_HeLa_,cell507_K562_,cell202_HeLa_,cell552_K562_,cell430_HAP1_,cell235_HAP1_,cell508_GM12878_,cell604_GM12878_,cell246_HeLa_,cell600_GM12878_,cell468_HAP1_,cell597_K562_,cell617_GM12878_,cell513_K562_,cell47_HeLa_,cell603_GM12878_,cell615_K562_,cell542_GM12878_,cell252_HeLa_,cell535_K562_,cell546_GM12878_,cell551_GM12878_,cell207_HeLa_,cell609_K562_,cell423_HeLa_,cell562_GM12878_,cell196_HeLa_,cell432_HAP1_,cell305_HAP1_,cell120_HeLa_,cell571_GM12878_,cell419_HAP1_,cell153_HAP1_,cell77_HAP1_,cell164_HeLa_,cell581_GM12878_,cell516_GM12878_,cell200_HAP1_,cell376_HAP1_,cell255_HAP1_,cell589_K562_,cell262_HAP1_,cell541_K562_,cell523_K562_,cell514_K562_,cell208_HeLa_,cell595_GM12878_,cell590_K562_,cell573_K562_,cell544_K562_,cell619_GM12878_,cell205_HAP1_,cell444_HAP1_,cell9_HeLa_,cell537_K562_,cell500_K562_,cell411_HeLa_,cell219_HeLa_
cell29_HAP1_,0.0,4.769918621374947,5.1817618502204965,4.817970714185655,3.8452118933250494,4.992843648222456,4.254132094711959,4.874222485435734,2.453771462614481,4.257669384773832,3.372970451270349,4.011542342359636,4.553280894851461,2.5395283207294463,5.5429447847955515,4.009251990366462,3.9993982562736754,6.452403162253626,7.102821037634969,5.25061779165633,3.071118912132375,2.6092410639938057,5.1149602460146255,3.9965423282294887,4.410675201107021,4.131530033772243,2.4123882139868633,4.52853859949208,3.565577013753427,8.180259043417822,3.9591381652142656,5.884522637757776,4.528338844316175,4.061429970009356,3.9219714430340678,5.333165978531029,4.703038495059983,2.6206683809858413,4.622458812771262,2.7583572058373527,2.454368890249266,5.745651549644936,5.498151119375755,3.1410192575688898,4.425827678422898,4.883652800070143,4.725357960368575,4.9277597968282745,4.514108982849325,3.769944090717964,5.336592699050881,7.061128613363953,2.8940051345724624,3.335213503016285,4.058352003371457,5.686692132447476,5.120387361961383,5.315928676588737,4.734675017275858,4.454238780501456,2.732126323591908,6.175214378722883,4.186323135400508,3.4914602364709073,3.5551560920541743,3.2406490838677464,6.980099776920941,2.776772100854753,3.7733004526957434,4.228063214976322,4.119532554923305,4.891324699879407,4.320170469405053,3.533745909365183,3.7118785288006984,2.4853531458275766,3.864734148831829,4.845356438453266,4.388512101112907,3.32778225947018,2.8230731722216627,3.9105936521403772,4.803925699698023,5.5068944324840485,3.1531627717635438,5.672577701241412,7.470627471693112,5.076028495091064,2.8800182058679846,2.496408764145982,5.435355139944243,3.475706131519326,3.5390836513088564,5.579017366390712,4.987206032937992,5.154673352357651,2.7953490037536213,3.4814037964181606,3.5045091189765616,5.614031889885451,3.483106163916603,2.884944204625432,4.182703063201455,4.616392523205865,3.1805824062127126,4.356655385330693,3.6564828347667406,2.846983949310891,4.346745059869028,3.9753666021941787,4.717499745388963,3.1076041929911127,4.65678350219361,9.644927548371292,6.644223412051492,4.23429511553452,5.8827333084972455,2.743254386311774,4.603678799614997,2.4938216450298145
cell412_HAP1_,4.769918621374947,0.0,2.9590091597551034,2.6742179546844813,2.7738803806755756,3.3019593470055497,3.3789013692184975,2.80781861045495,4.339814073326887,3.745061821244625,3.5423716906780243,2.913446821867352,3.1080620743199754,3.2575773148110088,3.6289094522133163,4.603357745321748,3.759866765183795,3.5832365296196236,3.1063656357902625,2.8996374143759445,5.029568624400813,4.833896920678919,2.505554329088636,2.8691269580223357,3.323324598750454,4.3206617055291545,3.576924364258886,1.8255431123916617,5.596849600730478,2.898139431953343,2.7531124971201955,2.6126959970382777,3.208549260355936,3.292936673100359,4.027837460660974,2.5571784517830176,3.2108864090594764,4.854182475633525,2.7811595693154656,4.212191189154246,3.6110357672749793,2.4305349318592886,2.7963817317472675,5.274345426181485,4.075134409277293,2.4483372199375855,3.0270757730099556,2.39659758165046,2.895649534199891,3.4971311022539515,2.865226751564481,2.8338844493936888,4.75340714930924,3.819843177586944,3.5268813707164166,3.2305730576320157,3.2054131039798373,2.3496336468994614,3.7646131979158657,2.3452261376850085,5.104170961659037,2.5840000443755,2.5903021626509153,4.122788449046799,3.1833514586237586,3.7069868802296124,3.6858448937199118,3.1308478180412678,3.3177524058653907,4.257827468389651,3.882608323530776,2.9099000993844886,3.8914602233188327,3.2909535662634504,4.981828690230419,4.676748093246262,3.8151575369177353,3.1954662586380573,2.7779304619121215,4.68885266122712,2.767263827847386,3.225980540660935,3.512882243840115,2.497908280892573,3.249085467814936,2.7049771552498516,2.746351438251722,2.540504729335519,3.2384150404525425,4.043291731071894,3.6252219103339707,5.094559035331979,3.266976999528573,2.795933716696619,3.3512045229266803,3.125486180225928,3.1674212548266016,3.2264280935758043,3.2217070904311664,2.737565060978852,4.482694915330393,3.7081231627979583,2.984999321811812,3.7852528895399224,3.924907161757125,2.6779966715717,3.230332174246323,4.8863026404711345,2.3922905459133785,3.577265453278149,3.1521997259008545,3.5219720723559163,5.672474910658187,3.907068424560486,2.628898512829491,2.9215440985284644,2.3626965258079258,4.185349691518043,4.430009947937693,3.457184366537902
cell547_K562_,5.1817618502204965,2.9590091597551034,0.0,2.835255459704382,3.0311423571188083,3.7746735467910755,3.9795590599642123,2.8958595245374203,4.4869668900746795,3.9876773598414044,3.7438933400233223,3.039220826637669,3.2980497813576015,3.667306156747813,3.685530304427864,4.823782766153089,3.7559428529980234,4.502196567496937,3.426961893826839,2.711442751313939,4.599830866486705,4.741344009919056,2.9209151325868086,3.764423052592134,4.045533930698945,4.1202045240461045,3.677198664994622,2.3322637951956584,5.932301112640404,3.583295064577527,2.673676671477588,3.128103800831798,3.937149999909173,3.9118391379309605,3.8722945859293976,2.9777379204795587,3.5878806823265252,4.970607251406599,3.619742538675648,4.288050036295832,3.7105210982190995,2.9057731194280265,3.329976331060206,5.496862343726681,4.614812366943799,3.2266875569086695,3.2887516059415307,2.616279087922087,3.516336486123697,3.8601493156967774,3.282528165036094,3.4471803102161807,5.018136300332185,3.8920477281066512,3.7536579793152796,3.7542270022359956,3.457193579961229,2.832691107400787,3.7713850046955413,2.584990139534446,5.030228623592468,2.8127077232897744,2.5834913414814054,4.087786647507205,3.217675783107695,3.9378724258630404,3.960640438537027,3.7772891441843974,3.4787791549417757,4.222649126489274,4.6626799963484995,3.2819781349974235,4.227144369924646,3.5177967937199357,4.47083513806488,4.315489820468207,4.068157377324566,3.5904575963238687,2.3630738434512946,4.247324684786092,2.9899068013038708,3.1593807898724,3.9449932650650235,2.792194512049641,3.5354725495495516,2.9490513855086364,3.4918939828970235,3.2966372519531473,3.647747992944537,4.0294639078050025,3.7905873895709647,5.20559014503387,3.5489178236517818,3.75858520555977,3.566188723597238,3.3084393218923767,3.6580238438410873,3.509693764210815,3.4885770690338394,3.38721610904357,4.446137647618982,3.7995695977739814,2.653110883023988,3.8821423619740685,4.012712351729463,3.153573470793179,3.3203998459481108,4.997704212852563,2.9040416940673204,3.6521886087316764,3.0961543159345304,4.0328806972832325,5.676604300794994,3.762939245459471,3.5493640464254788,3.0176158972453333,2.5154343325378323,4.078945692560056,4.732584257866764,3.5521527524825327
cell570_K562_,4.817970714185655,2.6742179546844813,2.835255459704382,0.0,2.5782239998676184,3.8403746883231125,3.6405826499669534,3.1886042934945955,4.1535746815038195,4.006608066606729,3.486782281029461,2.783044742883753,3.053339486880043,3.379440372248065,4.0309392963167525,4.70896509343874,3.504430192926614,4.445113967482788,3.7090271960934897,2.7454422571165735,4.60316065784442,4.230778738328433,3.0494925032687448,3.5460610760986055,3.7141729361066806,4.020431834925487,3.6002018714537174,2.449677932619171,5.473443879192008,3.654567067063561,2.600039262384753,3.397093991537584,3.727209874178145,3.7172019517902966,3.8797629470998207,2.953762834098735,3.608470013999571,4.636438820211467,3.271371949291968,3.818806230715027,3.34439074532579,2.6601448992599384,3.0198838300160267,5.247428653191788,4.414838896751927,2.91257908505509,3.3694720181147284,2.5882794045900104,3.1714797472817375,3.7923374410273194,2.9508985270604677,3.576216692358572,4.4342614825423174,3.5212872075548267,3.48250638930463,3.746905854782136,3.3875235735170373,3.1809068422774924,3.9458970971531593,2.454530265017426,4.900944992227466,3.147177400411016,2.990489021783093,3.79077274390143,3.161680909144893,3.3873257999119195,4.062235630211248,3.1509013116387856,3.4828326253589963,4.221979642197257,4.437526787085813,3.546543622291598,4.263629428851147,3.194241454777113,4.73163736031266,4.169992023696144,3.569180096353721,3.7315492182127787,2.64797495919346,4.431296604488824,3.1061068389964492,2.8954032541674577,3.826943332804933,3.045414770431978,3.483443067082851,3.0404884368870135,3.430641313285599,3.135148381410401,3.4665707634501883,4.112863098941145,4.168934135134865,4.99284293152146,3.4172341586846056,3.8573454533567704,3.4311033154396178,3.39570537754936,3.1352213611614332,3.4768304916593316,3.324841641840073,3.4986332605790302,4.166044817862207,3.708852474456159,2.9253798177106827,3.9109093676796647,3.7774448271403696,2.8936391306207754,2.956098624779587,4.593268373639674,2.82117693564156,3.4448743773437345,2.731322143043507,3.6057964147161163,5.46738886557854,4.623012830042283,3.2097629993123102,3.2960942295081157,2.751161578921652,3.760557993238269,4.583299774433151,3.455761608973214
cell512_K562_,3.8452118933250494,2.7738803806755756,3.0311423571188083,2.5782239998676184,0.0,4.0601839623659,3.4492590235147134,3.2447458636198805,2.98964881764839,3.3036169620735727,2.785204498084497,2.7979746056289,3.066830790501693,2.53756567514078,3.972337862169864,4.128752611793515,3.0624602262716722,4.174097608934849,4.146530092630265,3.1100235542350676,3.3570540549867554,3.0753832566277426,3.040107621306342,3.300794645093891,3.4624225941830793,3.492870379136821,2.452566634644769,2.649247583603919,4.263221775233343,4.89902169304646,2.3418007277607877,3.8831520807807207,3.6289842899713123,3.16918333284086,3.1612047349839365,3.448721180778339,3.4490680265560867,3.264867075814517,3.197506704059263,2.8736749736867355,2.5298716979048983,3.3066691432617294,3.4067299050156166,4.161083148292349,3.7599955857758616,2.9405822072036507,3.0847415592988474,3.022834022658089,2.972681868645753,3.2073908866218317,3.4476362819559294,4.132544272304512,2.9379316340592236,2.6931717431456392,3.218521768972434,3.6293006595778685,3.3278247485221133,3.197150587664207,3.5836560564199322,2.444689823110842,3.626735663800395,3.3942995146282433,2.8294130101761006,2.817271626894409,2.6635602433944134,2.283840154330699,4.540419480004152,2.591734512370932,2.957682324918547,3.53752663398459,3.369229978124614,3.3824602083608815,3.42521375636606,2.8688729531879127,3.7355656278294846,2.7451514881570147,3.1787594368124044,3.5815158694659894,2.054857853106511,3.349889370049025,2.3777033563429355,2.630385602836114,3.4383811528385766,3.5301501037791114,2.9626402062360837,2.9641344324631196,4.104737410652907,3.052153075516018,2.6779115095272834,3.0318292175242876,4.405680225012169,3.853540773679465,2.9185754958161065,4.048939490358069,3.621863313261806,3.832363083365138,2.4842771669894077,3.1393656348617798,2.7778120628597103,3.5654430727427155,3.2361578401176856,3.1676885275279743,2.2343841170197116,3.4025505800001765,2.8441088921770232,2.6712682222354958,2.492774698939546,3.2398167740487698,2.9089042476346467,2.8511232070739423,2.6670159834688483,2.428990935482681,4.63581454893284,5.691319425879639,4.046367105436597,2.5782867145209494,3.1223982108224857,2.4087614805944195,4.114978880082866,2.5874252599933913
cell583_GM12878_,4.992843648222456,3.3019593470055497,3.7746735467910755,3.8403746883231125,4.0601839623659,0.0,4.238537299333203,3.4313491805815834,4.407280398810782,4.404954655203733,4.304078604234197,3.606821016706118,4.149955273152636,3.8279184904928516,4.511844769114498,4.524019486361892,4.237329249294922,5.007805426607947,4.038057610380436,3.8341263128457745,5.913482524262424,5.31348294449924,3.2059792532473192,3.9096012653624133,3.635593940656325,4.2455366212575,4.0786696364174215,3.3288362683502415,5.512843974577412,4.563117170844651,3.6345366660459963,3.6289178843344647,3.8524824378031974,4.0102048292341035,4.195862757340247,3.638080124379071,3.773063062929732,5.237837434805063,3.7624440316535015,4.486387312606392,4.265333958709129,3.9394344007261743,3.8206220717730868,5.703482138824507,4.55654731057232,3.289106503110413,4.20150336649209,3.7081858172445124,3.870039015345723,3.9988248206320174,3.966271955444869,3.8868593603913117,5.223210928634598,4.517207514666695,4.23898257223086,3.832217176571141,3.9485009417904378,3.4357366128875517,3.7504900039908406,3.783619343111476,5.134781451083259,3.8252862780180124,3.4199865609986224,4.576282675018447,3.9623654788899416,4.536957275656622,5.047784761546938,3.864400811976844,4.1554409472195015,4.260032345373768,4.537646737472899,3.478961139503027,4.816067830966659,3.7568564585978157,5.543829430729845,5.186435244942221,4.350541228704072,3.838464039132945,3.7586802692500543,4.996439721755683,3.6234185060524204,4.323625552474201,4.354204274466497,3.517313902892123,4.124978646948816,3.9089173886529553,4.0226874943855275,3.7927552396744955,3.7248800497235637,4.85456367915323,4.765892912073884,5.328061848566279,3.888892090200346,4.290239130349638,3.878711610446344,3.694322974312918,3.937723718003124,3.7653579896813243,3.7949156169550275,4.093012602034669,4.940881592123713,4.373409331978079,4.021640787250016,4.4608450779558275,4.441845444761748,3.3354355333159136,3.9561224411159146,5.164602962204204,3.296491437725709,4.296501780143619,4.151849596841188,4.276756867662154,5.413197172095936,5.30932831124573,4.020549105717634,3.8721759625194716,3.9126317207894825,4.579566370332988,4.954740837628062,3.9524241768245227
cell482_HeLa_,4.254132094711959,3.3789013692184975,3.9795590599642123,3.6405826499669534,3.4492590235147134,4.238537299333203,0.0,3.9745805375773102,3.8361471868210693,4.451926631551638,3.959323651810472,3.581124691602719,4.0444644901290925,3.205455300940365,4.830876160414643,4.477011325664044,4.169882154552994,4.787843856594389,4.740826524711713,3.852479835298314,4.746260012983436,4.392123624382018,3.471849046771251,3.4686546969064684,4.002133774331945,4.065939611735173,3.2848310606427074,3.247125655600473,5.293142893659381,5.175931388099416,3.533954077904318,4.015772186362943,3.9739640551850233,3.7835486899552153,4.489686746933044,3.5357797538911533,4.049639140344644,4.260598694922064,3.603049294406571,3.7000262189472357,3.574526682893006,4.031955055477798,4.157638766475275,4.429670046866194,4.699904091839425,3.566959151688177,3.670758821667781,3.499208349239762,3.613667463776726,3.938706065021134,3.524145320780522,4.4481107591556945,4.494337218685685,4.141472819624117,3.5643631582533297,4.211306482315242,4.212303546118487,3.7958147007977927,4.059961983146119,3.456098129062415,4.69559878927414,3.9001277143919126,3.104500548307721,4.308397270196105,3.2937878493157964,3.76225850614916,5.187178561617529,3.260451373312847,3.567846358984703,4.517950561700194,4.379235282172736,4.275771497228346,4.439579537996056,3.6696932803912636,4.723275162597856,4.085990528798335,3.860603521088902,3.906840148867037,3.646968958812457,4.700509501725745,3.1038206127836023,3.959512904812288,4.3782823940526345,3.881710684500171,3.43126587042242,3.841979731482173,4.287257046875354,3.6466991516634164,3.636145096358928,3.965584846478146,4.216021895311924,4.363180178520845,3.390948939655781,4.331278222539339,4.412958066926999,4.369907826167475,3.1067775385221488,3.7968123763981376,3.4966998828705105,4.035217123174522,4.757999820795824,4.066090819090929,3.8049408204613107,4.447795603339349,4.430663959987021,3.7232552207967933,3.6332706378361928,4.274057319091199,3.284647125485261,3.844292045794405,3.522820840542661,3.723811733492094,5.729748426634384,6.023176866575416,4.432550363322266,3.5534746840717615,3.9193777339231106,3.90579708484392,5.0252339798497765,3.4096686325506598
cell529_GM12878_,4.874222485435734,2.80781861045495,2.8958595245374203,3.1886042934945955,3.2447458636198805,3.4313491805815834,3.9745805375773102,0.0,4.025551326336057,3.938324382746697,3.8050311395130603,3.0657106282212085,3.424667943971958,3.364027662372549,3.85523672070389,4.602246934054532,3.9231434824870637,4.4129982084190456,3.717554454871977,3.0965205117945267,4.697158577292086,4.606947078120385,2.8599316260328442,3.3528224497844747,3.4874902382761803,3.6642272832230596,3.404576151648082,2.3940171719403045,5.136280782357083,4.031467412598884,3.031512780621745,3.035372214185144,3.510603816236226,3.710466274292755,3.9371908477984903,3.1479252746729838,3.4553579174312286,4.604823334999059,3.565719233228287,4.120897507455333,3.665446892152659,3.160740747898715,3.100963290413967,4.92456807135211,4.280058047025824,3.06949393362813,3.3006313712221704,2.8953699230079044,3.116249952925977,3.1355287259681557,3.478040319250495,3.689475082793665,4.727273526211594,3.8770397364997957,3.9407499878152517,3.6626336887591195,3.524860107705998,2.8009299300250334,3.9535473102272256,2.9557377435808143,4.58975373117663,3.2273125905600226,3.0655531031835235,4.249484403228287,2.9556228393679174,3.655109435037999,4.270119333839821,3.2538455064916025,3.613790467709906,3.942634993727493,4.229053143715892,3.2101134899914907,4.029811556763511,3.216210306925263,4.242449894484351,4.6023142212538755,3.813457386589196,3.3559151106778558,2.862609992202289,4.368356634207501,2.805009886519584,3.517588487298389,3.5777515172077523,3.1017949966660066,3.4951895746505555,2.9830665728753987,3.3026039266763023,3.0461570860647624,3.3493991040305184,3.829280531815871,4.186472625681461,4.970581926680207,3.18769815212627,3.8412213742820316,3.262642699776744,3.6578614077039804,3.197573556289387,3.43548059382285,3.402353389611949,3.502182592681448,4.4355023653335826,3.9319250298706603,2.959412466818006,3.7645995684874283,3.899774829221686,2.949073768138407,3.1532026965805833,4.2809868777628415,2.855299278706827,3.419293213999259,3.5452491276277622,3.8801557736648853,4.97415899009555,4.31087335089072,3.6720984890441266,3.280619196787148,3.2175570527423885,3.7980471148367707,4.526520532966217,3.2801441930785478
cell13_HeLa_,2.453771462614481,4.339814073326887,4.4869668900746795,4.1535746815038195,2.98964881764839,4.407280398810782,3.8361471868210693,4.025551326336057,0.0,3.083251730774508,2.757165799740558,2.942113162606128,4.185841330833369,1.6380110677696735,4.837408152733673,3.4875164532030474,3.231557478032422,5.690355827743865,6.398884715263089,4.447802681417048,2.4934809479163,1.5518697544051214,4.365902265902916,3.5150826094921035,3.907674147355457,3.0753649643168037,1.1391502551368151,3.692137615454704,2.7416584166960822,7.7733350553089675,2.8905817100307445,5.097174027459919,3.9223158632398096,2.6457213839701543,3.4855573338406307,4.963613544559509,4.266821569630712,1.6755306645848749,3.3891799116575445,2.0001220029105453,1.5891517284888574,5.1606339415464415,4.8986487339864375,2.1491388098309363,3.5741005080801793,4.159139390421761,3.9113365416851495,4.502603805104457,3.3986017854777506,3.0525194077806925,4.448624467009672,6.380260180675709,1.9549457546244653,2.2897925796797836,3.313701256381618,5.000677009734099,4.096326705143587,4.625700829878153,4.089350566589356,3.849680988033401,2.2424376978978655,5.111369262381394,3.5813237193553973,2.7133093228481355,2.3802202677614384,2.290732883054318,6.524860349523141,2.295252361391249,3.85645393756065,3.7784477932369094,2.591075230485452,4.205564104367024,3.479667780389124,3.3204472367771425,3.081058246345095,1.8095247564881216,2.6770182017648207,4.30852894175822,3.2734383221740684,2.5863191035940476,1.8761360758940007,3.3391180131510376,3.816150774068772,4.5340389955250044,2.387881357053753,4.905340851563933,6.305172408457905,4.395976650673884,1.8134927573283346,1.9922937445724704,5.5600918512941035,2.22842788006291,2.960357041090868,5.191733802196998,4.039809105718776,4.501155105062543,1.5243795575625967,2.7632910845683707,2.7744128972849165,5.53717043081612,2.791518953735296,2.1712067649702904,3.5630159677548687,3.500977176956589,2.3684799888524015,3.5368073732733514,2.691510542052699,1.6936945503066028,3.463339132795256,3.121874320962754,4.120300938184755,2.3535182120768723,3.743145650856989,8.797313498790885,6.116111605219475,2.87410339203876,5.2127651616929835,1.8282490358622763,3.620221104050878,1.6805203693329922
cell278_HeLa_,4.257669384773832,3.745061821244625,3.9876773598414044,4.006608066606729,3.3036169620735727,4.404954655203733,4.451926631551638,3.938324382746697,3.083251730774508,0.0,3.494602810069382,3.424268713102501,4.197983517646247,3.114805239842932,3.8713854787060926,4.53875306713793,3.565961999253186,4.646105909422676,5.221296738586088,3.8479628042335943,3.754533322031676,3.3957559486264346,3.8269919727877406,3.9980520847560816,4.025189375905868,3.8433035144275203,2.6814636337751168,3.710197537176458,4.462565959392583,5.902584862227393,3.3534571647311076,4.353537566919359,3.9533850833465647,3.350986535655401,4.2212138412338485,4.670687688017248,4.1048816771134975,3.399939864817595,3.3503218173775617,3.735086235010262,3.1856457109763254,4.606262196863167,4.687019784141294,3.7397458010870066,4.170911175010491,3.7766929332827788,3.561777413286813,4.33698562677713,3.120638727719571,3.950488647530179,4.063671306752959,5.125058749081758,3.5649076744940427,3.504320721595299,3.7381280825483447,4.3916665953188065,3.483062737668304,3.907508816304624,4.205289902423885,3.6205862985984094,4.145936276356419,4.27456489801593,4.101561265694139,3.328895046880774,3.4392648280032443,3.155430947678849,5.66768815209101,2.975425248128958,4.2570380314272525,4.0036961717889445,3.5030350917833624,3.966182184002223,4.018889052874131,3.6505282927789358,3.940744297334539,3.2880167358245957,3.259071221574403,4.562407149817296,3.3730825053862894,3.4614350541789687,2.756333715125193,3.8003885886427886,3.7753709202663672,4.135800958059819,3.3950734957504483,4.552941495949197,5.100730476067153,3.843008837906847,3.0468230285106377,3.449826989399721,4.791150263354715,3.8149532993375406,3.8031933226614765,4.84678776932607,4.3218143056323335,4.041736621445149,3.0443428987684222,3.4627425814537176,3.1027783584626354,4.833965372690571,3.738377620927448,3.4877012672834953,3.3938479401148753,3.5082467825102563,3.5253353730814148,3.66086589756586,3.332628081827713,3.310455707329134,3.448098850195862,3.5090509466430113,3.776826175876481,3.2441980691946752,4.493544513335312,6.884777909497338,5.064439341876876,2.9567739479261648,4.149425437056941,3.2284116415691657,3.88097826444975,3.2085534817805614
