,cell144_HeLa_,cell79_HeLa_,cell496_HAP1_,cell469_HAP1_,cell315_HeLa_,cell602_K562_,cell617_GM12878_,cell603_GM12878_,cell535_K562_,cell562_GM12878_,cell200_HAP1_,cell500_K562_
cell144_HeLa_,0.0,5.926591646956329,5.677479217304512,6.323287439838037,4.64196429636756,5.108494989031369,7.356802930493291,5.470348084529743,5.572996137038186,4.997491015893562,4.7507890965066855,5.342161355990488
cell79_HeLa_,5.926591646956329,0.0,7.102208353997325,8.050176485599913,6.6051595590547105,7.081423599560447,9.210599477689227,7.0064870848049985,7.180168812154385,6.1689847345199205,6.545045689870761,7.944749158683287
cell496_HAP1_,5.677479217304512,7.102208353997325,0.0,6.145486061439723,6.080446320718697,5.7482098335159195,8.143809632752887,5.812745648452726,6.491267568813165,5.684588663464558,4.886244696375048,6.591763093622
cell469_HAP1_,6.323287439838037,8.050176485599913,6.145486061439723,0.0,6.0973653894408155,5.655136220093006,7.930239383542276,6.228971844461378,7.165502092660267,6.17327050527528,6.009218210577316,6.041391498321422
cell315_HeLa_,4.64196429636756,6.6051595590547105,6.080446320718697,6.0973653894408155,0.0,5.052764912235295,8.564958349957092,5.793598484785475,6.102448008083579,5.57353052935738,4.815669311298073,5.935646750441615
cell602_K562_,5.108494989031369,7.081423599560447,5.7482098335159195,5.655136220093006,5.052764912235295,0.0,7.095321983890771,5.251585474290794,6.071572422482005,5.0948683753003,4.7653569706218075,4.952796969833321
cell617_GM12878_,7.356802930493291,9.210599477689227,8.143809632752887,7.930239383542276,8.564958349957092,7.095321983890771,0.0,7.946542502679307,7.757649642627925,7.636878922514266,7.909528957625103,7.018701620889618
cell603_GM12878_,5.470348084529743,7.0064870848049985,5.812745648452726,6.228971844461378,5.793598484785475,5.251585474290794,7.946542502679307,0.0,6.156659437359821,5.586895167564948,5.498381417993307,5.861950388105765
cell535_K562_,5.572996137038186,7.180168812154385,6.491267568813165,7.165502092660267,6.102448008083579,6.071572422482005,7.757649642627925,6.156659437359821,0.0,6.067362243506329,6.075026990513871,5.705015384470661
cell562_GM12878_,4.997491015893562,6.1689847345199205,5.684588663464558,6.17327050527528,5.57353052935738,5.0948683753003,7.636878922514266,5.586895167564948,6.067362243506329,0.0,5.3839679930723925,5.840281895964222
cell200_HAP1_,4.7507890965066855,6.545045689870761,4.886244696375048,6.009218210577316,4.815669311298073,4.7653569706218075,7.909528957625103,5.498381417993307,6.075026990513871,5.3839679930723925,0.0,5.9104963740135075
cell500_K562_,5.342161355990488,7.944749158683287,6.591763093622,6.041391498321422,5.935646750441615,4.952796969833321,7.018701620889618,5.861950388105765,5.705015384470661,5.840281895964222,5.9104963740135075,0.0
