,cell264_HAP1_,cell580_GM12878_,cell559_K562_,cell73_HeLa_,cell135_HeLa_,cell288_HeLa_,cell611_GM12878_,cell536_K562_,cell554_K562_,cell548_K562_,cell491_HeLa_,cell179_HAP1_,cell322_HeLa_,cell399_HAP1_,cell201_HeLa_,cell557_GM12878_,cell613_K562_,cell494_HAP1_,cell601_GM12878_,cell578_GM12878_,cell486_HAP1_,cell64_HeLa_,cell109_HeLa_,cell213_HAP1_,cell604_GM12878_,cell574_K562_,cell600_GM12878_,cell617_GM12878_,cell17_HeLa_,cell618_K562_,cell603_GM12878_,cell279_HAP1_,cell592_K562_,cell550_K562_,cell153_HAP1_,cell88_HeLa_,cell516_GM12878_,cell200_HAP1_,cell576_K562_,cell214_HAP1_
cell264_HAP1_,0.0,4.437565886257109,3.837285845929509,2.9213003266810267,3.6694822676509924,2.7569352749553433,3.456132469864632,2.873131409755171,3.9753935347506477,2.6334190324991145,6.956890994168253,3.084944700434331,3.3087543129446084,3.9362208024600447,2.6155157741816355,3.536175130701136,3.56759700733014,4.253843782411984,5.134676817457178,2.8690627752324365,4.0895351748028625,2.9146836966824097,3.161698961792998,2.5525010981407243,3.8533175159789126,2.6930016864356263,3.67895614746632,3.3884301381354316,3.2145741398000567,3.31875319583439,3.612696426875047,2.8370898876230486,3.42902438518948,2.8764330843805324,3.2343863809379743,2.989552914591862,2.6971129068927304,4.130514201137879,2.6505780039284446,2.4563922399166795
cell580_GM12878_,4.437565886257109,0.0,4.285205245371401,4.862251169072712,4.346037396578449,4.979521992965183,5.193583934628688,4.276998836515515,5.460305557465048,3.854630369058229,8.957284086461321,4.306243799205454,4.620934051129881,5.342439541144052,4.819197478781714,4.679708449031237,4.739739099346988,5.90886942553089,6.910894704582606,4.37198469637527,5.788761047860831,4.112695072034486,5.223960231029533,4.082755358993593,4.54650235893361,3.625527000940863,5.177377583227819,4.3472514678733605,4.8241326191298,4.603400806349456,5.670668017941561,4.351336200994664,4.079508052576015,3.9946669133860397,5.159619215886717,4.26270699915729,4.301551725492131,5.676715598545879,3.4375198726878664,4.51267204358835
cell559_K562_,3.837285845929509,4.285205245371401,0.0,3.8063952367322873,5.3367095422404764,3.218378347383597,3.666853611651523,3.4564232993833564,2.5123831899621076,3.6302310352907137,4.40336931428438,5.221187330316243,5.266976306576059,4.070399414379486,3.305475704893605,2.714185718136463,2.7004373494175855,3.3660579234538672,3.3901895686645087,5.021965802294728,2.9867172461166605,4.17449389064561,2.792000571265642,3.226669640380452,3.9127455964239912,2.857883871958781,3.069430375413746,4.703162688097519,2.7933679309099864,2.7625525377645244,3.5209221598987233,3.021580258482474,2.8421474921972036,3.8067399912790134,3.3490950131682724,5.245214650980781,3.4214766656308524,3.1585661513918435,3.0966536836988476,3.4884129696529804
cell73_HeLa_,2.9213003266810267,4.862251169072712,3.8063952367322873,0.0,3.601624454054587,3.0212553005659593,4.291967234646338,3.298714330717183,4.067739115231555,3.4011517822130006,6.827572838476353,3.4574557235380725,3.4460700582271797,3.833353033445796,3.037342585059214,3.7755089336943097,3.6790837136219494,4.365783352388663,5.250571935459428,3.6546099295377816,4.187174842459778,2.7499242956961316,3.4365669067249387,2.8339450706650373,4.325642437050852,3.1175193467781046,4.2094706791939975,3.9087836758860526,3.2071709627720786,3.746460289490943,4.2849235174099105,3.4875500129762145,3.520337555255867,2.9270346353822543,4.123565023642603,3.218462721356458,3.4374139876880943,4.32843175361527,3.0494609055363937,3.5500954036555834
cell135_HeLa_,3.6694822676509924,4.346037396578449,5.3367095422404764,3.601624454054587,0.0,4.956150235362953,5.579821358033866,3.8384253157730894,6.3516895876842465,3.0715042960605734,10.521254541345957,2.7912376738476343,3.1122136239823375,4.916149774525683,4.043283286429379,5.4977159638965265,5.0928389233202855,6.712149519008037,8.355487073212341,3.326547364828011,6.604104188344454,3.174116594347126,5.361521989603304,3.44248648714933,5.000706236158108,3.1584243439237545,5.531276157132714,3.720259660790897,4.918705919859099,4.609054348964636,5.633439117631829,4.492283056606212,4.306689963593241,3.326784250793971,5.786999052018888,2.691041897399951,4.262698177898313,6.9128097425338915,2.8488598771535547,4.621405710985761
cell288_HeLa_,2.7569352749553433,4.979521992965183,3.218378347383597,3.0212553005659593,4.956150235362953,0.0,3.3764280194847713,3.036725109675178,2.995914460590839,3.802117484801216,5.316879969350389,4.4393951261798055,4.779401942316035,3.333761856093379,2.8596567779856756,3.2026958324754644,2.8918331866067932,3.625729989983143,3.951918785445016,4.085755136162199,3.1501676486747643,3.588746690881362,2.8785664751996536,3.0293113886258687,3.9602028746188798,3.472326920336882,3.347207870263554,4.567092521074988,3.0758698644150497,3.3081528755348826,3.404922774932395,3.1913612495686303,3.595006821036973,3.764911314059206,3.478737638576416,4.512802880619292,2.874925726985977,3.0283566388591474,3.6447985967124485,2.7566885781553165
cell611_GM12878_,3.456132469864632,5.193583934628688,3.666853611651523,4.291967234646338,5.579821358033866,3.3764280194847713,0.0,4.27952729984848,3.940202232839564,4.02286972268465,5.209880875624042,5.5452320738554555,4.991872875739962,4.131695071806028,3.273514642195282,3.1237945360168338,3.342764756240955,3.848631938574579,3.8206581763071124,4.818081457661878,3.5262244309608395,4.3497858799197235,3.3816793068646507,3.9268726384705905,3.750021071225789,4.005080005368949,3.5447050327514695,4.730897366828362,3.5142080799750723,3.100569432627693,3.931190570198935,3.397611466239434,3.6632917989359663,4.336669237422431,4.01080724506926,5.030233209049326,3.5690558492868627,3.888463972925047,3.660988003996974,3.8546355836512562
cell536_K562_,2.873131409755171,4.276998836515515,3.4564232993833564,3.298714330717183,3.8384253157730894,3.036725109675178,4.27952729984848,0.0,4.057832631503168,3.009824689663633,7.283318185397542,3.4326428795301327,4.1631115790030195,4.099329500080209,2.8871344750998746,3.6003848198147548,3.5204123429986645,4.145477736074877,5.330535555526468,3.0815384310661686,4.510179274375353,3.590045916019087,3.385676307133831,2.838033065529443,4.265967184360338,3.0898336413748693,4.134736709910003,3.7612368521332735,3.560908374369022,3.497961066764999,4.37614138693746,3.4493619204041703,3.543302836160657,3.1402940018437113,4.117022445781721,3.765412055747138,3.0352645804510128,4.529356961651981,2.7144056329835573,3.395262635174501
cell554_K562_,3.9753935347506477,5.460305557465048,2.5123831899621076,4.067739115231555,6.3516895876842465,2.995914460590839,3.940202232839564,4.057832631503168,0.0,4.522014224930185,3.8991189377290736,6.308225004588011,6.2897999373033375,4.533976535597036,3.6735023472016435,2.8764765800926426,2.981256183489203,3.3685598382413007,3.2871435933201747,5.8236688791077444,3.101631687369188,5.231800912930847,2.791305063707358,4.120655470312514,4.6028026743725015,3.9882027446002617,3.6162734769985994,5.535353150356657,3.653558291442299,3.2867130807971234,3.4924477635150515,3.6848171850177094,3.8892801135644017,4.649618749926987,3.411578980947083,6.370445386088856,3.541032818034126,2.6280389593468385,4.147800309608337,3.8122513594557548
cell548_K562_,2.6334190324991145,3.854630369058229,3.6302310352907137,3.4011517822130006,3.0715042960605734,3.802117484801216,4.02286972268465,3.009824689663633,4.522014224930185,0.0,8.458087546243126,2.5100583236609078,2.9034031592275724,3.8177185005542285,2.9469763989440247,4.093395233813009,3.695018073750471,5.1890908668916715,6.102069816576698,2.610310002424058,5.072191870641172,2.812132117628261,3.7844006460818678,2.434228458251641,3.6626153241752224,1.9151660203638872,4.083673368134349,3.0788113989337544,3.7678348488752,3.3489331077359337,4.177799081589033,3.5176827883457626,2.7383090110298323,2.847652427640818,4.151647256230257,2.557363519276124,3.3666876497316993,5.391725491717045,1.8881200592639922,3.198604424721502
