,cell547_K562_,cell126_HeLa_,cell144_HeLa_,cell287_HeLa_,cell253_HeLa_,cell456_HAP1_,cell539_GM12878_,cell150_HeLa_,cell580_GM12878_,cell30_HAP1_,cell504_GM12878_,cell124_HAP1_,cell559_K562_,cell572_K562_,cell102_HAP1_,cell44_HAP1_,cell315_HeLa_,cell557_GM12878_,cell585_K562_,cell76_HAP1_,cell613_K562_,cell601_GM12878_,cell578_GM12878_,cell610_K562_,cell224_HAP1_,cell617_GM12878_,cell568_K562_,cell379_HeLa_,cell56_HAP1_,cell457_HAP1_,cell551_GM12878_,cell519_K562_,cell164_HeLa_,cell450_HeLa_,cell514_K562_,cell595_GM12878_,cell502_GM12878_,cell355_HAP1_,cell500_K562_,cell219_HeLa_
cell547_K562_,0.0,3.0407530098731264,2.9440625442880792,3.08217661604664,3.4499107251003904,3.685530304427864,2.9209151325868086,3.6775652325998305,4.931905831995888,6.018608965249149,5.932301112640404,3.9982938211605017,2.697644970756353,3.0098864573615174,3.636959441322263,3.5885124243878312,3.400527505783421,3.2266875569086695,4.126131698762153,3.420574467176152,2.8722646893792767,3.4471803102161807,5.030228623592468,2.8127077232897744,4.078325597113887,4.47083513806488,3.5133463687824875,4.840938351864141,3.3414052679512105,3.441669979383605,2.792194512049641,2.8328029055743134,3.6580238438410873,3.4317486041206813,3.3203998459481108,2.9040416940673204,6.86703781833696,2.9479659708680437,4.078945692560056,3.5521527524825327
cell126_HeLa_,3.0407530098731264,0.0,2.330343917696508,1.5924962272326575,2.1799276421667937,3.7051675853368033,2.9832545162561237,2.2935998412787595,3.882020962249573,3.065301241677016,3.688115790476587,2.2590590071598626,2.594330076044641,2.907412721058539,3.7468911125895428,3.6765699283382762,2.1843112197142123,3.0107779177077054,2.2285597446768914,3.39606472954758,2.6615621736363844,4.055230340791064,2.841957838424162,3.387532307538871,2.889771662718581,3.334495783148607,2.1480997707247207,3.0842296930485005,2.7311271501482905,4.282330030111922,3.284756758701401,3.3097212098828517,1.7848831493309874,2.886081933706659,2.351756575891444,2.6635483035672607,4.341589950632282,2.7632532141596724,2.1806272902881743,1.7885836005368412
cell144_HeLa_,2.9440625442880792,2.330343917696508,0.0,2.4421368895603806,2.2106093251425065,4.0836290059937115,2.8185709368797953,3.090384963098881,4.859950527634199,4.999991245197912,5.202066897562473,3.222830534306668,2.634719981523392,2.640973033292277,3.820277659063326,3.206103512299878,2.276172302125932,2.661486901657378,3.3697018633634017,3.071095565503459,2.7436310627154423,3.599159143492864,4.599698303548914,2.7515474897330927,3.31540434113065,4.696689417541107,3.2782609040467925,3.9507898536529327,2.5190210920599023,3.51082253380578,2.583112957005883,2.843203591150803,2.4703421100803764,3.201028789287175,2.9187541075882186,2.3085237539876093,5.957610468277178,2.6362811813854723,3.4996419620300823,2.9301512587808998
cell287_HeLa_,3.08217661604664,1.5924962272326575,2.4421368895603806,0.0,2.1987036557848167,4.17331342008041,3.0413004030725306,2.58898358784169,3.759317561180163,2.7333681333319833,3.0938994574286154,2.1919188600806527,2.8917038568969615,3.3261893070994666,3.669250893076293,3.5009704940525834,2.071376842120693,3.077260076276991,2.152530913732771,3.2656489322536935,2.7601489976548317,4.558919404187948,2.709691412133977,3.6628265099666475,2.780072709167883,3.155256580542402,1.9229115901024056,2.667238279355304,2.4580606871946067,4.255892290158835,3.156553910007194,3.481486003072237,1.4806283464983037,3.036341524456197,2.153445226878902,2.730425711063471,3.9058307108874866,2.9211081496677216,1.9336369849804544,1.4216455381893944
cell253_HeLa_,3.4499107251003904,2.1799276421667937,2.2106093251425065,2.1987036557848167,0.0,4.129813147117286,2.9647475991362793,3.0350772699404174,4.938853448544299,4.157265355447632,4.515238937075788,2.962500593827994,3.0102023363864454,3.0650754887496072,4.116817823039845,3.459375334791731,2.4249804010338663,3.325156098519705,3.0085981601752603,3.4180674269917626,3.060402801098113,4.050353332086215,4.0679616764854085,3.3042027511703105,3.179404676703016,4.439099863024605,3.168951381623579,3.117872163407977,2.934279270410161,4.097930380428037,3.0570299447131326,3.451976126097255,2.3195875186624795,3.094530202682012,3.109239882608085,2.6495196393482594,5.241658689902273,2.89320461355711,3.233235958200167,2.774714551952089
cell456_HAP1_,3.685530304427864,3.7051675853368033,4.0836290059937115,4.17331342008041,4.129813147117286,0.0,3.602046816310655,4.51503711493509,4.650227524778237,5.633214816955612,5.465112854713771,4.512637495991184,3.7566116917573433,3.51144183413314,4.380132585651729,4.708787117718584,3.964361111985548,3.4224405310661545,4.404196221923531,4.618556707802683,3.646670878505913,4.691837927596802,5.386250147620723,3.959465932073746,4.208401499742032,4.8099954728642995,4.354373497935454,4.779177617459341,4.242421098707723,4.159843484098715,3.791701379572327,3.996477631413323,4.2278565849580465,3.9201732628960624,3.8645645714965804,3.672121685727128,6.671999563805352,3.947768704448694,4.624097181387961,4.367968715164435
cell539_GM12878_,2.9209151325868086,2.9832545162561237,2.8185709368797953,3.0413004030725306,2.9647475991362793,3.602046816310655,0.0,3.9195755711039295,5.169113986372208,5.784715935730912,5.693333282131119,3.735821347008793,2.853958546351395,2.595992705673815,3.587882680050848,3.3794119797626867,3.0792810840936067,2.562260022968404,4.053365064045234,3.0660482954107575,2.5348053520749696,2.9487868038797975,4.983983434833261,2.5605188584784275,3.8481094551317785,5.225961464957786,3.6427078290409085,4.410968950388509,2.7799118280816217,3.035040457743981,2.6945051744206445,2.764906838930947,3.251619630280589,3.3005738967399316,3.33970341707163,2.4467228525251308,6.507094040299327,2.6893719197372272,4.046814177807003,3.5805084887756298
cell150_HeLa_,3.6775652325998305,2.2935998412787595,3.090384963098881,2.58898358784169,3.0350772699404174,4.51503711493509,3.9195755711039295,0.0,4.841547814575936,4.033200736556768,4.325988438406672,3.50257648288785,3.6298720291012727,3.784688701671122,4.159674828570648,4.450359965999345,2.7870500090191275,3.78542344689454,3.0023209849866017,4.3452705812859875,3.4078791208576003,4.9034068920276646,4.050150338854966,4.198975310882352,3.5138298255729556,3.896164762641696,3.2414934668709185,3.810323900488652,3.5622063418981202,4.749756790627455,4.123154593576052,3.892690210586826,2.4791491631753884,3.4066657945235863,3.2757832236358064,3.32577665959261,5.016275660668516,3.7508229128593853,2.9653141720374028,2.5888071998857356
cell580_GM12878_,4.931905831995888,3.882020962249573,4.859950527634199,3.759317561180163,4.938853448544299,4.650227524778237,5.169113986372208,4.841547814575936,0.0,3.8384048432916273,4.712850556967362,4.0066165327266265,4.285205245371401,5.557208803562314,6.3571185869618265,5.916774497443438,4.537957524353744,4.679708449031237,3.6731625403673176,5.499363451669154,4.739739099346988,6.910894704582606,4.37198469637527,5.667375568065015,5.064500477427847,4.3472514678733605,3.7220419285511808,4.316959403001874,4.962455342090275,6.608121678369533,5.547003706746276,5.248650321375944,3.61370666440064,4.72152695015229,3.61244885535272,4.740123348835412,4.81029428737167,5.333741669594695,3.6323217237413505,3.8667867438800156
cell30_HAP1_,6.018608965249149,3.065301241677016,4.999991245197912,2.7333681333319833,4.157265355447632,5.633214816955612,5.784715935730912,4.033200736556768,3.8384048432916273,0.0,2.6303384487961186,3.013021805045236,5.365014416700282,6.240738423315259,6.725737765976778,6.415682971777407,3.963279550591494,5.375431293733079,2.5748594605503063,6.141618528214465,5.213259517375497,8.118378520446765,2.3368078080080092,7.044352091402221,3.8241227498802215,3.2780883711989794,3.0023640943353045,2.927013279967979,4.971325514491355,7.708884617947756,6.294155758872789,6.519728682167065,2.632667381814665,5.578569886328437,3.5089645862140557,4.891239833909072,2.860621342368744,5.732219981757015,2.1632197728519196,2.7529853977303578
cell504_GM12878_,5.932301112640404,3.688115790476587,5.202066897562473,3.0938994574286154,4.515238937075788,5.465112854713771,5.693333282131119,4.325988438406672,4.712850556967362,2.6303384487961186,0.0,3.4635396927552864,5.892275871580077,6.489249730123777,6.201621845412111,6.081061217575524,4.584541203192913,5.659401385636101,3.475156184746457,5.859685412116564,5.476989625256005,7.777491688253198,2.9165970049506678,7.0414221162169035,4.3335579818604035,3.894850988470173,3.9339194913405837,3.7816557491545337,4.987818439076666,7.6868157379935225,6.058972082757698,6.484153101480025,3.285146911336608,5.469872928505298,4.141413164618395,5.270535575742879,3.3801824714036677,6.024071556998701,3.0218298797181946,2.9290776479167064
