,cell512_K562_,cell583_GM12878_,cell393_HAP1_,cell173_HeLa_,cell137_HAP1_,cell370_HeLa_,cell38_HAP1_,cell577_GM12878_,cell517_GM12878_,cell524_GM12878_,cell611_GM12878_,cell545_K562_,cell266_HeLa_,cell616_K562_,cell599_K562_,cell553_GM12878_,cell566_K562_,cell585_K562_,cell98_HAP1_,cell509_K562_,cell488_HAP1_,cell610_K562_,cell151_HAP1_,cell365_HeLa_,cell617_GM12878_,cell47_HeLa_,cell592_K562_,cell560_K562_,cell324_HeLa_,cell562_GM12878_,cell249_HeLa_,cell484_HAP1_,cell571_GM12878_,cell15_HAP1_,cell77_HAP1_,cell398_HeLa_,cell262_HAP1_,cell595_GM12878_,cell267_HeLa_,cell112_HeLa_
cell512_K562_,0.0,4.0601839623659,4.419691204015792,3.068961137199353,3.266950671364195,2.7979746056289,2.53756567514078,4.128752611793515,3.492870379136821,3.8831520807807207,3.6289842899713123,2.916887020562365,2.310640763468739,2.6383187837964077,3.169002939886674,3.4067299050156166,2.4011888841182847,2.4027017534111157,3.80803752112008,2.6725213832595376,3.6293006595778685,3.3942995146282433,3.205739806961997,3.4320129077111723,3.7355656278294846,3.1787594368124044,2.8271084602223193,2.9739235268427118,2.6577081152507507,3.052153075516018,2.6121109747422375,5.099633782513948,2.9185754958161065,3.899460694409747,3.832363083365138,2.9983126064715027,3.4025505800001765,2.9089042476346467,2.922315999359866,2.103063867908655
cell583_GM12878_,4.0601839623659,0.0,5.564950085750262,4.2763694222013084,4.466959201065139,3.606821016706118,3.8279184904928516,4.524019486361892,4.2455366212575,3.6289178843344647,3.8524824378031974,4.490671977144784,3.463753886783545,3.6493912975601055,4.240676617816112,3.8206220717730868,4.553232466165445,4.59716411162762,4.1223619730695225,3.8249338638119,3.832217176571141,3.8252862780180124,3.5550127294231024,3.9665072943039363,5.543829430729845,4.350541228704072,4.637430626738846,5.340224824821567,3.9445481865808363,3.7927552396744955,4.676173190535003,5.092402962135073,3.888892090200346,4.563169114264166,3.694322974312918,4.872599220100377,4.4608450779558275,3.296491437725709,4.098173549306155,3.5327815372652562
cell393_HAP1_,4.419691204015792,5.564950085750262,0.0,5.166942562737553,5.873584346346856,5.27564198675198,4.556327304314628,5.84729692561889,5.4777592644066,5.448616193160667,5.005672356525969,5.628763028057809,4.355315874430952,5.347771015183875,5.454617992863544,5.8939058043253825,5.16586959738185,5.694619118968808,4.817616912435378,5.37822860641502,5.165717874029324,5.302214231807117,4.91905471774375,5.283772799983281,6.121335201050668,4.827665303875788,5.722649511236435,6.413059851349392,4.65019455780841,5.458036394632163,5.302637395203154,6.945226013554248,5.496220967193968,5.817035104061022,4.81080498593237,5.39271429335237,5.496774646298041,4.936989380947244,5.287654133569022,4.592390045547187
cell173_HeLa_,3.068961137199353,4.2763694222013084,5.166942562737553,0.0,4.596408582021091,3.4488189435283516,2.389961602219513,4.0327401919922305,3.560682706067635,4.5525622116352595,3.554976745985945,2.8157552328979545,2.8528279760187045,3.484246418364349,4.159398488040363,4.657654483039752,2.513313510880276,2.5279125451303974,4.125925189557169,3.642043830238997,4.416363765473575,4.724630218681977,3.133327592529395,4.225953298538345,3.863030176057507,2.9972138259553773,3.2357982490345583,3.121614625878969,3.253296481583301,4.012296888633574,2.645712092478922,5.03539178328087,3.6052896769646843,5.732661426854764,4.226958832088877,2.8340104287151435,3.649240904800724,3.5170339511645077,2.915281565526361,2.694530564407316
cell137_HAP1_,3.266950671364195,4.466959201065139,5.873584346346856,4.596408582021091,0.0,3.239025786833138,3.7042489479021974,5.102164760187472,4.318093158434544,3.5503613423274585,3.633154219409202,4.220289930250412,3.183145177928731,3.3790191328842942,3.218827596435341,3.322397639633399,4.135283365653274,4.025015118418187,4.199266369611836,3.859307816441855,4.222137732438661,3.5887580881643157,4.1834018474604076,3.663075035624056,5.49850824960127,4.156484204848169,3.903340955958811,5.0614037173063275,3.96636357019346,3.3320767394996778,4.40200205206795,6.433471275503195,3.2563118724104996,3.862408422625691,4.250200236482879,4.7662593290931765,4.497029858136624,3.2145339463095812,3.9225823375032336,2.879907374341727
cell370_HeLa_,2.7979746056289,3.606821016706118,5.27564198675198,3.4488189435283516,3.239025786833138,0.0,2.843301857130038,4.3996540630041965,3.6850781518958993,3.3366350428772265,3.380224633794291,3.268164415142036,2.6935059352257094,2.7770351117013266,3.007050772351467,3.294110023574572,2.9608553915532116,3.060310712814778,3.732510597944722,3.273722209595881,3.6695568222439627,3.291737883066313,3.0122769058404657,3.1897082993942565,4.302148865335852,3.3128601453792976,3.133593314946208,3.958748928488246,3.050165856052897,3.079946798407156,3.1507554386220296,5.089586146472213,2.5927481945515622,3.733575951925468,3.2716461727289614,3.594023805916466,3.654647990215489,2.5972592809076094,2.761749607660743,2.171073459186002
cell38_HAP1_,2.53756567514078,3.8279184904928516,4.556327304314628,2.389961602219513,3.7042489479021974,2.843301857130038,0.0,3.325259998934256,3.0618928577234032,4.210196341131263,3.460433807360773,2.1217519801758935,2.420902940150047,3.545833741626116,4.015003180614689,4.214329231981982,1.819938149450985,2.0535343492643254,3.375490712133436,3.264602404854638,3.898465014247167,4.269750964702265,2.5948906497988595,3.663185581095518,2.966004466670708,2.651274603207512,2.8544496004405167,2.277297141191302,2.5383447678261652,3.534745229553773,2.0531907631935993,4.436173638569972,2.511646048024325,4.8858185580077444,3.882450960845175,2.333418763322625,3.204230207669681,2.974325337098363,2.1760164683401384,1.7977585334980228
cell577_GM12878_,4.128752611793515,4.524019486361892,5.84729692561889,4.0327401919922305,5.102164760187472,4.3996540630041965,3.325259998934256,0.0,3.961163019070539,5.09606001645685,4.181476428197845,3.999855291480398,3.8682307080808003,4.408213780414545,5.344399769303571,5.253059417117559,3.746114431437178,3.8773703420324193,4.62386053192018,4.0943012656151225,5.350637248274429,5.441254486973666,3.7514215789449303,4.920909959264868,4.650677372227024,4.010943287630397,4.245121667738858,4.070951049997305,4.0596858637463935,4.75138597735783,3.640319663877097,5.630338428337609,3.844616667237831,6.559749184876686,4.673080074346418,4.162842933108276,4.835336298169675,4.025668390038681,3.9524485712889255,3.524154984262962
cell517_GM12878_,3.492870379136821,4.2455366212575,5.4777592644066,3.560682706067635,4.318093158434544,3.6850781518958993,3.0618928577234032,3.961163019070539,0.0,4.67490830418532,4.213870236645769,3.4936713049155257,3.182577713396383,4.207223151421504,4.5705772958748865,4.535443157303843,3.4773757937980436,3.1662097101817426,4.180813796186989,3.9335470002632187,4.6560528349684605,4.81370512491322,3.5798927101105638,4.279478374874743,3.6025216155442883,3.691057766214227,3.899273690756891,3.889410440892143,3.4791824266899622,4.053736537059779,2.9140658827655246,4.867683321676804,3.4152179120663733,5.5347044877863265,4.283984269582048,3.4712261261451767,3.673196484036441,3.609915250556194,3.8690128121116434,3.148724151529991
cell524_GM12878_,3.8831520807807207,3.6289178843344647,5.448616193160667,4.5525622116352595,3.5503613423274585,3.3366350428772265,4.210196341131263,5.09606001645685,4.67490830418532,0.0,3.3583465632514304,4.81727622615723,3.3367040432593784,3.1069262974354466,3.2369499329408917,3.3111393898501644,5.106577994752103,4.65794410948032,4.270880948096654,3.754869691594214,3.6215375055073276,2.556128581777724,3.633470167891714,3.1709432251848964,5.872671158071348,4.072268524666025,4.1533978951111195,6.2604930004313015,3.8742076284860594,3.3914489982223266,5.071933643456208,5.560501950993293,3.6847256667763073,3.3862322286160307,3.3847929968041885,5.222232979338656,4.207965356013496,2.973373197835234,4.362875068820791,3.170830920465923
