,cell547_K562_,cell583_GM12878_,cell144_HeLa_,cell614_K562_,cell189_HeLa_,cell478_HAP1_,cell79_HeLa_,cell212_HeLa_,cell317_HAP1_,cell209_HeLa_,cell572_K562_,cell58_HeLa_,cell536_K562_,cell569_GM12878_,cell299_HeLa_,cell557_GM12878_,cell143_HeLa_,cell602_K562_,cell588_K562_,cell578_GM12878_,cell199_HAP1_,cell430_HAP1_,cell508_GM12878_,cell597_K562_,cell617_GM12878_,cell286_HAP1_,cell154_HAP1_,cell615_K562_,cell546_GM12878_,cell609_K562_,cell562_GM12878_,cell519_K562_,cell571_GM12878_,cell33_HAP1_,cell581_GM12878_,cell281_HAP1_,cell341_HAP1_,cell498_HeLa_,cell170_HAP1_,cell9_HeLa_
cell547_K562_,0.0,3.7746735467910755,2.9440625442880792,3.7438933400233223,4.155151021417197,4.502196567496937,4.764328882980822,3.740702569026352,3.779470268385799,2.962756603953638,3.0098864573615174,3.6011221224584746,3.745728443139307,3.5878806823265252,3.619742538675648,3.2266875569086695,3.295441279627699,2.616279087922087,2.584990139534446,5.030228623592468,4.961905119284443,3.960640438537027,3.4787791549417757,3.5177967937199357,4.47083513806488,3.3392653970353177,3.1272922975760973,2.3630738434512946,3.9449932650650235,2.9490513855086364,3.2966372519531473,2.8328029055743134,3.5489178236517818,3.538309060480806,3.509693764210815,4.41548352461336,4.305988809116538,3.550081227984566,3.68632615530188,3.0176158972453333
cell583_GM12878_,3.7746735467910755,0.0,3.4412942139763247,4.304078604234197,4.47192629820624,5.007805426607947,5.274413204532185,4.142066301256098,4.790395270390659,3.5810621818501662,3.9043104197669405,3.9412691019896355,4.402200987151707,3.773063062929732,3.7624440316535015,3.289106503110413,3.8415874469552596,3.7081858172445124,3.783619343111476,5.134781451083259,5.538044371558172,5.047784761546938,4.1554409472195015,3.7568564585978157,5.543829430729845,3.9595013660230505,3.8290300847433754,3.7586802692500543,4.354204274466497,3.9089173886529553,3.7927552396744955,3.7901491832349508,3.888892090200346,4.11543359471962,3.7653579896813243,4.8475568486293685,4.4042253107082985,4.286211519949367,3.9073022141830145,3.8721759625194716
cell144_HeLa_,2.9440625442880792,3.4412942139763247,0.0,3.0907014592400284,3.395134088843845,3.76124405907331,4.153429968105662,2.8086689423499736,3.648324800148746,2.64230146205525,2.640973033292277,2.7560653412280134,3.733761675742473,3.467180942166862,2.8487281295931552,2.661486901657378,2.7296144778839295,2.9421493213175856,2.7125896462034382,4.599698303548914,4.17594466120613,4.038540357316703,3.2108408815857747,3.225672071123771,4.696689417541107,2.4587851099836984,2.4519570420227073,2.875319592186375,3.7374383570196215,2.6443443054168156,2.9514660048894634,2.843203591150803,2.949794605388462,3.0505070131480654,3.153728334359461,3.6070753238220306,3.7791190022516865,3.7210920245638013,2.998465006156117,2.2809785456363825
cell614_K562_,3.7438933400233223,4.304078604234197,3.0907014592400284,0.0,3.9578537151201276,5.151724853642897,4.2881726197646035,2.5435072800143232,3.2240339369351814,2.84890810927505,3.7735382579566203,2.8204820744209766,3.301768302816054,3.6853941994842607,3.805993195832425,3.3981190216067785,3.3139583730116433,3.8115741101067933,3.0451066270747607,3.5868121680721554,3.061737684101466,5.539132544079234,3.865662079477821,2.855975219683219,3.946826311848933,2.6712693391578455,4.063153546505981,2.953804250658007,3.6698163789959843,3.888664441982918,3.7230017221700424,3.8881833324588495,2.9800859062827287,2.9410240043159757,3.1733986735620814,3.167642875737652,4.362253956280107,4.827146100919743,3.820401653304191,3.1142281492165607
cell189_HeLa_,4.155151021417197,4.47192629820624,3.395134088843845,3.9578537151201276,0.0,5.054810324776136,3.821739869769151,3.1005639429155862,3.9107314695666875,3.257685220399938,4.076652224932114,3.2366718846337514,4.142397406180958,4.650015841265275,4.03424884389676,4.056252255788756,3.6826848879409306,4.391725138747113,3.9013497473201246,4.389339915672793,4.197339870039699,5.656636644926005,3.970492965020929,3.6779568844929447,4.584517643535848,3.1970207998598554,4.0810790588558294,3.7288400994825746,4.387001045626796,4.685902447903335,4.194004637383633,4.443736307527769,4.147748115440176,3.3358542905267337,3.7411641297071685,3.996672563556368,4.621070109761642,4.6959595517808665,4.707100112371792,3.3439578034858384
cell478_HAP1_,4.502196567496937,5.007805426607947,3.76124405907331,5.151724853642897,5.054810324776136,0.0,5.551336826151405,5.071316432635436,5.40766870117378,4.2136065725232275,3.8068306931388567,4.195834980918269,4.917694803548887,4.642589381854883,4.174956939858409,3.69062418807874,4.495186724239552,4.3391261513221435,3.9408636123777163,6.476876219627789,5.995714197276039,5.218898184956537,4.617677940043831,4.431979453538476,6.05114270766855,4.044742584863885,4.13118539615777,4.315775171440144,4.812869720401953,3.9888754025175945,3.547656257218085,4.119149141890743,4.767416830645088,4.523222356179225,4.296624032137698,5.0617321813431655,5.489939938467899,4.148277653860376,4.666101636988576,4.137253385306327
cell79_HeLa_,4.764328882980822,5.274413204532185,4.153429968105662,4.2881726197646035,3.821739869769151,5.551336826151405,0.0,3.3216747732560012,3.9316373051843034,3.539486961160642,5.0088312917330775,3.430106390575232,4.371480824535256,5.512626628274954,4.024100075122723,5.129688104216902,4.191601496415922,5.407277075702907,4.963390256371175,3.80057959607423,3.588937407672241,6.601377910604942,4.750345612702434,4.382100452293446,4.21984536502759,3.635024748165888,4.917276943572206,4.423966523652675,4.51593145043538,5.499068675750655,4.384473085940078,5.2366306120963095,4.620064305418596,3.6739505573081876,4.093808853466134,3.96790028637246,5.332148305411067,6.101079799210066,5.477713798821615,3.9864099741829246
cell212_HeLa_,3.740702569026352,4.142066301256098,2.8086689423499736,2.5435072800143232,3.1005639429155862,5.071316432635436,3.3216747732560012,0.0,2.172575272100783,2.0617970987699863,3.7003810042991665,1.9962186802428459,2.637893988494773,3.6295308986861254,2.797863868605665,3.7086589171814506,2.486669518044949,3.7231756313979356,2.943525546486141,2.4480344907933462,1.689488963867226,5.372455242227997,3.1415824745190317,2.874626749906578,2.8529795351070026,1.9005515912043143,4.034460787958704,2.5167971291657265,3.5784273182305255,4.1377019736194836,3.7032896119621928,4.067375419541094,2.624555342672073,2.03903522705567,2.588107256197329,2.393812938615759,3.4327156890834596,4.845647117497889,3.8509322722480874,2.188021499282463
cell317_HAP1_,3.779470268385799,4.790395270390659,3.648324800148746,3.2240339369351814,3.9107314695666875,5.40766870117378,3.9316373051843034,2.172575272100783,0.0,2.9861849732007095,4.038015048823844,2.7384630153500797,3.243301320382052,4.243013404352533,3.8209986833784786,4.072458935716558,3.373916748535574,3.9814821572490446,3.56471621039742,2.9388052905539377,2.077505209340238,5.659189905624553,3.4746581040978803,3.427623885616202,2.83519682602184,2.2258845416286026,4.354631563430137,2.979932198944005,4.200921739798778,4.68204915435841,3.9455143613169192,4.460389459342081,3.585538662245826,2.551231233840681,3.1518810521954244,3.499553067429879,4.235223550120105,5.128922504311885,4.411158090812109,2.9177948377450234
cell209_HeLa_,2.962756603953638,3.5810621818501662,2.64230146205525,2.84890810927505,3.257685220399938,4.2136065725232275,3.539486961160642,2.0617970987699863,2.9861849732007095,0.0,3.11368526330909,1.9058420003066852,2.960736233870154,3.424177366686002,2.8242196800708452,2.9608791259788036,2.7416783502396465,3.0910968816839777,2.6314965285821765,3.513597191130877,2.931695141584324,4.535436000157633,3.1289140407422957,2.9749302917177225,3.457862035541037,2.458913191324266,3.3204624491494172,2.616362945004761,3.226612862993897,3.3920680388344073,2.993907922827826,3.4323043577284373,2.7035464629095793,2.3162879231706537,2.854909191644056,2.615773001933279,3.3201888261457713,3.9228302257069805,3.3113007118492765,2.1819728603629973
