,cell547_K562_,cell382_HeLa_,cell577_GM12878_,cell453_HAP1_,cell475_HeLa_,cell575_K562_,cell524_GM12878_,cell611_GM12878_,cell266_HeLa_,cell553_GM12878_,cell254_HeLa_,cell566_K562_,cell23_HAP1_,cell601_GM12878_,cell522_K562_,cell151_HAP1_,cell202_HeLa_,cell552_K562_,cell565_K562_,cell213_HAP1_,cell474_HAP1_,cell508_GM12878_,cell543_K562_,cell513_K562_,cell329_HeLa_,cell603_GM12878_,cell542_GM12878_,cell402_HAP1_,cell560_K562_,cell319_HeLa_,cell581_GM12878_,cell516_GM12878_,cell200_HAP1_,cell414_HAP1_,cell161_HeLa_,cell276_HAP1_,cell537_K562_,cell284_HeLa_,cell72_HAP1_,cell219_HeLa_
cell547_K562_,0.0,2.858838074752831,4.823782766153089,3.9306968300477694,3.2670721259291096,4.129758241390861,3.128103800831798,3.937149999909173,2.692543986532276,3.329976331060206,3.3886801511980567,4.0704516133978785,4.96332694663685,3.4471803102161807,4.303093921123725,3.7104369104090047,3.217675783107695,3.9378724258630404,2.902045585741838,3.9107977241202287,4.318278092940522,3.4787791549417757,4.2875567229971745,4.315489820468207,2.9755324686659765,3.5904575963238687,4.247324684786092,3.3478172848706955,4.821570206599315,3.527542747513964,3.509693764210815,3.4885770690338394,3.38721610904357,2.782122679986575,4.548836248859877,3.0061578669213573,2.5154343325378323,4.240313685158538,3.6727107930110767,3.5521527524825327
cell382_HeLa_,2.858838074752831,0.0,4.2263224615934245,3.304427796912826,2.7072843963626156,3.494327686523661,2.6552908514420865,3.269681642283841,2.267241205195462,2.776768701607489,2.3788017209609245,3.1463466578469115,3.5701108425324666,3.1788334681144037,3.3010161582961848,3.032243917712441,2.533026858722481,3.250072449374908,2.6837788501768727,3.0937852362286167,3.9468382225929695,2.8735003498280514,3.4725483339057543,4.074785818536976,2.5567251736934913,2.923579359960004,3.956045785957091,2.750976712000748,4.325648011671927,2.427874361797845,3.0092842375667876,2.8714777910582288,2.924661540863916,2.38182039958249,3.870880459907897,2.4523176413892647,2.611295100852944,3.549515779859568,3.017125386398162,2.6342444212631184
cell577_GM12878_,4.823782766153089,4.2263224615934245,0.0,6.9871907934315285,4.463377984852143,3.6846304411031463,5.09606001645685,4.181476428197845,3.8682307080808003,5.253059417117559,4.243455802387846,3.746114431437178,3.6289298484277275,5.431237611205157,4.21663854545637,3.7514215789449303,3.9737728196255446,4.164881095189905,4.582868266427094,4.369848380607321,5.280146943556101,4.412818823074971,4.280650776471669,3.9934959148120868,4.947283337735601,4.847700359027661,4.133348629288836,4.663288628808775,4.070951049997305,3.526205624742007,3.9444290497879746,3.8209732313436784,5.53243355895504,5.100358578754603,4.72914961531823,4.92249946897147,5.3874456119145355,4.352297385368733,4.083869777865174,3.315580518660406
cell453_HAP1_,3.9306968300477694,3.304427796912826,6.9871907934315285,0.0,4.342630534821499,7.4067078215095705,3.2561243128603525,4.447163909287926,4.229048158687817,3.2723429373627004,4.391185352145737,6.6828196539363525,7.383605983623665,3.046637848340874,6.094921399814709,5.6753753359673205,4.735107649470576,6.450765006189387,3.101355407271355,6.096569190786239,5.584699547719465,4.838823512873667,7.286072343083962,8.200763341470667,3.5976438247244826,4.656734910385802,7.584374739141269,4.668428057826028,8.506079787987726,5.484344645642512,5.432221244923285,5.140656317310602,3.29483757892576,2.882916663029075,6.958777110423354,3.4579310359300903,2.6888109841314707,7.19031378814635,5.615968519794943,5.922341556540138
cell475_HeLa_,3.2670721259291096,2.7072843963626156,4.463377984852143,4.342630534821499,0.0,3.1547682233065175,3.7291828989886575,3.517807621666675,2.524126011057964,3.526900015223149,2.796343324706877,3.0704521045807427,3.4667824287595135,4.155056102110018,3.599490216684801,3.658494904799329,2.932834561108583,3.0403951282829356,3.231362920240812,2.9581215228325854,4.11885578151559,3.5206456530408623,3.129122142846347,3.785834361258641,2.882322592312595,3.5036947400017433,4.089935270798414,2.699893398100253,4.19743102038561,2.6352189986314984,3.1370950868165055,2.81040987459832,3.397387013200838,3.1731111984841904,3.9371462720194548,3.2799167469570207,2.986318855617365,3.316356713657771,2.97681531902244,2.7018656633264877
cell575_K562_,4.129758241390861,3.494327686523661,3.6846304411031463,7.4067078215095705,3.1547682233065175,0.0,5.223992645048768,4.207772014617689,2.712082078244862,4.910905148719968,3.3910507411475965,1.5604468066279205,2.0438465326104716,6.525196314491911,2.4526495001914617,3.294964762723735,2.8034401245452205,2.208492003420983,4.504408488433167,1.5862043500645209,5.172832032967657,3.4448801591301867,1.3248031581494308,1.1878790897818097,4.546109507437945,4.4251061492564405,2.5193579653935867,3.2887623843194107,1.6939523486877857,2.070645788848471,2.9976554083406244,2.9791421423860616,5.373319803454994,4.6429492731086075,3.7043733257426874,4.531899835117666,4.8458711102675895,1.3325013804404384,2.675390391926486,1.8343075155351611
cell524_GM12878_,3.128103800831798,2.6552908514420865,5.09606001645685,3.2561243128603525,3.7291828989886575,5.223992645048768,0.0,3.3583465632514304,3.3367040432593784,3.3111393898501644,3.457292201925456,5.106577994752103,5.3522139623800085,2.9386134822135763,4.576647741416134,3.633470167891714,3.701741814093137,4.830805060405494,2.7310549001525115,4.531086750463713,4.239033163516521,3.8287446089535493,5.393726311746137,5.783189639080117,3.1135523071693196,3.615939211596691,5.4217899085076695,3.9196012911112463,6.2604930004313015,3.920240492274098,4.21038012611309,4.039980765581025,3.1288210557355605,2.897064985396389,4.948301309123286,3.1934404599889867,2.692577114149512,5.235927605968061,3.9148842222474585,4.287933584285835
cell611_GM12878_,3.937149999909173,3.269681642283841,4.181476428197845,4.447163909287926,3.517807621666675,4.207772014617689,3.3583465632514304,0.0,3.152224686867684,3.631031492397257,3.21656451274195,3.964321238956931,4.048324760092211,3.8206581763071124,3.8094217716574708,3.0881479820156423,3.2799579453256973,3.998192257641546,3.0788365279833183,3.9268726384705905,4.720441888967958,3.7795554564353817,4.227738197110142,4.57054930791168,3.4008764281782913,3.931190570198935,4.204970328605313,3.9407110242602648,4.806381820151357,3.4873071595785463,3.605850469757843,3.5690558492868627,3.888463972925047,3.5331580602679815,4.250877494418164,3.5589294429861287,3.357171228774895,4.291135013621275,3.660923279900104,3.528005382013082
cell266_HeLa_,2.692543986532276,2.267241205195462,3.8682307080808003,4.229048158687817,2.524126011057964,2.712082078244862,3.3367040432593784,3.152224686867684,0.0,3.1424745179490863,2.335357840462125,2.7500359256152236,3.0142198787812244,3.9090114962761704,3.2896787966194667,3.0746000786416623,2.4863510631103205,2.8163553786620437,3.0088546484235774,2.5832617583515223,3.625615780790418,2.8016919002347613,2.9798722176193007,3.0506883263080065,2.6685672800812865,3.37735152053614,3.473212722754167,2.5702491249593837,3.588338185055153,2.1065766287907595,2.7360499887045826,2.853911980375446,3.2714751527856065,3.1385303860673335,3.526668221528115,2.7096538945390343,3.1168744811168567,2.955722845283956,2.8071493568380887,2.23271807913114
cell553_GM12878_,3.329976331060206,2.776768701607489,5.253059417117559,3.2723429373627004,3.526900015223149,4.910905148719968,3.3111393898501644,3.631031492397257,3.1424745179490863,0.0,3.3778916469773566,4.86665288290375,5.262450029571844,3.2654803210306245,4.378066469009937,3.964524059472886,3.4270773118737425,4.452873824443987,2.5711200806338828,4.377105403073969,4.629992728161816,3.988976360402867,4.839513221334982,5.316596556080885,3.096514413512252,3.6973025412144613,5.34824719017397,3.8230579167061185,5.4030261508909465,3.900356271396441,4.005138798286188,3.5881067749340474,3.273483428163017,3.212967234281267,5.2500516889046125,2.9155971229811044,3.0449962193643074,4.7768233996099525,3.8356838503954145,4.042996888909955
