,cell144_HeLa_,cell79_HeLa_,cell496_HAP1_,cell469_HAP1_,cell315_HeLa_,cell602_K562_,cell617_GM12878_,cell603_GM12878_,cell535_K562_,cell562_GM12878_,cell200_HAP1_,cell500_K562_
cell144_HeLa_,0.0,3.966219319994786,6.450608455393539,3.2177074298593267,1.7494938455249076,3.446233272940967,3.9658426892565934,3.989060986104945,3.421234283778147,3.833575200900928,4.533362174744401,2.334010979399974
cell79_HeLa_,3.966219319994786,0.0,5.5106226771779685,3.8982482566249224,3.0970070772834175,4.959835389894775,3.9369405157702273,4.512466724782362,4.19106883119897,4.103117709262794,4.336961897512649,3.080392266784143
cell496_HAP1_,6.450608455393539,5.5106226771779685,0.0,4.982762922813674,5.154476381954865,6.512676276797646,5.754482299063643,5.8890648055397605,5.884362551666571,5.876058406539414,7.0073355032996485,4.885667963163602
cell469_HAP1_,3.2177074298593267,3.8982482566249224,4.982762922813674,0.0,2.3969156282062096,3.3067513417189174,2.7198111427553124,3.51326408118521,2.6951861835012734,3.494877869184509,4.034319368853131,1.7321339257631938
cell315_HeLa_,1.7494938455249076,3.0970070772834175,5.154476381954865,2.3969156282062096,0.0,2.7415649561146167,3.061909344198104,3.3606837858628538,2.7997419722312964,3.173663742942759,3.1837084454147897,1.8076996575641466
cell602_K562_,3.446233272940967,4.959835389894775,6.512676276797646,3.3067513417189174,2.7415649561146167,0.0,3.2657109319773463,4.318392822045469,3.988352270242985,4.4378690431006635,4.590102346405835,2.7219564318032976
cell617_GM12878_,3.9658426892565934,3.9369405157702273,5.754482299063643,2.7198111427553124,3.061909344198104,3.2657109319773463,0.0,3.573285460124775,3.0342279134154255,4.390886911612143,4.96026746373875,2.0531686377438496
cell603_GM12878_,3.989060986104945,4.512466724782362,5.8890648055397605,3.51326408118521,3.3606837858628538,4.318392822045469,3.573285460124775,0.0,3.659988391728792,4.490094362504603,5.003279226609056,2.3032332106136586
cell535_K562_,3.421234283778147,4.19106883119897,5.884362551666571,2.6951861835012734,2.7997419722312964,3.988352270242985,3.0342279134154255,3.659988391728792,0.0,3.9377968751420336,4.230713819147652,1.9527118631037483
cell562_GM12878_,3.833575200900928,4.103117709262794,5.876058406539414,3.494877869184509,3.173663742942759,4.4378690431006635,4.390886911612143,4.490094362504603,3.9377968751420336,0.0,5.111719558721049,3.213311064100072
cell200_HAP1_,4.533362174744401,4.336961897512649,7.0073355032996485,4.034319368853131,3.1837084454147897,4.590102346405835,4.96026746373875,5.003279226609056,4.230713819147652,5.111719558721049,0.0,3.8904806605217344
cell500_K562_,2.334010979399974,3.080392266784143,4.885667963163602,1.7321339257631938,1.8076996575641466,2.7219564318032976,2.0531686377438496,2.3032332106136586,1.9527118631037483,3.213311064100072,3.8904806605217344,0.0
