,arc_pair_119264,arc_pair_131562,arc_pair_144158,arc_pair_149569,arc_pair_16513,arc_pair_22407,arc_pair_313438,arc_pair_337111,arc_pair_384979,arc_pair_450035,arc_pair_48468,arc_pair_542791,arc_pair_588558,arc_pair_624573,arc_pair_641885,arc_pair_703887,arc_pair_720681,arc_pair_89302
arc_pair_119264,0.0,1164.2936835247867,744.060974521437,234.1447144453091,1635.0893872130746,1950.9462966550902,792.6566547571084,1485.3194875775946,1096.491544385588,456.349965434865,821.1078426521792,433.6738265139412,1019.2074730158428,859.0371857852175,601.0233004382226,731.1830245626679,499.39137718939156,826.1129931495698
arc_pair_131562,1164.2936835247867,0.0,1445.6189502673465,941.2135891273672,3332.462178878839,3037.969828525215,324.92246514543086,2962.263679575046,836.9532094416843,612.1132820335928,186.55021754804486,1192.7386016413218,1786.2341351198545,1444.590682422912,1573.3081113876785,1284.7432533475842,411.8378387833115,564.1423402561575
arc_pair_144158,744.060974521437,1445.6189502673465,0.0,977.5077768091488,1237.7326541674524,1306.0049681145883,1363.066718798914,967.414645962154,1819.8259410807113,1086.0035169647488,1276.2891736190418,283.97474924225355,269.21450000748297,229.79842288706448,395.12563204170215,1018.6965068232827,960.9351142030005,1473.1252845113759
arc_pair_149569,234.1447144453091,941.2135891273672,977.5077768091488,0.0,2118.368079556176,2650.2204562827374,516.6564220648191,1829.0867030822099,853.3871760290458,248.29377530588144,720.1985786851424,515.9220086820226,1180.087597216768,937.5409586023254,828.6384887553396,478.8871643336715,440.477328094525,595.38748658278
arc_pair_16513,1635.0893872130746,3332.462178878839,1237.7326541674524,2118.368079556176,0.0,839.6100079445151,2858.332197375598,305.51492354718766,3271.4434036827815,2331.9796048718217,2901.868741091673,1187.6824199502942,971.3017115614039,1332.7320315620639,887.4539085456773,1970.251617524249,2470.113176909962,2922.8421998783833
arc_pair_22407,1950.9462966550902,3037.969828525215,1306.0049681145883,2650.2204562827374,839.6100079445151,0.0,3031.90931445132,1212.581592064546,3471.8870304936563,2604.812813183385,2624.2880082685188,1545.7116910704253,1282.2425668158412,1626.3056999766918,1236.7549853719484,2858.408592355058,2372.488004504233,3098.741590234312
arc_pair_313438,792.6566547571084,324.92246514543086,1363.066718798914,516.6564220648191,2858.332197375598,3031.90931445132,0.0,2554.8216153436165,372.2635444689575,264.8800471132734,204.29051730161999,917.3821304867056,1610.246467932423,1223.7224643270945,1289.7765705736106,841.3758273232107,345.3888026125597,147.2877374995799
arc_pair_337111,1485.3194875775946,2962.263679575046,967.414645962154,1829.0867030822099,305.51492354718766,1212.581592064546,2554.8216153436165,0.0,3148.475178290129,2040.6644943953536,2696.740450850261,881.5720791329841,636.6574714712331,993.7363470220957,723.99114772901,1460.6487145743386,2264.5710220784567,2727.6232985078605
arc_pair_384979,1096.491544385588,836.9532094416843,1819.8259410807113,853.3871760290458,3271.4434036827815,3471.8870304936563,372.2635444689575,3148.475178290129,0.0,618.2721981531688,595.1493316471667,1405.7798465855738,2093.6012012756814,1655.92416910309,1716.284353187068,1377.0265836332742,731.4099825425761,154.38655870968933
arc_pair_450035,456.349965434865,612.1132820335928,1086.0035169647488,248.29377530588144,2331.9796048718217,2604.812813183385,264.8800471132734,2040.6644943953536,618.2721981531688,0.0,453.65428106168395,625.5544026666987,1263.3568552751692,947.9424239200197,951.6872905402503,629.5694423072938,299.00965162783194,394.31498499945195
arc_pair_48468,821.1078426521792,186.55021754804486,1276.2891736190418,720.1985786851424,2901.868741091673,2624.2880082685188,204.29051730161999,2696.740450850261,595.1493316471667,453.65428106168395,0.0,1018.7111984884976,1640.8131268752359,1393.0494107198742,1389.6183867182478,1261.027471670848,194.9767920982074,325.70263734653037
arc_pair_542791,433.6738265139412,1192.7386016413218,283.97474924225355,515.9220086820226,1187.6824199502942,1545.7116910704253,917.3821304867056,881.5720791329841,1405.7798465855738,625.5544026666987,1018.7111984884976,0.0,366.40923787856434,307.7268288843856,262.3357383505085,433.4141135416023,733.6982298820809,1056.6501160075481
arc_pair_588558,1019.2074730158428,1786.2341351198545,269.21450000748297,1180.087597216768,971.3017115614039,1282.2425668158412,1610.246467932423,636.6574714712331,2093.6012012756814,1263.3568552751692,1640.8131268752359,366.40923787856434,0.0,312.7758738356709,422.46412472426937,994.5492752781385,1360.3167781718435,1730.739139939563
arc_pair_624573,859.0371857852175,1444.590682422912,229.79842288706448,937.5409586023254,1332.7320315620639,1626.3056999766918,1223.7224643270945,993.7363470220957,1655.92416910309,947.9424239200197,1393.0494107198742,307.7268288843856,312.7758738356709,0.0,384.15549685467204,848.0031256950996,1137.186705273501,1366.3250843278101
arc_pair_641885,601.0233004382226,1573.3081113876785,395.12563204170215,828.6384887553396,887.4539085456773,1236.7549853719484,1289.7765705736106,723.99114772901,1716.284353187068,951.6872905402503,1389.6183867182478,262.3357383505085,422.46412472426937,384.15549685467204,0.0,761.7975172933287,1101.5014037281526,1371.5404193104841
arc_pair_703887,731.1830245626679,1284.7432533475842,1018.6965068232827,478.8871643336715,1970.251617524249,2858.408592355058,841.3758273232107,1460.6487145743386,1377.0265836332742,629.5694423072938,1261.027471670848,433.4141135416023,994.5492752781385,848.0031256950996,761.7975172933287,0.0,1042.9597370938297,1039.4075801345257
arc_pair_720681,499.39137718939156,411.8378387833115,960.9351142030005,440.477328094525,2470.113176909962,2372.488004504233,345.3888026125597,2264.5710220784567,731.4099825425761,299.00965162783194,194.9767920982074,733.6982298820809,1360.3167781718435,1137.186705273501,1101.5014037281526,1042.9597370938297,0.0,467.145109383762
arc_pair_89302,826.1129931495698,564.1423402561575,1473.1252845113759,595.38748658278,2922.8421998783833,3098.741590234312,147.2877374995799,2727.6232985078605,154.38655870968933,394.31498499945195,325.70263734653037,1056.6501160075481,1730.739139939563,1366.3250843278101,1371.5404193104841,1039.4075801345257,467.145109383762,0.0
