,cell_name,total_mass,chr1_mass,cell_type
1,arc_pair_261242,26.831338000000002,7.4015249999999995,Monocytes
2,arc_pair_505368,107.08640700000001,33.922917,Monocytes
9,arc_pair_682404,34.365707,9.798661,T cells
14,arc_pair_481959,270.118064,74.89393799999999,Monocytes
17,arc_pair_238368,25.451871,8.611599,Monocytes
19,arc_pair_300126,106.916959,37.018264,NK cells
27,arc_pair_54236,28.286372,6.767842999999999,CD4+ T cells
31,arc_pair_456604,56.734403,15.888400999999998,Dendritic cells
50,arc_pair_574552,35.218740999999994,11.031107,NK cells
57,arc_pair_331769,27.709266,7.810232999999999,Monocytes
59,arc_pair_692900,23.667686,7.502937999999999,CD4+ T cells
60,arc_pair_594182,34.372014,11.131452000000001,Monocytes
79,arc_pair_293093,26.88119,8.843253,Monocytes
86,arc_pair_414420,32.358903,8.937924,T cells
113,arc_pair_669698,27.05315,7.539771,Monocytes
123,arc_pair_236788,75.899685,25.677488,Monocytes
129,arc_pair_48468,42.12415,13.543988,Neutrophils
142,arc_pair_669548,72.228335,22.082864999999998,Monocytes
144,arc_pair_197569,35.560739,8.602763,NK cells
148,arc_pair_618958,26.116385000000005,7.323624,NK cells
164,arc_pair_106107,40.047487,11.524821000000001,Dendritic cells
197,arc_pair_626918,33.404998,9.143673,Monocytes
209,arc_pair_181110,36.439565,11.094941,Monocytes
219,arc_pair_437751,29.374916,9.285709,Monocytes
223,arc_pair_568971,25.835836999999998,7.891634000000001,Monocytes
229,arc_pair_578971,37.511661000000004,11.416067,Monocytes
230,arc_pair_35733,34.254575,10.327472,Monocytes
243,arc_pair_23258,186.489041,51.775287000000006,B cells
259,arc_pair_328964,45.23903,11.444559000000002,CD4+ T cells
262,arc_pair_496658,48.878707000000006,15.455771,NK cells
274,arc_pair_14783,35.121414,13.203343999999998,CD8+ T cells
278,arc_pair_423856,39.09523900000001,9.452067,Monocytes
280,arc_pair_313622,46.604046000000004,13.820086,Monocytes
290,arc_pair_451143,54.943777000000004,16.165248,T cells
294,arc_pair_678119,50.899874,15.492209,Monocytes
295,arc_pair_563700,25.000453999999998,9.753115999999999,NK cells
307,arc_pair_492861,29.916012,8.547169,Monocytes
321,arc_pair_614453,71.482425,20.626217,Monocytes
353,arc_pair_103391,60.836417000000004,16.614621,B cells
359,arc_pair_487337,36.396614,9.57756,Monocytes
374,arc_pair_712935,64.145314,17.474547,Monocytes
377,arc_pair_724104,38.728383,11.409029,Monocytes
382,arc_pair_409843,40.066161,14.095635000000001,Monocytes
384,arc_pair_726656,32.859913,8.141981999999999,Monocytes
402,arc_pair_662739,127.936689,33.867252,T cells
418,arc_pair_341369,77.622339,24.717066,Monocytes
424,arc_pair_89225,50.105619,11.878253,NK cells
449,arc_pair_171407,161.252273,39.715147,CD4+ T cells
450,arc_pair_217450,23.683736000000003,8.818762,Dendritic cells
453,arc_pair_503678,23.750681999999998,4.905264999999999,CD8+ T cells
461,arc_pair_447717,26.687576999999997,8.810836,Monocytes
462,arc_pair_177707,41.378485999999995,14.474355,Monocytes
465,arc_pair_70987,46.903007,12.851521,Dendritic cells
468,arc_pair_681253,31.83632,9.121279000000001,Dendritic cells
476,arc_pair_436711,37.297062,11.007311999999999,Monocytes
482,arc_pair_14845,44.737802,11.071621,Monocytes
487,arc_pair_662152,24.287498,6.398064,Monocytes
512,arc_pair_361340,300.36106700000005,73.553158,T cells
516,arc_pair_50279,54.043409999999994,30.531952,Dendritic cells
517,arc_pair_33757,486.410525,149.181991,CD8+ T cells
525,arc_pair_476744,24.181286,5.391834,Monocytes
527,arc_pair_145894,34.511639,9.408927000000002,Monocytes
541,arc_pair_429240,24.876646,7.280460000000001,Monocytes
542,arc_pair_650957,24.681646,8.533735,Monocytes
546,arc_pair_105859,38.849592,13.283187999999999,Monocytes
547,arc_pair_647841,24.998824,6.784267,Monocytes
551,arc_pair_50015,419.351115,103.73284799999999,CD4+ T cells
553,arc_pair_570264,45.890386,13.085919,Monocytes
554,arc_pair_526404,27.378951,6.753043000000001,T cells
566,arc_pair_606458,204.680532,82.925353,T cells
568,arc_pair_367017,124.996792,35.896059,CD4+ T cells
571,arc_pair_351826,57.884364000000005,29.172331999999997,Monocytes
575,arc_pair_562062,23.643081,6.591018,B cells
581,arc_pair_562432,80.34725,28.685983999999998,NK cells
584,arc_pair_387097,29.078348,9.496017,CD4+ T cells
585,arc_pair_587937,24.511727,6.254194,Dendritic cells
590,arc_pair_346988,476.420914,147.541986,Dendritic cells
601,arc_pair_471469,44.660025,12.988252000000001,Monocytes
603,arc_pair_565748,279.079881,72.414034,CD4+ T cells
604,arc_pair_667720,48.830005,18.964023,NK cells
607,arc_pair_728003,29.893374,7.6619660000000005,Monocytes
622,arc_pair_48188,40.089931,11.627816999999999,NK cells
623,arc_pair_609650,37.601803000000004,10.92186,T cells
628,arc_pair_288779,63.114288,19.211955,Monocytes
632,arc_pair_569507,35.471187,11.14528,NK cells
639,arc_pair_242596,31.377943,10.826989000000001,Monocytes
640,arc_pair_88140,35.38636,8.822664000000001,T cells
643,arc_pair_432508,24.485429999999997,8.091842,NK cells
660,arc_pair_341308,56.316601999999996,14.447023000000002,T cells
673,arc_pair_135954,287.455809,95.05114999999999,NK cells
682,arc_pair_604131,38.552835,12.430259,Monocytes
685,arc_pair_664399,35.428785000000005,8.665269,Monocytes
689,arc_pair_437073,26.049515,7.410509,Monocytes
695,arc_pair_561822,31.181562,9.501738000000001,NK cells
727,arc_pair_130652,195.25276599999998,43.059921,Dendritic cells
737,arc_pair_317753,24.557453,7.76215,Monocytes
741,arc_pair_199486,43.925629,15.049905,Monocytes
744,arc_pair_92799,33.418722,7.655348,Monocytes
770,arc_pair_573219,56.111504,17.233311,Monocytes
779,arc_pair_22081,38.888715999999995,9.503070000000001,NK cells
780,arc_pair_132182,35.052486,10.500302,NK cells
781,arc_pair_700400,60.895563,19.936882,NK cells
785,arc_pair_431471,59.316695,17.884455000000003,Monocytes
786,arc_pair_646381,37.051653,10.431157,Monocytes
790,arc_pair_606966,65.483871,17.311847,CD4+ T cells
818,arc_pair_48736,246.721069,71.73118199999999,Monocytes
838,arc_pair_314153,285.90198599999997,60.970826,CD4+ T cells
853,arc_pair_425873,38.016979,10.265206000000001,NK cells
868,arc_pair_574088,40.57118,15.449842999999998,CD4+ T cells
871,arc_pair_89679,23.696413999999997,6.680832,Monocytes
874,arc_pair_323959,53.859415999999996,16.455879,Monocytes
888,arc_pair_598640,49.090272,13.056566,Monocytes
891,arc_pair_653341,27.431382000000003,10.755932000000001,Monocytes
899,arc_pair_35586,39.041513,10.513057,CD4+ T cells
900,arc_pair_338883,48.875847,19.035138,Monocytes
905,arc_pair_502032,22.556244,6.601014,Monocytes
926,arc_pair_149065,203.334757,63.252236999999994,CD4+ T cells
927,arc_pair_38475,40.430873000000005,13.745621,NK cells
960,arc_pair_270131,24.646658000000002,7.7520500000000006,CD8+ T cells
962,arc_pair_127816,38.055839,14.026336,CD4+ T cells
963,arc_pair_40828,32.676815,9.854105,Monocytes
987,arc_pair_586936,23.015807000000002,5.540121,T cells
999,arc_pair_52117,54.587272,15.384160000000001,Monocytes
1014,arc_pair_706310,222.20040700000004,60.377860999999996,Monocytes
1015,arc_pair_188351,25.86205,7.492451000000001,Monocytes
1031,arc_pair_473183,30.54251,8.011240999999998,Monocytes
1033,arc_pair_647641,90.621372,21.317037,NK cells
1042,arc_pair_669656,26.879429000000002,7.7356739999999995,Monocytes
1043,arc_pair_186436,36.624545,9.617296,Monocytes
1044,arc_pair_59921,172.864934,42.104184000000004,NK cells
1045,arc_pair_600325,90.251089,21.960228999999998,Monocytes
1048,arc_pair_657704,41.111552,11.999412,NK cells
1066,arc_pair_121582,28.938204,8.605401,Monocytes
1081,arc_pair_332830,26.067824,10.769029,CD8+ T cells
1095,arc_pair_187335,27.883746000000002,8.48959,Monocytes
1113,arc_pair_542791,27.882033999999997,10.278902,Progenitors
1114,arc_pair_400680,26.695595999999995,9.899993,T cells
1116,arc_pair_161365,31.839145,9.589542000000002,Monocytes
1119,arc_pair_682126,42.589907,10.909713,CD4+ T cells
1120,arc_pair_27955,38.830175000000004,13.018628999999999,NK cells
1123,arc_pair_636485,39.279767,10.508503999999999,Monocytes
1133,arc_pair_567430,359.003672,83.46538799999999,NK cells
1138,arc_pair_402982,52.877443,14.541649,Dendritic cells
1158,arc_pair_463438,47.781850000000006,12.435609000000001,Monocytes
1163,arc_pair_257982,48.292124,14.27733,Monocytes
1164,arc_pair_368859,23.340102,6.84898,Dendritic cells
1169,arc_pair_728983,44.015912,12.408795999999999,T cells
1178,arc_pair_28989,31.025737999999997,9.418158,NK cells
1179,arc_pair_134450,25.379517,10.300526,Monocytes
1190,arc_pair_528860,397.53162899999995,139.589828,CD4+ T cells
1206,arc_pair_546910,57.486538,14.804670999999999,Monocytes
