,cell_name,total_mass,chr1_mass,cell_line
146,cell369_HAP1_,35800.844235,7455.636433000001,HAP1
216,cell380_HAP1_,37543.853607000005,7825.5834620000005,HAP1
232,cell304_HAP1_,37807.177655,7554.206536,HAP1
235,cell179_HAP1_,36550.765919,7257.730183,HAP1
264,cell67_HeLa_,37598.094140999994,8056.046808000001,HeLa
313,cell199_HAP1_,35948.244235,7142.372004,HAP1
345,cell118_HAP1_,38626.60142900001,8354.989912000001,HAP1
439,cell39_HAP1_,39814.896727000014,8090.919962,HAP1
452,cell180_HAP1_,35289.42498699999,6923.4636439999995,HAP1
549,cell10_HeLa_,37612.117766999996,8303.994934,HeLa
560,cell502_GM12878_,36173.05308100001,7058.220326999999,GM12878
