,file_name,nonzero_values
0,arc_pair_707432,539
1,arc_pair_261242,742
2,arc_pair_505368,1460
3,arc_pair_735113,320
4,arc_pair_563444,465
5,arc_pair_673041,343
6,arc_pair_179627,627
7,arc_pair_314923,678
8,arc_pair_257720,376
9,arc_pair_682404,701
10,arc_pair_104747,459
11,arc_pair_592902,396
12,arc_pair_655466,335
13,arc_pair_46821,418
14,arc_pair_174150,581
15,arc_pair_481959,2054
16,arc_pair_528553,268
17,arc_pair_259381,310
18,arc_pair_238368,927
19,arc_pair_221519,278
20,arc_pair_300126,1347
21,arc_pair_432816,332
22,arc_pair_220021,528
23,arc_pair_725685,363
24,arc_pair_668031,645
25,arc_pair_420082,340
26,arc_pair_439759,334
27,arc_pair_629897,408
28,arc_pair_54236,668
29,arc_pair_293247,577
30,arc_pair_145174,348
31,arc_pair_275597,347
32,arc_pair_456604,1092
33,arc_pair_163046,288
34,arc_pair_461127,282
35,arc_pair_714072,431
36,arc_pair_20032,246
37,arc_pair_619037,435
38,arc_pair_599837,315
39,arc_pair_255967,367
40,arc_pair_619467,493
41,arc_pair_184168,559
42,arc_pair_583169,376
43,arc_pair_640408,405
44,arc_pair_358867,442
45,arc_pair_726046,330
46,arc_pair_200478,315
47,arc_pair_409300,333
48,arc_pair_115785,332
49,arc_pair_48700,649
50,arc_pair_501452,446
51,arc_pair_515041,303
52,arc_pair_634749,554
53,arc_pair_574552,770
54,arc_pair_94968,351
55,arc_pair_360418,381
56,arc_pair_244225,282
57,arc_pair_564801,471
58,arc_pair_726945,458
59,arc_pair_271491,355
60,arc_pair_331769,788
61,arc_pair_722681,265
62,arc_pair_692900,582
63,arc_pair_594182,707
64,arc_pair_555521,429
65,arc_pair_165653,273
66,arc_pair_361874,590
67,arc_pair_347045,248
68,arc_pair_198665,457
69,arc_pair_263228,606
70,arc_pair_287896,409
71,arc_pair_152936,386
72,arc_pair_414709,291
73,arc_pair_425957,333
74,arc_pair_521725,296
75,arc_pair_347100,572
76,arc_pair_295147,477
77,arc_pair_523348,274
78,arc_pair_470448,385
79,arc_pair_602440,400
80,arc_pair_692845,355
81,arc_pair_593702,439
82,arc_pair_188720,277
83,arc_pair_293093,798
84,arc_pair_593978,359
85,arc_pair_278258,378
86,arc_pair_461170,507
87,arc_pair_196944,415
88,arc_pair_595455,566
89,arc_pair_591,492
90,arc_pair_414420,792
91,arc_pair_683184,512
92,arc_pair_319079,573
93,arc_pair_662191,278
94,arc_pair_510701,316
95,arc_pair_6069,622
96,arc_pair_486818,314
97,arc_pair_543363,256
98,arc_pair_357229,513
99,arc_pair_309079,293
100,arc_pair_370859,714
101,arc_pair_285794,323
102,arc_pair_522220,578
103,arc_pair_125734,500
104,arc_pair_175983,299
105,arc_pair_212412,317
106,arc_pair_674550,592
107,arc_pair_427205,549
108,arc_pair_668089,700
109,arc_pair_152259,395
