,arc_pair_221519,arc_pair_161493,arc_pair_48468,arc_pair_684529,arc_pair_206257,arc_pair_249616,arc_pair_337111,arc_pair_290847,arc_pair_726656,arc_pair_447717,arc_pair_218228,arc_pair_307657,arc_pair_48188,arc_pair_147702,arc_pair_169201,arc_pair_694660,arc_pair_25587,arc_pair_542791,arc_pair_682126,arc_pair_402982,arc_pair_578116,arc_pair_307953,arc_pair_313438,arc_pair_203062,arc_pair_197122,arc_pair_27742,arc_pair_255622,arc_pair_139628,arc_pair_58054,arc_pair_557730,arc_pair_610128,arc_pair_283483,arc_pair_370771,arc_pair_522221,arc_pair_624573,arc_pair_144158,arc_pair_257950,arc_pair_115275,arc_pair_593564,arc_pair_708260,arc_pair_496804,arc_pair_247784,arc_pair_230744,arc_pair_364083,arc_pair_511862,arc_pair_649551,arc_pair_489657,arc_pair_270697,arc_pair_446116,arc_pair_148500,arc_pair_90669,arc_pair_656372,arc_pair_664080,arc_pair_257072,arc_pair_261455,arc_pair_547258,arc_pair_67750,arc_pair_720681,arc_pair_347280,arc_pair_588558,arc_pair_594469,arc_pair_649403,arc_pair_599471,arc_pair_718797,arc_pair_695283,arc_pair_516918,arc_pair_724174,arc_pair_260376,arc_pair_551617,arc_pair_358495,arc_pair_450035,arc_pair_64470,arc_pair_665109,arc_pair_726873,arc_pair_461800,arc_pair_156269,arc_pair_269928,arc_pair_242245,arc_pair_384979,arc_pair_51712,arc_pair_595373,arc_pair_295568,arc_pair_142660,arc_pair_495861,arc_pair_167650,arc_pair_82729,arc_pair_169398,arc_pair_435729,arc_pair_653762,arc_pair_644674,arc_pair_365022,arc_pair_716732,arc_pair_692544,arc_pair_134659,arc_pair_639703,arc_pair_632661,arc_pair_566053,arc_pair_129381,arc_pair_271027,arc_pair_493828,arc_pair_336359,arc_pair_621082,arc_pair_731860,arc_pair_323321,arc_pair_462000,arc_pair_43532,arc_pair_131562,arc_pair_119264,arc_pair_625567,arc_pair_16513,arc_pair_101269,arc_pair_176092,arc_pair_523521,arc_pair_551110,arc_pair_521750,arc_pair_166773,arc_pair_532740,arc_pair_700005,arc_pair_474346,arc_pair_460240,arc_pair_594335,arc_pair_24655,arc_pair_278581,arc_pair_75573,arc_pair_641885,arc_pair_292663,arc_pair_39421,arc_pair_703887,arc_pair_22407,arc_pair_717256,arc_pair_89302,arc_pair_714315,arc_pair_464015,arc_pair_674772,arc_pair_280409,arc_pair_388971,arc_pair_674359,arc_pair_172674,arc_pair_217721,arc_pair_649523,arc_pair_492710,arc_pair_297765,arc_pair_208250,arc_pair_713999,arc_pair_564013,arc_pair_672184,arc_pair_649903,arc_pair_729575,arc_pair_642267,arc_pair_149569,arc_pair_281486,arc_pair_27275,arc_pair_723396
arc_pair_221519,0.0,188.03555685250885,496.38922648088834,903.9752466467528,123.86502401415736,2536.296063452108,215.79541429368444,141.4255911720838,298.6235610402149,283.90464610706204,262.880800991705,189.68235722290677,697.8538809680967,215.40127390743982,114.77186124612658,303.59704064835097,518.4468782766781,214.6148528659155,425.7243000391558,368.7274992230639,582.1656199613207,301.91941405645775,407.26660256852114,889.2987612850994,577.0788779996843,166.48207600635652,380.3001049929728,594.7146270876904,156.8233106380032,127.78571177917757,476.83350365484176,250.882127044248,451.90560316419493,174.7673175721926,362.6102692113268,350.6654172789806,972.8082787847802,335.1652870717128,703.4215401933596,296.2886525455098,123.9837946525632,433.898770832442,692.4871689896802,1193.749431328836,397.1550862003511,164.98527701000268,270.5124303327127,117.63194144123275,401.17004659101093,164.90637043077683,158.44147880759166,126.24696244527263,127.97970112044814,171.14132667159515,405.7716433608182,320.54017359653614,543.7177244616431,686.7288631315461,552.4856232315993,137.1615610059592,299.7252260417272,977.1472131841056,533.6284377450031,235.1947083358123,342.68897253484556,674.3723305504177,258.6746956211616,184.71842502282837,116.08972814435252,568.363572507923,359.258053988505,629.6141378377481,1201.9133600140703,1529.4608718323318,618.6513960287812,836.5757732472739,365.8340751867856,438.46611720627425,615.0247839628183,104.88544081923767,284.22690699139594,206.29509590380954,126.61481474899999,107.29876287395345,343.4126007716322,225.88498728958817,111.93853349726531,83.0297863260071,320.26169876607315,369.77886453800255,205.6598032984669,245.46497936179475,742.9288710037042,564.8581744376597,693.8870425563746,341.83529365570183,171.52741809147338,697.5913192282927,187.01078152422275,97.5684243237141,417.80983257861095,403.4958670099524,310.28038669543514,2014.7642975760452,134.8931876050768,672.3849378533722,592.4531177918383,786.7835887908062,233.6884880809958,130.45454170417537,408.69580733165077,244.1273516622351,679.8909810406224,282.76674503805333,164.45855020552065,239.99643237941794,788.5928775932374,880.8011932034937,197.76141183674113,93.44465499427265,162.3220681998544,279.2481768302343,647.8007275942405,841.0133632192537,464.11397416474557,284.3217966230118,190.348621902895,692.5055514186978,418.8678843395085,529.8201330304148,517.0321616514748,431.2272446868134,459.5507549366276,392.1370880182745,562.1679675801731,457.2677660260895,322.8187568268331,268.090870236301,405.08943038467294,1050.83763252474,926.8500779884464,1273.1646664555335,931.4504455422216,566.8283500382577,240.19275179084366,272.8427575420328,500.5006946462437,219.28698305963542,917.073426213263,545.4120344771288,465.86079319999135,267.7962279202139,62.9219416973291
arc_pair_206257,123.86502401415744,71.80024365049287,363.1191450817408,721.765022013622,0.0,2025.0563210830783,139.5580636614813,52.49831822973576,213.81730091231594,191.80447690050335,135.19788536561387,129.96612245296384,529.238437218431,157.09023981491077,71.59435799606692,197.9447150663349,392.2618596483398,96.95677126136498,288.31291237225827,277.69387030641377,451.9173195475063,213.3671146631735,310.24262247660295,679.0527518553857,371.4572694301366,59.3845639002288,278.12017138777395,438.4312554803251,121.7799259701289,77.90876338451162,398.8927627215544,100.45605968317416,354.2465787097902,68.57483000995444,224.9995816126291,208.5112548083808,826.1849457887963,251.67434541521794,506.7047374757886,204.36536648544296,71.05820477782227,317.21073607867163,536.9904541601641,978.4120564246812,271.5196484264037,60.14914391011997,167.66314434036823,99.88738049024685,258.45338605535136,156.5148470434668,57.72969805945213,29.857366704987037,70.78882683567801,210.1108657932759,245.03442948971468,147.69249503402023,461.8844976562796,505.6918635355345,386.47579493903186,43.519791718157656,193.30194889204773,791.3729607053905,355.14011774367685,144.36651956920215,223.26258143562268,523.6083211535991,101.37810476955184,117.49789424763993,31.537516198089875,373.7393480440382,262.60047816352625,441.66179238866386,986.2794499886377,1207.3083277648539,453.85400882506366,721.8715094883386,225.42008451333183,387.4642906005775,460.355252831957,81.66673847292076,195.5984536418987,83.8006641912498,38.71124909431573,28.496115145455782,324.1238462739695,108.6145025056007,36.97855662078213,52.36427135140107,225.6228549716724,263.5885643181215,84.11436323747847,115.7463856240634,565.7306271070751,379.4838055441315,539.0368300421662,222.80512497609956,72.00828155004126,499.17388099689634,64.39120169483726,35.893279452957515,247.32246174534916,271.7455799707593,195.66632525881496,1610.436715085899,98.40093557082253,513.8410528061173,498.0388816046231,544.797166987609,64.77246791466465,52.03037939253793,267.85238744584206,140.7016379656763,461.67747168813446,160.5482927345903,39.89126361546905,136.7906031364955,599.0677518241675,645.0423601086992,99.56474643366361,40.85891184309718,66.97140815948404,231.31041416498834,476.15456306922925,666.2894310649461,318.1387356127491,240.38770617308847,100.14666968944807,580.1160215936269,258.5082020246496,414.293580370997,380.9904695911456,335.06482069508286,295.6189266741376,269.8518901107724,413.56279857136303,338.8668998172055,141.4392409806735,222.46432251671817,299.88181686224374,823.091852239245,723.6645053394454,1034.8561867508708,759.0242590076974,453.0840677674471,150.92191099018189,103.81756453672222,350.28047880970024,169.11414985585392,713.1484650227115,419.31931662494753,388.8895799963817,245.04127704871183,52.435385241699045
arc_pair_25587,518.4468782766853,481.4701670900308,868.7339955857515,1429.3202075239292,392.261859648342,2901.283605422036,174.35722242891995,379.7917846168075,660.4875284672631,638.6303600234138,304.69633442317456,585.0234696362974,1090.0986031776479,668.656288689073,343.8797594416459,591.5289153762722,0.0,496.39813225932255,740.7465487606236,791.7369749911633,1033.043413450561,720.389088240665,830.0780684114252,1248.1169579526613,126.12356065070169,279.98518871740015,65.10841077608795,1115.3799199226855,236.96859258525456,354.76885555476264,44.9235484768944,249.02083133244423,842.7989153652663,325.32811659464096,739.4382401126213,701.6024786753776,1614.213058824817,762.8993019715923,136.32890213887475,662.6813144402707,485.98370472637333,832.9950439688924,1100.0341472417983,445.53222329970487,817.0605580826302,424.93696322519673,195.45172290801466,519.185303935699,698.4440738317749,466.7552390322263,460.9878462499537,405.9072569592405,480.5407641448796,669.3767307096923,559.8894638899845,516.3711680283172,1079.974807627724,1035.3509352550302,919.6949047134096,419.26585608657047,633.5089437442032,1493.5298538041807,873.5357313814299,502.4760175374751,672.5558681389502,141.6297033468032,407.24496282352794,272.2841277927003,323.5434251940239,843.6569402516096,739.4791457321753,920.6107188514479,1674.7131823963168,1772.3303922132727,1015.1589512036556,1432.5822234852774,134.41161956720154,92.7040284282402,1004.9478711173335,338.15017404505403,647.1124121488407,391.79228539163137,356.3033359201451,378.20337990265597,196.7162665753904,435.26489915429255,347.1888406374969,369.64865248253733,687.8689740729528,737.1888649064956,440.643441352491,204.9244836581759,1150.641707376102,870.6269978280357,1210.2601031330191,710.0495366123581,460.24569876297255,969.5596845671745,402.6682560831855,409.81243996342755,213.17577862135965,742.1630960046848,676.178667515172,2412.264985911637,337.98425532404985,91.50199523844621,1120.5888748014506,1004.3621532437056,369.70668349144887,330.9187961944108,810.3330006147588,300.2149361935551,933.7761592067856,276.21672885378183,411.5366684931302,574.7247730774992,1276.8254805118331,1210.030758010228,235.24443850703204,407.10315661879383,261.07652990924,760.4061936309445,998.5710994088449,1248.6905183347078,800.9886382099509,724.713191605652,505.55563209550405,1304.330166349211,162.33562247658872,967.2585652390918,911.9828495909688,65.63655506109481,763.6729337303966,773.4568150243796,882.6719190125987,919.3060821486515,299.0559439337513,729.1927774415477,799.3875328557452,1399.5997752910957,1300.3939968565392,1700.780503350715,1316.3632148821162,1012.8444657297432,188.96837959269848,335.40506532150357,837.9841359102772,631.2547212041661,1294.373367455803,973.5062097221453,62.88563132232547,704.7855376958838,412.78597618655954
arc_pair_682126,425.72430003915997,266.19397728697965,61.146819382900695,243.62782098917393,288.31291237225844,1307.5525548184562,498.14249050198356,263.264766564103,90.03413577578628,156.57490277163802,385.0754227196592,189.3257007108059,125.48089243637321,269.0530826244572,408.00627158316365,112.56241034612327,740.7465487606241,125.88192354996407,0.0,40.248425422969824,75.53325292597033,82.25754265655692,16.891535970410654,245.64752976510255,640.2330096431126,331.06706122862005,634.209469073015,82.30940368305448,459.9104728666402,419.2175598285275,799.6771463264096,381.57644662190506,190.66532118289368,373.08298665384757,99.49009861218269,119.73701286732546,336.5346239810084,77.34068102108036,836.5826141109479,94.00432302681898,303.0122958552621,77.31430627353835,120.39211877175441,1341.4003479290675,76.56905278267045,231.66858822034163,520.489942475327,258.00966854887844,56.61133593707466,318.2151816550617,245.8458921743791,238.75464491522115,235.00488198925677,291.6807130342148,46.45029974195195,224.2588568737481,111.41227410775168,107.52119939348475,46.05427265060454,318.4670516482271,48.63913743075709,330.42732378667506,45.22783610677725,113.51505000257706,53.25617280098972,894.5812828291546,376.77752641429663,422.9531687258109,273.88140469508767,41.044053531099365,43.77422231237516,96.96280073461841,473.0330232037277,694.3436517196672,64.46335866266942,258.7145046140924,570.0807841874329,802.7623889470544,97.82854326817646,426.5265481578189,145.45456308454203,388.6371950440514,353.19817256701725,284.51431276005775,763.4882529894799,150.64682181364478,338.23946476329957,334.7288510142934,69.53153847773838,45.70954559412948,291.4923986460313,403.62508770700174,154.7939513877094,60.287170994806665,146.92669450943347,90.79874939667799,156.89808383423897,148.5796637615985,236.99196880512346,305.3499252656608,535.7536259427662,20.64653204280463,102.87089189622442,977.6232651179281,475.2809091468852,926.3104353702367,126.98449624535778,197.00163790936944,262.6454188824289,326.8083004284602,87.27045021371546,449.5835832946141,192.29653966316525,446.83078820507967,265.12367211330445,108.03657545493994,198.99924536406442,197.63393843448998,398.1943475719569,324.607723586474,387.63566235545875,110.46630894484113,97.75535190372806,228.83708633517645,66.60605867919264,112.39431085953068,145.34835320000232,165.39971617868792,516.5868913209821,55.83205314901962,41.948327761997966,672.9372115583855,32.77167372959199,32.849781870772446,105.5391625534219,67.81164964862742,356.1676857180979,130.56721104748183,44.12176295402087,353.89603983123794,277.44396804192314,505.7091559828806,324.5735449667178,95.08325155206059,481.321330514357,214.1904571868453,48.0521144159643,165.19020380098246,268.72321196432915,57.908161384897674,738.5833430296369,189.96669020967312,341.25404416404166
arc_pair_610128,476.833503654844,500.7366994916943,906.5375221552088,1520.5767096805603,398.89276272155666,3153.526043944774,168.86735393990378,398.0514016673985,682.7226655820357,650.164848810848,301.2149935670487,608.8745468619879,1158.34686716496,674.580311268449,337.42393346660083,645.8274463457631,44.92354847689433,528.6396214580367,799.6771463264118,828.5470580400123,1091.0321624574017,762.0620285827937,877.8685184478678,1359.4131133210483,142.40073665944698,279.5082360114873,69.67843224232521,1166.8875585105027,222.10118237388699,346.3245608281062,0.0,263.0373836759368,862.4133489712902,322.3053615924734,781.4288506625008,739.7906330997537,1715.0210986189843,802.1607101383477,166.41185273520668,707.1301965666399,493.75857724957973,883.1954159104839,1163.6655301603273,468.97615130201643,854.2515902027977,430.6831207578986,172.52376801269713,524.225096353226,743.2101850757192,473.8689057319998,488.945145552515,420.03867461401813,491.86210408607184,682.4215233973288,613.9851091383675,539.3760035289398,1135.0040574890984,1099.7002097784282,975.5853847011675,413.12694072017945,682.9436856834056,1607.3066369699266,947.6332515250322,520.2922134554227,726.1250858258655,161.21375033847525,407.07185972069703,250.1360445260386,337.55474794559996,911.673751175015,790.6990686655545,993.1188850989266,1825.0880110422706,1965.518452034556,1078.7769156835766,1508.800174847563,129.40005874641253,73.21041979039259,1076.9531994061979,326.02794912641406,666.2582398053552,375.2958884522325,368.72401046092665,386.9815354468607,152.27300974198278,461.90948549964327,347.2982997753974,345.371346447221,737.0231120123356,787.5309019047914,442.88469786870684,212.24651773032429,1214.183958432722,929.3172291389078,1278.9034515313467,756.2250129317387,485.9282159261884,1066.0884953308898,433.6645640231328,417.5174107549744,215.23827833816964,792.1091030774934,708.8154408408378,2653.244224825875,305.0053232895828,111.9527234179096,1150.898600902455,1118.9855605226137,391.53144698764044,344.3028386126085,844.6683492429157,266.4140235439023,1020.9302004450441,261.53313193367075,422.7775333452312,607.100568695067,1358.1024940045704,1285.7027545579533,242.9909929760255,416.71119902506285,266.7849639862523,785.7774757110652,1079.6924507387168,1319.6300427311282,870.065969152894,770.853135480686,526.1201434591644,1374.7060119948233,169.7950721071447,1010.5465252488233,969.3155828781656,75.34562217825128,817.4552349721207,820.8082690770458,954.2005451014027,974.0232072455219,308.6356756455278,770.5096970219892,834.4164166048595,1513.8878437748715,1433.4130510213952,1860.8630655408174,1426.965239158662,1086.007350488791,178.01929643860817,366.3615181214581,885.3590729145546,672.8953404147442,1415.1077157691516,1035.407352427034,65.56172249686828,740.3900322490075,393.28279721531516
arc_pair_593564,703.4215401933752,557.3819338587244,859.2999537933397,1484.5697096200201,506.70473747579354,2851.388906721076,331.7911591187494,508.92034386783723,705.8776658351163,649.5858530129963,350.1678901474928,740.7266093072388,1092.3988847796256,748.5841648749158,517.8725282917816,755.0384756907569,136.32890213887458,571.2900970505374,836.5826141109454,851.9272855561499,1077.4142328305209,874.56232937275,916.8249089200989,1234.9989812489532,99.02039742056888,362.5155517269192,210.58304621655387,1156.7537956928734,405.05466651400616,488.02335715947817,166.41185273520634,313.4139415834551,843.3304311321646,409.85863615412075,845.2204107761117,734.7487711950872,1707.5082445717467,856.1261243878934,0.0,789.1829504056517,582.463284279442,964.1885678106823,1140.3535604705405,257.37636056494716,899.857850932944,470.7665167111407,257.987971452645,683.7406598299401,729.9727874856496,612.2997030659318,614.6092727216022,514.453730872001,587.6841348751474,869.7904026216925,636.9610209533624,502.3112338202247,1259.031974402605,1032.0385199762404,941.4391319185709,484.1044995571054,743.5867796369545,1583.0829234260318,963.5793694076494,546.8498156614942,776.3713238104446,73.95870850075814,434.2941314915035,352.60669114459915,474.53838496934145,896.8977366263682,841.3517490905191,994.9138530496026,1673.650754530705,1753.064920160405,1048.288965577021,1512.4869033205227,180.74290364352652,229.56631125060477,1069.4730531129615,499.5216625649196,684.8483590957717,433.8197393746735,526.3729171386686,519.4015823789916,318.06359772392375,493.1626903412115,484.2706482920426,462.9948913365436,824.0139613428789,829.8000886511975,480.3403825563296,277.6291593320426,1163.566745501887,886.2472385143053,1251.9507435634266,755.3816538758448,552.720092581032,1014.8201233047874,525.9591344561313,569.626991155821,203.1800030646393,798.4705539025429,710.7448375127501,2421.9294984656062,468.7449374875186,68.42234937918317,1120.088892704283,1056.6524470720458,409.54953350128574,497.0918024217343,877.5292676528148,310.92514312676457,915.7494113959441,275.8844844310393,490.51109741979155,648.9253152101213,1276.271766896936,1158.3447617930783,353.5758187392569,586.866533275887,382.89704231225323,867.8919372578589,1044.2498338692478,1205.991641394115,881.3121366638981,897.9413213329271,587.0913429381286,1407.221210478233,118.11617646407824,979.4390083748447,970.7375694675857,120.27965539171942,793.2046793942286,830.1534907505135,965.1965598952709,1081.520269156632,294.3703429986435,910.9825315334714,840.2570333195014,1352.1718077688781,1337.6235856584594,1699.2243466888453,1311.8614402591054,1139.009969379827,304.3702454817925,366.0461684856206,870.723743844736,805.741884988486,1317.1157312645703,1089.1652844504424,115.71749724695272,875.3840149032643,564.9063800458235
arc_pair_511862,397.1550862003508,248.80734052897094,87.66825502874845,326.29685074018505,271.5196484264021,1413.3006036344614,522.5072546610144,264.8271696496634,54.25625509891674,114.09831761069074,388.2412770583966,150.9700943165408,209.9919251019843,197.0323668598899,412.09033046097534,115.41002823074685,817.0605580826286,109.02662627359118,76.56905278267027,42.62086381993644,138.18840131523203,44.302895801357856,67.33046010182689,314.6624435115261,679.481938412624,332.7782443595159,683.5082247078514,121.23088582449839,477.1442292810425,421.78133047705234,854.2515902028113,404.0340177063358,126.52539171840438,372.54442583386543,35.12446182954049,56.22466813795411,408.1677746130237,39.571394501041404,899.8578509329443,68.49347022185701,290.2984986196264,142.04445785633928,220.6267285345871,1448.550320428864,0.0,220.7263604664981,528.4835163827198,240.571419813485,48.73860568328173,313.44870723099933,218.17500544049497,228.9893225532896,226.18015328217336,256.87785083974114,127.88159832086602,196.4543837653376,194.46251318888847,191.59998336442544,106.86364451988446,301.6799660383703,42.35705183895256,428.51266340628183,114.6006652222971,98.85658079704135,41.84042368950296,939.8724540880722,343.281196447429,420.6897284990269,281.11006622521745,124.30927352351058,47.97093439774579,184.48206218072397,580.2213353849344,835.441100425442,119.07189456725472,333.7659027395121,584.6419567750838,843.4604254587338,182.44243062879113,433.85549243021734,100.12073000524748,366.0477530449153,354.20474183642955,279.83913370776605,785.8343131740712,134.4973787618419,337.1380187863736,322.8575684157338,62.38350563954222,71.90743598940183,263.0122493886705,428.00966600335556,227.41417148670104,111.24168611366048,206.02474772055143,71.25723430072328,141.87744979360872,250.37441236803562,237.72638754905526,299.6789739917592,561.4193384655049,52.179958779198884,55.10160360408828,1091.0386658598916,449.39259127752604,982.4072658963715,171.98543350185008,309.41478506855924,250.96720366789683,345.46811373881934,28.2742561722719,435.14175079137766,259.3099375399035,442.2438299573816,238.20846663892289,73.98847454709882,252.7995852752239,285.02488020524265,423.3462260608805,322.42891302456064,398.58718062370593,72.47852974312913,197.10111248799547,319.83179780464167,109.01181407207548,95.7926677310781,121.67804403448812,242.4250330992817,542.0612017812416,116.90220478147651,112.81191153272177,732.0621423854213,61.56969245960897,35.12461678827503,203.65081740712245,85.79763178841135,354.5385588912682,89.00074080503092,59.721217669284925,455.05371084461626,386.0816576487968,627.2041573520277,425.54632467208063,173.20234995486445,501.63618940123416,213.07210190751914,66.39175669473613,139.15216660582988,370.70816429015025,125.99631909442849,792.7546448816883,158.44436168100543,324.3439095945058
arc_pair_90669,158.4414788075918,104.95282351907802,325.1869200126563,673.6655911190749,57.72969805945169,1945.1480939633075,196.01899058345438,46.58925061324839,185.44071080174427,168.6938184026961,195.01359963361713,95.49535213059164,497.2440209333411,126.86672622044442,133.2233799086,165.38509728317484,460.98784624995227,76.86396550145295,245.8458921743784,237.85054233067166,406.3076443080569,169.82081008234374,266.0019501014249,641.3923191157381,451.39306160492464,102.67296421456324,348.0702926578361,384.71395837323223,176.16971811346735,145.7029073383652,488.9451455525159,162.08709493241395,304.0858992254604,142.21290312376826,178.02233029448206,170.30817165790253,766.2308147651777,217.48348824583607,614.6092727215927,174.64908951716254,125.38444196430889,278.93052997286367,490.40674173153957,1098.822847301517,218.1750054404952,94.562655747034,244.25611319793313,87.73090882199918,230.58085494844633,150.37668970163585,0.0,42.51543758792192,60.446504192961356,182.45711627905695,219.80177168640344,136.39930266537098,405.9743083283269,463.39436945700487,346.0846882766165,108.78147523970222,153.44725907840092,752.2742903648822,316.8247616660934,135.55167578925952,188.44839779534928,597.6205831663807,150.60499704255025,180.11372204521874,62.62480653760012,327.15252509599554,227.38751436811538,391.2476195577095,942.3736206561234,1172.4471905950465,404.6579644328201,666.0105667553931,295.5140310922823,464.4048073960634,428.15286286965943,148.54585654580924,173.483311919733,137.166052294794,92.79685727991814,65.7496245310929,410.01657119003943,93.66116042491944,97.7604789624025,108.23076831462286,184.14390210784495,226.58046914452072,125.12029903790952,182.08005675462553,526.2802625416927,322.52903138471225,492.57272398057916,192.79354996793876,53.53869693772334,480.3211296590289,75.42519415303978,72.61223223297118,316.8338755907538,239.90585448728086,162.44785644180703,1550.552941281856,154.85037480181754,600.6293552659768,444.8853835082815,509.5889646333393,105.16112956865842,99.68909196766198,212.71524430550346,211.4456597065065,447.8956206647255,227.6833917831368,53.28814327240536,102.11655508449921,548.944384024868,599.718774498558,161.4608988436339,79.24664251482145,137.14758607661085,201.66920807319133,441.30155241396005,623.185875803413,280.7794787602173,213.28316371478667,77.80052826336305,531.0504606669951,334.46579122691134,368.21965569890887,342.7687033611788,411.62522075958094,256.24135842424687,229.27304255562996,389.777630401193,272.7130853728144,189.5241031872205,179.25168025699247,265.30017929154917,793.4138052750453,682.7499927000684,989.8392196165987,733.6153736056118,402.36779643515763,222.149513474344,98.63051041044267,306.7768962654143,140.84074838046357,677.3841855850968,371.7379913969716,485.2773103159838,208.7924912593553,84.89583672474113
arc_pair_257072,171.14132667159504,282.60410996647016,399.42092256296075,716.9516523593863,210.1108657932748,2216.7036213483357,352.8103799270233,173.78552749094183,235.575753189233,254.0864417066583,444.20168668606254,66.02279180563637,566.7027871082915,260.6052624728337,208.3969994169993,143.48966323018274,669.3767307096992,162.8254808023523,291.6807130342125,272.16942762764984,448.6905060014101,166.14413612421112,292.86311314818147,734.3833307720286,743.339465913986,312.4624239625122,526.9399739750294,450.96211845846716,288.87319308708857,238.75908069935542,682.4215233973265,377.5788772694428,388.4238250239449,299.94679582198694,227.26323408249857,236.56081897344413,814.4153071174463,217.09074164482195,869.7904026216896,142.3862460757919,227.04019539285915,257.81968715600027,513.7433773377751,1365.9310402858864,256.8778508397419,269.55297662858516,439.5580785889214,68.94806997784042,300.1562867894745,81.48688077900913,182.45711627905644,189.9024564621304,151.4393236310532,0.0,315.72029494019415,334.3948323735871,356.94898325133096,526.8293937580842,406.251262302874,240.7090439803088,176.76804251163432,792.6745084732462,369.8368772813961,221.5552300155919,216.92632551113937,887.5702976467526,425.33383497489393,366.07129839334885,181.85272453750466,424.67754310757977,228.58376046750038,415.57885314376216,1025.7304247383618,1289.6600175614346,469.3140460977569,706.8991777916102,559.7555384198618,604.0034887713066,452.9146043980033,216.42860427131114,228.57294021362537,380.2265867719653,194.6451535778232,158.3869605759867,511.67557042396027,198.84240029902597,222.16929562664822,226.6805873147513,165.1172211148771,218.72576319355204,301.66550649827184,378.72901336095276,596.6066693439667,413.2152959302873,540.8165674226603,285.08616540031636,160.03448111537256,565.9287894019002,241.36774204825278,145.96468152609043,600.4756255547162,289.4747700092138,226.72928637400713,1671.6524641757574,316.547957214442,858.9724520222832,518.6130549993991,607.6351423473751,325.5509595500379,180.24678687591222,314.0350325401406,423.9857473098215,589.0855873311867,484.13474670308415,223.92739928986006,188.41862579312453,655.9581695785442,732.6766485744087,321.3954052547858,145.17124132602197,276.016876788979,198.08463105157233,504.1445946423785,725.9903958358465,347.59190158335764,163.67853787440825,159.9892875284533,517.3998701029341,592.1397062516382,419.5436822406912,383.0440467445855,599.7518391366026,329.48833715460097,273.488028925157,401.75611695714286,266.4404823558872,471.29327613592756,117.84984785876223,310.7274277510509,911.8816883295735,754.8701669202063,1077.6426176626985,821.5609323680346,392.37471425291545,392.9085669101304,271.6761919597842,346.4651706037728,75.54796559243992,758.2171800480947,367.0723506845397,655.2950846856443,73.63406748180992,154.69052859616806
arc_pair_649403,977.1472131841113,686.8629363278669,391.15343772384057,70.59818717183643,791.3729607053775,734.7125611136157,1147.4724827031223,815.9471961100664,501.63915125414195,597.2142478232928,909.0288826138923,661.6410761679726,179.6144292867183,690.4373153853727,971.7118582496375,549.665079298871,1493.5298538041748,555.2559255295324,330.4273237866761,380.3469090829458,195.91366351557247,443.64115030559435,307.45163259908924,94.11681589354096,1244.7760431216693,908.7315053400015,1328.8817216137847,238.1784382337048,1097.780079299391,1003.6368965759895,1607.3066369699316,920.3875450217049,593.7011246467472,911.6224869202067,463.13502870720987,514.1028700789408,57.91092440477023,431.14902966175157,1583.0829234260239,495.3430636984799,758.2294129365739,354.9500026323311,212.1269662732235,2219.1214601322445,428.5126634062827,711.126666007923,1184.2754353055836,764.2859762950104,411.6608305119366,901.0944102406278,752.2742903648781,745.7711394308292,742.3822487460559,792.674508473244,436.62818724502756,658.0419891250453,291.26872563589023,232.96570248629502,284.22913798372764,839.1438891216293,440.1892873371042,0.0,217.33896041941136,581.0087507252333,412.86375034257503,1688.6925306498833,848.5297192664764,1024.3940118475418,815.0970735329141,278.3824765417105,384.38050653330373,296.87833080327437,191.96480674583668,369.9801584901954,241.55000525912996,103.0075272942853,1229.8997952941413,1582.5408615769989,167.83871953702698,1009.2665921294383,552.6197229109233,966.3524233168735,885.2642500818881,799.9956196916611,1521.796163839085,623.3696289048814,868.6758850623398,915.7589612467469,467.1852362296226,419.7056212730381,799.3933001446013,966.3893168119764,174.60737172336022,381.24019461659066,140.11619593798028,383.26519226130534,624.7299784640728,117.88288808687173,679.020694402655,832.4734527219438,1135.7565377745868,337.3836316664958,508.8253543265591,509.38774901920067,1068.2887228968882,1716.5727408571727,343.6856395660909,130.81636689658333,732.4177443191647,869.4366654716551,456.65804514038615,1053.4922624158025,149.7817895863351,1027.3578378614488,760.3441574796532,523.5244363473038,106.44693998278564,208.9833082815698,956.1867081887134,839.1762589366704,966.3483950662569,498.19289565939505,144.33766846340447,189.07812579278348,262.1403659248919,473.91544506745896,600.5294291107289,138.22506203193782,1134.7864738711085,311.93791764071824,227.26568709058597,1419.892436493587,365.20760322717183,376.07131808407433,206.579948083778,368.9273695479129,863.4619100326063,507.8083930936104,388.34176678653256,128.81393480280633,93.03081670157827,207.04229132133682,139.9151825394205,188.35859058887976,1102.992480484104,746.5492190023895,383.9877764808306,575.9544489886446,67.76258943303723,259.44790186305687,1465.5715234484762,630.7588401426007,911.2381440973166
