,arc_pair_221519,arc_pair_161493,arc_pair_48468,arc_pair_684529,arc_pair_206257,arc_pair_249616,arc_pair_337111,arc_pair_290847,arc_pair_726656,arc_pair_447717,arc_pair_218228,arc_pair_307657,arc_pair_48188,arc_pair_147702,arc_pair_169201,arc_pair_694660,arc_pair_25587,arc_pair_542791,arc_pair_682126,arc_pair_402982,arc_pair_578116,arc_pair_307953,arc_pair_313438,arc_pair_203062,arc_pair_197122,arc_pair_27742,arc_pair_255622,arc_pair_139628,arc_pair_58054,arc_pair_557730,arc_pair_610128,arc_pair_283483,arc_pair_370771,arc_pair_522221,arc_pair_624573,arc_pair_144158,arc_pair_257950,arc_pair_115275,arc_pair_593564,arc_pair_708260,arc_pair_496804,arc_pair_247784,arc_pair_230744,arc_pair_364083,arc_pair_511862,arc_pair_649551,arc_pair_489657,arc_pair_270697,arc_pair_446116,arc_pair_148500,arc_pair_90669,arc_pair_656372,arc_pair_664080,arc_pair_257072,arc_pair_261455,arc_pair_547258,arc_pair_67750,arc_pair_720681,arc_pair_347280,arc_pair_588558,arc_pair_594469,arc_pair_649403,arc_pair_599471,arc_pair_718797,arc_pair_695283,arc_pair_516918,arc_pair_724174,arc_pair_260376,arc_pair_551617,arc_pair_358495,arc_pair_450035,arc_pair_64470,arc_pair_665109,arc_pair_726873,arc_pair_461800,arc_pair_156269,arc_pair_269928,arc_pair_242245,arc_pair_384979,arc_pair_51712,arc_pair_595373,arc_pair_295568,arc_pair_142660,arc_pair_495861,arc_pair_167650,arc_pair_82729,arc_pair_169398,arc_pair_435729,arc_pair_653762,arc_pair_644674,arc_pair_365022,arc_pair_716732,arc_pair_692544,arc_pair_134659,arc_pair_639703,arc_pair_632661,arc_pair_566053,arc_pair_129381,arc_pair_271027,arc_pair_493828,arc_pair_336359,arc_pair_621082,arc_pair_731860,arc_pair_323321,arc_pair_462000,arc_pair_43532,arc_pair_131562,arc_pair_119264,arc_pair_625567,arc_pair_16513,arc_pair_101269,arc_pair_176092,arc_pair_523521,arc_pair_551110,arc_pair_521750,arc_pair_166773,arc_pair_532740,arc_pair_700005,arc_pair_474346,arc_pair_460240,arc_pair_594335,arc_pair_24655,arc_pair_278581,arc_pair_75573,arc_pair_641885,arc_pair_292663,arc_pair_39421,arc_pair_703887,arc_pair_22407,arc_pair_717256,arc_pair_89302,arc_pair_714315,arc_pair_464015,arc_pair_674772,arc_pair_280409,arc_pair_388971,arc_pair_674359,arc_pair_172674,arc_pair_217721,arc_pair_649523,arc_pair_492710,arc_pair_297765,arc_pair_208250,arc_pair_713999,arc_pair_564013,arc_pair_672184,arc_pair_649903,arc_pair_729575,arc_pair_642267,arc_pair_149569,arc_pair_281486,arc_pair_27275,arc_pair_723396
arc_pair_249616,2536.296063452113,1719.396743755755,1275.7231242685555,824.045363560046,2025.0563210830965,0.0,2566.871442375162,2083.6284446956274,1548.8240270352255,1615.6281843368872,2053.557404815529,1949.7937080245165,895.5386508505244,1733.5815722347431,2433.2736223294305,1749.9358115769585,2901.2836054220447,1641.4815706186578,1307.5525548184617,1375.1791005452612,1031.427398437784,1553.3909193043044,1290.0650041379795,705.5998340608706,2348.4447201817816,2176.2790942450556,2757.223963076761,1037.0001667249808,2652.3624400108492,2386.792296718399,3153.526043944778,2114.2088681487476,1533.5684165439463,2188.823913562817,1439.9060863515363,1484.7351224970207,699.3225325575496,1441.446271605768,2851.3889067210694,1691.6462872749355,1918.5901191748603,1457.0218783131515,1119.6172414319885,3619.2844332731156,1413.3006036344646,1819.859189891738,2582.651707574075,2177.8354022521003,1350.3818809403529,2389.2495047282646,1945.1480939633097,1956.2949217869314,1955.1662428963682,2216.7036213483507,1464.5535945893616,1566.2029888043608,1339.4184978167889,1093.7100274989205,1172.426402989046,2089.6973554566403,1517.9996512937873,734.7125611136148,1104.7033671517959,1697.7013815179466,1386.1570168747007,2992.324201866223,1907.0516199731403,2359.7596862620703,2111.9286285310695,1148.9972220678148,1406.6945447977257,1294.4523426610197,448.0537554924494,510.8537435446645,986.1178338083913,858.0915532892676,2482.511568848409,3194.1080973426306,1036.8280304625632,2546.4127562937974,1568.6695247063287,2147.8781942429114,2220.18938434776,2138.964774596252,3229.8669822556017,1715.3852713278943,2210.012992982813,2275.4000221090373,1608.3026814406383,1481.379852949076,1884.9051621703225,2218.3708355524986,1002.0150116316638,1246.9487319508298,949.1830729936231,1251.11436382461,1737.0456857839556,866.0696980954747,1730.6059553677485,2193.4515174853145,2255.196546942615,1303.724432180243,1521.656787043922,241.7990988881942,2543.356300191345,3122.9834178507153,1176.2438518215733,979.105353408369,1762.7425883972219,2169.6425467082117,1408.1301173532834,2347.4398191585683,875.3391713633052,2193.0132678889063,1970.4985741158623,1565.2399418818586,783.4749795771593,878.2544437054815,2277.660218857195,2198.398966509769,2331.9404338063205,1542.1842399585744,971.786724133661,936.607738446311,1140.878361530641,1585.3284971835183,1717.003992066257,1018.5114251940722,2275.4838987362077,1178.3765855416311,1135.387147082895,2794.6211452821917,1294.4960249953506,1343.4337458632895,1179.780083796194,1409.5016540824167,1857.9435376628237,1676.1950648745108,1337.368674724579,626.498903500428,634.0686174986866,459.43294225757336,654.8368437081538,1131.382455597375,2474.8624265607414,1857.3208522931295,1390.2932673080875,1791.1752920946692,700.1925439019234,1199.1160040519403,2901.897037525812,1972.8509336859847,2401.892460672358
arc_pair_726656,298.62356104021427,167.4173302185417,74.68405765099135,392.2607717047446,213.81730091231603,1548.8240270352248,403.1082866038276,197.96025347759243,0.0,39.471170870189596,257.772894597363,138.5273405964648,209.26507271692813,145.23313130301332,333.78428744539093,141.37285536964234,660.4875284672622,62.113195716047386,90.0341357757863,38.55225217413788,160.79578765619905,81.21593214096391,78.51566593181072,346.54604677262626,538.435917552804,224.37048984781083,557.601169019913,170.56451689052923,374.71192258961776,324.15195385435055,682.7226655820392,295.7460894751298,72.99224531731116,280.5109145540879,60.28368413763169,42.77824651263388,488.39614692636286,41.255334441949,705.8776658351151,91.39718852013407,193.42802712454534,190.91900625560797,246.93082126286149,1180.9919533764642,54.256255098916945,122.31562824001415,398.6549113441662,194.70127777675532,37.75288288744145,252.91695218368352,185.44071080174356,154.9139563608211,145.06762478681048,235.57575318923446,116.59996036829526,126.84422227343711,267.34589887914416,207.26405197667924,129.68586832176328,209.5993799201777,42.198695027502964,501.6391512541445,169.1271061322645,33.89628155358,50.39062604134044,746.7386701296887,259.12870813747173,289.8428694984346,205.60309628213037,149.97145298635084,54.98309952963012,241.86199398383545,608.2030175256259,887.5147676969319,139.53724853245402,392.1239275655076,452.12301205869164,707.7789821636072,214.46175875096677,339.9094900564644,35.845629278910316,247.88018988117312,289.8449404257379,214.73056683736488,650.8749094822402,66.63803582658288,258.7501377246608,201.89298433147573,80.04388620352334,90.70703604574109,168.6232332176866,312.6670062547423,269.3064938495189,141.5030598133078,249.12819809606407,44.300206006249525,82.24972422892705,257.1617263966429,167.76731508518984,233.88114565778204,412.3795354243893,53.20368961112024,23.217820360044605,1226.4682502182459,348.8484939032994,811.5273816235393,161.6312343952872,353.75666136343966,166.29237812070193,265.1521212809311,68.97962171662377,303.39160345407424,257.6542946580052,294.3106882281609,176.18253047061393,39.03576772005858,293.1050119829148,302.67109954340805,314.74412988445386,258.45267363239213,310.3542313885648,57.512486526314575,211.99895961693858,325.2138182937657,133.2182423816771,114.67371059067641,61.05335524720006,307.6842923161268,382.04291458718274,112.59745384397549,132.90576221300668,573.3887477945973,71.40535326530384,43.9121479588264,225.55899539697873,165.73433333529184,240.66978253050328,105.94512087641729,43.18220503719366,456.22915593169245,415.3305221282985,663.3987909718875,417.4236961215541,221.3730706071525,377.3296026123832,140.15844658653438,95.91098785254266,134.07541492843137,407.1287858389567,183.8710657158098,617.06682728921,162.87268849096515,240.43831355807322
arc_pair_447717,283.9046461070625,146.29120508453076,111.68982442456438,473.92999102013374,191.80447690050391,1615.6281843368904,383.0453950582528,172.30090057010867,39.47117087018957,0.0,226.72299956605372,149.47225223309218,260.181725325617,123.11132448627882,326.8291615231471,210.03878731119354,638.6303600234124,53.861835548788015,156.57490277163745,93.68475105049905,227.75814435006933,152.5180732766635,143.8246126871804,418.0887915251987,496.3426939393435,191.9671506648961,543.7480860475004,230.66200764617,364.9666139120919,298.7554286748387,650.1648488108455,265.8931626453696,87.45403932611968,248.45731029199635,105.38409312369987,56.77417077678452,578.9417841371946,99.94327787330911,649.5858530129977,163.8292216004829,172.4356251155305,276.83087042008947,319.67595595378555,1087.006628660264,114.09831761069088,94.78057074509637,363.7828837530703,194.17227440934954,81.32294881030212,246.08078527661226,168.69381840269762,132.74904596829768,119.5904717239856,254.08644170665872,167.76684162511714,83.82770871738708,375.50419279535333,264.9272150228465,188.21370133614275,175.7056629593552,93.50391667868747,597.2142478232921,242.56516156173902,46.685850932576514,109.81221813387849,672.9723163204125,220.24820496629872,256.26132057240125,197.94155325415258,212.5756134273473,122.51887359578616,317.7930711930666,666.3652928686836,950.7131058274891,202.22783430901669,482.3656085487429,409.2924642264359,683.8821404173183,291.28227622811175,326.39690993391304,28.188994643764335,190.6286013119103,280.00021095843306,203.7292485339089,622.4191277862593,45.66686158278105,244.01947336244086,164.48951272286024,147.3507342139431,151.6534316329821,132.92541199295317,288.6638099552747,346.31942456234293,191.68437679811532,315.16270142044505,73.78833426878934,67.50285415558999,326.40491461646815,157.24265123719448,224.42372791327702,359.6071910498172,112.91196470677484,41.42927292284761,1308.5824150148437,323.86697309395475,768.9656143006181,197.31820953332053,425.79220948494816,134.8614718904768,251.1005043119291,127.07499136799379,254.10087022583434,295.929356503769,242.7969597105306,145.37934737041869,38.35070707110076,343.07592948053895,354.2700944087365,295.7247062627802,256.12885721328354,296.0587245062807,100.18447166170573,279.6938350030475,372.5971898362214,187.79108221500547,201.71646649885312,44.02017387728554,399.43762025422956,335.11398142568237,160.7670653673922,200.58110089422433,537.3945647168534,122.75720611413621,101.4897285866357,297.8468351080772,252.6180521710452,196.38917259098784,175.97714296850322,90.82939188280533,503.67381294410495,483.30051956888235,725.9756780612715,471.92229374017455,307.6125020442797,357.82218781073,109.64492268045514,157.03367665351533,169.16527350734432,478.89713844757983,269.7755622811909,586.0266633804174,216.08367704285422,227.08645747045682
arc_pair_218228,262.8808009917031,114.27340718594918,416.65206387057424,839.655664827594,135.1978853656138,2053.5574048155386,123.83788049324914,182.86423117317668,257.7728945973618,226.72299956605417,0.0,313.7453295019938,577.7921133116711,218.25834312277297,182.44451637777547,381.9417817043454,304.69633442317564,174.43210495085873,385.0754227196605,353.392852162336,532.9801387767001,371.5828959566378,406.8464118417787,719.7790902594594,221.95218407804046,57.201234955993364,229.57121690850934,546.3606354868671,141.77298117943204,159.84374283951783,301.21499356704925,60.607401387129336,370.06204707561477,85.81271617734824,341.2004351307275,300.34623910830425,945.2124173888993,346.162923811165,350.16789014749196,373.61473978823057,145.93303074741507,514.736880658828,644.3299962466797,800.9932445297852,388.24127705840226,78.31283348603662,106.6479758088024,292.5389052475591,299.5685344992336,345.9801856879467,195.0135996336151,125.56664259968464,185.53414515722588,444.2016866860604,299.1112096064267,166.39129817302373,645.8436110010399,586.8641652821456,471.42198953870343,115.58530584992762,307.9688617537349,909.0288826139048,485.49617366257354,190.54574170798014,318.550325659933,393.0498103382266,59.49763772379995,46.904344080066615,119.93391339336199,457.05620787477034,363.60273276230714,599.2730974693757,1042.1662993540886,1251.3142238045998,509.0558849477046,815.7559191990833,122.37566646094352,376.6405089189804,561.4160389473697,204.5464625278605,231.0447126029773,81.1840877287405,167.16692373070856,158.62921851252116,341.0989124847928,148.2224006710179,120.06408882797815,117.60946118550349,385.18586487321505,408.1637136171099,104.34583382922267,71.74598689994886,639.2055572401841,477.79226833070214,635.8877311360068,259.10288531140543,151.81660550236347,542.9798414494787,106.19235598488241,183.00295085996297,117.83836595771437,345.0909512449212,276.83817006455416,1716.8709759446378,106.06163995072956,398.7027207483582,549.6872516119435,646.9075084899318,68.06632827347627,167.99844539878404,356.3149295373208,67.04668490778732,492.03840036173074,33.097064361597496,134.35681029748966,208.0856629324093,674.5084014184804,677.6616632198687,78.03524383830715,190.60266926250063,119.91953156205196,330.9477639051886,555.8959538812749,722.9253042577049,404.8183061156662,387.5753607568293,173.36518488690456,736.4285679695291,122.84446726134455,484.81590803606264,468.68889099483715,255.85660303163507,373.2542950054049,358.8252578248135,539.0234508970764,517.3671473386331,48.07242964820682,396.1629343621715,358.81194387497777,837.7350308309462,795.5874904823146,1096.8649241598032,770.3740509785915,588.42126977547,93.11657253630399,135.21491850633322,446.0004702868311,348.5653383717484,783.9836426521957,548.1765356675444,278.41205015461287,462.30784588009004,190.22371128417345
arc_pair_313438,407.2666025685213,266.5726867663986,49.52226659122945,213.3249978494293,310.2426224766032,1290.065004137977,553.1947277617238,295.897551527877,78.51566593181046,143.8246126871797,406.84641184178173,197.86307797178463,104.11674179169573,237.2678002088011,439.7915002710335,143.81186605523865,830.0780684114197,134.86421674203723,16.891535970410654,22.452619114132055,51.434268734910425,81.17847659872844,0.0,225.11861129303313,703.2918294653451,360.9264127433853,707.9463761208557,61.57793351566763,502.7790037036246,449.7199425675401,877.8685184478691,428.9087557529705,166.92965364956913,405.4170692523082,97.75346127608368,118.80164911595746,285.7811109751346,62.35877472221367,916.8249089201004,104.53230094962055,299.1660512076683,87.08911922430168,114.4216897921961,1466.8356544508285,67.33046010182656,237.57139982932762,570.0096131945434,270.1510316157835,55.84966867097338,339.264002086036,266.0019501014226,256.1866633688054,248.31522625152328,292.86311314818084,71.34832580096801,234.2199523328915,103.53272419790221,106.99786808563056,43.14592030962695,331.42979891078295,58.04782935624506,307.451632599093,50.77487784454884,117.73015687627772,58.13238554629522,971.6029924130117,389.467304080536,449.8345629542593,302.6372628392642,54.75423241399169,41.40915293281483,121.25827518821093,436.4440119102824,700.3142270406914,46.107556377358,210.65102745498208,627.3893513471774,878.8047292689621,88.19860080959718,455.35393440921746,130.8971894638142,410.41537100545355,387.41091834511735,308.39098187941005,829.6512104617368,161.8966280719833,361.66389861575936,344.3930424474518,81.81450366755196,59.02995365628126,296.51689485896384,449.8419048923554,134.1464755862718,70.6590700099767,120.65009862300109,73.08245994103576,166.74479878695905,145.07859881030367,256.5427126735253,325.7789471072121,594.0785060620804,18.528935946407234,97.83788933512405,969.2506552488031,491.9391614159436,1014.2642994963044,88.10315644061957,217.20199919061886,284.12631166266226,361.16090456155956,78.83942263599708,479.2040289953915,189.12517572650427,471.46526451219654,282.38123823513746,103.1647944383546,170.47863492342347,187.0046099397964,442.798414459355,345.5685868911899,425.9480044576096,89.91264493517082,92.36189078667556,211.13648524592242,60.59145682745605,102.80225553316825,148.18948097855053,133.13372757879358,563.4244764118811,37.2514834697196,29.50947769006917,746.5802257847167,39.95715109845774,26.712504619126296,111.798828623522,72.6416079266382,384.91289004486345,122.99128378868934,32.68238397896343,336.1806869693274,259.8429907589958,480.3309317348994,295.6074686353128,83.40689197110355,530.4633477442519,250.0387914323292,48.882836686660525,170.08014365167764,250.51321393335607,48.99289359442386,799.6636284017011,200.24218458670632,352.2470278824205
arc_pair_283483,250.8821270442456,152.7552658986791,450.04109351511545,867.732071077538,100.45605968317122,2114.208868148756,67.24291383068594,121.47247485880105,295.74608947513286,265.89316264536876,60.607401387129514,266.4776143630009,625.9240565320908,299.15658879348445,113.79554924535677,302.48976533202017,249.02083133244392,170.87808201264417,381.5764466219068,389.2323803769861,569.0150182890471,347.85650985020953,428.9087557529694,762.6484590480243,200.83865505240962,45.44713901878574,165.78629601442813,570.3014457769638,88.30509126156934,86.09021794046325,263.0373836759333,0.0,456.86975538052934,45.16932479576671,348.2517410486383,302.7722904021166,1003.771494174935,370.4688780377853,313.4139415834545,325.2093988501867,158.07089705808264,453.11629660027563,648.9459363247864,674.7110331579017,404.0340177063331,104.98198268658628,63.4067438166818,226.56775364370822,324.3709321045373,255.68966461478658,162.08709493241312,107.90232427719009,151.63497867858834,377.5788772694401,303.9911109683785,177.90717169207605,625.7459284104702,586.3201426435886,481.33078622190396,89.01500669652012,293.1428061209948,920.3875450217054,466.0867218313474,201.34995613302635,317.74436129052236,335.32690414171566,89.66989362388414,43.02789678634754,85.80527334811879,456.67500397400363,371.50302043253964,540.6669848722036,1085.1110231831067,1253.425040273163,553.0540800198121,880.8523895802591,102.48894893116662,271.0769965375213,567.3147274419379,121.3972259005428,278.8077345958467,94.61822749811101,104.29518399495956,101.89533684153949,231.69488440043082,156.81275947852302,86.5052835525676,106.72360504587988,335.8956719407943,368.766021872088,151.47080844636065,23.5672980727219,675.3248429639399,466.07014634596095,666.6614675671311,306.59394056958564,150.57345810367585,564.0245837445647,109.62303926744356,129.73002187792014,88.11050180782821,360.2319473756131,286.5273495396106,1717.6462240918931,91.85834170383453,326.344087529684,621.7139748691253,615.4487160705888,79.40314013813503,108.23790195020376,389.2795597871692,49.553994377573396,512.1180288020172,59.76139419762904,113.58819108441402,228.75500324614404,712.4333721419431,719.9824920204132,25.067413989515423,133.01818260302014,65.14797804576493,361.1736800446703,569.9105464966374,756.6382125197988,421.94917994726336,382.455478072512,182.51780561684402,762.3424464084923,131.36240333041215,519.3566643229807,491.72122875577946,192.58480603167823,370.7755443354324,375.9061964354527,516.7165267344329,485.4395592462125,77.69411812218262,376.7698437808832,401.31450135166614,876.3999278331429,812.2292837246206,1122.101590621823,816.0327165670029,585.3159471021854,53.450376019452904,115.37488363915844,449.167671980295,302.43107090743916,800.8258155485026,549.2592230130157,240.92557784273023,388.8872739990592,150.9022453658086
arc_pair_230744,692.4871689896829,496.01702833680207,138.6648670651694,119.09197770154258,536.990454160163,1119.6172414319835,821.7237614617743,500.4206905929415,246.93082126286362,319.6759559537854,644.3299962466863,402.4605583687323,63.43349957570528,493.95487430509814,681.0030659295272,303.71746824720424,1100.0341472417936,318.9122430185922,120.39211877175448,160.77471689240485,59.66502796333419,243.91630289340827,114.4216897921939,168.04003074180685,910.1827047198021,608.4123022308695,964.9940403353168,86.38525335046187,764.6707780453486,685.0386519217373,1163.665530160336,648.945936324783,318.8232080579749,632.6827207933607,276.8351534158228,278.09882443578755,236.56185518509506,229.79695236883157,1140.353560470537,258.34355142245397,539.0760521002871,131.03096702289955,0.0,1641.0023180659475,220.62672853458707,453.79973427323466,822.6810002529487,478.22802191047765,184.9850857770394,557.4164326899754,490.40674173154116,481.4349094077556,462.4429274550747,513.7433773377768,192.52155849870363,407.2779359431423,142.92978510335772,27.663908026441028,80.24135917657665,552.18955646787,207.19186700045313,212.12696627322484,100.90399471848082,286.0633944855466,214.9583410219123,1204.6466286525074,618.166784470923,713.2504747020433,543.2006883860931,83.48673694713176,186.25797202463164,76.85683503576828,354.1167365957439,543.136800937704,104.3562987625947,157.25832525452307,887.9893363749896,1142.9163023875917,56.4341881738599,693.6673299130706,325.73865496685625,655.4213273529001,623.5629295042902,533.5696491255009,1093.5255104377047,357.8896711976339,609.6812453287097,591.919368475768,215.83832450940244,177.67306245613835,529.7745389045721,680.7771703678247,55.79999402233347,137.27078906148034,53.139483117977846,225.40689187855574,378.43685246378044,125.79004893574574,490.7611965415077,561.2986604791719,812.3961995717661,135.05096613387977,256.6897527157187,822.5858436981332,772.4486568052089,1273.3211703582651,124.25984528791194,133.33244459068413,497.40891011200455,591.8648931962503,234.2340917568396,721.5732186167737,163.86103410777395,712.5646593560256,493.4261246949646,298.847730240817,110.58016026223326,75.812191351839,675.6876981232003,586.4965969550396,680.8335220377757,275.23103283819916,51.178779292518456,110.73118125017037,118.04659132401049,294.3514764276676,349.59943477333314,85.30342643558113,778.9973764389846,97.30173838582213,56.015753535890525,989.9708088882466,129.66252089295065,155.5613145222604,60.982735818982086,188.5987236985259,597.3366841359731,308.27341118735336,153.40451316639215,239.51536956542316,197.2687897112757,366.95987720294426,243.1722868312908,65.41097990367452,789.3637048891433,445.8921393871096,144.32816652720618,360.4741336318319,170.42689338376036,93.50479529477273,1056.1954113395839,364.4809979135259,607.9202465352383
arc_pair_489657,270.51243033271004,258.1711132117854,582.3514576507544,1101.306844369472,167.66314434036795,2582.6517075740776,54.536085949005454,185.7084663668343,398.6549113441661,363.7828837530715,106.64797580880241,348.3785186691402,816.2341719150088,403.2290602588285,142.42421901193114,405.2906618459842,195.45172290801455,270.5793434933787,520.489942475327,520.4394830366342,745.6189060587913,474.43908985228296,570.009613194547,997.5704702942851,188.05617196451294,88.25474710313563,108.90211457005745,759.6372411588857,77.31700126898158,115.72199521612882,172.52376801269793,63.40674381668194,566.4913856045437,90.39292121476599,477.937742631132,428.2003275171676,1259.4874600078012,504.7751588157513,257.98797145264285,429.5750043995551,247.57311756861787,590.1104201954513,822.6810002529519,601.2444048018885,528.4835163827195,182.41087640213897,0.0,290.3214297958466,447.9769053652578,278.4157551929418,244.25611319792958,185.89799582292477,244.1927643629294,439.5580785889231,403.8310816716202,285.5409543592947,791.7498036584882,755.2858314349215,637.0350853769611,154.06328499427244,411.75322977010603,1184.2754353055889,637.2374743694778,273.7113398677284,450.43963145014965,265.54989692989597,155.79889207887229,58.087560351190255,143.7513651246903,615.9051140043808,511.99933882799843,688.3697297692194,1372.1603570046861,1557.1756502384912,738.9885012813855,1099.0156861819419,62.06616863573606,169.25398314949214,754.2337382860323,145.9240217756759,389.9802943468636,144.97366305373237,160.3417171111382,159.7912277491443,120.27491606646086,240.89196590741554,130.47549426754605,144.22034332473763,453.1007512797349,496.6410256347487,223.21367298086747,36.39981365586737,853.6869395493185,606.4661540303948,868.5375117506551,455.9999755985183,242.0149635178251,760.3944712820326,217.7852151229642,187.99508714026368,83.79974618617474,495.29932388311056,401.82297565281283,2104.4293582257565,92.95300385301012,257.0952775730647,778.7773033489971,810.5482015164583,166.36499872918287,163.60498104434805,515.0317487797274,56.418515422808284,696.8672070392116,72.23970569839912,183.19328399876397,333.1287704407189,927.451357043655,919.9816067850985,56.3467213223656,195.50171545615467,106.36194718641717,475.22967340961014,753.3553558888153,949.0694345206771,578.9603389297956,510.40205109158705,273.85379140998236,971.7492291630322,118.09702557913157,675.1849280047799,650.7542329605527,125.0213791264487,507.5558332342262,509.66198754212394,666.5866743564757,629.7947439711542,133.70403666886756,492.94667840602887,534.4962338424211,1122.7423718836335,1056.025133864912,1411.2415921742277,1058.2760827800043,765.4092321195891,31.29332252301435,181.19711999642976,573.0338880097056,409.20172984127396,1030.0362429034715,709.321708816675,167.58544709297502,470.4737164023977,184.54357630393602
arc_pair_720681,686.7288631315432,466.9125194536921,99.94536783903337,131.18015259429944,505.6918635355349,1093.7100274989236,778.7817845894725,465.42375832043246,207.2640519766798,264.92721502284775,586.8641652821443,393.0294287904538,48.92215248500437,468.51754091788507,664.0597092915964,296.6246154207733,1035.3509352550334,281.93117245883883,107.52119939348542,142.23070409631848,52.54965339075866,238.92924201385205,106.99786808562804,146.90107751951297,809.0030318766497,549.4933779059569,917.2499221711472,74.10953599180078,735.680915019464,658.0531501750372,1099.7002097784382,586.3201426435916,281.61857450558364,586.3179479187315,242.83030962085948,229.81027144683907,262.28753442631,215.7788427890776,1032.0385199762381,249.50262747912805,519.649540974676,150.46724735757883,27.66390802644089,1488.6353848116769,191.59998336442538,399.1067108136641,755.2858314349154,471.61217165926604,146.82549124849297,542.2815493165157,463.39436945700635,444.76468864004005,428.473142823417,526.8293937580839,170.33159233849466,333.35964652964674,186.23438004616463,0.0,59.01571480258262,508.25592323081395,188.12389615569077,232.96570248629644,91.50041864195994,240.43441064035974,190.74235632405637,1091.9368062935926,556.9817113899663,655.5132271505572,514.7845120419449,65.21670928855123,174.6880311734895,70.2798603332115,338.57209217646056,536.0349905205624,84.33486545090703,181.61858585997166,806.1263953885791,1083.488567993279,55.52744573174466,671.0698093576627,278.07838969466127,587.6390089752965,603.2849728884207,511.0166531282394,1037.8249710953269,307.86926574337224,579.4928918963668,548.2660869685895,207.63117967193404,161.34002651376437,480.4592777941267,624.6955517215449,50.71871602035269,104.51800383875442,59.161009943201705,193.32288094591613,339.6442883162937,112.36188441639274,456.9212744935033,542.7685198908214,712.1075789984452,111.13467928041835,211.20761628071105,810.1480923605319,736.4537780057651,1183.0547319330342,105.10512312800674,132.09650432380292,436.98369148246843,571.2843678865557,205.74780680263842,636.6315475197182,128.10847060227934,633.1663545782416,454.0597804276169,259.6919628796936,92.08219411150651,52.138198794540486,632.7104494792762,576.8075931536215,643.5524152516522,269.70022007376986,46.81903289430528,88.47783785665821,112.02511552757308,309.5576999837634,310.6635807909258,129.3888639513856,687.6779731079852,73.32811503307424,52.20673913938333,913.8474428078864,96.22036074032047,132.92603803225134,75.17002728597258,194.75006775850468,516.681460938866,320.49625324028557,128.45557990903785,201.5215614042739,189.15849935628196,354.59700689411324,218.376898233323,88.96555443633099,735.4905893861984,378.30291838199025,116.95771976180491,368.0659001230252,162.95478772076683,102.32345101239291,990.50657668704,372.5434404017856,588.5253211645908
arc_pair_595373,284.2269069913948,130.85906790606248,132.14649863151598,453.1588185407428,195.5984536418984,1568.6695247063367,390.3561773203672,188.18889718245435,35.845629278909826,28.18899464376436,231.04471260297663,129.74291376491854,258.51760744728125,102.13049208160996,327.36674163466915,185.97814325661528,647.112412148846,47.80685657493061,145.45456308454257,82.46496426292961,212.05751535047577,123.16762590372525,130.89718946381117,387.82133119864443,514.6400509824775,210.76191689355375,553.5469454325792,221.88002684129344,375.7276869288532,314.8884544422866,666.2582398053527,278.8077345958467,101.15937466084188,260.3890964471704,80.02331525794553,44.699973917453114,539.848459221034,69.79350463565318,684.8483590957718,142.24714506221648,155.2190691075611,261.92815808624204,325.7386549668579,1162.5076715460996,100.12073000524802,103.46368043225358,389.98029434686504,189.04855511043823,72.11252916698727,253.45024467440223,173.4833119197311,135.18164842415172,119.52453425639246,228.57294021362506,165.85390529561153,97.80648977476234,340.7464875947226,278.07838969466127,181.95016095518255,185.2468036974508,81.36260580011587,552.6197229109246,224.74967328050354,65.14553495276185,80.31520835549999,734.726924736326,233.81588582514811,270.9503400852821,192.56990350534636,212.68780862992585,90.52568111217036,323.2511292753788,651.1094851194863,938.079785660209,187.4812126692289,451.3579193073756,431.11169501103296,711.9765724662955,260.3668603403542,335.5362981650194,0.0,221.32882897375205,277.19546908009806,203.27267048963594,655.3318169139619,50.02239498663741,244.30835304298728,183.67804181010976,134.86815211302718,135.51900891607053,133.45669760077823,297.4402368186978,332.8527576211729,212.42885443467904,301.6567068592383,48.473414244118345,64.95761560686384,296.46757088863535,132.9285982156999,219.72070692582943,387.8336223635037,99.72695538665485,41.91198833936514,1263.0265815189723,335.6690119432472,792.3252048100084,219.13255717092332,414.38349490802767,137.1841509577001,248.90994790685798,117.19999088073276,284.11016690824846,284.78019032935543,268.0432771620557,153.74257940726056,33.25231410049274,342.9125918220586,365.73690825783956,302.02457931189014,244.08993449336236,295.3234052991062,85.74618473284252,270.1747264726922,397.2428741337954,168.3424889423376,152.19573334372055,42.24769335753704,373.6191388436755,361.51057321077207,170.23021023013584,188.90738474097571,565.8229914169091,126.01636640050091,91.94707017407374,288.14317398695135,225.80771009167293,215.4775941107414,137.54444763236333,86.48327188276038,496.9673431535678,463.2939439030247,714.6664569096248,450.8910173479468,274.51196483651546,362.92820709500074,128.71819812316573,156.75695775501518,131.7174683509378,463.76044572582373,244.66299767033888,596.0701237820023,195.460851132543,229.05499183590055
