,arc_pair_221519,arc_pair_161493,arc_pair_48468,arc_pair_684529,arc_pair_206257,arc_pair_249616,arc_pair_337111,arc_pair_290847,arc_pair_726656,arc_pair_447717,arc_pair_218228,arc_pair_307657,arc_pair_48188,arc_pair_147702,arc_pair_169201,arc_pair_694660,arc_pair_25587,arc_pair_542791,arc_pair_682126,arc_pair_402982,arc_pair_578116,arc_pair_307953,arc_pair_313438,arc_pair_203062,arc_pair_197122,arc_pair_27742,arc_pair_255622,arc_pair_139628,arc_pair_58054,arc_pair_557730,arc_pair_610128,arc_pair_283483,arc_pair_370771,arc_pair_522221,arc_pair_624573,arc_pair_144158,arc_pair_257950,arc_pair_115275,arc_pair_593564,arc_pair_708260,arc_pair_496804,arc_pair_247784,arc_pair_230744,arc_pair_364083,arc_pair_511862,arc_pair_649551,arc_pair_489657,arc_pair_270697,arc_pair_446116,arc_pair_148500,arc_pair_90669,arc_pair_656372,arc_pair_664080,arc_pair_257072,arc_pair_261455,arc_pair_547258,arc_pair_67750,arc_pair_720681,arc_pair_347280,arc_pair_588558,arc_pair_594469,arc_pair_649403,arc_pair_599471,arc_pair_718797,arc_pair_695283,arc_pair_516918,arc_pair_724174,arc_pair_260376,arc_pair_551617,arc_pair_358495,arc_pair_450035,arc_pair_64470,arc_pair_665109,arc_pair_726873,arc_pair_461800,arc_pair_156269,arc_pair_269928,arc_pair_242245,arc_pair_384979,arc_pair_51712,arc_pair_595373,arc_pair_295568,arc_pair_142660,arc_pair_495861,arc_pair_167650,arc_pair_82729,arc_pair_169398,arc_pair_435729,arc_pair_653762,arc_pair_644674,arc_pair_365022,arc_pair_716732,arc_pair_692544,arc_pair_134659,arc_pair_639703,arc_pair_632661,arc_pair_566053,arc_pair_129381,arc_pair_271027,arc_pair_493828,arc_pair_336359,arc_pair_621082,arc_pair_731860,arc_pair_323321,arc_pair_462000,arc_pair_43532,arc_pair_131562,arc_pair_119264,arc_pair_625567,arc_pair_16513,arc_pair_101269,arc_pair_176092,arc_pair_523521,arc_pair_551110,arc_pair_521750,arc_pair_166773,arc_pair_532740,arc_pair_700005,arc_pair_474346,arc_pair_460240,arc_pair_594335,arc_pair_24655,arc_pair_278581,arc_pair_75573,arc_pair_641885,arc_pair_292663,arc_pair_39421,arc_pair_703887,arc_pair_22407,arc_pair_717256,arc_pair_89302,arc_pair_714315,arc_pair_464015,arc_pair_674772,arc_pair_280409,arc_pair_388971,arc_pair_674359,arc_pair_172674,arc_pair_217721,arc_pair_649523,arc_pair_492710,arc_pair_297765,arc_pair_208250,arc_pair_713999,arc_pair_564013,arc_pair_672184,arc_pair_649903,arc_pair_729575,arc_pair_642267,arc_pair_149569,arc_pair_281486,arc_pair_27275,arc_pair_723396
arc_pair_161493,188.03555685250848,0.0,307.7222253519195,640.6400449770457,71.800243650493,1719.3967437557558,238.15636691662456,130.5471275052806,167.41733021854085,146.29120508452846,114.27340718594691,185.58754322854165,430.22415939030645,80.00802971459797,182.49217480897298,262.6336244962798,481.47016709002816,87.22716849420885,266.19397728698124,225.07952085481259,368.3489287345491,220.8670523066239,266.5726867663991,544.6783598914911,388.914423306402,106.1150849230572,379.69369981135475,381.36798926296717,243.8456579177635,179.72048232330366,500.7366994916935,152.75526589867934,276.2756477684771,132.0753206189631,202.7539981162767,176.28250119858424,692.1692305124164,193.14185688580355,557.381933858725,245.0687559217031,38.169500329282116,358.5556354503425,496.01702833680275,1080.2734036016195,248.80734052897003,43.37326352987453,258.1711132117835,180.48221548119963,208.6160854881012,279.04238102053995,104.95282351907808,56.88476999673573,91.61630606058806,282.60410996646874,242.87651656227854,114.31288884518634,448.0633785023088,466.9125194536933,338.6091321983061,94.32847849928756,191.27116669446184,686.8629363278668,334.81490532037435,141.95291048159584,188.92653664587652,607.5177703461114,100.75254784220401,157.5192150971233,89.69508399972072,347.0264420141432,216.11894592285853,478.3342716124603,810.4052666598026,1068.589933718642,352.7915344824994,603.8032483636409,279.6546169350877,553.9771999605937,396.4792518222364,207.4359792961446,130.85906790606344,110.63637024405651,131.25263370635452,99.53254800962287,506.671065324457,97.18465893447639,110.43364473511407,94.58572747625014,253.75731809929718,267.1163771990087,52.447769949177655,164.489180581965,501.1575292342384,369.76262683868333,465.05973245943886,130.25011361889153,70.00810550394503,414.3123584562784,33.51938364707234,111.03705802656741,268.0077129729408,231.2271512957238,160.88964423711656,1418.2956121250522,186.65898808898004,608.3034089961897,403.986219529312,524.1485036214576,49.82118642520837,127.55723880432969,240.36529541001627,192.30261717683908,372.71227628918643,162.46381411292927,71.87385781908492,115.2227252055264,507.73918879379875,549.083072148664,167.07762242341641,111.4692817892865,154.78989960045226,195.13915733869982,418.1981423760395,583.5968757669383,274.8026375457207,213.1325465961891,89.7013318472482,511.41685093589894,258.6360291274668,340.91671662213406,328.49075404803773,427.0259623759457,271.7722536064479,229.21536319439952,410.27226332770823,350.219973435998,120.13179154541297,222.16083363236402,236.32044562361702,674.2252123415565,604.9478071312068,880.2306408252113,595.1637150551671,404.4366193077505,222.85139803066662,134.0431268696155,336.9007708806961,190.9566219230637,611.6110958120441,385.2834005923781,449.9712573825025,313.0710411699162,126.86234992175805
arc_pair_307657,189.68235722290697,185.5875432285429,274.1556680180072,577.8045400944656,129.96612245296356,1949.793708024552,291.9158209220919,112.59709771601753,138.5273405964648,149.47225223309215,313.745329501984,0.0,436.55109335330997,171.77365483254368,173.4938622568512,77.96620342977342,585.0234696362942,72.13622247703172,189.32570071080704,172.74808200700065,331.8033395408754,82.16954426651867,197.8630779717846,581.54851567023,594.6297700705891,203.1219187839883,455.0595590908854,321.94248385894866,243.30244962972483,209.8854816143328,608.8745468619809,266.47761436300226,263.65347165731214,224.20665239044376,119.9893674753632,125.7731461253972,687.8591100291457,140.10346983961145,740.7266093072315,71.5701045663339,178.05346025229474,185.27183709392253,402.4605583687296,1246.6183677203478,150.9700943165407,170.23699202527155,348.3785186691397,49.55105277202285,183.34278881010508,111.41834824278062,95.49535213059154,111.81881903157746,100.83774106984892,66.0227918056356,208.06924726762222,214.28646191581635,283.73773250395936,393.02942879044144,280.0722587162894,172.23258335841925,91.65992461832548,661.6410761679849,249.35467439285273,135.1361901052232,127.41273274099544,767.2406479034054,294.5981991324417,277.1035640983617,120.60603351068602,281.92940663010177,143.91360619624774,307.3139749099305,895.7316200804322,1138.309361148417,337.32869362823794,589.4489580017326,444.6336596241432,555.6995172456261,336.2027919725616,183.29807147648387,129.74291376491823,261.77518512613636,144.41157373945035,98.26108277575132,489.25665213046943,104.6762546057125,160.8109003500407,171.81216696318342,95.01766645483853,148.16291802917667,213.16986233481177,277.8487580945579,451.49680124110955,288.0686071675925,413.60221231413357,174.21262244181142,79.32906668881789,434.200123367503,153.64313917814547,105.50865182688706,468.00868463310167,180.03656629779698,119.94150269874363,1501.5687808826326,249.6151302088984,738.9060709288223,391.9152710809701,461.806023972811,202.9041763111679,153.5466069522039,179.95647392863194,322.636438320119,445.5897980853372,360.6093349768741,130.44593215660896,89.23858174479803,501.37262092751916,555.0186835955926,245.56487559792365,113.40364169863088,201.4185756476751,134.5382802543098,379.91634321262757,573.3865499673494,241.2808694561753,121.7653971053673,78.68438905942915,422.2509180918276,462.69529430151005,306.95060781846854,272.8987176501588,535.7996093441374,205.81052600798597,166.61175619592245,313.54318040882015,179.23295692930296,325.69372601378814,70.47388817592882,208.54204861176493,747.4881693706209,624.9691859071968,938.8705522545209,685.2486587456079,304.49737865924067,314.31746384283696,153.54681242453623,225.63140394835042,37.503034908119396,614.6449019513474,273.2190787791726,579.916117599147,61.64029535283635,117.86083113854667
arc_pair_48188,697.8538809680952,430.2241593903072,106.67978420876072,94.28227609051453,529.2384372184333,895.5386508505229,827.145695925083,521.4638057797979,209.26507271692748,260.1817253256177,577.7921133116724,436.5510933533106,0.0,415.3112272935512,716.1496349145746,361.5093214692155,1090.0986031776447,296.3579238022552,125.48089243637283,137.94864885769482,38.683553856320046,267.34468216940263,104.1167417916951,91.14598236108819,845.9619509437869,580.3345309060392,975.9594623069763,79.92242880198849,796.9071630375108,706.2182464103961,1158.3468671649541,625.9240565320923,261.26756106080313,620.3741695291845,254.63453065923736,250.2729557423994,165.42305516235336,204.5369839232498,1092.3988847796215,298.37682587033856,490.54031004519527,208.03574258252405,63.43349957570547,1624.9944306505456,209.99192510198415,396.202391566969,816.2341719150037,524.184161688151,154.60630927391617,607.8786557197864,497.24402093334265,465.26784172883043,456.60617180982473,566.7027871082944,187.2553017827644,332.5719176720329,209.42462671589442,48.922152485004176,84.64773902152662,537.5446462727631,214.48694656831827,179.61442928671792,107.4357097351933,262.0961345984451,193.86346566018918,1165.1158658302616,549.0804821182475,679.5436358972934,543.6929908122527,90.67755454288177,177.7851246007159,149.2936719644162,218.86834992578815,464.79743603280383,65.65295981651248,110.88294966538811,841.4827872635345,1182.8065951158944,58.97306950211459,739.5476101599965,258.5176074472801,609.3423025799433,643.0665888217627,551.4999974714275,1142.9170671575416,318.45212068680297,605.4961171856256,575.6379543785486,259.7424272473752,202.46068049239804,465.7491458971749,660.3160678999936,53.592072608033654,138.42857714235592,44.91235177730021,155.29612689641814,345.6361002692102,67.18005520654664,437.3429811121946,579.5038982401213,747.4672315920611,119.07601396075972,230.9000337427347,672.8995829856259,768.6931129527819,1260.7251744880284,80.54157383398012,141.71144984367922,436.61711067500084,603.0448098031753,221.73463339872197,678.5637753738349,96.72126774800742,638.5904641544913,484.2366645730848,256.87724810860914,59.79985962921507,48.56799209322732,673.6822235959822,609.6342845243921,681.8772818941454,248.60739271055436,28.10903164151341,69.08503692739721,89.081694350576,298.2183880560856,315.4127994289446,100.31460006451661,709.68232474283,67.17916715472974,51.97847460906597,977.0817523688057,130.17620476597025,142.02731470030034,86.31218802144643,231.02426045777685,512.8415702086523,332.7949229245137,123.66288135968895,134.58135831076825,119.29822466837199,256.8685367271252,127.91204168271344,92.00118129888372,777.8940605650212,416.4458157685979,159.42413491976836,390.8648014191597,110.28721861969622,114.46297023298513,1040.9665663652065,438.6667079001504,632.3430759625845
arc_pair_255622,380.3001049929637,379.69369981135634,759.828767492979,1275.8220846794336,278.12017138777236,2757.2239630767613,97.15932603056446,285.2671239195966,557.6011690199116,543.7480860475019,229.57121690850937,455.0595590908829,975.9594623069761,552.064496553042,219.89140957068375,468.72430707601427,65.1084107760879,401.84478725833037,634.2094690730181,677.5961034234167,896.1831922528105,585.4717347644063,707.9463761208569,1130.7639557887674,144.90488384791925,199.9742097850643,0.0,952.0417936907377,139.74330296436875,228.19003174722664,69.67843224232577,165.78629601442853,748.8398595347197,218.91346459232537,617.0558093733979,592.205564854204,1433.482795662704,647.8117346640371,210.58304621655518,536.5504200384858,373.3493323158951,679.4111838461041,964.99404033532,556.0993303894502,683.5082247078487,331.1493040830093,108.90211457005715,392.5831805785794,603.7045417842888,366.75865252055905,348.0702926578382,308.74714578216697,378.5985097793281,526.9399739750277,483.7686463021853,435.4968920938175,894.0327481374775,917.2499221711464,792.7106752791216,312.27430789451245,530.7716457716673,1328.881721613791,748.4463845976768,412.9525362031014,570.4192571544767,204.98354676381436,303.04631152910605,177.77597865871567,228.16943369270066,740.2892098312802,632.956017487076,797.9389481043772,1549.7685395923831,1686.0312340730509,894.1001601924486,1257.7097626578527,83.50967454282606,63.97673829025596,873.8344707351988,225.10650491005882,553.546945432581,306.2390541503791,240.1893624312542,260.92783907038813,109.28158905064384,362.30589544121153,238.31823302026612,270.6511538002016,564.8370429015046,627.2796599693079,369.2439054775484,123.51033936992052,1006.2844372417125,763.1072264386614,1049.9515545578918,601.1969771168591,365.16998415463803,872.5901247501172,312.4378833808676,291.93449428109074,157.84026130301973,633.9509803616232,569.5136231984806,2284.0505255987805,214.74622798775567,153.46240127632416,982.6172965138712,896.9949127009337,291.8300738819691,232.8080699943565,674.7369440374864,208.7253329721973,825.5604465228982,201.30036022267817,306.8149638795163,473.98961081041125,1121.2106207199938,1086.8576361382384,145.53076978529464,281.76595221762165,174.4998846455391,635.4066219839684,886.587358142933,1121.4506460312768,695.8819457881372,592.8349269137707,410.30268365870717,1125.3409474967334,141.78191885485379,843.6935383256476,788.8249054846428,65.66490928573067,660.2183051179688,660.3088797139292,764.5706110692466,761.3191134437585,236.8585849413746,583.1356850596463,694.3687010373056,1289.4351847624057,1185.3454507431986,1579.8817876423352,1202.5561589312722,868.8338376539434,102.04782589360866,283.02451274525146,728.7922574219054,497.51530236436366,1167.6447300909015,833.4721282452559,89.04345557584764,563.6687683427547,292.0283042587525
arc_pair_115275,335.1652870717152,193.1418568858024,102.17895887523235,341.064238721916,251.67434541521726,1441.4462716057712,478.7497614098155,244.86031277652103,41.25533444194934,99.94327787330982,346.16292381115704,140.1034698396106,204.53698392325077,166.69629987258207,375.8749456560858,120.22207905885877,762.8993019715904,90.16395778432396,77.3406810210801,35.614039002047264,138.15621148267084,45.74132730130873,62.358774722214044,319.58997419386475,655.5267532408911,306.593416300149,647.8117346640379,145.01929034716102,442.7137869257908,377.25581297150427,802.1607101383471,370.46887803778804,131.07840573531195,337.28099873275966,52.29236607393032,63.870793913758895,415.1665056167402,0.0,856.1261243878922,74.05115220457832,215.47161475367957,150.77563162775544,229.79695236882597,1397.1120790887815,39.57139450104136,188.14554188807986,504.77515881575397,209.80831529508202,48.39574447542625,282.03681897236316,217.4834882458393,197.91781904478344,176.8452036631043,217.09074164481865,129.73241409069067,188.77605437787005,191.74959020530963,215.7788427890838,121.29423782544784,262.17582570181355,36.49808572108268,431.1490296617606,131.52098280693062,87.52037479680195,26.46105884311335,916.6704892676172,337.1645048519017,377.36197814085193,243.71444807921299,147.31452329898906,24.481991895422194,219.79167968401003,574.5791354660327,852.8032833411924,119.94350076236545,338.69772849429916,560.9366000572901,821.7877213070467,171.6910605325159,392.34237805637866,69.79350463565252,342.66751001936194,323.16834964244185,248.4235963161681,765.4924134328469,113.4803297039705,304.7106471364752,275.08448618553166,59.48953950246189,64.45956599312319,225.25527265760442,386.9001476290379,247.2440543996339,153.26179173440292,216.75583355771707,46.26015309861069,116.94624711412419,236.43707606388324,185.5515498013159,260.9202433322038,535.6821752132198,51.203165354287094,56.31389151802288,1122.9381261562962,421.15193540158594,941.1608060159477,181.3599410482676,334.0800153870649,228.28401238508712,293.60804108131106,64.04387836494098,413.1263210997346,268.6348793791089,410.4709240804574,220.76192825479558,67.89728530672615,282.0054710717126,311.8639097679785,381.87898762159614,276.4272255675126,365.2006605922069,47.51012763370951,198.13205788955221,345.52628342343104,107.52877984604949,58.06229817234045,99.42054542414908,237.5740959172968,506.11107751969377,120.53941363453282,111.25269612035977,695.5841186157899,78.82512900577615,38.447374644046114,201.02731019007618,108.69526735687892,336.8252434887618,68.64262722192282,50.901389061435275,464.02068453814843,384.80606051101796,631.8565797128794,404.69227960227926,159.20136506106414,459.37093792124847,208.64504044320523,90.67106970276879,107.96699316352542,382.89975340397524,132.64940693944718,730.5204376579712,147.88999220505724,281.5622966457523
arc_pair_496804,123.98379465256326,38.169500329282236,353.63122375819995,706.7105260297824,71.05820477782176,1918.5901191748706,215.69090725469093,122.55938788037692,193.4280271245448,172.4356251155298,145.93303074741442,178.05346025229744,490.5403100451956,111.3971591729829,146.89360626465913,253.81406450438234,485.98370472637384,107.0877130190114,303.012295855263,258.5554032163174,418.72661493913756,238.21589947547562,299.1660512076702,625.8628818938699,436.8640059532837,110.98147166980411,373.3493323158947,435.71788773240644,208.69515219064266,136.8483573319341,493.75857724958274,158.07089705808266,330.2550245445682,116.08337118878956,246.23075240798468,214.74486687307413,771.646846348842,215.47161475368085,582.4632842794393,250.71477777873744,0.0,371.90866685098456,539.0760521002851,1047.0946801223206,290.2984986196271,59.77863045199189,247.57311756861722,140.0849317962006,249.31538751477868,225.58203112331753,125.38444196430825,60.43975318613976,74.25844587423254,227.04019539285892,284.8158609848463,152.18287060217696,465.65775586113494,519.6495409746776,387.5262807648339,71.2339807447612,212.92177438854415,758.2294129365731,389.35775763639134,161.7831156907893,221.65102710232318,620.7353826530398,141.96738589518418,139.72570701457548,81.32147660923265,407.57070162017754,236.8780103911005,511.27992808354486,905.4863434794516,1196.1472102932744,422.0420487239797,664.9976799785876,297.92983253222604,527.6212815128556,438.64798936917055,160.7165732074475,155.21906910756118,132.17512514401082,115.97704852106966,81.44876039779263,463.6904075096271,119.99602768674362,99.74443468073895,70.73283795479514,259.3503988859664,272.5401651479127,72.81708171605524,163.0382401433005,567.8998783460339,431.4455103036459,517.5471008291692,173.09225344136394,86.96290016498023,474.6248796558536,58.23557753798149,84.25738571436457,292.3472846860127,269.04322826298954,190.74099906794135,1566.3820475504215,168.34037988793352,625.8068214043659,453.7896844896618,586.3932226367853,85.08457852386516,99.42235953296621,294.6909964807796,189.19961556237266,455.90467726153065,179.02727721868408,87.42740669764734,146.06033948048895,586.4919180025732,637.9884666235184,154.0973417735535,86.41483043225385,130.45390813016823,211.64742575520538,470.09591875182855,653.9435666525258,317.54090164979397,211.68280383256993,105.69382196998066,550.1193057087019,292.5806020485676,384.5085131688708,372.76426428438657,415.45938037038127,319.33317268117395,268.6488752263746,437.0407893037378,375.1919774725372,169.63967583211866,222.36725493011937,276.1672489824198,769.830105729051,686.5029355135663,982.631822415657,677.2950804155752,432.2515158828853,202.61339395517032,169.24730383968887,373.4849794256728,181.69111481397755,694.6278871934427,421.9445633323299,442.6131731456707,284.46614392064913,95.66271526153825
arc_pair_649551,164.98527701000296,43.37326352987475,242.46658020370154,629.0322371861929,60.1491439101205,1819.8591898917377,186.9975936949718,88.89662534085411,122.31562824001419,94.78057074509607,78.31283348603624,170.2369920252736,396.20239156696937,107.03681929614791,153.23168593445243,239.83333341202396,424.9369632251918,62.00128090206899,231.66858822034254,190.84966031835538,345.99825018305944,213.0184956386971,237.57139982932765,542.9425661899116,327.0186092691943,50.782673751688364,331.14930408301024,350.027248218302,180.95999249949332,132.5540094014428,430.6831207578968,104.98198268658624,229.60843653177244,89.91669151889559,192.74608978822826,147.4020104161176,723.77303362264,188.14554188807955,470.76651671113973,218.66226292530658,59.77863045199176,333.77123962814755,453.79973427323114,907.963452506425,220.72636046650157,0.0,182.41087640213942,158.82611928763004,165.71599376023235,218.18432829652892,94.56265574703222,37.50539073503231,70.97543969378071,269.5529766285849,193.7862690894003,75.08329889261721,455.8257292030412,399.10671081366695,298.2017448575488,51.855283359926894,159.92082279363447,711.1266660079356,319.60558045450637,77.39226835002366,176.38252047408326,493.06625338926796,71.32170231710515,96.99846195668951,64.80789158618965,301.6080422782112,205.92861948141805,416.63806151259,822.1496630043312,1083.7160217787005,332.06061470759903,613.184057922873,215.6849489202249,466.7034510611469,387.81371353647154,159.1598552201825,103.46368043225323,54.971542951918956,115.86219458703705,84.2470225659532,410.42092148551177,58.21619145009448,86.73193854471896,47.53340647827548,217.54004181278358,229.94696981138898,40.53772214303731,123.28489343086187,465.3655503442032,304.6610275901577,442.12957752744694,129.37092601599667,46.6554275151027,401.09590194782777,54.75218263865307,96.24306823337182,193.9408961312372,195.59382813168045,123.60461182825274,1483.2325933437203,140.8116630274845,539.1585894684224,351.14648864371406,498.6322168400931,29.857251596934294,106.74427597189245,206.73624703748678,107.50027158384856,356.372165918719,96.65849891733822,53.87320784660442,85.02521672276704,477.4457010691168,498.1297343307026,123.86642610542148,111.7643396923601,122.89564719861086,184.0492212668652,384.28225289479104,524.4837051152173,259.073463250887,238.32977772554474,58.70460515183514,522.9197976066001,194.9039568591849,293.95286787805173,300.2659544550678,343.5912826357474,217.1561104997284,195.90711249528576,374.88096866029497,335.95791969861114,71.62619537053897,236.55566543934177,196.5425901188049,650.7584790887705,605.5095216494168,883.088651810381,594.272171874753,404.87005224715347,170.17800793486253,74.79100677717003,277.8720716402977,203.05898145697367,600.6730125180876,371.3839297591783,392.4444921956856,287.10107480938933,105.62537585039998
arc_pair_347280,552.4856232315949,338.6091321983061,54.40522102473914,184.91986130832993,386.47579493903027,1172.426402989035,653.057655881868,368.3118531326202,129.68586832176413,188.21370133614414,471.42198953869695,280.0722587162872,84.64773902152658,326.29715889537954,539.1146804469778,202.6741046863948,919.6949047134107,186.34433041881536,46.05427265060411,68.887023217788,45.311586964997154,144.5250336196035,43.14592030962673,184.80012602728,724.4021001528766,434.9015138563531,792.7106752791257,38.44466795672123,609.8582665114563,536.5405686928316,975.5853847011682,481.33078622190527,211.62232771239894,471.67394710111023,144.94813385550836,140.08088765459462,294.4698508332286,121.29423782544525,941.4391319185692,161.33168759297962,387.5262807648322,97.60492748115996,80.24135917657667,1429.012825638689,106.86364451988432,298.20174485754904,637.0350853769582,355.8670370149331,76.67066686966943,434.54860677433004,346.084688276619,328.9213294571376,317.8000437143795,406.25126230287435,98.00744054559381,244.60322916173905,125.23442482505372,59.01571480258238,0.0,395.2876517079212,111.89820162263777,284.2291379837273,46.6309232896858,172.11816921327963,108.95984969892208,1011.5682561158262,441.5306629962209,531.5751965646808,395.03742087062415,35.46103321256666,88.81750568889628,85.86477154670435,408.2115284418846,620.8335171279024,37.67664589343501,220.1983274716409,691.4891700780753,976.0620762544548,73.43610809725759,552.4624295011313,181.95016095518176,475.6828712414366,479.0289671725549,389.88076101730167,924.7311644190797,215.4589252111372,455.83800603863733,433.57514623187245,130.67757999313008,88.55036290459364,356.85043803388083,510.3687742333304,95.63247138157777,61.63455934526092,93.19280219677128,112.60422681780568,235.33309902358786,136.08337877580047,331.9514352976808,417.68617185543434,622.4762401942338,44.225351358058866,134.50754166231354,886.3626293888758,599.2843941275896,1070.6707624218973,89.66069191675304,177.05741953148703,325.8548399633792,454.85150646185684,112.4603670490648,531.9886164531057,152.04497026003128,522.7047261389824,334.8335934854419,167.94373337105037,137.29400354742597,112.60161159317074,518.8858382939749,448.9430841848974,510.9303985549625,175.7380979022647,81.46532510972948,167.26573705741822,80.09295801938732,196.8269673250428,211.4729359557508,142.7985243246186,593.3299584999581,34.38970720750812,32.16271989488908,818.0744454679148,43.607587041776334,59.769240169808896,107.41523595717096,106.32147231295853,421.3101862239093,209.0605451089894,66.99932584050111,278.77095600384166,241.96164211189247,435.074841918914,269.99415188461353,90.11313664476411,611.0604603378032,288.6172830050311,53.57903436978249,255.54257457618252,223.21625436513432,49.308944366266864,874.7367522048837,280.0570194034392,454.09112309660827
arc_pair_588558,137.16156100595876,94.3284784992874,355.91970936121623,754.316069726468,43.5197917181563,2089.6973554566666,148.64763838919922,70.82660555675712,209.5993799201764,175.70566295935416,115.5853058499259,172.23258335842328,537.5446462727622,185.67874536385958,90.59017616286201,249.53819186471324,419.26585608656984,106.69231466291579,318.46705164822794,284.3813480555012,468.38393063143445,256.33333660232427,331.42979891078016,704.1785005152445,364.05785835463087,51.657054169355476,312.2743078945147,459.3532678216167,132.59474730377025,68.56351481267255,413.1269407201778,89.01500669652008,351.962859380006,46.28460294667186,255.00655903989582,216.24737850734692,884.285722309839,262.1758257018145,484.1044995571024,241.11471942854425,71.23398074475959,372.85882055503794,552.1895564678721,889.7107885392554,301.6799660383692,51.85528335992664,154.06328499427215,124.37464154820839,250.37515948838637,169.8052750541042,108.781475239701,44.26263773871204,67.57575302621815,240.70904398030746,274.21507359718186,132.66561630246233,524.2643840789801,508.2559232308161,395.2876517079196,0.0,217.0593347523316,839.1438891216359,398.65864511898087,140.86700921749815,247.32065557989375,513.4780360708143,96.38764131048883,89.82056574033854,53.654205333771635,400.5720259678242,277.45099193103783,467.4408162526774,1012.9812226256689,1236.786256254716,462.1539533214335,772.9410791165578,222.37395695626995,414.99704157332883,483.72681950913227,86.20406951500625,185.24680369745252,65.54482758293537,65.88157915589251,48.95682962454629,339.22497466967997,108.80169415213749,49.57904184586114,38.62384799287123,250.56519356688216,272.8248796620931,68.07497614037692,109.5186123084736,589.104249315717,392.98843497703643,562.5430992612525,231.30450360307918,90.57868216268386,520.2905239001931,84.81906926179528,54.95795417173447,217.82148332650516,282.2551042150444,196.91211283610875,1666.7914404384544,106.30721423069667,523.2835286390663,498.26618187449765,591.5824734855755,61.70702383293105,64.80155397828545,294.1150918006407,100.41994497284708,484.37566971178785,131.36176375009535,54.458821695609295,155.7451358388048,623.0428804290482,656.7566680430433,88.33409688626485,72.58710014671672,73.31626826433906,249.4107057230863,500.36843328318764,683.0539937059993,347.1654403199121,287.1169648364951,110.09988415151103,627.1396726781269,241.68293403187383,418.51976221365237,399.8503231760148,331.1524023771995,297.1665042465743,284.5547083701995,453.29525629170394,382.6754366944253,125.84411088717972,272.20389135365315,303.5089883687988,829.927360266576,755.5669652725372,1061.7305657702943,768.7800742412816,494.29815639407775,135.75007619065474,107.66782378129413,352.89336434214954,215.53993794236942,746.0078790419275,444.3734826782826,383.9738328130333,283.55183625237294,71.45302671294327
arc_pair_718797,235.19470833581323,141.95291048159595,106.17629013355699,467.78718887933684,144.36651956920167,1697.7013815179462,285.63802265854014,119.70378692450745,33.896281553579925,46.68585093257651,190.54574170798114,135.1361901052245,262.0961345984472,162.1423167338354,238.0700107017329,142.466748862127,502.47601753747654,49.12244988419152,113.5150500025769,79.70540414469755,219.19254007000885,117.70153765137141,117.73015687627762,414.7034085963463,408.4005644036015,139.1031778168635,412.9525362031005,228.72466898942952,258.29264047250103,220.3870756455125,520.2922134554241,201.34995613302615,112.40446525384105,187.85907929681187,102.52999817997454,71.4248152373558,579.8193541657279,87.52037479680367,546.8498156614982,108.80132360256965,161.78311569078917,209.63710709136348,286.0633944855501,960.4347121594311,98.85658079704118,77.39226835002398,273.711339867728,156.59212480616077,62.43266113840026,178.0048325339729,135.55167578926023,101.84115755833136,108.27032124057386,221.55523001559186,101.02123492129611,97.4401330813923,327.2630309000071,240.4344106403581,172.11816921328065,140.8670092174974,59.09123326464225,581.0087507252435,198.98507531610787,0.0,80.69113055074244,560.5735696782293,185.1532833016514,202.1085346788441,135.31996702329454,170.9448109809352,99.92141958071684,251.44552369012666,679.2843073380373,928.7274880530292,206.28653635968863,473.7601698332042,322.33271907889383,526.2474964875139,270.6783694987326,236.95756661904457,65.14553495276274,159.37105798882683,205.94354237868762,146.5498426629393,476.74657295019534,41.980881798293176,181.58184076584283,128.53052619821636,98.79067914635667,111.91402982367025,123.20368292054114,217.6100795962167,319.6665330745975,150.58067916379622,311.4296526134069,82.83802270320187,56.50982315431486,291.63828769179435,134.8635404629976,169.12883752207932,296.4764014482315,85.45989545749971,47.165401070389606,1326.6987077269594,250.17245981020451,637.8590431982009,216.31648311374337,367.1459991843045,110.14325171140746,179.23448647906736,105.63275675942765,199.6873676876831,275.21260136757235,202.699528261221,115.74698517528137,41.53874457292923,346.03493722600695,354.0193062566018,217.1739632048257,192.63599048222943,218.35862183796,89.01938472926682,248.44432092244796,364.93687108869585,155.66340255262037,158.09573275564546,47.44211231601414,379.8733881365378,275.2393044301854,159.60823667276378,173.97991856018456,406.83738175345957,91.69029484812388,80.29966984325257,235.62117021025452,210.701497467583,160.75624575178577,147.07267275344427,80.59363690777977,519.2342349472364,468.0374037340414,726.948903911181,481.44437013181647,275.1144439491204,272.7726193668416,75.1820174098336,128.50442164170923,150.02175125609543,457.0347695271652,234.83076379658036,471.0427478546441,173.2864044106304,174.48581531347094
