,arc_pair_221519,arc_pair_161493,arc_pair_48468,arc_pair_684529,arc_pair_206257,arc_pair_249616,arc_pair_337111,arc_pair_290847,arc_pair_726656,arc_pair_447717,arc_pair_218228,arc_pair_307657,arc_pair_48188,arc_pair_147702,arc_pair_169201,arc_pair_694660,arc_pair_25587,arc_pair_542791,arc_pair_682126,arc_pair_402982,arc_pair_578116,arc_pair_307953,arc_pair_313438,arc_pair_203062,arc_pair_197122,arc_pair_27742,arc_pair_255622,arc_pair_139628,arc_pair_58054,arc_pair_557730,arc_pair_610128,arc_pair_283483,arc_pair_370771,arc_pair_522221,arc_pair_624573,arc_pair_144158,arc_pair_257950,arc_pair_115275,arc_pair_593564,arc_pair_708260,arc_pair_496804,arc_pair_247784,arc_pair_230744,arc_pair_364083,arc_pair_511862,arc_pair_649551,arc_pair_489657,arc_pair_270697,arc_pair_446116,arc_pair_148500,arc_pair_90669,arc_pair_656372,arc_pair_664080,arc_pair_257072,arc_pair_261455,arc_pair_547258,arc_pair_67750,arc_pair_720681,arc_pair_347280,arc_pair_588558,arc_pair_594469,arc_pair_649403,arc_pair_599471,arc_pair_718797,arc_pair_695283,arc_pair_516918,arc_pair_724174,arc_pair_260376,arc_pair_551617,arc_pair_358495,arc_pair_450035,arc_pair_64470,arc_pair_665109,arc_pair_726873,arc_pair_461800,arc_pair_156269,arc_pair_269928,arc_pair_242245,arc_pair_384979,arc_pair_51712,arc_pair_595373,arc_pair_295568,arc_pair_142660,arc_pair_495861,arc_pair_167650,arc_pair_82729,arc_pair_169398,arc_pair_435729,arc_pair_653762,arc_pair_644674,arc_pair_365022,arc_pair_716732,arc_pair_692544,arc_pair_134659,arc_pair_639703,arc_pair_632661,arc_pair_566053,arc_pair_129381,arc_pair_271027,arc_pair_493828,arc_pair_336359,arc_pair_621082,arc_pair_731860,arc_pair_323321,arc_pair_462000,arc_pair_43532,arc_pair_131562,arc_pair_119264,arc_pair_625567,arc_pair_16513,arc_pair_101269,arc_pair_176092,arc_pair_523521,arc_pair_551110,arc_pair_521750,arc_pair_166773,arc_pair_532740,arc_pair_700005,arc_pair_474346,arc_pair_460240,arc_pair_594335,arc_pair_24655,arc_pair_278581,arc_pair_75573,arc_pair_641885,arc_pair_292663,arc_pair_39421,arc_pair_703887,arc_pair_22407,arc_pair_717256,arc_pair_89302,arc_pair_714315,arc_pair_464015,arc_pair_674772,arc_pair_280409,arc_pair_388971,arc_pair_674359,arc_pair_172674,arc_pair_217721,arc_pair_649523,arc_pair_492710,arc_pair_297765,arc_pair_208250,arc_pair_713999,arc_pair_564013,arc_pair_672184,arc_pair_649903,arc_pair_729575,arc_pair_642267,arc_pair_149569,arc_pair_281486,arc_pair_27275,arc_pair_723396
arc_pair_684529,903.9752466467369,640.6400449770478,267.0030321689489,0.0,721.7650220136131,824.0453635600477,1087.927926601441,725.1307692157244,392.26077170474673,473.92999102013346,839.6556648275853,577.8045400944792,94.2822760905169,613.6481397346517,916.9164879181518,478.0660040158894,1429.320207523926,472.50879603549055,243.6278209891732,276.40027268071594,113.5417975032818,369.90161716982817,213.32499784942618,81.8696564258795,1174.9343756119001,828.6936138510783,1275.8220846794352,145.53459385387396,1026.33228062462,933.8426155674366,1520.576709680565,867.7320710775393,455.7570932593537,848.4830446137729,375.85369764287753,411.8438341305076,74.4681885506874,341.06423872191885,1484.569709620017,414.0887887737416,706.7105260297789,278.0982279093082,119.09197770154277,2087.994970911477,326.2968507401855,629.0322371861987,1101.3068443694744,682.4143127957564,308.34215330757155,799.7283769935864,673.665591119072,671.4034518190905,661.5603100905435,716.9516523593743,338.8933727685715,560.3920013320795,236.0184039466413,131.1801525943001,184.91986130833018,754.316069726465,351.7605456723916,70.59818717183714,159.74511851383954,467.7871888793353,332.1176837355171,1575.0818359214586,780.818572720283,945.5142104139879,747.4612771154588,185.68367553247367,306.6133519824652,207.81189528591773,217.91763461823575,433.45942163754074,165.31237265673897,53.65997701802654,1152.0988071368245,1498.1862055792583,107.9099508861005,946.574071344884,453.15881854074735,874.7951964165402,836.945249173667,735.0615490684363,1436.6342051315821,526.5557863173689,807.8534630730285,822.4627835228914,376.21728138771977,328.77314096598445,704.2310671117764,912.3892542044591,85.07517603286466,260.2071886873327,68.3578598655052,313.89001282019046,540.9493931894265,87.68557310294726,643.4511674832394,764.2353020115463,1064.6987308357138,246.18445209226886,403.2096423831569,589.6354511027253,994.808259295197,1632.3480841093992,216.90348919989577,103.44221338509576,665.999783426184,812.0195868535095,347.0692380857458,958.5503630631581,143.03442745615308,943.0208083790386,677.8976506649035,427.8032669470021,65.49865892270543,115.69778141332623,909.7526905676739,791.0466618083037,903.0673089208168,390.96254663053384,75.14916076936557,98.31858008986066,172.90415631324913,417.8305439179705,507.087358571523,75.37179272493677,1048.0153830082747,201.50702270489535,137.74752435665036,1331.8587375294214,260.733465553939,275.39619827284315,132.89198295372876,289.16926353687694,789.5749038419052,442.1861958462747,280.40898378156726,150.84008914977144,111.91213585185203,237.07869133835308,167.31241164143893,135.69250470690793,1042.3271604534061,640.5333707441395,273.0385242737395,518.8114439557592,82.93093486776985,170.99681522927992,1391.2770851821215,552.785927177587,830.8225214853712
arc_pair_203062,889.298761285091,544.6783598914897,238.65970332493148,81.8696564258794,679.0527518553927,705.5998340608731,1000.6190058025004,694.653037214454,346.5460467726246,418.08879152519955,719.7790902594555,581.5485156702271,91.14598236108752,542.0881958099964,888.7249036105189,480.57573898265787,1248.1169579526581,424.3023245534775,245.64752976510206,262.21087172879874,122.96231359935862,373.53968891463404,225.11861129303253,0.0,950.8222230970847,744.2790010900283,1130.7639557887637,166.9001065753246,982.2772645737344,892.6122876110541,1359.4131133210515,762.6484590480243,394.0469775775141,781.1825544608789,362.39999085120945,360.94204478034567,114.95393233800307,319.5899741938643,1234.9989812489437,416.6622078066647,625.862881893868,325.60083336747533,168.0400307418071,1780.5868582914102,314.66244351152494,542.9425661898977,997.5704702942872,689.2147807389348,264.1833133545494,800.7347661834357,641.3923191157382,622.098873503001,618.1058795212674,734.3833307720314,312.4846669346185,454.69950435585685,307.20047184681863,146.9010775195127,184.8001260272794,704.1785005152432,338.0746454769432,94.11681589354112,175.67855509292602,414.70340859634587,304.61889174267924,1331.5238916558405,665.2838768663491,849.9405153957563,705.2264543669527,193.5276785326531,288.8008511474896,251.56336716466993,163.6571051504742,365.34761262206723,147.8408586153879,105.51924529151088,989.9816763860998,1370.8636231859855,121.41889665365753,915.5583784564395,387.8213311986445,785.8394407288332,801.1702265560693,705.0785111351813,1356.82453179115,458.9331781182143,767.7567856625302,765.5794194330297,390.6412738709709,326.06789386865233,620.8821080516416,800.6487569113275,113.54107863895067,255.02600425411407,103.42328339625213,241.47013945261386,485.7396660992092,60.86793033468491,552.3215143774501,749.5034278152978,885.6723347940671,228.92801721669017,357.6712262385196,533.0267325668876,945.7028190682419,1403.0215941685617,219.57979003169794,111.97803590671444,559.6569732377429,771.9150741375018,327.8227918210524,853.7735631803027,67.34610789405835,791.7833238448025,630.0266405643996,384.84627283636866,58.110465611432566,104.500716304182,823.3148199940973,761.7230004462084,841.1225237119412,394.7174921446922,92.27406624515893,96.02802082401728,171.41085580683747,411.11504860167923,461.3879794247906,150.8832482257565,845.8354808826467,193.01450882860522,153.54872551648484,1149.3481466240908,241.09081315067553,257.31742092652695,170.0985200283813,338.42540393403783,636.8170421557626,447.28967683454846,255.93479082008028,70.68620940306856,77.24543047494089,193.74738306669525,83.28823848669056,169.83891185571358,942.427751459241,558.2635756843512,273.99474653820624,513.8712681718074,58.96967954558648,220.27232330234747,1202.0875131578975,574.4801468939588,813.1279485775593
arc_pair_557730,127.78571177917843,179.7204823233024,501.9451070452039,933.8426155674312,77.90876338451224,2386.7922967183713,87.12053727725846,94.98024321527112,324.1519538543513,298.75542867483836,159.84374283951777,209.8854816143333,706.2182464103954,303.0863608701774,37.23921259049219,277.11115306938143,354.76885555476053,196.01067946727807,419.2175598285267,413.737043520665,619.5237484046714,336.61003343368327,449.7199425675445,892.6122876110486,385.4166746963505,76.11765252151567,228.19003174722567,609.6427311685469,64.907653556628,0.0,346.32456082810063,86.09021794046227,500.27831074871887,45.55935275083311,376.3980619532664,339.80430553499144,1058.229630325061,377.2558129715028,488.02335715947936,298.37013546635706,136.8483573319363,424.87077002292784,685.0386519217317,874.9952147874002,421.78133047703875,132.55400940144153,115.72199521612865,141.56995308295163,382.9073792377837,161.83149995644214,145.70290733836603,99.49779503189069,124.47042532487323,238.7590806993553,365.678830723092,258.51396461038667,598.131357911546,658.0531501750468,536.5405686928351,68.56351481267036,302.5351917106091,1003.6368965759898,516.5068617721623,220.38707564551027,345.05525584859396,478.0654163049805,147.4051556112949,85.62745925711806,66.178767210726,535.6288258928909,390.2176846630103,574.2273173617682,1201.4815717376455,1427.8632133847113,631.9932001490857,927.7844844593495,210.460788634135,296.4881101206643,625.0643905534888,44.98546717178268,314.88845444228645,115.15794887203029,46.136339547725164,62.63303678110741,214.82689819818785,200.88187359388854,51.33467264598657,74.89629406423923,312.5268401107174,365.44007684435877,179.56673971090964,98.57301465779103,751.9826470994458,524.0491411554567,714.3302105727718,364.3140605012845,162.49584998990832,672.7869978604213,146.14763556910566,65.67891073828311,223.07361810587304,404.42234427109736,310.08550983379354,1909.6107949090372,64.29353150761015,475.81010171345486,661.6688332132018,715.0503403592737,143.92860673892025,60.60455857672791,426.5522249504383,107.6682588590806,631.6688930650835,156.77886031418038,122.5778625133947,256.051804070016,795.9249073098881,842.9228338688453,61.36186822647065,65.37270098531108,49.75685025967323,337.3220312685687,642.2428170750444,847.783068804941,470.1557232014782,343.3733624976755,194.84779136656758,764.7370745300866,271.32531536682654,562.9555797301277,534.160760369676,270.20821917241494,427.06205689243603,406.1572107503646,540.6335617084252,467.9540134668532,187.08495921184252,326.1360251053427,434.6750104432952,1025.0022259343611,917.7128867822939,1246.3211543303998,944.3010872885959,607.0885142164113,104.31969531261691,181.8570438870526,494.7576157247868,246.24383249119833,906.1494389410517,566.8103068554414,333.3536342248473,298.2329503848123,81.22083049205318
arc_pair_522221,174.767317572194,132.07532061896302,438.9031459905805,848.4830446137682,68.5748300099533,2188.8239135628164,87.97436550134987,103.59796127955164,280.5109145540876,248.4573102919976,85.81271617734829,224.20665239044624,620.3741695291791,251.7991851828053,70.87581880996714,284.0085752848029,325.32811659463846,155.43381814058827,373.0829866538479,365.110637866585,550.1361943849429,314.95793535853034,405.4170692523102,781.1825544608804,292.8524026459396,43.67049194813153,218.91346459232187,547.8279954588407,80.52794249887263,45.559352750832595,322.30536159247475,45.16932479576665,439.28493692724385,0.0,320.6208423212338,290.7618392266683,977.2690291348393,337.2809987327583,409.85863615411876,291.6924075460277,116.08337118878886,430.49584065505286,632.6827207933595,803.5012055343882,372.54442583386566,89.91669151889496,90.39292121476595,171.20725341887413,318.50780816721516,210.04062491916997,142.21290312376814,80.93502755242477,120.86388272413186,299.94679582198637,306.70133798464724,186.98877164554318,580.8227024770794,586.3179479187323,471.67394710110705,46.284602946671804,274.2578405640008,911.6224869202031,451.3396068625519,187.85907929681076,305.35904680444287,435.3981251502969,85.0489198181793,54.02360072858451,66.17999547976598,460.2686621461702,348.41600113592494,522.7900068548637,1100.3726262358957,1297.974651280944,548.9517703781763,853.0963169385643,149.25013285702713,321.7212033361835,551.9074355212797,82.92749033501039,260.3890964471711,77.66172125188493,66.26507042538367,68.26936690448194,247.29653800494265,152.07599589490817,46.376839559464514,73.52635141821264,313.13357011007656,339.7158315912581,120.47051194357478,58.25588617326279,664.7473692780839,465.25859641261104,641.8796012923369,296.89704968156116,133.8497162997044,577.9226153723865,102.95202575594188,84.05885149723089,157.0323496656205,348.0901684488644,268.22660540069626,1747.3368407744697,67.76020905215725,423.3982513221377,594.9303768625455,631.6233713439435,80.12331333783624,70.85192408091035,364.7442556357082,68.82140167414218,540.6530646403495,95.60673681675536,90.68379236801105,212.2268287307125,707.1267467949956,734.6141044731253,41.96954672215741,93.77056127786457,40.42068361925069,315.5407182076684,566.7690966004317,757.0013833715695,408.607402020721,342.4433024561088,162.30789282502934,711.6800622417512,190.75119159964606,503.02106925338035,473.3802443889914,253.08040488858245,367.5066118872742,359.5377159695593,499.9101083420509,446.0668726745053,104.31173926448204,329.84559445747453,382.96934138743774,910.9085070409391,831.2044091222563,1148.034166554722,843.8716048291061,558.4073191487385,77.02106782630725,127.53465276336401,428.0674300515214,260.5065722070623,816.9579929228355,516.4281594669781,302.2897582022337,338.7253244588775,102.45505236940545
arc_pair_624573,362.610269211322,202.75399811627577,137.81523373211064,375.85369764287697,224.99958161262768,1439.90608635154,455.127300210965,216.8804414967398,60.28368413763159,105.3840931236999,341.2004351307295,119.98936747536276,254.63453065923633,166.7826817110273,363.6628566981815,107.68314308866185,739.4382401126213,80.02451873530622,99.49009861218246,73.2795115078247,180.99304185994248,50.75125779368912,97.75346127608353,362.39999085121116,627.3929072533513,285.787123621861,617.0558093734002,168.76105298746864,426.8025338980825,376.3980619532684,781.4288506624987,348.25174104863754,143.77304867341516,320.6208423212324,0.0,39.00288516245296,459.53054012923167,52.29236607393029,845.220410776092,73.97537310645808,246.23075240798687,173.15674466414586,276.835153415824,1402.050159219361,35.124461829540444,192.7460897882298,477.9377426311337,203.03488969036079,65.61904980138247,275.41018328551587,178.02233029448288,181.1618366146619,181.8938456064781,227.26323408249678,141.58925049532357,167.4835840270655,236.43300183069442,242.83030962086073,144.9481338555091,255.0065590398962,47.508173828337846,463.1350287072103,132.87419209711473,102.52999817997454,42.94603966010907,900.3742876384669,309.5720512061479,375.24616292529373,226.4403139032365,152.56936262650743,62.556869620983875,222.34052151627165,620.0969380258676,853.4944084279699,155.31908029294004,393.2218657925816,530.5593852031235,787.2851244700399,210.82050163405194,385.97932274408566,80.02331525794523,320.31068825804425,296.92713655813,230.52482869416892,734.8643144684239,103.93955965442834,281.53899845285304,278.2808634955737,74.7775628700784,94.22605433928659,216.75859395591604,373.12964358490035,283.0715171206385,155.98980827796655,257.52609010054425,71.45308818627669,107.02567724330767,268.15955890705055,177.72440584720746,243.825150202408,516.7338613468129,75.80292975914001,50.42784688380237,1115.6050543169956,402.0710572176259,913.0309965255799,236.56099644497388,334.0858694689655,200.93109358977466,284.24060018691057,59.970110582275325,395.9983743969103,278.37784667976024,406.2643427857195,189.54407303628892,54.314050386493406,305.1891569743338,346.43064215878906,366.3084187172116,267.53847189425153,342.4811282226389,81.50940787219302,233.1641743648316,394.1295002968067,125.18029348395288,97.24713703559011,92.17295127321717,295.1597734331461,502.75892160406596,169.0208646547155,149.50303746798957,679.8437971655333,91.80175971911936,64.62495442582133,237.84922776768977,114.17898469537714,316.1760635802448,73.46030239176542,94.52684740062156,498.3021482375081,414.27698106395667,664.2990538228797,461.99755678041487,202.98073235045518,438.45931547251797,179.01470971569938,103.31349110842905,107.99730104983401,410.14755616097017,156.23842168045726,733.2116638165697,143.14799795481633,276.940969945167
arc_pair_247784,433.89877083243323,358.5556354503426,163.1610491241192,278.0982279093087,317.2107360786719,1457.021878313149,538.1803857014346,295.65514971914916,190.9190062556075,276.8308704200888,514.7368806588267,185.2718370939232,208.03574258252536,364.9622973200775,395.41570245496473,103.81168327499044,832.9950439688947,203.58477652626266,77.31430627353828,127.805409823578,127.22862251727364,97.5377987904225,87.08911922430194,325.6008333674775,761.1553681112186,420.4773269071448,679.4111838461033,119.98896174296976,479.3830028210124,424.8707700229275,883.1954159104896,453.11629660027864,329.9934295825558,430.4958406550508,173.1567446641447,202.7356061458291,391.5441233508609,150.77563162775363,964.1885678106718,97.90432158706501,371.90866685098376,0.0,131.03096702289932,1499.1929241624775,142.04445785633885,333.77123962814744,590.1104201954531,240.65732451628062,162.91062754669906,311.12632430782173,278.93052997286077,297.2350546381928,282.55602813186204,257.81968715600266,135.05831075158454,334.82567127325495,61.44393665560502,150.46724735757806,97.60492748115985,372.85882055503225,107.88418774097124,354.9500026323344,70.25107175257796,209.63710709136288,124.35655962943964,1007.503175839694,479.6738161548295,510.7679629167661,318.58173328428717,100.33751170231587,111.34499951705789,78.06833715558584,582.95499078991,788.1447984716755,154.64892294430066,304.3811032007627,679.7099029514433,809.838190691161,122.59514895858871,410.7168059833434,261.9281580862414,497.55576004914144,353.0829985698417,297.80672972836385,761.5183070278297,255.86987717362297,373.62906524863365,400.0852745128251,82.08458637447119,83.84053933180603,406.80429397473483,474.4543132578579,187.1814261549879,139.5925236148261,178.99214863770075,194.60806316657042,239.41325645644264,230.36786426524415,325.29123978138693,310.98889361466223,661.8790374586631,102.75656320490287,189.93949005988873,1085.3931338501707,508.09939994558323,1002.8870640024484,211.27151172336875,224.77845338884603,372.2334271196013,344.0590904053585,162.35694896878897,541.3977926569177,266.57118262467503,572.4166923655353,318.57288209854426,202.52799405771967,260.0016153084953,268.8779640225419,451.8500400103474,320.44610697263846,424.3041372345892,184.78711555002735,159.14637666169222,301.1741700735006,129.85815537202785,128.43352099969744,232.81885657771645,164.52656071413875,648.3255102390682,136.54384408013325,89.40222160034521,756.0214691666473,110.60373299303431,112.04483466242432,106.0226388343693,65.90558593016922,494.53403057995155,132.63870766046867,145.2833168989293,460.8925017451541,357.849218403419,606.4085557210658,431.1798308835022,95.08271608285663,547.9991718979035,319.5857828923022,116.10170364137643,158.0765655255037,335.10834882048755,67.44823054990027,821.9307584952854,158.18170224173647,350.82194873581864
arc_pair_270697,117.63194144123251,180.48221548120046,347.040824178398,682.4143127957726,99.8873804902474,2177.8354022520934,223.48136625718269,70.54305697106237,194.70127777675535,194.17227440935048,292.5389052475608,49.55105277202298,524.184161688154,199.20989686561245,105.98905778490798,115.84776106601292,519.1853039356916,97.2363185088371,258.0096685488776,243.9046629215664,419.9238682833778,146.2384265683413,270.15103161578355,689.2147807389326,564.6591736945396,168.71427621059004,392.583180578582,417.1275742452243,173.16298352627268,141.5699530829516,524.2250963532243,226.56775364370677,344.9877671604835,171.20725341887547,203.03488969036155,194.21975669699,809.1331509784436,209.80831529509,683.7406598299359,125.65434433256164,140.0849317962004,240.65732451627886,478.2280219104753,1111.7630939931826,240.57141981348607,158.82611928762958,290.3214297958463,0.0,249.3441058743726,67.8633473869209,87.7309088219991,82.71892392660978,64.12455503155738,68.94806997783942,256.59375605208703,214.47099349001414,360.17730489995546,471.61217165927144,355.8670370149328,124.37464154820844,146.88958000596702,764.2859762950156,330.38998790152533,156.59212480616011,197.8720741126537,698.2432108496988,283.277233555716,225.95345542138713,86.38431523781196,362.6041274469151,210.09345827675207,374.24497342690404,1009.5944416246198,1250.8466948454104,439.9241551276484,703.1337503912797,395.7075443901586,463.80423413247047,419.6800371596018,103.49162089130905,189.04855511043885,228.10301289357218,99.16450213687195,57.07838541231537,382.9538008625694,122.90216000040574,119.18778369802577,116.14008977995978,142.46436476102107,195.91003170376916,190.23030539555216,232.9011068764746,547.0693477999918,364.03824043993774,511.63039708992926,240.5372865074379,87.90594841931767,509.00599466711833,145.64477651091957,57.65245145932498,422.54867521376525,248.73019163194095,176.92033187344757,1670.850094906967,195.8774010460918,673.6726268198751,478.78903397469463,534.165152674989,192.74809243419796,95.4136051360609,268.5045279550194,269.2243228821627,512.8388315052498,323.3841411407866,102.28586946953149,141.73300332966906,603.0418698909248,656.6890421578508,193.29606810736485,71.20158191441642,146.49704000330718,196.30974866466218,457.7035864328782,662.7984761560095,314.51072430120774,174.74702110422768,98.41177183368681,515.3975272869822,427.93544607825487,382.725006063437,350.65502850060966,465.2177701127559,275.2324429826804,241.3708654966346,372.2321995595624,258.8960936559735,315.343269564003,129.68470541762366,278.7178492662321,848.2526368354384,720.5067314877109,1052.0519529469473,778.1396339020181,387.3013304176315,256.6945157744972,153.7687746764455,304.3670992216983,82.34109900644265,712.5459184708963,357.0225225819219,508.7133182577421,99.23360120249434,56.53271223244932
arc_pair_516918,674.3723305504078,607.5177703461097,894.3217760871404,1575.0818359214588,523.6083211535952,2992.3242018662245,337.119990245221,505.72294059464434,746.7386701296948,672.9723163204116,393.0498103382211,767.2406479034071,1165.1158658302609,787.490885248468,524.6539266712384,795.4064116655969,141.62970334680264,614.6442986145074,894.5812828291555,905.8669537269568,1145.1767353767073,917.1093983981713,971.6029924130121,1331.5238916558442,123.52202545954283,368.8081195483851,204.98354676381587,1210.7221949218663,402.79682689590953,478.06541630498305,161.21375033847423,335.32690414171105,861.8213482850118,435.3981251502965,900.3742876384866,777.9584945098271,1792.9647467734237,916.6704892676173,73.95870850075868,835.275270848924,620.7353826530398,1007.5031758396872,1204.646628652503,250.54104033177333,939.872454088076,493.06625338927563,265.5498969298949,698.243210849699,793.5956353454194,610.6446094557427,597.6205831663856,539.5835497492376,609.3269087888028,887.5702976467577,685.0808279991609,531.8182333186846,1325.5520120965268,1091.9368062935919,1011.5682561158317,513.4780360708147,789.2593261703224,1688.6925306499058,1036.5507908284765,560.5735696782294,843.635342215758,0.0,445.7165968143286,362.7697407664006,500.3215805235551,957.4784780550697,911.7438685285094,1054.2204194637698,1746.9848355794304,1872.4268597993114,1126.4198824098664,1587.4087254248966,190.7778597052383,190.0478321641865,1165.359537883461,493.96155409842424,734.7269247363303,434.646129152075,544.8083612878371,542.3833720142636,281.6308594050505,533.4782217361432,511.92044663942085,463.31366167276695,862.0269990218982,881.38755352895,537.8268713351027,308.11177642435183,1245.2682767126453,915.9065570436231,1314.8478436568257,815.3844737830423,579.3121049228714,1111.3368603965407,576.1298189427378,596.4199847056711,212.97117752340642,864.3934097953428,743.5010791408746,2556.2870379256087,456.7655979239255,83.80700504848035,1141.9248067637243,1138.9358612917124,450.6258976861723,523.5433598626819,911.4536854894654,313.4305218826994,989.974768942598,281.9443078872851,513.474199466655,683.592283161512,1330.8246562882382,1224.516891952458,374.873154186963,608.0478956066715,414.04120250633866,907.2597816675618,1117.678887696669,1242.285226090227,939.1785734622315,964.9411082989304,617.9610527038269,1487.6336788604965,142.1624259775168,1019.8797775711943,1043.3910677435424,99.70595118197032,847.2121239053529,884.9513198575041,1018.9874406410644,1138.5307695832832,316.0608098077134,950.7436661821956,892.3574318897012,1429.8619973117834,1420.2494455746717,1777.3810599754695,1385.0212579928273,1207.2939004259867,331.62242945590157,392.5070033133812,932.8997407113658,845.3730661798609,1397.1961030863424,1164.283482437715,121.61625285748336,905.8446418708307,577.7179168590425
arc_pair_461800,618.6513960287781,352.79153448250014,60.498764376457075,165.3123726567386,453.8540088250636,986.1178338083924,739.9708792130078,443.68918702971985,139.53724853245456,202.22783430901563,509.055884947706,337.32869362823766,65.65295981651256,325.64962238309363,633.1410743616061,262.8367682710845,1015.1589512036556,220.6412532419582,64.46335866266956,66.233838151587,43.3398369039044,168.7494933840966,46.10755637735797,147.84085861538804,791.3165105847894,499.8255471285886,894.100160192451,47.64164928550544,714.9339485714888,631.9932001490887,1078.7769156835768,553.0540800198091,201.09420923685278,548.9517703781751,155.31908029294004,166.71397839819437,228.89424701559466,119.94350076236464,1048.2889655770157,210.4554193598108,422.0420487239817,154.64892294430032,104.35629876259489,1606.1861370471488,119.07189456725452,332.06061470760017,738.9885012813876,439.92415512764757,87.93653575694961,530.1387031301647,404.65796443282164,384.46825708548664,371.52982099568214,469.3140460977597,135.48208393462224,273.50001171312226,155.36182330342575,84.33486545090679,37.67664589343499,462.15395332143345,137.37591981023667,241.55000525913078,67.04385792593655,206.28653635968772,115.17669474145698,1126.4198824098683,483.87122706241206,602.3148080579899,458.7053690830644,59.8667205088508,95.34024667838575,143.7957158441332,314.5410877418616,539.714867054878,0.0,179.7426527240579,770.8290786891478,1108.7518967604537,79.883004991784,654.9438682515225,187.4812126692292,526.6840072980541,556.7922714746757,468.7370144944296,1070.691047132247,247.70573755428032,528.2584204035555,497.79222168513695,171.73420931214795,122.08750598715947,388.81667680078505,586.544848351149,109.04245188034264,83.85404074636071,92.67001688672671,98.0916267340164,272.1565485726312,117.07259192244761,352.17398378776556,494.16882454494066,694.8107965050714,54.573557856169785,156.0626169578417,750.9690409275076,686.57732307006,1192.6405494385383,82.7170107268018,202.88209494799344,364.7422087421725,524.6244378442926,126.08832075470933,614.5592800751407,144.31228020344844,582.7342864619201,402.5547278160586,184.79794462679914,116.33751447147081,116.68563937284124,598.093039029619,517.9291520050597,598.2406834059237,176.68916907674569,81.28626596551251,163.02187317493093,88.1807804388427,206.10909100744283,243.57092831513933,136.4415626616923,660.4531480231516,38.66351237250333,42.943827176556574,922.7944776704006,61.32282697720059,69.04856770635324,144.9026575904633,133.75034847006754,454.4661222585877,233.0745980824811,63.13065617517816,221.69650156672898,187.72753778862014,350.8882966427034,201.80871622025865,104.39707902582741,693.8778804762948,350.23680366726893,79.35945375464266,293.583989638819,185.56938271597969,67.82869189756693,974.0171943912617,341.9092330909251,539.4667336686678
arc_pair_242245,438.46611720626834,553.9771999605863,921.8053350154398,1498.1862055792471,387.46429060060234,3194.1080973426488,163.73539821636743,366.04733841907284,707.778982163611,683.8821404173199,376.64050891897904,555.6995172456262,1182.8065951158922,730.5909090358913,280.6683992945204,579.791698469008,92.70402842824006,539.206732272677,802.7623889470534,843.312478588379,1096.0559334249965,730.8617621850256,878.8047292689597,1370.863623185989,204.80747047137834,303.7142248354636,63.97673829025656,1156.9616177690739,192.134564730254,296.4881101206659,73.21041979039269,271.07699653752127,916.7111444789412,321.7212033361823,787.2851244700429,744.7835738669132,1691.563091944465,821.7877213070466,229.56631125060483,651.447135947501,527.6212815128633,809.8381906911512,1142.9163023875888,526.9104767572056,843.4604254587379,466.70345106114615,169.25398314949126,463.8042341324673,770.8564507657696,398.5932233950888,464.4048073960617,427.95607660665354,488.4887250064504,604.0034887713049,634.426816272222,580.5725557789754,1079.2537779288136,1083.488567993282,976.0620762544547,414.99704157332803,672.3463588327007,1582.5408615769893,928.6875299616996,526.2474964875114,732.3819132788135,190.04783216418778,448.85821893395234,273.03238241853904,333.9902130885354,922.2590910200659,803.6542446038859,941.2903918214905,1806.5479358280022,1936.7693130969603,1108.7518967604522,1498.8330359324423,165.69689580903895,0.0,1074.1864876012107,262.6280584423777,711.9765724663,422.7562710209071,330.49007416800754,354.44495748463305,77.98332971082104,493.8815055947657,333.1100945644965,353.74800937184546,689.8258515597962,759.7539011661049,518.233741709914,223.28279003844258,1204.2433124069667,914.3728616102328,1262.4722369859962,799.2194803551865,498.6116471362262,1082.5618998943762,481.3814450189965,381.41036738227734,253.0528332042017,802.128511294418,709.5933354623238,2618.552304877587,288.3722861158146,152.07987178665934,1171.184622213468,1090.6437615596903,440.7907294206924,322.9277026908789,848.4448294249153,278.2263404105794,1025.0843330691996,313.13349664730697,428.853059909183,621.0713054539282,1335.777186210801,1303.1761854613014,235.28010062683796,376.5874895710883,259.05051377775044,788.1982925529726,1078.2145007359018,1310.4850838879327,877.8946356340241,753.5047716456048,542.6574436755731,1342.0989431606558,233.93367982227784,1020.4968979824843,973.3296397909554,79.91923418650892,816.1821763055682,824.2903846950707,917.0869084803054,927.0481562706842,378.324370797017,729.9724457560368,865.6129328393083,1523.2282944721137,1410.4395089403242,1829.0745983084287,1438.5829739983621,1062.1096750240145,191.9945950044476,388.4698443565096,883.292588701885,623.0505161022554,1386.0097566908428,1014.4715513308635,98.66322342276591,645.3508362799067,364.5033102861056
