,arc_pair_221519,arc_pair_161493,arc_pair_48468,arc_pair_684529,arc_pair_206257,arc_pair_249616,arc_pair_337111,arc_pair_290847,arc_pair_726656,arc_pair_447717,arc_pair_218228,arc_pair_307657,arc_pair_48188,arc_pair_147702,arc_pair_169201,arc_pair_694660,arc_pair_25587,arc_pair_542791,arc_pair_682126,arc_pair_402982,arc_pair_578116,arc_pair_307953,arc_pair_313438,arc_pair_203062,arc_pair_197122,arc_pair_27742,arc_pair_255622,arc_pair_139628,arc_pair_58054,arc_pair_557730,arc_pair_610128,arc_pair_283483,arc_pair_370771,arc_pair_522221,arc_pair_624573,arc_pair_144158,arc_pair_257950,arc_pair_115275,arc_pair_593564,arc_pair_708260,arc_pair_496804,arc_pair_247784,arc_pair_230744,arc_pair_364083,arc_pair_511862,arc_pair_649551,arc_pair_489657,arc_pair_270697,arc_pair_446116,arc_pair_148500,arc_pair_90669,arc_pair_656372,arc_pair_664080,arc_pair_257072,arc_pair_261455,arc_pair_547258,arc_pair_67750,arc_pair_720681,arc_pair_347280,arc_pair_588558,arc_pair_594469,arc_pair_649403,arc_pair_599471,arc_pair_718797,arc_pair_695283,arc_pair_516918,arc_pair_724174,arc_pair_260376,arc_pair_551617,arc_pair_358495,arc_pair_450035,arc_pair_64470,arc_pair_665109,arc_pair_726873,arc_pair_461800,arc_pair_156269,arc_pair_269928,arc_pair_242245,arc_pair_384979,arc_pair_51712,arc_pair_595373,arc_pair_295568,arc_pair_142660,arc_pair_495861,arc_pair_167650,arc_pair_82729,arc_pair_169398,arc_pair_435729,arc_pair_653762,arc_pair_644674,arc_pair_365022,arc_pair_716732,arc_pair_692544,arc_pair_134659,arc_pair_639703,arc_pair_632661,arc_pair_566053,arc_pair_129381,arc_pair_271027,arc_pair_493828,arc_pair_336359,arc_pair_621082,arc_pair_731860,arc_pair_323321,arc_pair_462000,arc_pair_43532,arc_pair_131562,arc_pair_119264,arc_pair_625567,arc_pair_16513,arc_pair_101269,arc_pair_176092,arc_pair_523521,arc_pair_551110,arc_pair_521750,arc_pair_166773,arc_pair_532740,arc_pair_700005,arc_pair_474346,arc_pair_460240,arc_pair_594335,arc_pair_24655,arc_pair_278581,arc_pair_75573,arc_pair_641885,arc_pair_292663,arc_pair_39421,arc_pair_703887,arc_pair_22407,arc_pair_717256,arc_pair_89302,arc_pair_714315,arc_pair_464015,arc_pair_674772,arc_pair_280409,arc_pair_388971,arc_pair_674359,arc_pair_172674,arc_pair_217721,arc_pair_649523,arc_pair_492710,arc_pair_297765,arc_pair_208250,arc_pair_713999,arc_pair_564013,arc_pair_672184,arc_pair_649903,arc_pair_729575,arc_pair_642267,arc_pair_149569,arc_pair_281486,arc_pair_27275,arc_pair_723396
arc_pair_684529,32.781816060911304,49.68694324650506,13.454658538007106,0.0,76.36924600820682,22.657529043538684,50.27114094526343,26.35725609715641,8.688545139287513,14.678794397959763,9.516304810087354,91.01863220814914,10.97613583256453,41.10135894599964,125.37239575068834,56.774525641114344,13.719659540094295,24.787440289347348,9.66462722727404,9.097762031171117,14.073197752809053,81.1925076559874,11.309356495605842,14.028296316149737,51.0890879894282,18.441479209708312,23.886324864776082,12.031569030225084,54.086925268975236,65.83016710045834,25.089059439554912,44.77825254992636,35.77986059334916,104.47699623061884,23.35039413161998,30.886907725414755,11.35111181925407,18.601318695042472,49.83607918032632,70.70125162114802,47.91547183477034,102.6900045032699,8.55883867460157,80.26840341425705,34.41675124022618,26.122738026468056,48.82239592709656,115.34472599996488,7.177629241663084,53.91655868511587,40.97365036301092,24.245595978357265,30.17759856333004,88.2994252811136,9.79524845322288,49.921692503719115,105.94441582809286,10.86263736313298,19.428909233345937,56.75105478375769,10.532731369888094,29.550246341081376,45.944086891812,14.145419203775349,3.813665342500338,49.99448801941247,48.19018162732323,57.83160428927441,12.147927583679694,6.226299773272281,8.104319979488743,73.21913423925291,20.953964432832265,37.56123764068465,10.589967051764082,6.253730976808558,64.25630522338578,84.8912639017425,26.452296623347884,110.30775295306906,4.227175902981528,8.7349278001187,81.83448404190537,79.42346236818678,104.19509038193179,14.015202655938673,63.18123263488143,26.868054651147254,18.995782231519136,31.749074465856182,17.855370596858844,63.77307537367371,7.4512819131410115,16.840038209763225,30.594700009175604,10.356917147153172,12.160578815440866,10.40335686930873,9.410783683171713,59.524640007686614,28.284845788445796,11.075658630108178,41.657093036942896,29.12018296804206,70.01422223987717,89.16358856614718,22.17333049684424,20.233194179580288,12.559760621243504,77.69175366444077,31.765192206880908,78.8258965468238,9.852063164615478,24.622982998936134,63.29786036818427,11.478380566417089,22.30150706894917,10.81915886529096,39.16011052084774,44.5828490699485,73.63601370091085,7.508429906879619,11.318002933469636,16.15758898434646,12.526108590816406,17.90508071230248,12.109852929909344,23.91332367848974,30.379589999256616,16.2672966236871,7.592798482310402,31.671648427798345,12.269135308400346,10.628057297758188,13.217158857402575,44.202069933162925,20.824217996150526,71.75798863595163,10.110310511956186,8.565310530778216,12.902492386905797,24.129759820858887,17.244131682376153,22.280849820037858,28.767588052029627,19.656401549351557,30.899448126802874,93.67016892772459,9.558068373357843,15.614093363124779,29.40251809008037,82.47269765668513,82.98476838293728
arc_pair_203062,17.377156233373405,26.098321983704157,11.23110855946867,14.028296316149735,45.285595326973535,38.654586754731255,31.462147205945893,12.609876311256555,12.366783285517322,11.523811647815025,12.393417036584006,59.84150845666023,18.52866126824473,19.123122201750387,91.33583172241113,27.770023588863754,5.291828443456149,12.995754835794294,11.261339070307331,12.64822793764819,11.638982835431982,53.2239021689018,11.72802253182275,0.0,22.880952888831747,9.949424852802453,13.87305118667072,7.206142761916278,35.79090275150002,36.55103236068084,13.643916016666294,21.9726181595505,50.92803541099192,72.27322784496269,14.840319473391801,12.799082381036293,25.310189056681338,10.960694292079369,23.282046593279,42.56130743524629,19.20053109642168,69.02833842475428,20.2827026204931,48.46353061968561,15.742557424632952,14.609940137958999,26.404330353334203,82.45300969204446,12.145185005862052,27.023848545249017,18.092959578384196,12.266306858310779,14.137844629705537,56.61524203691927,9.01593502957758,22.463149809174475,73.45039735317246,14.365775544822155,9.921231291326713,28.1821721745575,8.839359006732613,21.564443010082027,27.46277281621627,8.767403734574115,11.507181323859555,21.917074413406773,20.71304859397707,31.945996973390635,7.4743273263799255,13.987893359084998,9.206949439686259,44.75041666454742,28.327834931285757,58.872303903883534,16.30560504311593,19.441163365901982,33.142366212900654,53.363550189886695,13.70008968792575,77.24939970455692,14.252548823220613,16.683598011070345,55.0159909125025,49.84663432055911,71.32849111397171,6.4653557837557445,36.8376260033638,14.14204822092442,12.69478311725577,13.866192197565482,10.448802349740179,36.36095359304666,11.7353209985429,7.117684491323669,15.0368757184256,7.463175994424614,7.524933279695275,16.547455624731995,10.678218917794018,34.1352417632511,10.337722945930881,8.101880655360555,23.385155061911103,47.40019585064229,39.489644803787264,56.66812322615987,38.04241407544151,11.660693080844561,7.976281302344417,50.00572904114463,16.77652674546432,47.4134929944902,5.968076697477675,11.777457038873605,37.332989186656455,10.210434655763697,9.473061776548986,11.878030658899007,21.80821390706785,25.427184518910266,42.246669301963784,15.234525854653382,17.718329025298143,13.828332685776681,16.35324742365591,16.58720639577938,8.796378526562942,16.236384114361172,13.085120316009853,13.270797310498411,9.848297780981984,15.54183775949345,8.609009284270957,7.729421282212884,6.256952711696365,22.76787344520316,12.841368217408858,47.08635113697967,20.025380769913333,19.572117982927104,23.76793583054294,37.898820622352765,30.564580107492024,15.232536214483838,14.57660408573447,10.158221151508373,16.856497632485787,64.49138362884455,17.06497407452901,13.097585400035397,13.915883655441942,52.405260816870644,55.346316229582726
arc_pair_557730,17.62300121287436,11.555130545622164,46.70997806445299,65.83016710045831,8.29443455788049,110.03494283450789,12.076587861328006,17.034315563744116,57.1904094206332,51.05361672896001,57.99028409528188,15.344587766968244,69.30279584674936,18.531171288066453,34.01686558534194,8.346794233543312,40.6154451860194,17.764464219365497,55.37505031995607,54.06398578058956,34.78988965801585,13.902610552856414,50.09236618078847,36.55103236068074,9.220755118872244,27.043635702846753,31.227127329353607,39.5098720819782,12.740873763589958,0.0,32.72608600745904,10.133539963570803,133.63529459683187,24.17081832753303,31.220746400857152,22.625642579742546,90.15776244135958,27.825151237239975,10.276654482293024,14.289325390342718,13.974523764587376,18.78059437247077,72.66487617539491,18.576000313377286,14.952638750026251,20.655110189046457,10.958652811366346,30.713234940179387,58.62308855207988,16.669490909190554,14.12056219171429,20.17404894206701,24.402828949493298,20.48829765604329,52.71307241393141,16.244557989196593,21.400328092802397,52.733309214504736,33.02668863453469,7.265090969033284,38.914136009271736,34.28072512094165,15.865391095723874,36.26960582232553,57.89091249148835,17.566517707291755,12.285068072382474,9.716989754262237,31.70902332206323,66.78861060989753,43.20102505658291,15.393616792654981,82.87656279477135,146.00072248378734,59.76902007729544,76.74446480098437,5.903630128268653,13.494565585412822,24.836055593682396,23.246536845613875,64.31866158953297,59.23243814166425,20.6024677981092,10.895542334870472,22.323650402012863,34.35484247472652,7.670365030490415,23.716881574932547,31.461976457127598,18.777707202493207,38.57619446471273,6.874464886773547,50.18127714703038,36.31718341979284,19.35213872285185,39.19539064576336,33.5473175066541,70.0633828551884,42.744066739819516,9.913195968326232,26.78884938699929,42.22876007103883,11.574771354683747,126.5259187379209,5.71614939082984,18.84987666553689,105.37331966612666,26.588057038597135,33.06254774627742,9.501911194353887,29.618519010445482,13.499353983676123,40.80973846637801,18.63734547806184,8.795678269055694,43.441426213306535,22.123676000141668,48.92940752038409,19.131079957824312,19.485304985184666,8.672515839372863,63.04172056043055,67.04685661959061,44.98192169225844,71.64978714333228,40.80850011878434,34.33183153862405,25.780193017631348,15.909591500099616,42.97757938060678,48.45870064605479,18.58533184857035,37.01716821490274,38.8322350326359,31.124561747481923,18.775980020728984,26.075708140673242,15.869144214486184,76.25774266315429,74.40486632274235,81.2633487914999,107.05127392016239,96.35144577728336,31.53456206466168,18.91426590809194,25.470110168862952,17.7013755402826,18.20178423810722,67.68747413613542,37.94802775587462,24.837060743398062,15.584109176104233,15.588870595616113
arc_pair_522221,43.748038407044724,35.48939538533525,91.14160399878317,104.47699623061888,13.87663503429005,164.85783782356603,28.401269000579443,49.146501013274396,101.93477265825834,96.5297200608543,107.40725865093198,11.170820657800922,116.06825127856584,49.95238755538014,12.666293507026829,23.137454818121764,78.80139019167925,51.14026920975827,99.51564073914265,98.37632843073678,75.07078601417858,11.349793222842171,94.95666817170289,72.2732278449627,34.00956367545873,62.89536503157264,59.36441272867555,76.64310536185101,23.112305454550135,24.170818327533002,59.69814098698654,35.39116706826593,204.82259971921505,0.0,61.25534955105661,51.58921047697028,140.02989722703657,62.82949816136408,36.14124707083771,18.558819833575004,40.484292540698696,8.560758795802721,121.39491529002834,17.912812463954502,44.176608875350176,54.917580129362754,31.878551553606986,10.190263142796528,102.41800165114137,40.57774781888405,41.7550035881916,51.566292068169695,55.61058927590616,23.75577474312654,90.89204023050931,42.030396543697044,15.098185980664507,95.76364078356796,67.55269115517953,29.837716232539425,78.76043563299403,59.020822758196935,27.73752566572898,76.0181708111391,97.40390967158396,44.60195088429756,40.9402591237753,26.767036878765342,68.61232621092698,110.51350196003912,81.7564431312315,21.31656488760822,140.7295595882456,204.96185270604894,105.6216995135963,123.70837507817748,23.078034219462953,11.734892208145304,54.353107973732094,13.58821514276735,105.89649770334405,99.95208556445255,23.57845585027861,12.213847173865153,9.41438566839436,73.4310800028719,24.07403605737804,58.06587696600608,64.33025688298365,49.69662510184642,75.50055995155992,21.447851703535623,84.40568703955422,72.595221975451,51.917129707671734,78.05064544384616,71.44625442089611,117.10168963816092,79.8071916097946,22.34102969288346,60.85978375471153,84.66213474833663,39.520953324172204,186.3507730114777,17.327110248505793,7.645585115324927,160.853491100066,56.897280454316345,69.36136922039728,14.48984638187888,56.54123515451066,13.97499446324858,80.20076952878323,51.373309601412004,16.736044690268315,85.6540786330897,56.08572852127731,91.89764568349314,41.32416863166263,35.71957467224492,17.106171234791173,107.42892685369188,114.71933456110477,83.42602321719899,112.24843622171089,70.23841342171721,73.38617935366382,51.13853043472311,47.515021331670646,85.01411062486977,90.68456970987106,39.80766125000925,77.84793274180953,79.76524584983798,64.03587169303357,39.782283092760686,59.61678504118464,21.31874399129254,125.48617395315387,121.14344236856203,131.97824175483302,169.37742157228587,150.84746104497816,61.91737097879168,48.092259484848086,57.93812672044324,49.101722446390994,14.285073179754894,114.35710356639865,67.60475432084894,55.21967283167854,20.047913318104392,9.79460003400327
arc_pair_624573,21.02435838734005,19.334459261746606,21.550463728296418,23.350394131619964,37.952543788880774,60.08483803487087,16.779341967705353,11.318095311827747,21.965976983544195,21.252772620892284,19.876577566093463,49.55279924477411,33.61216001467432,15.333064282841306,74.79232095241773,23.4545878150055,12.384372608881131,11.193288884865742,21.39992784089661,19.9560528743683,15.190228080505777,40.28383173276056,21.35350269737155,14.840319473391762,24.889898666589634,11.493489316795404,2.8345946103775557,8.981988332956826,24.522585776667263,31.220746400857223,4.563004851741984,17.78860738757034,76.44747016479643,61.25534955105666,0.0,8.799474587086062,42.9139923997399,6.46865570008911,27.048824325764954,31.82638126872487,23.893846735680043,57.523693844944766,24.252961843636218,52.76389928501876,11.437676188462227,14.479588666696127,15.807408125838952,69.47519452193562,23.06187682470935,21.120721134188337,15.787814466989602,5.713825447106032,9.902072638274452,41.75842048715062,22.803521544333933,29.67796178196592,57.71823643553068,17.04539464342188,5.920513980284019,23.050203859578385,11.134255138891287,4.1428524457058975,14.430527897753754,16.915012931819014,22.307253313379224,27.388635846189285,23.20114079072326,32.48934095327569,11.581424630767955,27.336889575988547,10.263398741743162,32.04070662811446,47.43426106135822,80.92745678851139,18.366851669915114,33.65537486256983,33.48638686855714,44.51440048230663,4.600109837942293,62.14226132640174,26.22055529223438,17.443168379241925,38.985874162742405,39.543087668025514,57.96980814922143,14.309021612924862,27.171532648301614,11.183188789493594,3.245673232994546,11.499529072861769,7.805469310835648,27.861881060536778,17.480488525804116,12.61570448826136,14.44344883457061,12.881810058977587,12.08409083968976,35.462657003068244,8.11913259204263,22.948179571180184,13.1580026778582,16.71443083792873,22.898513229085218,69.36940465027998,36.40436474439613,50.614948614957086,58.407415394033926,6.387461227392073,6.880013056556856,38.06698004257746,5.6807188664765444,46.721914426326336,12.429864573504954,13.623454554666045,26.745371403668358,20.603258551826276,13.348065960281307,12.745818374600058,8.861603124745736,12.03739041351498,39.312387902457445,30.61655190753107,32.296079173658065,15.194238856173943,36.133111188198775,6.015227474243512,14.074753667170457,4.062905297518388,13.056274864078382,20.593502714709047,16.571329190034593,19.310394779927194,10.963625297991637,13.239102145045832,11.49584207788054,10.745566772000982,15.996256003211231,32.34213983597802,33.00345635232817,32.231083472674136,41.74560117841874,61.93446672064633,50.86756298058169,4.520929164412438,5.24094546578906,19.579348286027326,8.360102796378657,49.034217844857245,33.24550694555305,7.801203609278894,9.417098523795566,38.56409866672682,42.79032691112077
arc_pair_247784,40.23236712915525,30.92579802137427,83.42466491265405,102.69000450327005,10.054079727251692,164.4139453628479,23.87944610368584,44.029966512784114,94.80154952803278,88.6686941657414,98.00380652085559,4.678394975766734,112.38731275254312,45.758963372064784,8.617034168551248,19.555485241947224,75.61459540216293,44.578048708668064,93.03040750929559,90.79075292935262,68.16552741074116,6.356383027312426,87.68217043896784,69.02833842475418,30.628861280437928,56.69527405788318,55.97357321035727,73.64914927417935,21.06265233258057,18.78059437247079,55.292310205680515,30.072192532229163,201.02944666211357,8.560758795802725,57.52369384494476,47.9075414432119,136.32566960207927,56.61090767921461,32.48184529567289,12.825667082791211,37.83149411152436,0.0,112.13983620874659,22.235859787139873,40.74405802506937,49.55010272310477,27.923574515505194,6.98980044255267,98.40590063312321,33.517280712051935,37.89042040972005,47.2907850615656,50.28795717498701,17.31379335742252,89.5229925489844,40.44337320463047,7.406115683338269,87.94730753545727,62.79175497441588,26.852866743191928,71.52703179477072,55.428757878543315,23.999834860809873,70.09387734787624,94.30878784124394,42.69120570123342,37.19517205636863,22.29936637823466,62.70126859762439,105.48498444325664,76.46608551350523,17.18077374460174,137.65206126297113,203.5217165787851,96.84683435770299,119.62365316133285,19.734212604873413,7.055778371355058,49.8948473081108,4.8854394169478645,102.41462786567818,93.20753078948621,16.475886522229892,7.020992315723351,4.613017982036175,66.89089295941157,18.767354312089005,50.3716010079782,58.08234125421103,45.77055534551398,71.94191728434747,15.903975956546212,82.6113201183246,65.47134656925027,48.220823700032895,73.84500099104075,65.62637793292468,116.86260533813822,75.49915510417145,18.500373707555173,57.12698123977623,77.43274104417094,34.14789458297271,183.79617161717744,15.477002505393747,9.841461814112328,158.66626514486342,51.638348134333796,64.42475944811179,9.215468794058658,53.30279393653364,15.587384320504215,75.94882198060974,46.62086607229521,12.699004072463454,80.08683921491702,51.18424545585478,84.43868781937212,36.209103853851175,30.767695040438387,14.212478194175029,102.00762874183094,110.30186838198843,77.2809807379058,114.39061569838877,66.38910901326817,66.71264561441924,47.810766336709854,42.78013689473801,77.67589095247055,83.6542587268042,40.423019888119796,69.08499612109635,72.19268324199965,59.42171773322913,36.16653559225986,54.893369583706956,14.809067573566884,118.72297827055887,114.54823323343022,130.20642532772058,166.69144682116553,147.84679480885822,57.649390890007695,43.59304079735106,52.17219820665998,44.61652177692575,7.226883964464574,110.56004219373592,64.06891445652242,52.10741599068441,12.830730404281546,6.23770244674233
arc_pair_270697,54.10952294807491,42.32853581528822,100.16080677501446,115.34472599996481,18.80567251900623,184.1628441787139,34.0356216970192,57.25141107436621,111.14163635888647,106.81586011385714,115.88494238772898,10.466437754759742,129.3148370484496,58.91459902205048,4.758086797916975,28.282820215602214,89.5634406474776,57.199583891764135,110.64947396686749,106.97901634190508,83.13716329780715,12.668674615765386,105.0650780930814,82.45300969204443,42.92569508451003,70.2364247644895,66.77119097324052,86.7489254538244,29.721390121338064,30.713234940179362,65.6020912446043,41.906911500740634,224.5615448423518,10.190263142796532,69.4751945219356,58.96338505844194,155.02920846257638,68.87625821809294,46.16495894640159,19.76672603706568,51.129019696503335,6.989800442552667,126.41658116704266,25.835448521896225,52.569316565547055,62.88079261336103,37.67183828105566,0.0,114.25197482743752,43.520923850110734,49.919877141600836,59.448162608748106,62.801864834528374,22.576874175628088,104.64411669119804,54.120933939044185,10.302522179261933,101.8800106874577,76.027897414303,38.086609534062376,85.67230731471047,65.67367971094609,32.05146436109663,85.48651008947432,107.99756838302244,55.56187554520835,49.730766160537115,32.94913034643087,76.20032206999511,121.037801451316,90.1773416968175,26.469231962201953,157.97106404668864,227.35353017165698,111.91030397688748,135.42170664184297,29.86961478416458,13.90452435677737,62.16003132149562,7.085685982804977,117.03691635827819,105.86669511630636,19.844458502097154,14.199677339698844,6.470306533442622,81.77619684183938,27.53340398025087,63.34288598989022,70.09852758493905,58.61191193772994,85.33374247480216,25.425799748693667,94.51394438551321,79.74658168566941,62.23995613376742,88.30151110386116,79.45848317808817,133.15429837134843,88.18600740720298,27.888688507548533,70.89068645186319,93.67742842940831,46.54521077587258,205.4422844871081,24.728323596350613,12.011754364057492,178.6844147984148,64.35153988148276,77.19204669098553,19.44583141059378,64.21060368838558,20.32362483041695,89.9635796449877,59.39040886288172,21.04444747977479,95.98151473236427,65.33311626836256,98.91930746501109,46.68655339540031,39.9798332871323,21.368652856760516,118.0140648061061,127.96365541507939,90.37724824083203,129.68136429689997,77.71413811566947,81.25938846935257,57.45768242517229,55.9707746530568,93.18583565340232,98.62771044347922,49.77966225720533,83.27806934753801,87.01249695616906,71.6249414476203,47.023242702435006,67.13212679691506,21.48732353167457,135.8187811519471,129.5858118605101,148.56416324587235,187.25095051285476,166.55079037326618,69.02358581550902,54.728211510525576,64.76936586090932,57.26779932837078,10.782141376850785,127.40854431777723,74.68255588954725,64.5732988438607,20.20515285607341,11.640962767889775
arc_pair_516918,19.232928860172958,13.235950961397794,31.40873829767672,49.99448801941242,24.427310376477674,87.51963357200881,22.28254906772653,14.53891930319987,39.60028830059555,31.672980133873338,41.84666435260774,35.9790362398129,48.768789006764486,11.563043034308013,57.671107488137814,15.264006644965045,25.602427382108043,15.680905472247504,37.90033469761336,37.031997910164115,25.543175619830382,30.601993274712765,34.95627355259605,21.917074413406773,9.489644396831286,17.620216030016344,28.372504516579532,28.65755111329497,29.018738842956434,17.566517707291748,26.112632257787762,12.78044200309306,104.46261262063005,44.60195088429757,27.388635846189317,15.218114302281712,70.90638111641357,23.043579029334275,6.678857167822495,24.34344566494222,4.7084456233467185,42.69120570123337,53.51668250791438,24.955610535002066,12.997767277019566,13.782479825467583,13.879921469440953,55.56187554520826,38.26731126821606,20.343393910612896,8.363308481851364,16.46659172228861,15.683463742213355,31.37699446425849,37.38461310102468,3.1675351944518217,42.07376800617379,33.45745969168018,21.641356715536364,11.46225279307536,28.259541102605112,31.314587614756164,22.070792155980907,24.660102642434182,46.42586691062395,0.0,5.584329443776186,14.943494417711243,22.733910945461655,48.15401455983792,32.06935069078614,23.383121879655533,59.41638808785353,121.8221255655208,40.00282291084792,58.249536985817684,14.52802927783166,31.610576705817724,20.237618205229303,46.75276384191805,46.36586625629467,48.827933471398495,31.507452684303946,29.369913275157167,44.50966517254523,20.977511425649393,22.15159658657157,15.66615746341003,26.994828550998722,12.16022739411896,26.386459689119118,20.41661278831524,32.08032795319996,24.344835785546294,11.185281267098759,24.11148869709962,24.648668378354774,48.06787137151009,33.8213080803354,17.82895747005651,11.407394576754227,29.721416727895782,11.09738196389065,102.63437083363904,19.00541579810302,33.62435915084159,81.06755077742281,25.599605129773348,26.635810085757182,31.389232618532247,24.63491601309936,25.621671391109476,26.934723858540696,12.006778788898375,20.887034158410213,32.02216858978068,13.919181509765357,36.56124926127605,19.845462967630805,21.18080985008748,23.575610382424788,50.26049544874251,49.18964416824803,27.65655511066585,52.163351830035175,37.14291748344402,27.33384618105808,23.6615094053213,11.480211388677642,27.778527185789006,35.7868720209703,11.72994193129998,26.932554344661355,28.85892354995658,25.41682731102095,18.066570614636206,16.20011724005982,26.786427134377785,52.682019128525674,51.10057383473123,59.75942153775642,80.53332860827372,70.39808346517404,29.452947724861506,17.857607927312674,18.648422756906786,17.065373300940283,37.665212943539416,50.03684442900553,28.902894689295493,16.012889106922053,29.105799064055205,35.16872943259228
arc_pair_461800,35.32134794566194,39.70194617788515,9.88457131775269,10.58996705176407,71.22155590803781,33.43484844167934,45.448141830652126,19.949974978736563,6.839107673305741,8.933559495445428,5.762077847046845,84.66967518058826,12.78535224908644,32.62156969799585,119.24501864586456,51.82172404092059,14.069355581824503,18.529079079056384,6.999112195825586,5.663354662650041,10.611267281597119,76.44718071223622,9.091379146910935,16.305605043115918,43.49631049919357,11.196244331146007,20.83550336409115,10.810548621137231,57.31109990647036,59.76902007729536,20.36670840985048,36.779288228649335,41.112778611676866,105.62169951359628,18.366851669915103,24.027290438844076,21.67526795772462,12.85825903293195,40.79168779491203,63.80211475431855,39.59675762441618,96.84683435770306,6.406399752056358,79.34689775225644,28.945568200979416,18.59270143138318,40.42502976955648,111.91030397688752,8.084674553183728,47.83709604887601,32.35577882912091,18.30808417692805,19.949857114838007,80.68741477875523,16.80725371112803,41.34408376919153,97.20870806395924,2.5435978157869683,10.968316078026294,48.87124248422963,5.690799746196354,23.45656400747913,42.64214644374312,12.015675595711183,11.918647750140902,40.00282291084802,40.48509370474397,51.8001573265844,9.61748615585398,8.465176897350558,6.058835098958082,64.93911925471281,21.363461855500574,50.38362018088235,0.0,14.426094777342461,57.81441758268762,80.63477296701932,19.085984455006006,104.11644419587498,9.817315222091056,7.4346905537418735,74.2658147550854,74.34433311109592,99.84656327400495,9.908695261446704,56.70689303961668,15.999501984261416,12.352953916806866,24.29874580778954,12.84004602425847,56.70065113727426,8.586963233306927,11.888836040894567,23.091223130749544,7.186995983140033,9.615875095768006,16.514890435453225,7.602572323174975,52.77502041915713,20.36803463754405,8.576822336263493,33.207643944470895,37.47778869490485,67.59853488590666,88.2081502291163,28.188275246268336,17.991972890127993,9.713499772486397,74.44048448232596,27.241645694970707,76.83614612229937,9.36218039060081,18.92733186048871,58.583480615612764,12.481368459449216,18.17801918097512,3.8489152982914785,31.914768274965798,37.32266104570319,71.76344054171386,13.817385480300945,12.6968785348029,6.582172518879026,24.101617034451326,16.929670556473525,10.944128898646765,19.21532287102099,23.81102621339497,10.733008417833373,5.624717350055397,30.22314577578409,6.341674338198404,7.9986450412859105,15.181597723779527,36.85901798179444,14.504885490675793,64.97483065254977,9.71474944457918,8.542558355710982,18.344417845234652,29.062056018993886,22.45680550555665,19.402868576112226,22.824860015787486,18.275418170459602,25.177857770386428,86.31453589569081,13.210684482252365,11.121897181121614,21.66532139349369,75.28830947167424,81.81403981151173
arc_pair_242245,32.18535651775567,22.173074212157843,69.61926670201987,84.89126390174252,5.749745944491897,138.60418353440272,15.718451265386559,34.290664278228036,79.52878729533997,73.67941704436356,81.12581606989394,3.2218970422877606,93.81197476015178,34.90955292345753,17.10408472943285,11.587502525841174,59.54910230961155,34.821746130191265,77.44107879148372,76.43746141073058,56.3530422426434,5.0415835842115415,73.72690184824901,53.363550189886865,21.668297120155636,45.76019202728178,42.40390399494482,57.94533708071376,19.00952509910987,13.494565585412827,41.62030113421228,21.273938450120855,171.78954975274317,11.734892208145272,44.514400482306606,37.22141973060609,113.3365742050675,45.04022035151695,24.215737197229057,6.738138983979281,27.159287137406746,7.055778371355065,92.23311024587657,21.276033451165553,29.900626207163636,39.77492506168537,19.877139190425005,13.904524356777346,81.34108192991611,27.407303313457312,28.24397594302341,35.99517826575844,40.0398258457644,12.951380598212308,70.62929122368365,29.92833622140081,8.113308317096662,72.67778747621762,50.11209616932178,17.16470537124542,58.390950587874464,42.84180750118202,17.588773612268415,57.87669265161956,77.21562453945627,31.61057670581772,26.463264578306767,19.174472738212597,50.40192862750524,87.19001609766427,62.076702541761286,11.23499487234862,117.41844991721308,171.13995586535677,80.63477296701942,100.19734757891358,13.228705838164018,0.0,38.32815787099567,9.983300558455047,85.61792593248727,77.78597388932431,13.298235710519128,3.1473591488456423,8.915453622727368,53.998694354220895,11.59933527768056,39.74631282696796,45.801951785334936,34.908585438598706,58.31667151514288,9.535081282345649,67.11137445697535,54.02858789552154,37.574266095590325,59.759421252408984,53.07051795817905,95.59424725519894,60.705461340723886,10.968372606267526,44.7440490688668,63.97207421285758,27.345797524233053,154.64903980746902,12.281899750785524,9.061069661095436,133.7271887054288,39.96656407853243,51.3284482682921,7.130752395639148,39.098657633943354,16.739306809663642,61.06645861015024,36.46538242032915,8.52199833662105,66.4013055834391,41.29557154902183,68.88054406962459,26.127014397873662,21.975282597320327,10.612139610631507,84.28200713686685,92.16308112185486,64.6891487822431,91.71852925177444,51.62940702840587,54.1026373348697,36.10718840202827,33.88773639491869,65.31979643393872,69.35582017093289,30.68148139027849,56.157760040962465,59.00326860157996,45.87970797592233,25.24993316814582,44.42246222083406,10.71522060237558,100.09352482541402,95.86906572476603,108.53749210071112,141.43912671962838,122.55428264910049,45.052630180382174,32.69956503183755,42.215433549377536,34.41680160205918,7.079970185031474,91.46550530746252,51.28987788270264,40.38773421834528,10.174024771757212,8.332907170733963
