,arc_pair_48468,arc_pair_337111,arc_pair_447717,arc_pair_307657,arc_pair_48188,arc_pair_542791,arc_pair_578116,arc_pair_307953,arc_pair_313438,arc_pair_203062,arc_pair_197122,arc_pair_27742,arc_pair_139628,arc_pair_557730,arc_pair_283483,arc_pair_370771,arc_pair_522221,arc_pair_624573,arc_pair_144158,arc_pair_593564,arc_pair_708260,arc_pair_247784,arc_pair_511862,arc_pair_270697,arc_pair_446116,arc_pair_664080,arc_pair_257072,arc_pair_547258,arc_pair_67750,arc_pair_720681,arc_pair_347280,arc_pair_588558,arc_pair_594469,arc_pair_649403,arc_pair_599471,arc_pair_718797,arc_pair_695283,arc_pair_551617,arc_pair_450035,arc_pair_726873,arc_pair_384979,arc_pair_595373,arc_pair_295568,arc_pair_167650,arc_pair_82729,arc_pair_653762,arc_pair_365022,arc_pair_716732,arc_pair_692544,arc_pair_134659,arc_pair_632661,arc_pair_271027,arc_pair_493828,arc_pair_336359,arc_pair_731860,arc_pair_131562,arc_pair_119264,arc_pair_16513,arc_pair_176092,arc_pair_551110,arc_pair_532740,arc_pair_700005,arc_pair_460240,arc_pair_594335,arc_pair_24655,arc_pair_75573,arc_pair_641885,arc_pair_292663,arc_pair_703887,arc_pair_22407,arc_pair_89302,arc_pair_464015,arc_pair_674772,arc_pair_280409,arc_pair_172674,arc_pair_492710,arc_pair_297765,arc_pair_208250,arc_pair_642267,arc_pair_149569,arc_pair_281486,arc_pair_27275,arc_pair_723396
arc_pair_593564,0.43461186461831464,0.6257887068510489,0.509153544224822,0.5773247277625922,0.3917722024248309,0.4742009251862019,0.5831936168445346,0.6061137329437033,0.5370925450539504,0.5839001613470272,0.5793334360875603,0.5947082114644487,0.5846605059951239,0.6692663751061146,0.579165738367717,0.42825776804838983,0.7005218614381695,0.678815603187233,0.6320362531129735,0.9866460228372363,0.48206744894027787,0.5903627696053284,0.6233414399713826,0.5488229365738874,0.6777284394338959,0.5421922338143786,0.6536641164184586,0.6826151295072331,0.5306290906168676,0.6105122939075237,0.7142401003763698,0.7469937915527451,0.6796662507982474,0.6014952857107079,0.588089621211882,0.39393176506910965,0.688615268686336,0.6679053229685895,0.658846831411083,0.551217590813865,0.6989617298826297,0.47472246003464463,0.4695573580998029,0.570114322571025,0.5161880810277991,0.6203963415611365,0.7172816372861571,0.6136031391000387,0.5525060295518274,0.4099410040258785,0.6120503247726266,0.5898186072059306,0.7137930203077912,0.592110329375754,0.6571203282064616,0.38512103949472454,0.5925955681360028,0.648130248515687,0.45906739191885326,0.6377415215840376,0.5585912556774275,0.5393716690092074,0.5835718248944177,0.6995803955775683,0.5587531413338725,0.4054621269111124,0.5886306437132545,0.6432154869498857,0.562707583764951,0.612154148450453,0.5624171865700708,0.587400708269214,0.6518666187686606,0.5620661027581041,0.5208211508030777,0.4284548095804099,0.42597237616238715,0.46238225211341544,0.5728011462612969,0.6580231142987369,0.5974857122424182,0.5577982356200589,0.41741306758821733
arc_pair_511862,0.3665726763051656,0.562287048042765,0.41797216779158913,0.6121064206948664,0.3528596824073351,0.49737625050766865,0.5723756229611561,0.7009473845851452,0.4832092217549063,0.5998524786403573,0.5654544763367522,0.5180090629723421,0.5792808124079067,0.6295700831021195,0.5617127754515813,0.4222776121772368,0.6657118211465505,0.7008106140231062,0.5848547144970462,0.6233414399713826,0.6072709167412379,0.5884119449092902,0.9907918968692448,0.6118074085629227,0.595991068567645,0.46218918268483683,0.658295447086353,0.64582405377724,0.6109649869698538,0.5791225133220977,0.6941419237364103,0.6501252888568994,0.5846077473228286,0.6149641757117733,0.6147062263049163,0.34123013569583116,0.6772868390707223,0.6235106388541478,0.621034675226735,0.5567211922008125,0.6381741513510297,0.48193427400290895,0.4349366481146359,0.54245882596035,0.4534692064246488,0.5554351906863689,0.6435481949191356,0.5724313321346632,0.5271314010454058,0.36793890191276685,0.5290423549385466,0.5052910910355639,0.6747119754519224,0.6118078365263317,0.6561945125861111,0.32683899597352084,0.6255141736446354,0.6399675847550779,0.4404630384309306,0.5813402540482692,0.621734586755501,0.5756509593790445,0.6078780723537804,0.6511634388585784,0.3965901184981925,0.34440955440528687,0.5588721501789177,0.5529519850920905,0.5507185944203703,0.5420209286781764,0.5224086420469648,0.5365289426270732,0.6060932563307524,0.5465208069452326,0.5822858287025652,0.35261604615834413,0.33450975797792115,0.41989331295302657,0.534474901104571,0.6464410067822269,0.5543527271374108,0.5878876291017294,0.46578543064292627
arc_pair_257072,0.41298606816229466,0.6525418113748258,0.43031331545522744,0.6823549195770028,0.3602512037410467,0.5595420823325513,0.5941290838926722,0.7018623324491015,0.4781050986596789,0.6266152765496958,0.5820536639663917,0.5525276514631048,0.6393539401598154,0.666372027339189,0.6141535649693151,0.46113352805496155,0.724801072061997,0.6528978031441448,0.6799945075792876,0.6536641164184586,0.5941997962351718,0.6056425022224226,0.658295447086353,0.6440624337072606,0.6065964647317563,0.5470028668710092,0.9911435269601457,0.7024835406954656,0.6664201686308525,0.6229771424184573,0.6766682681673297,0.7243598093084334,0.5785072965304747,0.6965130056931091,0.6633927799425944,0.356228492322579,0.6828036297440286,0.6058765221383495,0.6861584560464662,0.5752774671449644,0.7096077137128469,0.536180061984194,0.4328284119050205,0.6732706605577663,0.4399274840991883,0.5641274009131408,0.6787139427023307,0.6412377907002641,0.5164420787945269,0.43649941281324706,0.5559269264149285,0.5937303230029389,0.7186343574661325,0.6136288533353511,0.6417372870300048,0.3643138280200027,0.6231456543154932,0.7508857824981252,0.4859052011832178,0.5816974982407713,0.6637003662087142,0.5635512968562265,0.634907605160956,0.6676508932404676,0.5421124386299567,0.3693683662408769,0.5924290787086111,0.662639191127326,0.5904879324408884,0.5321462059233334,0.5372256039983094,0.5864938492972213,0.6324542748855315,0.570851591572358,0.6345890141337587,0.3703413799968569,0.3080855681690424,0.46237624257485,0.517446344036098,0.6526602596710717,0.6705286699611038,0.5929154880549403,0.5150760618788308
arc_pair_649403,0.41483341305427457,0.562138946551742,0.39956272978540064,0.6253340318978297,0.35637710138642614,0.5106356220161857,0.5268798107451665,0.6607475707534863,0.461367722529286,0.5985760112893387,0.5934369485875925,0.5134039195851742,0.5986157056708294,0.6530551378859316,0.6593755154374722,0.4017911264727451,0.6433870316347283,0.6963414103005042,0.6836235398794325,0.6014952857107079,0.6123282067180912,0.6110832726492467,0.6149641757117733,0.7148328629924963,0.594416162316029,0.509465498090759,0.6965130056931091,0.6551963583512327,0.6427792857963868,0.5683359771686696,0.669222020540607,0.6603141397272969,0.5639228328536474,0.9876007439553628,0.6357289752732455,0.3377502795836016,0.6809627822193006,0.5627248583348913,0.6882719868135359,0.5931917739695038,0.6891313603808537,0.5208020851576317,0.4360312654916762,0.6226068641265367,0.4383909719922024,0.5935199859190231,0.5774256513905573,0.6891335528007708,0.5245757838361194,0.4038628158687486,0.5395853956265503,0.581033947626594,0.7325165686596826,0.5754895652825514,0.6881629571207969,0.3165769471706064,0.5980358847397534,0.6278938198198791,0.4797211870312736,0.5699398536872009,0.5719055553608772,0.5563618973965683,0.6591891298777206,0.605509136299881,0.44656490934394555,0.3692108939386021,0.5952090989696617,0.6713242506173218,0.4708322808138608,0.5193592755741387,0.49028521020815347,0.5968035767618701,0.6044481431192185,0.5185084796601709,0.6116847707012051,0.340545402421917,0.3117293674615257,0.4646204124189465,0.5430911416632455,0.6300178326556385,0.6074911192114157,0.6284378740222648,0.5224219611805436
arc_pair_726873,0.3816385878828397,0.48571349834546035,0.3616170600716268,0.4955202445192947,0.3220766546629295,0.45583995272065686,0.4808734092653049,0.5464529194227062,0.4568679369277925,0.5898570075000771,0.481993343331949,0.4684907263874771,0.47938419895964757,0.5382568311248928,0.5386587064405284,0.3549091005189503,0.583435792822893,0.5334042719810385,0.6494743734961296,0.551217590813865,0.47932820766791673,0.4551297629394574,0.5567211922008125,0.569747531284105,0.5497670505217414,0.4995808608905065,0.5752774671449644,0.5621671871167637,0.5080232644079822,0.5978612391654564,0.6110380116421312,0.6176462670289548,0.6059021870623067,0.5931917739695038,0.5093701043627312,0.2934197933039101,0.6104121009561846,0.5048307341456013,0.6053661603062358,0.9939503932244406,0.6148888061181876,0.47004440917256696,0.4503473111433938,0.4551609745257618,0.4046297779553711,0.5573290127889342,0.5356782941149868,0.5312643761968997,0.5034993695415193,0.314355713593787,0.47754902595219606,0.46707366298106945,0.6442262435839875,0.5096181547378783,0.609889180104987,0.30410324617337536,0.48773524467898094,0.549612915009217,0.446611975604646,0.5022136798794452,0.4881344792146451,0.5778870618435631,0.51083802527733,0.5626386659216109,0.3793268931735112,0.32295526380751516,0.5084701145487025,0.4945200968443452,0.45715732100481093,0.46289436097164355,0.4841643886027491,0.5438195429659102,0.5281611464157819,0.44045803709924997,0.4422533828273441,0.3449330836156093,0.2989504405845318,0.37148687939364566,0.528780568283139,0.6039255732987805,0.5150510489926506,0.5140349952710229,0.4142289518740202
arc_pair_365022,0.4172052839471012,0.6830654090465292,0.46170821678500457,0.5714381859374001,0.4021299768159023,0.4869508382706285,0.6011111120556119,0.6553621929215877,0.49309239567232727,0.6155890326045491,0.579832271098102,0.5889403546584159,0.6297099904994523,0.6612424256008858,0.6079520014332674,0.4110898828256019,0.6971820789634479,0.6845905557361757,0.594398443616268,0.7172816372861571,0.5444115417243288,0.5960171990235363,0.6435481949191356,0.567579137599433,0.6595193630928374,0.5175750505356521,0.6787139427023307,0.6752966517213155,0.555316700661274,0.6248730807067233,0.7476209684744568,0.7177807190908718,0.5910126250082324,0.5774256513905573,0.6138783171175408,0.3521001673206172,0.726963730668198,0.6261349088550174,0.6811627104065122,0.5356782941149868,0.7051165160852526,0.5454517339828695,0.4958646029944603,0.6149831233138258,0.4627000318023672,0.6135508735131135,0.9940338084189592,0.5700646140053514,0.5058032056346373,0.4344738790467133,0.5656277042676019,0.5933684684539837,0.6716772337038882,0.67641887534087,0.6552768603355208,0.3861202775196828,0.623399251891185,0.692606582373805,0.46313746159196856,0.6539590049291492,0.6524282562269671,0.5574253160993651,0.5533153125480884,0.738374297030278,0.5114360559165264,0.40906230699131896,0.5850425637742338,0.6206133663809357,0.5756941945424254,0.6047242290006235,0.5260916050124333,0.5600307533857412,0.639586130150218,0.5996094260500054,0.5530465319401118,0.3772481334553114,0.3511355843882843,0.45802703524941524,0.5526256371226235,0.6745393433142579,0.6458281919220371,0.5135859036484977,0.43673203168332236
arc_pair_594335,0.39725786095168736,0.6491169737261497,0.4238665875511079,0.6396304568708947,0.38753290875971813,0.49054910511566635,0.6085559239973416,0.6786399344329835,0.45042806327311463,0.6732078976761654,0.6014932649572757,0.6069723629805921,0.6890539814070018,0.7092185972072044,0.6361736868050547,0.4347459376964766,0.7429062617298474,0.6747694773018283,0.6954039419891003,0.6995803955775683,0.5750470642911131,0.6532875294462277,0.6511634388585784,0.645879696847173,0.6530155195136221,0.47323011274181526,0.6676508932404676,0.6730689957851452,0.5996410349082276,0.6102043082026191,0.7607135338021267,0.7439188371762603,0.6073075086509565,0.605509136299881,0.6127293448354849,0.3554442974605913,0.6910880315228222,0.6084330403259922,0.646420302435917,0.5626386659216109,0.7209808787025149,0.5256151542741858,0.4543258497139322,0.640106215422485,0.4632314661943853,0.6266410113325422,0.738374297030278,0.6089645298019145,0.569141542767103,0.426285029102555,0.568539528805664,0.574771752579635,0.7385680279417207,0.6591680397711518,0.6737717380563046,0.36283533273141827,0.5929471939440911,0.6460765509286791,0.44056093682622854,0.6478040455336387,0.6563128112290015,0.5191314776898409,0.6121409688945822,0.9879987998799878,0.5287539191871424,0.42814707766644305,0.6692880650795195,0.6296135431468713,0.6268293036538557,0.548963424038975,0.5270172157837789,0.5321427046837075,0.6304638158707655,0.6142450628911634,0.5344942624582472,0.36371009630245466,0.3348149547867467,0.4413021401779004,0.5317862746267346,0.722663909824864,0.6416550682464195,0.5108171462684884,0.5087350994409018
arc_pair_641885,0.3688186792316222,0.5211309034628898,0.4116865676683147,0.5448358317911302,0.3433559695800926,0.4471715247770516,0.48508188932395907,0.5674047428031653,0.4259326501217606,0.6117802184520366,0.5673082274610184,0.5304728361013251,0.5906688355709584,0.5656499637862353,0.6116776116016261,0.4520125496876992,0.657640176841718,0.576566278056534,0.6242749242848876,0.5886306437132545,0.4921770681506612,0.5475405651721533,0.5588721501789177,0.5812942339911038,0.534685903160425,0.42990912932746744,0.5924290787086111,0.6042324456389425,0.5142477617969723,0.5436899887295003,0.597528783261063,0.5916039569949885,0.5316394389154728,0.5952090989696617,0.516591917753992,0.3402103455256136,0.5748073340251141,0.5366937417519638,0.5934781266761929,0.5084701145487025,0.6402577105227342,0.4886357561529318,0.40657823973151824,0.5388978393194374,0.40993665643528243,0.5557665018872672,0.5850425637742338,0.5283584084717599,0.5383391552321495,0.3311352129034992,0.5045491077536526,0.4899891981192518,0.6571141077504881,0.5952104260738237,0.576431001551823,0.367723659392714,0.49013691637957896,0.5700420838473065,0.3845450604364894,0.5641313957051807,0.5701787416740328,0.4601806538041508,0.5642398445615143,0.6692880650795195,0.4272983460315894,0.3436544488546847,0.9904610492845789,0.5797955449476826,0.5497399848813397,0.46592882559553955,0.47565457363196184,0.514530520038076,0.5952471250547682,0.5112350811956712,0.47616356575999225,0.3672277664221336,0.3266404311898218,0.44617244266675754,0.4805774412578468,0.5697260579771838,0.5468548433033777,0.44055527776638154,0.49678330856922015
arc_pair_280409,0.3698595902705289,0.5283843044164631,0.36450253693115287,0.5246041445074348,0.34231440898366083,0.4550336807407933,0.5319858205991654,0.5655062857762603,0.4520342208018716,0.5335841023346497,0.4878957864283318,0.5194678483883334,0.5625847502129435,0.5355055783617613,0.5134280171696476,0.34602662684426316,0.5825278359785364,0.5567579209820387,0.5320832073818145,0.5620661027581041,0.49630843514537426,0.5150739702412594,0.5465208069452326,0.5196075341572762,0.540677862570979,0.4069726982690351,0.570851591572358,0.5268762745480273,0.5259217036989061,0.4761289679549608,0.5725536595594872,0.601106942477131,0.5402546850125014,0.5185084796601709,0.5392623715583331,0.3611527804312627,0.6099589192244584,0.5615315406008782,0.5743532859979161,0.44045803709924997,0.6060998192377152,0.45416812534128087,0.36674247323535,0.47504334898940576,0.42519513362162353,0.5666105032300861,0.5996094260500054,0.5014655967816721,0.47088810326697167,0.3675353490587055,0.4962993762023373,0.4850710854712558,0.6125134755084546,0.5062406538168633,0.5503303830907326,0.316070740214775,0.6157525897815482,0.5429798760621329,0.37078079607686504,0.5161702628673285,0.5271193343656183,0.41658552695808126,0.5175225554427677,0.6142450628911634,0.436817480676435,0.393658199090954,0.5112350811956712,0.528921432195517,0.5670493867787392,0.49168064774263864,0.4806352255430683,0.5189532382205984,0.5975429458994109,0.9920180106426524,0.49276182586884404,0.3667335565784652,0.38511116567637643,0.389377967367625,0.4927963985835657,0.5852276420678618,0.5258840575609579,0.49929746149341875,0.43331145914809605
arc_pair_149569,0.408609091188895,0.5992515755494052,0.39824752630357974,0.622991391645071,0.3717436889037188,0.47998594016227714,0.6099954174418458,0.6181248149836714,0.45858737080552725,0.6232980126932133,0.5265155282474043,0.5295130208762775,0.5896949531439938,0.6556139819513983,0.5368253445152084,0.3880866753999996,0.6684826594322278,0.6672482658177935,0.6390142318056439,0.6580231142987369,0.586935582552256,0.5701053881742361,0.6464410067822269,0.5777562627489311,0.6517096548589859,0.5173419951605598,0.6526602596710717,0.6489293634330393,0.5754364165397092,0.5716472691469163,0.7012953061074085,0.7215104134899124,0.6264623720863142,0.6300178326556385,0.5503175525178698,0.3620301657097574,0.7387903177337573,0.5986062605992303,0.6341883491103858,0.6039255732987805,0.695121532554469,0.4820745289980111,0.430641597840179,0.5351113061487235,0.4501608871414818,0.6050291070994345,0.6745393433142579,0.5706861945201888,0.576864190541987,0.3608950924524681,0.5638649576374536,0.5786928238256757,0.7502191493799873,0.5706547961976897,0.6290778547106823,0.31839713155149824,0.5882968582383342,0.6265227472974514,0.4615737847726021,0.5520617472613352,0.5436132269787857,0.5100833562505909,0.6161329149523417,0.722663909824864,0.4629277011628006,0.35936750408830404,0.5697260579771838,0.6072593723896204,0.5442090218991438,0.5617091421076744,0.5220158779980821,0.5550905941388331,0.5909909462842782,0.5852276420678618,0.48816951798556857,0.371055839962332,0.32676514123317496,0.3938408453644835,0.5858151450633613,0.992094861660079,0.5727428826698152,0.5754294119829763,0.4493101209746913
