,arc_pair_20032,arc_pair_5350,arc_pair_18299,arc_pair_4279,arc_pair_18,arc_pair_12155,arc_pair_17547,arc_pair_5844,arc_pair_5055,arc_pair_11919,arc_pair_10963,arc_pair_16989,arc_pair_9885,arc_pair_1076,arc_pair_6822,arc_pair_11596,arc_pair_1191,arc_pair_2889,arc_pair_1525,arc_pair_14361,arc_pair_20628,arc_pair_20976,arc_pair_10617,arc_pair_14286,arc_pair_13112,arc_pair_17014,arc_pair_15122,arc_pair_4436,arc_pair_16535,arc_pair_2147,arc_pair_4569,arc_pair_9926,arc_pair_15991,arc_pair_16493,arc_pair_4103,arc_pair_2887,arc_pair_8248,arc_pair_5713,arc_pair_17997,arc_pair_31,arc_pair_3868,arc_pair_194,arc_pair_9469,arc_pair_9687,arc_pair_20196,arc_pair_14061,arc_pair_5220,arc_pair_13337,arc_pair_1613,arc_pair_10940
arc_pair_20032,0.9869608826479439,0.6140925795224529,0.7233927816241338,0.6990243019131077,0.7167590047872394,0.7257529878397875,0.6387520014262447,0.685090135177402,0.6549076841235264,0.5406624322966677,0.6936945574192968,0.7412829927568194,0.5673039445151712,0.6488400400255382,0.7529360483073094,0.706009293088816,0.7506296585939336,0.7114954352297572,0.6500467484955517,0.6486896597941263,0.5680671514917576,0.6108253921868554,0.4112410434199766,0.7309363993972756,0.7216381561986872,0.6700961354708164,0.7297587583340223,0.5868951778124625,0.5885711137080679,0.6557752384250983,0.7178325429093038,0.6796415813038785,0.5464642368307533,0.494490718297936,0.7625245944863044,0.7028565628566487,0.49330296558467845,0.8053187555419391,0.6641769784515785,0.7798170560471914,0.4428356173241518,0.7005329746907191,0.7070330250727932,0.6698869435445678,0.7619813164264918,0.6554017434180918,0.6729671483506052,0.6720206565080344,0.6202748268143187,0.6117717625871224
arc_pair_5350,0.6140925795224529,0.9934607645875251,0.49001379586283217,0.5484799484033038,0.6147193128939218,0.5790502859216574,0.5057347741205379,0.6062595812965809,0.6226542600789285,0.425488681450697,0.592821579798437,0.5411672371733995,0.5350193345403478,0.48910462415248324,0.5957996959588547,0.5626414305552885,0.5793779029967505,0.6454445505973123,0.5182369198363169,0.44656098844120934,0.42927721489998905,0.5414410486991986,0.5017458747212827,0.6012611038583732,0.5763393584237414,0.5843198258388848,0.5343237306526993,0.4935160779411687,0.47922765130992556,0.5610310569319898,0.6005934120897054,0.5532227699643698,0.6100197823952754,0.378650688947729,0.6074874813447424,0.5618558476775174,0.43713711196829735,0.6023176037015071,0.44750489779904884,0.5598925732505102,0.4326181647367976,0.5778960462271183,0.6221517834857706,0.5641638825831299,0.6545031829251666,0.5256976891043104,0.5396494361773276,0.5941956806151775,0.5105522042425719,0.5789895958093316
arc_pair_18299,0.7233927816241338,0.49001379586283217,0.9882557633753805,0.806362616237137,0.6456888133724085,0.5704976806552836,0.5776924150026528,0.606801390778588,0.5616980079859419,0.5117469661459858,0.6840843614394394,0.7037539236751129,0.48592224351624713,0.6555753385678792,0.6810922457642522,0.6207013466210874,0.7160774798244707,0.6500518183576658,0.5454593402340201,0.7317462860760287,0.5257464147084013,0.5163087497153781,0.33667135320472025,0.6070198907360292,0.7888136768565214,0.5658864917809536,0.6456094278529085,0.5272188150990806,0.6138991334443061,0.5594242154489311,0.6556155352669433,0.6237899206040775,0.509340236961014,0.4336408163478208,0.6539945398248047,0.7209216852703937,0.397942608945369,0.7220180659066772,0.592191645007586,0.8023466565960334,0.3943272416491145,0.6400543815073022,0.7406671927531752,0.6124616001949583,0.6849176959831144,0.7148649363075726,0.7147343765183409,0.6845117090607908,0.5482916240803992,0.5291521225344291
arc_pair_4279,0.6990243019131077,0.5484799484033038,0.806362616237137,0.9920127795527156,0.6481619883043106,0.586935178343636,0.553560975090799,0.6164572921472328,0.5748813386295435,0.49133819257015027,0.6887393535313059,0.6882665025718744,0.5147560342807374,0.6016827952393136,0.6423198564473813,0.6003847516376613,0.7376547430709515,0.6269236244760287,0.585538675894017,0.7188635935977467,0.5020613974044041,0.5030377791746888,0.3526032996463804,0.602615044671369,0.7754981574843035,0.5864651269488191,0.5884988071732634,0.4978069144271043,0.6143782454933634,0.559114694877049,0.6731661307218972,0.61996538177125,0.520510681812986,0.44866156928051465,0.6593426188639225,0.7249076268805401,0.41812761008898197,0.690663837681518,0.6315980417195578,0.8091851897995908,0.3907394665448901,0.6384649702234599,0.7886098122401028,0.5924248190621156,0.7229132521571167,0.7351384499569538,0.6712327507025395,0.6743343118325436,0.5536453341299578,0.5460825548998787
arc_pair_18,0.7167590047872394,0.6147193128939218,0.6456888133724085,0.6481619883043106,0.9915604547020324,0.6917259682161078,0.6417580857319009,0.6569617328791293,0.6350981187726432,0.525354605754548,0.7599089271186671,0.6716728068325065,0.5295975914412484,0.6404476313452111,0.7154288856531114,0.6564817520041643,0.7168301596628287,0.671618063983213,0.6274875352168493,0.5977928693480775,0.6253434099792274,0.5635960289533329,0.47154218964050326,0.6943500406867326,0.6900597250543774,0.6852266427006137,0.7224679359940634,0.5754636284556803,0.580968465403901,0.6235972829211864,0.702682205540924,0.6183889060212483,0.5907515029580687,0.41319017716727247,0.6135707007379785,0.5997881120431124,0.47652028124218704,0.7436825298917942,0.6316084236312355,0.728549684564697,0.4080909949360339,0.6049430630900213,0.6373118997712505,0.6300796345746149,0.7124055566630271,0.6415659713479214,0.6627764859142333,0.7093492355246336,0.5993495027692206,0.6014625941613576
arc_pair_12155,0.7257529878397875,0.5790502859216574,0.5704976806552836,0.586935178343636,0.6917259682161078,0.9876058041112452,0.6199782065611171,0.6050048249041184,0.6214768690705319,0.4815824825854034,0.6278141147231333,0.6005240714932838,0.5342260915679695,0.5938226919979153,0.6580241920017226,0.6030482497726167,0.6088723998944302,0.6238355259505245,0.6014147036956689,0.5673989303842304,0.48706439825589265,0.5425931378353279,0.3658455344244282,0.6520225565606698,0.6034596537710296,0.6247200437024714,0.6123174666482862,0.5721507808508095,0.5211276143362961,0.6672719730158452,0.6121360847418176,0.5672011614463421,0.5525119079938302,0.4609865803477466,0.6804971464853679,0.5926849673793821,0.5396705090284389,0.7121441071148152,0.5716660350874948,0.6235422831132339,0.4105524978961517,0.623819408657983,0.6201325630933413,0.570972807183295,0.692118346185445,0.603860688453417,0.5716764275878518,0.5894063513716166,0.5412347790667423,0.5484856316326635
arc_pair_17547,0.6387520014262447,0.5057347741205379,0.5776924150026528,0.553560975090799,0.6417580857319009,0.6199782065611171,0.9946550048590864,0.6130906012592825,0.5692326749922968,0.4960673140257764,0.6738411004141822,0.6141664650400633,0.5121784957944338,0.583889843298049,0.6235132746204203,0.5535790400963305,0.6108520347499261,0.660009719964525,0.5581041345120118,0.535439048076189,0.513863806133884,0.5148158752485965,0.3895767349480532,0.569786251730847,0.6054351994706937,0.5962588117673747,0.638348047401152,0.5343401032627857,0.5262204645146756,0.530896438213922,0.6082233896202405,0.5619479169982091,0.5434656951105361,0.37895090965417627,0.612739401293396,0.561877589213542,0.4277681067786726,0.636742521205656,0.5647515967239121,0.6304187876977012,0.4397702638113471,0.5930826623538941,0.6051658532570643,0.5917662231890761,0.6800394024036194,0.6098165202243356,0.6852904302035351,0.6150579084930401,0.5686239931873549,0.5944635671967787
arc_pair_5844,0.685090135177402,0.6062595812965809,0.606801390778588,0.6164572921472328,0.6569617328791293,0.6050048249041184,0.6130906012592825,0.9867298578199052,0.64787176693071,0.5350818845264153,0.6697351689592395,0.7313878299195984,0.5731887641423498,0.5990597878771645,0.7139557934719956,0.6247587194577574,0.6971753729072545,0.783475769777821,0.5739300606529295,0.5367406405038907,0.5416020938641681,0.5581070312508256,0.4148080008362885,0.6233191863216263,0.6434908284772997,0.6824929619335001,0.6048683077659716,0.5040931324461022,0.617903539567113,0.6091455434343618,0.6375706961197126,0.6568982480607951,0.5684807071622306,0.4186649055865959,0.7128090256442605,0.6537671266639864,0.46922965684718165,0.6673775822419339,0.5542050221435841,0.6479288420985878,0.4609399897103799,0.6746424530508014,0.6645430796963884,0.652100563841822,0.7900660031367125,0.6061255617533658,0.6670553218262977,0.6408541021645039,0.5913232138497972,0.6404098571224099
arc_pair_5055,0.6549076841235264,0.6226542600789285,0.5616980079859419,0.5748813386295435,0.6350981187726432,0.6214768690705319,0.5692326749922968,0.64787176693071,0.9898643125715219,0.5468697705032661,0.7082221874219268,0.6431820909739489,0.5528293336053908,0.602842415282123,0.6515359408849394,0.6455379737309006,0.638212416400906,0.656170554001738,0.5987847383783087,0.5565975444685712,0.5490114469744113,0.5222768654931274,0.4585303771292803,0.6715098612804536,0.5956342112730755,0.5618282993352162,0.6289885747071835,0.5861678526993584,0.5270510572755335,0.6014382750153783,0.6616894932248645,0.5483659645917156,0.5797743554287063,0.4435761502894147,0.6462626036952676,0.5722165138346151,0.4840170991275471,0.6435229265928779,0.5713757938869573,0.5906279420031867,0.4355649718206518,0.6194597986961994,0.5884328189719603,0.6025761752411037,0.7120877438067452,0.611831440744447,0.5657659433195354,0.6007478923673985,0.5200180225672045,0.5597064093160034
arc_pair_11919,0.5406624322966677,0.425488681450697,0.5117469661459858,0.49133819257015027,0.525354605754548,0.4815824825854034,0.4960673140257764,0.5350818845264153,0.5468697705032661,0.9652532391048293,0.5737975929150553,0.5390532764660958,0.43345288922573716,0.5262407632047149,0.519816009250122,0.47987260533349285,0.5256183014325156,0.5363327763303471,0.43255288022342553,0.46792202996903853,0.43234129976100627,0.46589050818807215,0.2855567456442213,0.4798066649985386,0.5359161769837463,0.4808816072372006,0.5059641192565514,0.3700051361154897,0.4937002499070489,0.4900372378413211,0.514899118034457,0.4575309132303586,0.4372184695349926,0.3388076896603409,0.5178310542454596,0.5104193565178446,0.3883942514905495,0.5357822997650226,0.473084362383292,0.5316719278796254,0.3679341727226351,0.5071970845861948,0.5104563997307425,0.5168285191624941,0.5706431378322114,0.5058925791479036,0.5462082143819312,0.542896135083129,0.3914305888395811,0.4400944823442307
