,arc_pair_48468,arc_pair_337111,arc_pair_542791,arc_pair_313438,arc_pair_624573,arc_pair_144158,arc_pair_720681,arc_pair_588558,arc_pair_450035,arc_pair_384979,arc_pair_131562,arc_pair_119264,arc_pair_16513,arc_pair_641885,arc_pair_703887,arc_pair_22407,arc_pair_89302,arc_pair_149569
arc_pair_48468,0.0,,,,,,,,,,,,,,,,,
arc_pair_337111,,0.0,,,,,,,,,,,,,,,,
arc_pair_542791,,,0.0,,,,,,,,,,,,,,,
arc_pair_313438,,,,0.0,,,,,,,,,,,,,,
arc_pair_624573,,,,,0.0,,,,,,,,,,,,,
arc_pair_144158,,,,,,0.0,,,,,,,,,,,,
arc_pair_720681,,,,,,,0.0,,,,,,,,,,,
arc_pair_588558,,,,,,,,0.0,,,,,,,,,,
arc_pair_450035,,,,,,,,,0.0,,,,,,,,,
arc_pair_384979,,,,,,,,,,0.0,,,,,,,,
arc_pair_131562,,,,,,,,,,,0.0,,,,,,,
arc_pair_119264,,,,,,,,,,,,0.0,,,,,,
arc_pair_16513,,,,,,,,,,,,,0.0,,,,,
arc_pair_641885,,,,,,,,,,,,,,0.0,,,,
arc_pair_703887,,,,,,,,,,,,,,,0.0,,,
arc_pair_22407,,,,,,,,,,,,,,,,0.0,,
arc_pair_89302,,,,,,,,,,,,,,,,,0.0,
arc_pair_149569,,,,,,,,,,,,,,,,,,0.0
