,arc_pair_684529,arc_pair_206257,arc_pair_337111,arc_pair_218228,arc_pair_307657,arc_pair_694660,arc_pair_578116,arc_pair_307953,arc_pair_203062,arc_pair_197122,arc_pair_255622,arc_pair_139628,arc_pair_557730,arc_pair_610128,arc_pair_283483,arc_pair_370771,arc_pair_522221,arc_pair_624573,arc_pair_144158,arc_pair_115275,arc_pair_593564,arc_pair_708260,arc_pair_247784,arc_pair_511862,arc_pair_649551,arc_pair_270697,arc_pair_446116,arc_pair_148500,arc_pair_656372,arc_pair_664080,arc_pair_257072,arc_pair_547258,arc_pair_67750,arc_pair_720681,arc_pair_347280,arc_pair_588558,arc_pair_649403,arc_pair_599471,arc_pair_695283,arc_pair_724174,arc_pair_450035,arc_pair_726873,arc_pair_156269,arc_pair_269928,arc_pair_242245,arc_pair_384979,arc_pair_595373,arc_pair_295568,arc_pair_142660,arc_pair_167650,arc_pair_435729,arc_pair_653762,arc_pair_365022,arc_pair_716732,arc_pair_692544,arc_pair_134659,arc_pair_639703,arc_pair_632661,arc_pair_271027,arc_pair_493828,arc_pair_336359,arc_pair_731860,arc_pair_323321,arc_pair_462000,arc_pair_131562,arc_pair_119264,arc_pair_625567,arc_pair_16513,arc_pair_101269,arc_pair_176092,arc_pair_523521,arc_pair_551110,arc_pair_521750,arc_pair_532740,arc_pair_700005,arc_pair_474346,arc_pair_460240,arc_pair_594335,arc_pair_24655,arc_pair_75573,arc_pair_641885,arc_pair_292663,arc_pair_703887,arc_pair_22407,arc_pair_280409,arc_pair_172674,arc_pair_208250,arc_pair_713999,arc_pair_564013,arc_pair_149569,arc_pair_281486,arc_pair_27275,arc_pair_723396
arc_pair_684529,0.0,0.0028666158198090578,0.004694351170938411,0.009387551581295624,0.007362209556598286,0.0037786235499643072,0.00789538773211065,0.007420728121006857,0.003510939994309348,0.006104716596569297,0.004038809317293668,0.003981862252336771,0.005044154947643351,0.004117125282527017,0.011151529041501605,0.008681972216127758,0.004002572893796508,0.0030128453509234523,0.00465554859971078,0.008355348634025563,0.004526784940448853,0.008817717812058985,0.0044005313844013,0.0027051398773855406,0.008492529296697984,0.006656902630690256,0.008153580249056519,0.0042829852975673575,0.004270301262486415,0.0060214360644780885,0.0035920004290808266,0.0037798577599777086,0.007163855658773744,0.007247100430302609,0.006505984015004863,0.00395185913792436,0.0039171498132675436,0.005202910033100262,0.004365517093733022,0.003018829953495528,0.004530524775486479,0.0051542958779055865,0.00466147111852858,0.004744594934790707,0.005706570518041132,0.005343449993806414,0.005572526960940821,0.0064744395094381,0.008476383800626819,0.00585898126666329,0.006106012995881192,0.009341291757446486,0.0035176229754777496,0.017606423018882492,0.0031047407149399514,0.009444197509600183,0.005769749208010472,0.011189876982049419,0.006537930251489029,0.005518017298178464,0.0051729556359794236,0.0057500508420097185,0.007181454132871026,0.003782645753377529,0.00892156374975037,0.00533511006049572,0.007507572989248682,0.004410604863987096,0.005336917337556725,0.008157991835972385,0.00427301024583633,0.005830846394737289,0.0043848750504404815,0.0035380339213458905,0.008818769557194609,0.009524808268940414,0.010650742908473218,0.002808791609188418,0.00642228685460545,0.010789403973767098,0.004491206824712093,0.004421078104484345,0.006183881622303376,0.007030272690933601,0.0057652447454110585,0.008034514009660612,0.005599849135881466,0.0035640011349661986,0.006646977899195116,0.0031393682700581547,0.0047105272901237635,0.007663517371120387,0.015867708976325803
arc_pair_206257,0.0028666158198090578,0.0,0.005541841679593693,0.007995226630549752,0.005528326043545999,0.003628164054530778,0.008452620753257482,0.005699401477238471,0.002876602231691611,0.005384833785512978,0.003611072244094695,0.002561849651370112,0.005579665434305908,0.00495929696046595,0.008369629963041907,0.008913852060001542,0.0027177051517605364,0.002856298025910032,0.003940811756874383,0.007414757890791532,0.004205147619065703,0.006477997287547764,0.003634330888401404,0.002549938743684543,0.008052037687557682,0.004181340176986211,0.0077624911715335025,0.0043827409991305175,0.003709532854404567,0.005991813324599537,0.0035917346612304446,0.0025037379313090904,0.005364932327210667,0.006557170728247199,0.006007381350548834,0.002893153823085814,0.0033585262919960126,0.003863620097452729,0.004422747948591875,0.0030429845647803023,0.00432951894472894,0.0049166671274783625,0.005360753434898478,0.005447871266552247,0.003718733028046312,0.004531217418595858,0.005588437467447884,0.0071632985430843815,0.006521780690589686,0.003955076396658131,0.00645523184489295,0.008760980279119234,0.0038833888324042156,0.014203968467173768,0.004247412595856655,0.009597188968773738,0.005536654401524118,0.010617821313224984,0.006648713078817766,0.0057424394216535266,0.0038647136426988287,0.004842568827046307,0.00807446908754781,0.0027032876796615176,0.009644657139157933,0.00424835867315068,0.006492114401775883,0.004099643107361537,0.004340971085851017,0.007302856445308944,0.0039448839686656145,0.005711189680965267,0.003266491285615565,0.00322349055555025,0.0091803619073196,0.007976793301461565,0.010446312041958098,0.0024310711835727125,0.00630732529754038,0.011354710234088721,0.004284713125397343,0.004779020698195743,0.0060922100710087985,0.007204235742298817,0.005692292480319183,0.005884961130331206,0.005450105143732241,0.003239011977197496,0.006456876866083292,0.0036169486758745525,0.003092822360293774,0.005977811914621526,0.012167045093523461
arc_pair_337111,0.004694351170938411,0.005541841679593693,0.0,0.008922388700245719,0.010811037117538672,0.004906020973808883,0.010201549944456087,0.009208392873634329,0.004532098008198591,0.006550354247008134,0.005761553189210495,0.006449689085624474,0.005995347561209613,0.0036958938730166204,0.014103917853540463,0.007545731062552859,0.0032767647675498793,0.0051089225991892626,0.006518063871981478,0.00847244084763814,0.00426489128131368,0.01150716125929456,0.008191890612126445,0.0038466263980248333,0.008977079558627062,0.007566113851964831,0.009914013546520392,0.0037723007412931615,0.0033887873375431274,0.004200540647416131,0.0030204939694504626,0.0036329998814267506,0.008718621409109829,0.008299882794545698,0.010240365021557746,0.0031965803492127816,0.005479535213779471,0.004929731488425296,0.005662484529409112,0.003187823334024042,0.0038184785228506713,0.004491174900452191,0.003028135819368522,0.004382387747603116,0.0058320648749336365,0.008873803835844745,0.0058078919115077295,0.005128657736559106,0.010409083881939918,0.005319826236966084,0.005959467710409802,0.012636320753876749,0.0027075872723919077,0.022366871002312088,0.005749580009433066,0.007880756270383255,0.00723156849252581,0.014942949962642928,0.006465285977572533,0.008858832808731967,0.006303372965495191,0.0066033987333989335,0.006258042609393842,0.004775063404267899,0.009270239711692722,0.006344914139410961,0.010480000987033828,0.0024151320094293522,0.0034348452286141274,0.00855417102525969,0.006431647561931221,0.006159920972699465,0.007750060566856344,0.0036623293492825445,0.010239420302309668,0.011089698578517224,0.013910394366265452,0.003828715093292542,0.0037158359349428096,0.011472070044200266,0.006608399553240627,0.004111551308974227,0.007246867107226641,0.008209219536009513,0.007102835018721328,0.010162157544012668,0.005152974935396149,0.0033127373116141707,0.009339576963464413,0.00501870771965502,0.00565947590665536,0.008131333123857365,0.020049048846467243
arc_pair_218228,0.009387551581295624,0.007995226630549752,0.008922388700245719,0.0,0.01325984761359477,0.009942457778838596,0.012566196536168058,0.01103523444793749,0.009863728830101568,0.010536396685869013,0.009166508231887544,0.009514119359552787,0.011618686243835018,0.011046948182437705,0.011979552569489233,0.011107940646726617,0.009337986032545006,0.009589659058341233,0.010796943260600536,0.01023340303134234,0.009657553030094664,0.012178467119588053,0.010223282591712197,0.009209617715267352,0.011891165077759157,0.01059169409669147,0.011942265196388104,0.008996681209056997,0.007125194462281389,0.010586793740991052,0.009006462243007851,0.00930760899497221,0.011718068756619088,0.010991113946952985,0.012397549853144535,0.009328099177901818,0.009681792636396456,0.007958627135594252,0.008389077038916727,0.009343641425432576,0.007547879748062961,0.010779367293125928,0.01041456740405553,0.010516047982038652,0.010524249529714707,0.009687342553053657,0.008108814501625403,0.010254154409488191,0.011004951049169404,0.010142789078875083,0.0105839199557511,0.011266865314052105,0.009494956877275116,0.018176625952618868,0.00938890400337376,0.012796398818702696,0.011221964179599914,0.01418758375909299,0.00967737602713106,0.012146542287034465,0.009835269110254268,0.010798507913261396,0.012202722317771827,0.00911746771865462,0.010437793975515707,0.01007937194229181,0.010476630259352011,0.008012555984875689,0.008732145743920325,0.011294626651679388,0.010709757099027488,0.00923210536749602,0.010130191477332436,0.00821692381013853,0.011610962082398306,0.012014218454175964,0.014618376839810095,0.009291761950566352,0.011176778571737399,0.01548782354312368,0.010852222993733451,0.009827177601680191,0.011620084363070656,0.009663351303465567,0.01121271318416735,0.01109119112925852,0.008612702178638687,0.007579729201804558,0.011426494704881968,0.010321929365077802,0.009926193966903684,0.011881019397158453,0.0189144863508846
arc_pair_307657,0.007362209556598286,0.005528326043545999,0.010811037117538672,0.01325984761359477,0.0,0.006940378357689149,0.009692985772997417,0.003955049546201078,0.00818249918279265,0.008609087337571292,0.007887180733859458,0.007206899921792206,0.00887992748228987,0.008358106172313837,0.008867213321736699,0.014169102863198422,0.008360924357915217,0.0074120129672324946,0.007674729258111148,0.011005961249493771,0.008661177273992352,0.0035708924069958008,0.005167284929858945,0.006774557285855995,0.011316647835588996,0.004952529676353774,0.009417553742644108,0.009619011645183589,0.0071631333829021634,0.011233915407567834,0.007843274235608527,0.008624218340248525,0.004332629688895315,0.00952071248153068,0.008734815164130343,0.007261909989380828,0.007664460412201519,0.007052812172128914,0.008320371320683022,0.008946916635380418,0.008179589389075136,0.009419359832626619,0.008879233148884415,0.008046069779664336,0.007430117949676414,0.006464260913908597,0.010799134671930496,0.012329908930886918,0.007140609835396557,0.00916965663977995,0.010269513721908204,0.012110904019988367,0.01007997078209953,0.011156523262735854,0.007482636202953939,0.013250092001355778,0.010055502164901463,0.012043400683895436,0.00978844044346652,0.0064172393865714345,0.009597382714305136,0.008088746035877312,0.011339345796523789,0.007778599002321517,0.014602692887692462,0.008582892318715373,0.009621002079343757,0.008598330753161581,0.009560771438015847,0.0106676592752498,0.008305621851581572,0.00845736499951112,0.005548328503519103,0.007957361061377555,0.01241027637562464,0.008638227224992703,0.006965164133131065,0.007033044110807546,0.012951808002324566,0.015243723874680766,0.008847680583956961,0.00917565236494741,0.008919447328424486,0.011675586611998356,0.010625364040572339,0.004817841932341932,0.011532177615756811,0.007427999750656607,0.008201504364910408,0.007238114798162585,0.007621387000357072,0.005549387583483152,0.010371092517492218
arc_pair_694660,0.0037786235499643072,0.003628164054530778,0.004906020973808883,0.009942457778838596,0.006940378357689149,0.0,0.009163538171720748,0.006231507414858836,0.0029638463105976405,0.005535425732596943,0.005393516898424963,0.004437653219096602,0.004951495206391493,0.004256041189775776,0.009836484145363738,0.008481067696310435,0.003398481687155872,0.004341476289542243,0.004856623603494169,0.008739302480253874,0.005769947836278976,0.0071548290760940075,0.005014700993732458,0.003493484914254814,0.009954903922803404,0.005242357023503917,0.008793934545617206,0.003921884349853558,0.004803432598925875,0.007330625584128077,0.0036184108183932944,0.004320601993516868,0.006699006186066327,0.008171632855368618,0.0067315620850664365,0.004737997637429477,0.004347353912662016,0.00512410984565858,0.0057734882386425105,0.0033463778460352885,0.005312300459086436,0.005340815072592759,0.004825381022514367,0.005520732246377495,0.00439727220221016,0.007101552789368883,0.007744425001986214,0.007455868633408416,0.008119221279545877,0.0053622955926421485,0.006945872649948608,0.011039160254406826,0.003937083321017108,0.017766567941981212,0.0041865168926525035,0.010247689782178363,0.0059116708363742936,0.012489262463187052,0.00810444858638545,0.005521095713982228,0.004389559092511203,0.005800963334831937,0.008852876098647482,0.004274357891560878,0.011070004226702549,0.004978932858209042,0.007182923446780434,0.0046878324491166756,0.005164197092722934,0.008970701334923194,0.00524713890724447,0.005227234073348989,0.0045670742721926495,0.004060074089659277,0.010765831977718857,0.008068558878943513,0.009798010856944522,0.0015376376754107747,0.007085392877653557,0.011871014575611741,0.0032118434591760048,0.004116852250182874,0.0066263056915700485,0.009645565538048606,0.007472201519343111,0.008034428984728144,0.007818034959464945,0.0039212240329773015,0.006200568158142709,0.0044230661132575655,0.0052974836599856585,0.007541427125374261,0.01455558197912803
arc_pair_578116,0.00789538773211065,0.008452620753257482,0.010201549944456087,0.012566196536168058,0.009692985772997417,0.009163538171720748,0.0,0.007490805473708651,0.009298143110349504,0.009528437017914162,0.009705612209634734,0.009708001653702225,0.008744007958878605,0.009353186873383846,0.012836374231445109,0.01466001093109767,0.009284656970598795,0.008404831715768106,0.008715445281961273,0.008243307205734997,0.007761025464606578,0.010627261888388272,0.008881995622236136,0.008113964997950439,0.009349541922462084,0.010209382993595107,0.007467649125326041,0.010100170775909764,0.0068960708292420255,0.009915674208501077,0.008904905916865213,0.010693461249216513,0.009581329491513187,0.008267104690523407,0.007087355269641128,0.009489147486855656,0.009916293915920475,0.009331952677236207,0.006564020811732655,0.010060314755861593,0.00818917650729923,0.012174437754897278,0.008363086958790502,0.007389581600606592,0.011214330349673703,0.007594762227490065,0.009424743781313367,0.01193015225533274,0.01089068071907668,0.011464790832688351,0.006678571793417722,0.01017683670956123,0.00966521924285322,0.014218010821558755,0.009168025731102366,0.013061991730721827,0.011260290369585197,0.00969908407552217,0.008452116256924259,0.007760529920910576,0.009751070545911431,0.007707128988046543,0.011443308126959637,0.008798428839614163,0.01111215173938786,0.01014223575578338,0.009121789549152458,0.009198641005199218,0.011168427091487776,0.01083744827954181,0.008699283108340235,0.006662488409853354,0.008456081843923125,0.007966397778665878,0.012314525987482335,0.010520764953140194,0.010511206423419146,0.008236475245346157,0.012333119137763809,0.011278562559323229,0.010306207229067303,0.008373989831994914,0.010359119382036767,0.009514490839061227,0.0106324807689068,0.008539815452726324,0.010933502923995489,0.007857071406428547,0.008635421963097589,0.007250778261401558,0.01018134995479551,0.010662439158761985,0.014517948286218062
arc_pair_307953,0.007420728121006857,0.005699401477238471,0.009208392873634329,0.01103523444793749,0.003955049546201078,0.006231507414858836,0.007490805473708651,0.0,0.00820450967520267,0.007517196286709373,0.009346028234388574,0.007144007037159145,0.00748692733108247,0.00843757403291219,0.00683719004805316,0.01360878932182575,0.007068220193201276,0.006991251950445856,0.006883482936698501,0.007831907662294009,0.007475625224849998,0.0033144020765676686,0.005220483612341155,0.005952491205403705,0.010530678995708559,0.004079247941670715,0.008164408124717925,0.009015904457785173,0.005096916092221528,0.009998271212441841,0.006841535332969051,0.009383561669829057,0.0030265706991560344,0.00882585733963209,0.007461081884172049,0.007985014815423741,0.0066191776884614,0.005185418440607704,0.006753856050278386,0.008639249719552985,0.006574936388239928,0.009209104407237781,0.008420539017622537,0.007340836618950838,0.00800416455029913,0.007384349619363069,0.009146849108292119,0.01097246368562335,0.003697307118073299,0.008907858479045017,0.008891603875545398,0.01001702254717998,0.008376294384095397,0.00972956688260291,0.006903561209196006,0.012194150194664148,0.010395796404727004,0.010448166287279046,0.0083664333570044,0.0062929995278766335,0.00865351590112809,0.006137426000981095,0.010978457948409168,0.006863750252335697,0.012775052790425252,0.0072640106071780826,0.007421929659107862,0.00724101170450364,0.008628186605100768,0.009064141821142032,0.0073971409971457965,0.005418497125157989,0.005428997721578135,0.007006147721148771,0.010814565304252743,0.006599721654513864,0.005239742818057365,0.007021614252236851,0.012260876386015392,0.013053899139231502,0.008766414682354597,0.007646875515936355,0.008760653312432556,0.010426150200395015,0.010305917502820207,0.0029238221838939166,0.010777443871063986,0.005976416250612412,0.008142941878602422,0.007735798682352736,0.00871773178364343,0.0052921733459385546,0.011452754513357989
arc_pair_203062,0.003510939994309348,0.002876602231691611,0.004532098008198591,0.009863728830101568,0.00818249918279265,0.0029638463105976405,0.009298143110349504,0.00820450967520267,0.0,0.006161622755090434,0.004798806922884896,0.004250404742330517,0.005440210058762385,0.004601517528234832,0.011906369644606774,0.007602345595049381,0.0028137533931249952,0.0031658492221479048,0.005123138399961431,0.009437251352606044,0.005547995677698668,0.009583741071902224,0.005246147383613496,0.0032827640102491527,0.009338686325748712,0.006432564856800477,0.009752360363619993,0.0037469528016811074,0.005240184980455942,0.005472534024606237,0.002991088475645472,0.002225668251705531,0.006834519209342184,0.007526203449734103,0.00740621956964022,0.0032041157735047078,0.00355897430423353,0.00538657912240364,0.006228189888053572,0.0030874903989145013,0.005075767966322351,0.004377007189637835,0.004542708026401637,0.00661933422504939,0.004373262086288399,0.0066345735342418135,0.007690723531850706,0.006729712672258598,0.010185509445487795,0.004575396790390024,0.006930994388148329,0.011975920962644424,0.0044832232980867755,0.018984574871356876,0.0044982616085097234,0.010641284150820789,0.005673788352349571,0.013606303943216293,0.00749505443660646,0.007805477402898225,0.00459462191015625,0.006062512243575307,0.007773052570484235,0.003367105636032799,0.010904639675871863,0.0059149820842372865,0.008984912622287258,0.004397324107664991,0.004780646434837698,0.008039891780574633,0.004620631457205808,0.006963166439664428,0.005360254985420382,0.0032063469564153615,0.009168998420503326,0.010609980134957512,0.012379560054500745,0.002072649324838729,0.006020947938677217,0.013575221176487694,0.004190450479661264,0.003971429666443437,0.006940890583325372,0.009177742124494357,0.007294128122991204,0.007962866013710823,0.006138799506914713,0.0029151257957763677,0.007981714328604426,0.004114305618575859,0.004869374075490588,0.0075401278334666436,0.016681171021743026
arc_pair_197122,0.006104716596569297,0.005384833785512978,0.006550354247008134,0.010536396685869013,0.008609087337571292,0.005535425732596943,0.009528437017914162,0.007517196286709373,0.006161622755090434,0.0,0.0077555777080866965,0.00744144727869455,0.0063251624522158365,0.0063031542251135615,0.010719267287280357,0.010471641287168714,0.005026123942413599,0.00593377907011819,0.005791137548791264,0.007973405973630459,0.0057138509702663294,0.00905606861277889,0.007538152277279424,0.004947130015297783,0.009379789206464173,0.00680794659070591,0.007793016375561107,0.00675636057391645,0.00475001245176931,0.006860158912847249,0.005582755361615776,0.006432105375689763,0.008125640530223662,0.007673848068721423,0.008218731278744371,0.005615953589781403,0.0058408036036516515,0.006295562542327368,0.005634932117747473,0.0060481216318993645,0.004748150492635883,0.007187449017581662,0.006127599629051927,0.00656573473634094,0.006488808103857976,0.00736525412702403,0.007069565314217655,0.00852206433673612,0.008581735662263449,0.006921359245395739,0.0072146294114428435,0.011503778024629175,0.006277894739254158,0.01674522750980556,0.006609557005714748,0.009523146840376365,0.008106275862825462,0.012464384241314155,0.008468695223843336,0.006389049500488086,0.007771302573088493,0.005657973052435828,0.009729375570221865,0.006420105451324109,0.012674963631598243,0.007815841998875328,0.008614237343718887,0.00528968344039902,0.00724003146383709,0.008793542146884992,0.007377423159946083,0.0067795337371090985,0.0059952242557923556,0.0065701432837417355,0.009917793345028316,0.008093213342770592,0.010026800132123816,0.005335951191588228,0.009050011086309876,0.013139789217650386,0.006399109727226097,0.005776307251799277,0.008443330359968717,0.009457496274563715,0.00883172003121329,0.0076923094751610525,0.0079354785304055,0.004816539438242808,0.006650146801116866,0.0060440179283219216,0.007868351939197422,0.008113161233901312,0.015338926946800172
