,arc_pair_684529,arc_pair_206257,arc_pair_337111,arc_pair_218228,arc_pair_307657,arc_pair_694660,arc_pair_578116,arc_pair_307953,arc_pair_203062,arc_pair_197122,arc_pair_255622,arc_pair_139628,arc_pair_557730,arc_pair_610128,arc_pair_283483,arc_pair_370771,arc_pair_522221,arc_pair_624573,arc_pair_144158,arc_pair_115275,arc_pair_593564,arc_pair_708260,arc_pair_247784,arc_pair_511862,arc_pair_649551,arc_pair_270697,arc_pair_446116,arc_pair_148500,arc_pair_656372,arc_pair_664080,arc_pair_257072,arc_pair_547258,arc_pair_67750,arc_pair_720681,arc_pair_347280,arc_pair_588558,arc_pair_649403,arc_pair_599471,arc_pair_695283,arc_pair_724174,arc_pair_450035,arc_pair_726873,arc_pair_156269,arc_pair_269928,arc_pair_242245,arc_pair_384979,arc_pair_595373,arc_pair_295568,arc_pair_142660,arc_pair_167650,arc_pair_435729,arc_pair_653762,arc_pair_365022,arc_pair_716732,arc_pair_692544,arc_pair_134659,arc_pair_639703,arc_pair_632661,arc_pair_271027,arc_pair_493828,arc_pair_336359,arc_pair_731860,arc_pair_323321,arc_pair_462000,arc_pair_131562,arc_pair_119264,arc_pair_625567,arc_pair_16513,arc_pair_101269,arc_pair_176092,arc_pair_523521,arc_pair_551110,arc_pair_521750,arc_pair_532740,arc_pair_700005,arc_pair_474346,arc_pair_460240,arc_pair_594335,arc_pair_24655,arc_pair_75573,arc_pair_641885,arc_pair_292663,arc_pair_703887,arc_pair_22407,arc_pair_280409,arc_pair_172674,arc_pair_208250,arc_pair_713999,arc_pair_564013,arc_pair_149569,arc_pair_281486,arc_pair_27275,arc_pair_723396
arc_pair_684529,0.0,2.8444697160704298,4.677947713823644,9.25243052138738,7.306205025678928,3.7581447636012144,7.835609705489288,7.370517476726215,3.47513542220224,6.062546388881087,3.9189355339818355,3.9017551135691826,4.99304183026303,4.081201645981529,11.059674155926341,8.478040118893514,3.985755892715318,2.983822306441289,4.611787047325532,8.229832075746698,4.509610056247797,8.745238999581018,4.379663698231928,2.6780612242441566,8.37449324409123,6.6042682215300275,8.117532719701883,4.260057721323843,4.218600212069421,5.924070648361059,3.5510089852044526,3.759935439454992,7.101101078779009,7.1731839671204245,6.450242835438265,3.9157152675863753,3.883647139463241,5.183939119966661,4.331999815445953,3.0067418785519426,4.476804439435796,5.093678965078864,4.626366604616564,4.6930781939465795,5.620430370161517,5.2943781947928095,5.492533273071779,6.4413704164083,8.374257531454763,5.835686787105227,6.049352659495,9.138074391882437,3.4566444392044704,17.50539225764261,3.09836771048871,9.175183825442721,5.654585117324817,11.139615051742295,6.477758040679332,5.4724360292572936,5.115565119320392,5.663184798333241,6.986487661219863,3.690839038222432,8.832562838025783,5.324203718347868,7.471189280916073,4.377358201906661,5.260769858704398,8.145281728305628,4.233933233488338,5.780306070707118,4.36217705540143,3.5092002032091947,8.692907096626854,9.371500150788169,10.544538994145336,2.7700938260854047,6.340271390068892,10.321606913013316,4.472276798170542,4.395460476988909,6.056631313621385,6.928399248084771,5.750724442530647,7.952145178471021,5.524955055138884,3.528964982863413,6.621429158528565,3.1104978288548013,4.625771051072535,7.590586521778722,15.752365646694999
arc_pair_206257,2.8444697160704298,0.0,5.527165130625367,7.88223813361793,5.50013072633488,3.6230531185818737,8.392638472183988,5.692349431580407,2.8731349170435982,5.3391963437831444,3.5829624433501275,2.503823570885947,5.556571225834103,4.929596906921959,8.346301762035424,8.763453860290321,2.717034012412305,2.8426970028206724,3.9291634332110466,7.393332385092829,4.197290564555889,6.418399810845813,3.631668550547266,2.546046758610477,7.815344975276194,4.178472445443497,7.7256958043376205,4.374510578439873,3.6999475998360447,5.909106770281959,3.5761533456664365,2.503153349315973,5.337557733705099,6.467669043323032,5.991761891449338,2.8728152555356443,3.344703784228267,3.85836881445255,4.414998437981549,3.038984277214725,4.295057576791271,4.872047204526604,5.32573401799893,5.364638396445002,3.6672888231471514,4.518927274892296,5.515331310238892,7.047295304317023,6.4886348075278475,3.950175270062167,6.442245035667801,8.595894709901245,3.873815278868215,14.143345364386821,4.185397966665192,9.208087678413953,5.2922244874959254,10.572607068882988,6.624163471381733,5.687592590499084,3.8476329681007377,4.792909796553122,7.810393878555466,2.574190505394092,9.607811605105226,4.238703839503834,6.476429707528691,4.088903600650438,4.287298581680489,7.2663110322054285,3.9414447014659193,5.6617316701857545,3.2639861438712057,3.2203531824337848,8.95247889869593,7.911020730280034,10.27197496039889,2.4261642050646977,6.19857444345188,10.695558301387951,4.2643194270519995,4.776338091315039,5.960515685929339,7.1441707831783585,5.645810779899547,5.840803692591324,5.3438155636988265,3.235886634462645,6.4475654263451325,3.6086419920864605,3.0532987575014445,5.923052862115573,12.044505971420271
arc_pair_337111,4.677947713823644,5.527165130625367,0.0,8.834146191358032,10.74420594345499,4.890519304212937,10.161672213891372,9.17033238217383,4.5175054612195655,6.5022244967095215,5.6881714391864975,6.436823926351297,5.939943955960666,3.690239226955425,14.04681253146691,7.382380010405435,3.262053333409779,5.087641370922588,6.443160262123827,8.393376470453505,4.254144277389868,11.449118607220894,8.115120817294875,3.822946994104093,8.868910017343149,7.520254291341752,9.891802707250761,3.7629660061070807,3.3376072415057516,4.129464877824651,3.0188557400661074,3.6264842717224686,8.692581343661372,8.191996890185555,10.123615508931726,3.145634609776735,5.419474497412828,4.900517786510603,5.638311735694161,3.1833698839638105,3.7474330216588436,4.465948006785581,3.0151822472296184,4.355361354221288,5.7858070522447145,8.799730378231743,5.7230531916505605,5.054691878062268,10.337228552811379,5.300335232377693,5.890704134220801,12.469152993875033,2.7013216222651226,22.255793505945235,5.683470852543618,7.754076050578092,7.165232373468225,14.861508974818644,6.452623837162047,8.777726272272927,6.274562637438424,6.45634834174584,6.2105717917965535,4.764976881181047,9.24319673951634,6.332537242496074,10.437336257357911,2.404507875212045,3.4192030711386803,8.482832427773314,6.415006834959664,6.0897657769210625,7.719395029857963,3.656018327501232,10.092349647387527,10.998630930775875,13.79328434652649,3.814561732474063,3.666307636325021,11.26172671089074,6.586889849276012,4.099425506738632,7.060447218897647,8.138077672687473,7.085632724278836,10.05518926081595,5.004817122159674,3.285222947990455,9.268384950808448,4.995666907770931,5.597604593195844,8.077655493496142,19.91124038741434
arc_pair_218228,9.25243052138738,7.88223813361793,8.834146191358032,0.0,12.614303785780045,9.842741601212136,12.409518355636681,10.788321735267898,9.775137577986401,10.29962372157313,9.009934961710162,9.223364984503732,11.396746984857701,10.687472590134607,11.52973397493826,10.814286860339678,9.202383005639076,9.46113670956372,10.60060824129492,10.053002288767093,9.444984064245144,11.678283046602335,9.984052134790776,9.121519304956394,11.320320172076427,10.38951564728341,11.681244433863952,8.919231388925223,7.026083812687222,10.039050647188759,8.853701046729359,9.204854493060843,11.290231789560663,10.597613401911062,12.146945755154109,9.203506616896451,9.5543178046763,7.901270327805396,8.25037379244866,9.280459796649463,7.4283258596983535,10.623957319587197,10.278098497099748,10.240148444872315,10.328805106446264,9.546638761510362,7.913600661098861,10.047998471086595,10.750289667115627,10.0082577446195,10.463000511404772,10.904617396376189,9.280983748140393,17.63373622178935,9.088753619652486,12.460395154276759,10.85860047038483,14.030544948603831,9.45659652742816,11.902513160780941,9.660268488304162,10.608126729680365,11.901275637406243,8.973783247652257,10.238306422429662,9.98102127812876,10.381838404160192,7.815649756906327,8.600140528413908,11.212040489049638,10.550693966712611,9.013698732850518,9.971502451098063,8.121228421344217,11.19197162380116,11.464142246297236,14.0173526742713,9.11162039005384,10.765991559540161,14.28764692718547,10.679913468440414,9.704974075776379,11.339584948638283,9.482010690715875,11.014921331380345,10.853651145316906,8.508061086022352,7.431426586921764,11.13257730636932,10.205787171637773,9.575316173935109,11.653991153729336,17.83011788812867
arc_pair_307657,7.306205025678928,5.50013072633488,10.74420594345499,12.614303785780045,0.0,6.899432308081609,9.55879688315806,3.950039079440951,8.13703013559853,8.481405624732211,7.8107230436561785,6.867147043175108,8.806885774067965,8.31406678595556,8.780446752925396,13.998379099435091,8.30656206268091,7.385604288657125,7.59064917447995,10.939121742838708,8.56691801663665,3.5492197877034957,5.07121829078445,6.730957080908148,10.23503367805906,4.950050968093825,9.272470074866824,9.555521581734775,7.095008605552167,10.926053704799843,7.790964297020075,8.605622402052777,4.328835469823685,9.34626929174338,8.518742913680365,7.184803421201805,7.63234880631908,7.03248929558479,8.259608825491117,8.916990516020833,8.088546718312175,9.363628193046509,8.702169671166569,7.807296456196731,7.22833459889852,6.374587936593678,10.509075478344645,12.156312999303468,7.08105305575528,9.132266208399734,10.178365878242086,11.565022486704315,10.054352565446932,11.137775872780107,7.113089374670702,12.4667157536446,9.135179687296539,11.92391255471387,9.744889870096086,6.132671113981891,9.548034385573565,7.997462750638207,11.263239202136516,7.585007576817068,14.418083796214557,8.504714248610874,9.431772559588833,8.586012447126594,9.264225401651132,10.476297685824946,8.28833720378946,8.326601204759253,5.492215256639633,7.932205773065959,12.097894268644282,8.580673155883948,6.59715766396825,6.932025907237104,12.481359723405944,14.366021499761903,8.688842224440144,9.158692173270222,8.492149170980035,11.547876715015349,10.41249680376444,4.808976942357677,11.318274965371094,7.404214930768841,7.978225686885079,7.123212515619915,7.531003260226489,5.533704841066186,9.972627338794075
arc_pair_694660,3.7581447636012144,3.6230531185818737,4.890519304212937,9.842741601212136,6.899432308081609,0.0,9.064887841323138,6.2183328089515,2.947788719732705,5.489143184334721,5.362261695138527,4.4187765587622945,4.904339915987008,4.214166599816969,9.812017793544916,8.30239727740387,3.3966159965779616,4.303161314308104,4.824870801588139,8.691965508995926,5.729504308761056,7.104633854893822,4.964458341288791,3.4529754741898815,9.735373460304755,5.228979480893235,8.610285378649873,3.9019128479422784,4.765132903456738,7.217264268389355,3.5642722668047555,4.309401770099189,6.663957972584122,8.040226735989433,6.63612193213053,4.7104414444264595,4.313974712485864,5.082810517431623,5.713398122560287,3.336744485886603,5.265179584291857,5.292154932546632,4.794636973004728,5.429930165847357,4.350949025271149,7.0014247260937745,7.673089098704288,7.332213678515848,8.071280350065328,5.360517525402427,6.900519216990954,10.885009013529151,3.925484729312334,17.683095502109296,4.126712590624719,9.907393901259082,5.6396108097035835,12.432598189549132,8.079154763680386,5.455073590861795,4.388243458289748,5.725532946973795,8.68412127622361,4.182784690383032,10.997641422009693,4.949395587763778,7.068757496440309,4.62208522864839,5.134054868687835,8.900524112377274,5.210965060393464,5.1636401856183145,4.530160836367349,4.050950085454346,10.436245259178817,7.992424548773773,9.643335794004633,1.5374286755873954,7.020414578855786,11.25763242261301,3.2091856638448615,4.110309387054112,6.482782971000893,9.580021311020035,7.4378934170851,7.94642087752348,7.67405616864737,3.894694802954896,6.165471749578684,4.360238764881045,5.227963927097768,7.442582927814151,14.479162866534368
arc_pair_578116,7.835609705489288,8.392638472183988,10.161672213891372,12.409518355636681,9.55879688315806,9.064887841323138,0.0,7.41931466545792,9.24030187219894,9.3663814947655,9.534329691697852,9.60548891423066,8.588873004636485,9.286885547096041,12.590445260591899,14.506574734490847,9.223796051863442,8.38305250775591,8.50634625101012,8.067976962059934,7.73020990886732,10.511694155842545,8.781723805134703,8.049783550421957,8.738687974432269,10.035217574794874,7.353671696526513,10.039893686044248,6.8343217263419955,9.702872877514407,8.832286659258724,10.657174700261212,9.5290214584636,8.005926095579257,6.641459533733702,9.377076592872708,9.798111403918632,9.269058898276423,6.537755702800534,10.039196729181269,8.084376293062046,12.013866452348411,8.34254868128082,7.225362014942678,10.868449760540656,7.534922116078652,9.270698459634799,11.720600363356827,10.729314981782935,11.352541433698768,6.591742387093939,9.176656031098272,9.54110068852045,13.997778341802384,9.01464689028878,12.258402992539184,10.85903427100467,9.542995245632854,8.41017163459409,7.4557403944279415,9.614397631985716,7.416276489278884,11.238372895498674,8.749938958393745,11.045930505455962,10.110717997537837,8.99893397381054,9.151782816795746,11.069771323973642,10.774707671945304,8.634427965273813,6.56799944412101,8.380990830279691,7.946364345557923,11.81099112826214,10.322845946375168,10.229538574515772,8.160833390666797,12.086720562405791,10.670274586126771,10.245101046960864,8.311774966687215,10.161517943676763,9.409748318641796,10.587238820410962,8.391893214974509,10.800972349270834,7.76191230032199,8.421244539944539,7.2347644101607225,10.068796840478111,10.593468998072337,13.766837960860567
arc_pair_307953,7.370517476726215,5.692349431580407,9.17033238217383,10.788321735267898,3.950039079440951,6.2183328089515,7.41931466545792,0.0,8.155435035279929,7.4509392495844855,9.262751269240328,7.103935317784335,7.472958405661869,8.410971505269185,6.818523360545985,13.418233390179484,7.019759925089059,6.965740769857495,6.832006848266215,7.820342917969322,7.431282089356986,3.288940428778594,5.171623887715561,5.910324148822217,9.613074706632913,4.067695708874304,8.034851180697164,8.958927945285861,5.074673779896202,9.63927640012783,6.768163156267989,9.357439765238365,3.021174759132811,8.658269031137978,7.270699499013493,7.867464953340763,6.595852099256079,5.170303841322555,6.713411455522923,8.610993874368646,6.518049600353063,9.119331964967138,8.364280417223846,7.119029258546021,7.866926041648132,7.294194604410852,9.09422686081167,10.784739163824597,3.6798364817826164,8.850934639107496,8.81951655866445,9.680312421628587,8.321284215513195,9.702930384632067,6.75265901317172,11.41946098350941,9.270083973488479,10.422102433045893,8.31189149469774,5.982181802787652,8.62569490814295,6.089124555629515,10.751674556368219,6.793164738458183,12.672886828084618,7.200695496591338,7.312279604669901,7.202288467075761,8.580533182568491,8.925223541535129,7.378831946632451,5.3808347211960035,5.37507433852831,7.000715609840009,10.39889081742151,6.559185762902277,4.965747567173606,6.922896560415617,11.714741069420908,12.291289175953079,8.684369445256683,7.638342172961785,8.489548335754042,10.315394197196175,10.20345377829934,2.906030314198741,10.687587557470891,5.9604796284736565,8.065374697498534,7.632175500973494,8.52915698468603,5.264964547005748,10.980933963167697
arc_pair_203062,3.47513542220224,2.8731349170435982,4.5175054612195655,9.775137577986401,8.13703013559853,2.947788719732705,9.24030187219894,8.155435035279929,0.0,6.133699552944768,4.684036230409996,4.1896834281704765,5.413367555994742,4.578600027307112,11.848319267015249,7.502539657795744,2.8102796932495018,3.1534157495070985,5.073624267532967,9.37517217265765,5.54049558079219,9.523453242251144,5.210254796797451,3.268793137430558,9.226126179083103,6.39392330528785,9.665757919621697,3.744023218070665,5.1637091590254744,5.4186297639600625,2.9838089136972354,2.2246811308794987,6.783432795895356,7.346651927291426,7.392108545668586,3.184239775197176,3.5405789434818473,5.34445285162502,6.200254724134812,3.0811742378924194,5.014762433663453,4.259143820952026,4.507520603411001,6.517356563673413,4.340205302335908,6.567305248456044,7.5767738559349755,6.573733217292244,10.085960006883703,4.57045570197517,6.903230707576817,11.579094680046422,4.471192562376474,18.909867384890955,4.394137712696267,10.125734646681984,5.526945183431756,13.549625790256567,7.448407441345877,7.754462335599204,4.578840272797126,5.98842775470041,7.546890747600008,3.3041850638249732,10.853046831322715,5.899295285795894,8.877869996173121,4.374771189586925,4.7266991412106325,7.999505035813787,4.605470021443725,6.854523630073443,5.352021444296873,3.1919676653654436,8.92807111899808,10.466298198387197,12.259409551008964,2.0652848071774765,5.985483865558459,12.73043888848701,4.1843257289817295,3.9547604721743936,6.840755822191387,9.076620500302422,7.282037122812252,7.894792311224713,5.9946132873016005,2.9115063109655797,7.954028946267679,4.089824439790672,4.81947222942094,7.451637447700769,16.58941767499737
arc_pair_197122,6.062546388881087,5.3391963437831444,6.5022244967095215,10.29962372157313,8.481405624732211,5.489143184334721,9.3663814947655,7.4509392495844855,6.133699552944768,0.0,7.659002325665739,7.308822947443655,6.252285718858649,6.228253333865603,10.623085474499973,10.229925928980332,5.0015838439079445,5.913500534695951,5.725059054124397,7.9050169109770145,5.575390032132653,8.848247778222536,7.487496364944271,4.852689094314215,9.258375435871072,6.7475092303095145,7.749515350315801,6.696017677721211,4.718172216412023,6.780383667598944,5.492637231081693,6.368639261777713,8.050757790648515,7.567558501501971,8.138590392215306,5.523354036930358,5.821326798047274,6.211814682329247,5.595271946155105,6.03509942203647,4.716428627856915,7.139281193006822,6.06803098607058,6.325667479132623,6.264439936878228,7.267769700847698,6.965385903102803,8.351776147621285,8.495772593349365,6.855095374788944,7.182545634606425,11.194693714319339,6.1591865078792996,16.632033575948995,6.485852503058266,8.891145901669331,8.020796312505952,12.432019837875654,8.306231354083652,6.347642141917972,7.695626335585039,5.619717967432884,9.631102299141922,6.377034673690236,12.56850752758521,7.73463500345225,8.552974267548889,5.248991713382527,7.1923620736886775,8.731785621539888,7.324620162227756,6.716100309775825,5.9552810674560375,6.532023355864352,9.716643004123657,7.914627219835719,9.961628665322824,5.243389471780821,8.874514057867255,12.159114770875544,6.366656644671307,5.7018664060194,8.26880602523911,9.21988120558743,8.773770179063185,7.593440196094615,7.851909989462076,4.790301625766697,6.594530197693563,5.913703758983942,7.686048950603271,7.986904548008702,15.168531900413832
