,cell_name,cell_type,total_mass
0,arc_pair_7,T cells,24.03546506680283
1,arc_pair_18,CD4+ T cells,13.49718398987502
2,arc_pair_31,CD4+ T cells,16.177840967050905
3,arc_pair_56,T cells,11.60045799989934
4,arc_pair_57,CD8+ T cells,14.965568232366342
5,arc_pair_171,NK cells,106.23027001538688
6,arc_pair_194,CD4+ T cells,18.47398672351449
7,arc_pair_200,B cells,13.333306411447188
8,arc_pair_284,Monocytes,36.52294111285352
9,arc_pair_454,NK cells,7.633322084558646
10,arc_pair_465,Monocytes,21.61254975487559
11,arc_pair_591,NK cells,11.861931401320618
12,arc_pair_779,Monocytes,22.01838939857289
13,arc_pair_798,NK cells,27.710063728604712
14,arc_pair_833,Monocytes,23.18593355352633
15,arc_pair_1034,Monocytes,25.57054176774274
16,arc_pair_1076,CD4+ T cells,13.359994857950896
17,arc_pair_1144,T cells,5.766288648764309
18,arc_pair_1191,CD4+ T cells,10.764712267799233
19,arc_pair_1195,Monocytes,19.61003115019124
20,arc_pair_1197,T cells,21.027042980493363
21,arc_pair_1525,CD4+ T cells,14.655768761404444
22,arc_pair_1586,T cells,13.773027559267728
23,arc_pair_1613,CD4+ T cells,9.18420808066727
24,arc_pair_1813,T cells,12.74019195150699
25,arc_pair_1843,T cells,12.053867860786156
26,arc_pair_1859,B cells,14.85102783182472
27,arc_pair_1926,B cells,8.229010404064843
28,arc_pair_1992,T cells,7.468729682033499
29,arc_pair_2049,T cells,7.713500280088799
30,arc_pair_2147,CD4+ T cells,7.745890640724588
31,arc_pair_2178,T cells,109.40453686200378
32,arc_pair_2506,T cells,12.314580769115306
33,arc_pair_2508,NK cells,8.626760220714889
34,arc_pair_2549,T cells,12.0042738129635
35,arc_pair_2563,Monocytes,11.674371280870702
36,arc_pair_2787,T cells,12.58613074204947
37,arc_pair_2887,CD4+ T cells,12.222251129672738
38,arc_pair_2889,CD4+ T cells,8.552249660100546
39,arc_pair_3064,T cells,6.827442691179604
40,arc_pair_3191,Monocytes,74.20608827685105
41,arc_pair_3199,T cells,6.949333460596226
42,arc_pair_3231,T cells,16.69762413311183
43,arc_pair_3868,CD4+ T cells,40.54396498905908
44,arc_pair_3947,Monocytes,18.027216786577146
45,arc_pair_3980,Monocytes,20.862322304005247
46,arc_pair_4033,T cells,18.229546368265883
47,arc_pair_4103,CD4+ T cells,13.22039271834731
48,arc_pair_4279,CD4+ T cells,25.68938595711729
49,arc_pair_4436,CD4+ T cells,14.421049746971882
50,arc_pair_4447,T cells,15.394311350381338
51,arc_pair_4569,CD4+ T cells,7.841790164417902
52,arc_pair_4656,Monocytes,15.307811008590516
53,arc_pair_5055,CD4+ T cells,30.168404837094663
54,arc_pair_5220,CD4+ T cells,20.30483653334324
55,arc_pair_5230,T cells,8.309230152722739
56,arc_pair_5350,CD4+ T cells,9.829090166236815
57,arc_pair_5593,B cells,50.391539464187616
58,arc_pair_5713,CD4+ T cells,11.817297258836296
59,arc_pair_5844,CD4+ T cells,8.166125015186491
60,arc_pair_6047,Monocytes,35.4569414801211
61,arc_pair_6069,Dendritic cells,31.962306334016866
