,arc_pair_48468,arc_pair_337111,arc_pair_447717,arc_pair_307657,arc_pair_48188,arc_pair_542791,arc_pair_578116,arc_pair_307953,arc_pair_313438,arc_pair_203062,arc_pair_197122,arc_pair_27742,arc_pair_139628,arc_pair_557730,arc_pair_283483,arc_pair_370771,arc_pair_522221,arc_pair_624573,arc_pair_144158,arc_pair_593564,arc_pair_708260,arc_pair_247784,arc_pair_511862,arc_pair_270697,arc_pair_446116,arc_pair_664080,arc_pair_257072,arc_pair_547258,arc_pair_67750,arc_pair_720681,arc_pair_347280,arc_pair_588558,arc_pair_594469,arc_pair_649403,arc_pair_599471,arc_pair_718797,arc_pair_695283,arc_pair_551617,arc_pair_450035,arc_pair_726873,arc_pair_384979,arc_pair_595373,arc_pair_295568,arc_pair_167650,arc_pair_82729,arc_pair_653762,arc_pair_365022,arc_pair_716732,arc_pair_692544,arc_pair_134659,arc_pair_632661,arc_pair_271027,arc_pair_493828,arc_pair_336359,arc_pair_731860,arc_pair_131562,arc_pair_119264,arc_pair_16513,arc_pair_176092,arc_pair_551110,arc_pair_532740,arc_pair_700005,arc_pair_460240,arc_pair_594335,arc_pair_24655,arc_pair_75573,arc_pair_641885,arc_pair_292663,arc_pair_703887,arc_pair_22407,arc_pair_89302,arc_pair_464015,arc_pair_674772,arc_pair_280409,arc_pair_172674,arc_pair_492710,arc_pair_297765,arc_pair_208250,arc_pair_642267,arc_pair_149569,arc_pair_281486,arc_pair_27275,arc_pair_723396
arc_pair_48468,0.0,4.693088198116718,4.829052489698591,4.852090114008877,5.538800236525585,5.536879297697576,4.274302899338798,4.729942618617208,5.328567878596434,4.810954742007742,4.711455998231788,4.2824532740958485,4.64856381888581,4.652261054560113,5.017418801536476,5.319035011910161,4.761623037391386,4.732993443714991,4.320059971847462,4.419839543614213,4.961584812805929,4.665829097430679,4.764898887922514,4.8158141793285685,3.854669587476137,4.672938025479011,4.918781727428533,4.805989372514945,5.018346022421002,4.174640550925386,4.326508076759445,4.560077551848211,4.154213450707882,4.855108188959731,4.614546525338651,6.5989040042618115,4.100706658086192,4.532592894962637,3.990835117411261,5.020188637597894,3.967567678814249,4.249891262555368,5.078909413399964,4.791753190403436,4.931674391437939,3.9409970632079574,4.923260977421167,5.208193851814251,4.687552589117291,4.857277287267316,4.384970540518353,4.567897141495106,4.318841286449227,4.493969285979449,4.212958407221351,5.122035753665569,4.886888023744195,4.592072725617872,4.919629598420676,4.102012583618405,4.696091096168429,5.02039218466746,4.970755696828202,4.782944258835834,5.198361636337587,4.203683737002112,4.972246718657612,4.610304283713615,5.115881379697031,4.6596011727179025,4.660224703839756,3.7527555782727706,3.9028951644237284,5.075961710925867,4.9056042937150375,8.336756374073207,6.911417498296293,4.514578678537268,5.008787379162868,4.467876206552324,4.625631292313861,5.26544582919643,5.129416436519419
arc_pair_337111,4.693088198116718,0.0,2.9622093229305086,1.4769197172628539,3.705201482257694,3.6819512319069605,2.336839143318978,1.3197757349854284,5.229176085291423,0.9148223769307742,1.1167747796315803,2.819154625135184,1.0815763996476804,0.9328982796414934,1.9321131305765924,1.463764058562289,0.6733752413240105,0.9233144839138956,1.0191408811054186,0.8797724169918179,1.594096408737845,1.2723377336705555,0.848325777754938,1.19469189658724,1.512216047936913,1.047945522374555,0.6985472829468711,0.8681851450524785,1.1890350282483075,1.4838642683477898,1.2980497575666816,0.7595426216146259,3.0010995180130755,0.9460117698603712,1.0101468180526005,4.8319312149710925,1.2138846837010642,3.1602280195099715,1.015568089711239,1.040338593199152,1.2637812091741345,1.3105850265020729,1.2745964717811527,0.8852747738615092,3.4760126921040353,2.190732390699856,0.5830842696398754,3.036532897297029,1.1695746712649928,1.6700632307066154,2.4070355357985975,1.1584632447490937,1.1731172811316533,1.1142756252389852,1.1936116281440823,2.2359640520489226,1.1528446076392938,0.602420511690995,1.7504551209951922,1.6391284113261197,0.8663312994946917,1.7030735804295003,1.945860341358556,0.7093473473421257,0.956536843451645,2.088044471472764,1.115801522797762,0.7984087519014073,1.2949112937523783,1.6758895872987494,3.683353645736293,2.3096294179655947,2.8038832552852666,1.2198067536518749,1.645245869658241,7.809548641641976,6.1324132552750354,1.2698462687867687,3.7015549889779864,0.8970336584908627,0.9688886325076729,1.3847254964435007,2.806073360138937
arc_pair_447717,4.829052489698591,2.9622093229305086,0.0,3.1724151488944785,4.3772770190863985,4.515557719217072,2.767747149253053,2.9928170233720612,4.491533714365182,3.027490476596764,2.8828352657037595,3.460627961386998,2.8524694126419066,2.8293481665836424,3.3389268377392565,3.4578780364599044,2.9030962338337165,2.7098263527086988,2.8009487711438483,2.5582602699585437,3.2966204852273466,2.8724234688131234,2.809704306344207,3.1098297467173426,2.736767626834896,3.0221749970592153,3.0184912855293677,2.9415149571586636,3.1523635886949717,2.647165561987041,2.266752834779863,2.7535363165480358,3.4814662954203746,3.0374139793609096,2.8758847215288936,4.873420710994829,2.8037854258232784,3.232310371098016,2.625982134068148,3.3022073579576947,2.408445882485154,2.8020841689997162,3.2401035499260087,3.0529288826608236,3.624494479582504,3.1598472294578697,2.9556608984789094,3.8409338767949754,2.971153631129777,3.5005078342397113,3.0746123235988874,2.7418170907167854,2.739234908508103,2.8259033057634486,2.640985695526924,3.227762599934965,3.008433163497636,2.7929595026913097,3.397633526075238,2.6671331716892177,2.62356850316582,3.0969790258612706,3.4895238987519024,2.9134751738744367,3.3258190777146432,3.557496905638212,3.029554917197812,2.912677609504503,3.1309051631452904,2.956809709263363,3.731309525350849,3.2346385290256907,3.223687502564583,3.16042044478409,3.0985974307260187,7.523165931759843,5.97515533142243,2.837614610398772,4.122509662954553,2.8389891096869224,2.683555830718264,3.401450788096165,3.965106925612477
arc_pair_307657,4.852090114008877,1.4769197172628539,3.1724151488944785,0.0,4.2221016675378955,3.148827734876433,2.335138546926186,0.6486967710643254,5.342787175521757,1.0939528884100813,1.2191038933128,3.2653248563349555,0.9371041209762666,1.1174769884461329,1.2718262299564234,1.8461439819543193,1.0859395365124178,0.9491097063894326,1.0279605938285752,1.2463855333721487,0.5136245498890246,0.7273221948473847,0.9331713017735545,0.6596072214110322,1.8079978823811187,1.590460620714753,1.0348390616993424,1.0650054539616458,0.5835326368637498,1.5651881015812243,1.2661531225025844,0.8954888256586032,2.920217615630182,0.9836874842569674,1.0431119806501072,5.181361883922245,1.613997635629752,3.3703226769993986,1.2195014027958193,1.2742510061396635,0.991767601951846,1.739375839259113,1.77960767903065,1.1786177234828958,3.8870760021289326,2.2961913131802487,1.26419292784931,1.8365320987070468,1.1108061718276205,2.125266113547836,2.081076937780378,1.5757130721377988,0.9323783574978488,1.27914453742204,1.3081498090146535,2.58229253257244,1.0948789001819659,1.12110172196953,1.7249369586861096,1.8915991690968856,1.0778292315494051,1.667125775163898,1.133567937582053,0.894279173533256,1.7143255239102455,2.4132451821364835,1.228035113974639,1.2097908723329995,1.133748015752317,2.118085418366661,3.768938221080843,2.4218612971253584,3.0837258956688487,1.3891826990159999,0.8393705942957157,8.337716035054349,6.760101517146446,1.6409956127806842,3.52545277121539,1.001913859352149,1.0097318864147473,0.7729423230425776,1.7059147954995757
arc_pair_48188,5.538800236525585,3.705201482257694,4.3772770190863985,4.2221016675378955,0.0,5.176040671338999,4.041147844610929,4.064323037541145,5.256354644678309,3.7569257046874838,3.789568835852168,4.207200387785864,3.741490810404054,3.7777910207538854,4.2585548736496035,4.218842049463218,3.752419340409863,3.6541309095508607,3.602213378614185,3.638492408811635,4.24199509261573,3.9140412910461237,3.636207024073823,4.049743504742073,3.440797189637103,3.8961395310477913,3.880578360390274,3.756780065555474,4.141463155695581,3.413164197935003,3.4437381267974314,3.6426431600636295,4.227124585594755,3.8378182475366494,3.6613114463393805,5.9091222772129495,3.330230989647991,3.9918334959570405,3.2772983973910548,3.9842778464414086,3.3685230024058264,3.4894426711165645,3.987304344429496,3.937630765890828,4.614511539989971,4.118452570788657,3.7129371670670124,4.926115776867883,3.789297802004411,4.519430220205319,3.957032488010322,3.762100619652264,3.681532775138992,3.6808504285649875,3.582806759410749,4.348883916397532,3.925188827336142,3.6102620353689723,4.1543772840239415,3.4812534658097967,3.5964985018769084,3.9892657341174633,4.375910300740122,3.6466238610962525,4.155553769230567,4.535395007224395,3.991478113285911,3.652765894922282,4.052336270109058,3.7360762544116892,4.311318498315375,3.7077209767964048,3.8861314753922014,3.9987681533406816,4.2587640803431075,7.667142121486117,7.161475336385249,3.5292978343734562,4.664852704999003,3.5276166422831126,3.574262835754268,4.382586328577606,4.849695215400128
arc_pair_542791,5.536879297697576,3.6819512319069605,4.515557719217072,3.148827734876433,5.176040671338999,0.0,3.732099004804994,2.5680554287849295,4.420923193092326,3.7926623260981676,3.330434549012113,3.9957421782950915,3.6614033573084686,3.386719349617743,3.067954047934042,4.448426018117169,3.5117573080940585,3.5404248447917164,3.2311080842505624,3.57440357841557,2.9250164983606206,3.5992141928336947,3.4536153401783807,2.8168243375946957,3.2257503810448966,3.3903684896460455,3.5945627860717377,3.7724844400777036,3.1919302566946497,3.3137972285409445,3.4210796500700034,3.520765167214508,3.9357768793056,3.496341172590293,2.9698922938681256,6.170515042264457,2.993813767767216,3.8053402810502943,2.532023401030444,3.7603627507379667,3.1457508729133137,3.422931817709741,3.9738849232916307,3.7407984407758663,4.130209481497255,3.6907677528926994,3.8464672852657595,2.9325543432204024,3.902506235135456,4.311620537393722,3.5635969056686267,3.434433845908213,3.119301135455358,3.59267693385962,2.762971759005129,4.681905371517321,3.5310088956801398,3.302196141124688,3.4642684972173194,3.234249644792293,3.4805118327302558,3.608088768406706,3.0355193681931127,3.713653634019272,4.131682110102326,4.33565370778009,3.820439865162893,3.5417377887175547,3.6137041074521985,4.0136959860143255,4.000937032495164,2.559199710242906,2.9922611824922933,3.885531862811543,2.5435981533616414,8.221129129591027,7.1296077792871655,3.489940132963104,4.160909063925313,3.6715003793386303,3.5731671913453873,3.32111382226012,3.0655145685228415
arc_pair_578116,4.274302899338798,2.336839143318978,2.767747149253053,2.335138546926186,4.041147844610929,3.732099004804994,0.0,1.9632036349973863,4.807141379399768,2.4771442689230727,2.3805513276685133,3.1244143273756553,2.435755117281113,2.210299093636551,2.7787688365450443,3.199571224930454,2.401507826726996,2.220592359928066,2.27225455070829,2.1769658975561743,2.463405697833399,2.3405372954599404,2.237856906925071,2.48170537867426,2.0604651923696475,2.6241035633464866,2.4487508352094434,2.607737912189455,2.3133600278150888,2.2305734916170588,1.8375287625037764,2.3839641790996504,2.4713360797061923,2.5004349672638475,2.3920763678763994,4.640387970372977,2.0093619173980364,2.6353192894632294,2.100048503647128,2.9158055416135022,1.9750793847869965,2.5628370437686807,2.878545958902809,2.698639116761875,3.2662432380310085,2.760072778448846,2.538618719813114,2.9027120101504043,2.3873014323991884,3.2646401659797437,2.3574137625027882,2.3512565200221944,2.0544177290438213,2.441684163541721,2.170497640222318,2.917881380641668,2.4485195801933095,2.423023708006054,2.8416512035330905,2.146836091195925,2.2148482607756286,2.771540123391088,2.492118209526353,2.24706746889566,3.001122314658656,2.812444880920542,2.5903788211740015,2.2298310019726397,2.451773102088743,2.623813562226936,2.849757254126368,2.7814086111388754,2.3875251423248365,2.4985115972937373,2.2320729295538917,6.994913364206356,5.51904158603445,2.7045222029155074,3.2120877368669225,2.0489264219953576,2.4928020908707467,2.538765076334338,3.171989810523967
arc_pair_307953,4.729942618617208,1.3197757349854284,2.9928170233720612,0.6486967710643254,4.064323037541145,2.5680554287849295,1.9632036349973863,0.0,5.045519059472423,1.2540654482386373,1.218257426358361,2.820493805050926,1.0636950417476412,1.1185824571098804,1.1132833562259208,1.9181849322437734,1.0411152289401158,1.0534105016009487,1.073698562344509,1.2425950968870612,0.6094981975894609,0.9016666534536051,0.9536503067175504,0.6879723314122917,1.664000643059826,1.5971763395810994,1.1047302581727656,1.3022279186194696,0.5491289460981037,1.590733051414035,1.2346607540959027,1.1010168957645154,2.7208362991841484,1.004665465164261,0.909659649699909,4.825046390397093,1.3950154235653662,2.9895272674216353,1.0697555242533596,1.4072081014818674,1.1657302991234555,1.6180553366025712,1.7822152641338762,1.2991299097057594,3.347034735069582,2.078653843814173,1.254912680933991,1.6810102108119223,1.1901683486830925,2.1222341773350655,1.9807956046330708,1.5103481854940006,1.0743830123716123,1.3057935449607943,1.1533059923112805,2.4896061455622176,1.091367342127073,1.084529216475886,1.6240952660944794,1.5011553538963822,1.0858559157018934,1.5754339256592407,1.0325370851153608,1.0655612350124175,1.8137777229451393,2.2848648342342193,1.3965034013042985,1.2208480602374072,1.2603918879438265,1.971760159145206,3.4983841946989553,1.9749838343560988,2.4476918358562703,1.4866938329617316,0.6587524882553919,7.972761492667628,6.251401607957318,1.6528109074705246,3.3893830534390803,1.2010415651931141,1.302805188027783,0.8138432313391523,1.8759221101730312
arc_pair_313438,5.328567878596434,5.229176085291423,4.491533714365182,5.342787175521757,5.256354644678309,4.420923193092326,4.807141379399768,5.045519059472423,0.0,5.617770677591707,5.250574125931978,4.60946980734972,5.23949777773463,5.434415384010223,5.242045826323597,6.063720078589338,5.4591002952866265,5.106080759006758,5.253744301481335,4.953607855449893,5.324354357441026,5.372119920809148,5.171677512670022,5.185672247366712,4.524122408452192,5.245666360389266,5.4242990194338105,5.4270823004559645,5.409086220591965,4.5334578389874896,4.8385427697648,5.179242459365544,4.227240396408639,5.46906471326172,4.713712537421128,6.419686956673878,4.498404713704022,3.6189968027014445,4.232332639583884,5.5769799521922545,4.489177752778906,4.748935154911091,5.3956349637989005,5.592485967160275,4.7003250037328375,4.582836866373713,5.5727553014971205,5.39809855802529,5.48024096125058,5.836510897518071,4.806444140062989,4.715126743718007,5.139988606388206,5.304976109584357,4.508199593777645,5.049906543449346,5.497407694022659,5.074862118232158,5.365706835878511,4.269648447165073,4.767014107352292,4.82928632084187,5.5346764002818265,5.549396618601568,5.777243570414482,5.465992645849199,5.509314218115945,5.343561859467053,5.315036105081422,4.841290942575261,3.8965436768761674,3.817735799160726,4.021113099057192,5.64413259600819,5.205896781610151,7.093244010988682,6.358274451170855,4.733064038790512,4.60105728095238,5.308189615749651,5.197803893965636,5.5942475124676765,5.582391663652494
arc_pair_203062,4.810954742007742,0.9148223769307742,3.027490476596764,1.0939528884100813,3.7569257046874838,3.7926623260981676,2.4771442689230727,1.2540654482386373,5.617770677591707,0.0,0.9455975047339903,3.148086399653359,0.6095077019561107,0.7384219621402615,1.6282100727116116,1.0679529134086592,0.42989403718611136,0.5155059376224194,0.7058798706305869,0.9370873200905427,1.2707093630483652,0.759161657050441,0.5494571349594702,0.8793030773691412,1.821319433866903,0.9034777225728678,0.4826264767926802,0.3644394404401096,0.9541231559607853,1.290692720998305,1.077333427224064,0.47004479647776337,3.2556874117886436,0.5207145529603081,0.8758570862083837,5.051944537361443,1.403518786113815,3.5154733699813896,1.033386466471075,0.6406455832267974,0.9912731731430768,1.2945652168900943,1.1300259163607773,0.6506253333387048,3.8065455870232023,2.199273404803796,0.5982824831299903,2.8164769046642646,0.7555800965104771,1.7349126965044235,2.2966844930064614,1.3675315846095057,1.082619948230474,0.6980000599746938,1.023002575575864,2.218067005611643,0.8170637995277794,0.6473582005859317,1.3861981998762771,1.875442634062347,0.613909641175467,1.3102232637776825,1.8699722937845056,0.33800312975230196,0.9244371143529957,2.1690071899641383,0.6872938508994233,0.6511464220367189,0.9499309154351894,1.8274579831979743,3.9545334457918937,2.392397130677154,3.250376826299338,1.0265116002691839,1.334891343047861,8.429437578020043,6.468399982098921,1.0047116890435392,3.9003206037862324,0.6419990764673122,0.7198826829885926,1.0865487808790961,2.412143209840582
