,arc_pair_221519,arc_pair_161493,arc_pair_48468,arc_pair_684529,arc_pair_206257,arc_pair_249616,arc_pair_337111,arc_pair_290847,arc_pair_726656,arc_pair_447717,arc_pair_218228,arc_pair_307657,arc_pair_48188,arc_pair_147702,arc_pair_169201,arc_pair_694660,arc_pair_25587,arc_pair_542791,arc_pair_682126,arc_pair_402982,arc_pair_578116,arc_pair_307953,arc_pair_313438,arc_pair_203062,arc_pair_197122,arc_pair_27742,arc_pair_255622,arc_pair_139628,arc_pair_58054,arc_pair_557730,arc_pair_610128,arc_pair_283483,arc_pair_370771,arc_pair_522221,arc_pair_624573,arc_pair_144158,arc_pair_257950,arc_pair_115275,arc_pair_593564,arc_pair_708260,arc_pair_496804,arc_pair_247784,arc_pair_230744,arc_pair_364083,arc_pair_511862,arc_pair_649551,arc_pair_489657,arc_pair_270697,arc_pair_446116,arc_pair_148500,arc_pair_90669,arc_pair_656372,arc_pair_664080,arc_pair_257072,arc_pair_261455,arc_pair_547258,arc_pair_67750,arc_pair_720681,arc_pair_347280,arc_pair_588558,arc_pair_594469,arc_pair_649403,arc_pair_599471,arc_pair_718797,arc_pair_695283,arc_pair_516918,arc_pair_724174,arc_pair_260376,arc_pair_551617,arc_pair_358495,arc_pair_450035,arc_pair_64470,arc_pair_665109,arc_pair_726873,arc_pair_461800,arc_pair_156269,arc_pair_269928,arc_pair_242245,arc_pair_384979,arc_pair_51712,arc_pair_595373,arc_pair_295568,arc_pair_142660,arc_pair_495861,arc_pair_167650,arc_pair_82729,arc_pair_169398,arc_pair_435729,arc_pair_653762,arc_pair_644674,arc_pair_365022,arc_pair_716732,arc_pair_692544,arc_pair_134659,arc_pair_639703,arc_pair_632661,arc_pair_566053,arc_pair_129381,arc_pair_271027,arc_pair_493828,arc_pair_336359,arc_pair_621082,arc_pair_731860,arc_pair_323321,arc_pair_462000,arc_pair_43532,arc_pair_131562,arc_pair_119264,arc_pair_625567,arc_pair_16513,arc_pair_101269,arc_pair_176092,arc_pair_523521,arc_pair_551110,arc_pair_521750,arc_pair_166773,arc_pair_532740,arc_pair_700005,arc_pair_474346,arc_pair_460240,arc_pair_594335,arc_pair_24655,arc_pair_278581,arc_pair_75573,arc_pair_641885,arc_pair_292663,arc_pair_39421,arc_pair_703887,arc_pair_22407,arc_pair_717256,arc_pair_89302,arc_pair_714315,arc_pair_464015,arc_pair_674772,arc_pair_280409,arc_pair_388971,arc_pair_674359,arc_pair_172674,arc_pair_217721,arc_pair_649523,arc_pair_492710,arc_pair_297765,arc_pair_208250,arc_pair_713999,arc_pair_564013,arc_pair_672184,arc_pair_649903,arc_pair_729575,arc_pair_642267,arc_pair_149569,arc_pair_281486,arc_pair_27275,arc_pair_723396
arc_pair_337111,96.19054994448996,61.88133578679144,329.2034228199516,63.2330406033864,66.80845120775375,92.1423306077277,9.727397821793238e-11,53.994925699809116,193.0873311312165,202.71356054194396,155.40301423708928,96.46585505647244,262.2474067068818,82.80811469250698,96.04853080088199,57.78696976522296,60.187304060808444,256.30834441767064,245.22718759697293,332.4338100985051,170.8601771353404,80.92533746566275,386.46681231610114,63.717637118229334,68.83508437455211,197.53765438077127,67.7639962893486,77.90703729868342,230.52618407378606,59.605763900347256,66.59046753177445,120.48608228747204,101.27319524850512,47.537159924376084,64.22664399014646,64.35556382994133,62.1685171215572,90.24597242923062,54.229369899298575,104.8877118887545,62.30653003630148,83.23900829057536,86.24795454856563,79.97765539568232,60.15587134142421,135.36324249247804,106.95112589259892,71.4783737583029,110.1522707826852,66.06785230676202,64.81794177695429,69.83759721545273,63.90156319664807,49.1631707541932,78.76574874298876,67.97036096833872,77.68543718239334,87.44429622477189,83.60799191657946,47.50310393377676,224.64430870024182,64.23680674619405,67.73897173183596,367.2395022827758,85.25735000255287,62.46656616146402,69.49253787395543,136.5515686991366,242.35121026266737,222.82802487344182,59.33085015727835,60.35309871948756,2093.0443380955107,72.45890716124478,185.61982236809612,51.991592440220536,89.79080405667344,71.59292416688375,80.52905839232815,75.82101228104924,76.39389446709649,82.67187630911883,101.32769803788742,104.38865143018671,63.497757323327825,249.9234408292975,61.217888889905225,100.64169057987839,138.86175279714863,49.631208233488756,42.45840743376917,211.20922334462597,78.99860690459982,111.29963595176551,88.39068457016285,161.42894415596837,261.75028567396805,257.99264301585885,79.15263357170937,73.83911934985335,75.62749702219779,333.8524764175604,71.14968801519663,93.65587877636702,71.81815365914164,76.1788608317384,158.27313240271783,78.95768007204111,101.02095230651157,40.79812232240503,70.27135494651974,119.1859731396145,75.09560962943671,100.77097423044188,78.17055688039918,166.7650256859035,66.64605510738765,105.33393594114675,92.29262108704283,129.59713072840913,49.23989451247767,67.86156202117107,587.5278827603348,127.15320101480535,85.06392637534313,50.66940942001301,244.88795226991132,90.3923091904135,107.51952837559796,261.5467585954825,281.52682271932235,66.63195973533611,148.72207438543145,203.99210108433653,88.29485511213161,58.62150902710462,314.14655085813905,97.21083927936283,313.02632472853895,106.87710496191929,618.0405208440202,476.9901079260037,83.85636682520018,46.18848045219459,87.63320701975556,200.2166925581294,53.80020579916942,113.24637512469585,278.33403789082774,61.16208320516066,65.11264358395277,93.06797420809768,190.02048746733465
arc_pair_290847,97.0214965139181,54.55282765261286,307.13014121123604,64.47847544593412,51.59960248147467,98.20508176667511,53.994925699809116,9.811612822795191e-11,177.85963291353215,182.87709367646977,143.04610354576454,76.76275406944048,245.9370851713411,76.90022257380173,87.32466882967422,58.89939646395209,65.69419590798768,222.11803415686978,233.1602599817619,328.513014154611,157.63411156095097,68.770008990683,363.765228394752,61.25904958050989,59.893175017843426,188.49681233061773,63.382740494515105,68.73771071641109,221.6893754774406,53.71936036923496,74.40123791190112,92.76250865526731,96.263279947759,45.81189665297623,56.721085819279125,53.72485127057001,66.00870074048703,90.3057880771673,47.84159530108032,86.02006046062364,54.65799969549431,61.76048084019665,80.42270668625207,76.10460843841796,54.35729572859176,125.38027232310887,94.85268602270781,61.423833939836676,95.55289713365408,60.13405511738894,51.80961145853263,62.79966245856161,60.105508528776355,55.336981447722366,83.60113163202794,54.665718974710686,74.57411225881148,69.47388281190422,68.3775013082876,43.829557059023244,184.84474468908905,52.71586159554694,60.37526231915942,358.29514245549655,79.13064647688073,56.70562290452765,62.43885053612869,130.55143011306131,225.7376731470453,203.91547694899785,43.91408374061217,48.97393880262077,2048.2317496282453,59.99147755438896,176.8570634843669,58.76863351123694,102.5163332543768,58.12446666439604,63.7163084731809,63.496254003744085,65.88213601844342,70.90718411965352,85.7434822982399,82.78095676998089,58.94068415679338,230.33031072708008,61.701852359235694,89.36797342345315,125.79119142229487,49.61549435947421,53.17112194883103,170.79921763861515,64.39708467815362,110.04224270714121,73.24683126620468,145.51677841127614,243.6189914850306,245.46076951310374,84.26969248276495,65.63558992741761,64.80248107076244,306.5317408508909,55.26850607861198,92.95131147283293,70.89577482034375,75.89344179705543,152.80730601627042,64.10509152935737,81.68259999900528,45.94336405850773,66.84729093537621,96.66876136366287,70.19163187941967,93.37026824306744,57.078891502892944,151.07929722763402,67.10220337995496,84.3115302027877,74.94920037356933,110.76870819861216,53.61468488712846,85.51702796134583,547.6488451714122,120.41584192636915,81.85268102638842,56.61006097675613,231.01328757080458,92.58836882914812,108.9239948324398,248.73457650588406,259.8868259903919,63.38046948442959,119.44283642549027,195.33079856611687,91.83929006761204,54.36722753735127,300.49562440310797,81.79567591825267,290.5512092359604,84.87386265960811,606.5510397780057,455.9712912376598,71.69944563075856,42.79541149174426,77.85876373617415,185.22730028096797,53.31848322790346,93.00924418307727,239.81168476074794,59.04126293431757,61.4124714245838,72.61296136581204,169.93024812779785
arc_pair_169201,145.68071347720212,82.86716100353188,318.35944369146324,94.55960880654732,57.20028382990206,135.12236721059395,96.04853080088199,87.32466882967422,209.54030146002393,220.16686280677072,154.25979791983286,63.76385946373468,267.39974473866994,118.45123723509013,9.562937651167485e-11,82.90865535007791,121.21665484305888,184.23372305336534,243.7559114297241,331.3653968847771,168.19680404005825,46.85651209620339,361.3373742603462,95.60873740993208,88.19771534151471,183.63774169102362,81.38481579645594,73.72639427458506,183.90543845024143,88.10978648053786,114.46773496508378,79.48930424197948,154.0401684416135,79.9463970957231,85.91064276857969,68.51747840395853,105.22094416075743,87.66539751094763,102.39437582169444,56.40470273685155,93.14972523455349,78.20809407296068,95.77959455510785,115.55869877365156,84.32389012043078,135.10204073271984,81.28407105428249,51.449398555768354,114.17408084813596,105.96644703675281,90.1278774812138,84.35327072294241,112.04308698051317,90.92381508091934,115.53416566102126,105.17176302290731,57.04120101049434,108.65291500372255,82.02761486062457,87.18327808657365,210.54357690824853,82.64264090614267,78.91911627187487,353.32469674754344,94.39657196115223,97.93452660707973,106.6703076435747,156.21370312145586,221.37437692518597,236.82941431042212,79.4645196756484,94.8513054214489,2051.054195243706,121.02226573622468,193.76920563175338,103.12456937338602,110.11946974582266,81.25486271148587,82.34171902980833,53.455021980093896,95.81142931835707,130.4006221082691,42.968336347586316,60.11411831861247,82.36203102351587,243.91208542352868,103.41333494967888,132.86587454369322,130.07680659258034,95.98697959339876,110.65139475388256,119.97702915304168,101.87208408380059,147.97128653259347,102.95878798279485,141.12958041710107,224.52405277470328,255.30683319753885,94.80164140590328,71.71172359607944,79.7039059215695,306.68794754920185,80.55295916320445,134.41761005618844,82.88422965901,109.01899546833268,201.911097508934,92.07612082359664,71.55877855767636,89.13591093298898,106.79778306455813,119.72593676226998,104.62306602793942,106.61619244653666,71.94695295272061,152.19249050316677,99.55311827084404,115.18510199138058,58.03908883422983,72.67748629725972,80.90556508562987,127.02404949347455,540.5905902322137,156.83546467549098,109.67145991969493,88.53062008120683,231.95125761059413,103.71786953457573,139.5139191832122,262.42532436717687,248.17563289903268,95.93609347431583,127.79272296616297,170.71188146546802,112.71916708695399,64.13744792575152,299.43472230331906,54.67758388050812,312.41579627291514,137.87450124410367,596.8532161205951,497.66537872779975,123.32490796687316,70.59390506797659,88.9004000858302,219.38844958753347,107.06892904408829,41.737833970468074,258.3071157118675,89.28686954625006,75.48751146187145,86.2003313122114,93.40698948389135
arc_pair_197122,112.95367528661147,58.766809455946515,321.4555312475653,76.95256967372376,59.455788242412595,112.54210485671027,68.8350843745521,59.89317501784342,193.44590251831988,197.2028885949262,140.08778001083286,84.17157840136441,262.8054988556321,83.12959755287255,88.1977153415147,63.40957103320375,72.86948645615969,223.87716481534596,244.52110194542163,332.63090255984673,169.18413901718372,79.05489982621884,367.6896033583158,69.34891676780768,7.193436837068748e-11,199.28888586266788,75.75969600387089,75.71578759407848,220.43632481199708,61.2065076161316,73.27169336861373,96.02223812578312,110.54400240871564,51.66406404576744,63.048766905124246,58.43982614034189,74.8254293581202,78.99088703583939,53.387979150399616,81.80180965372055,62.07938113192391,83.94702363349793,86.08760653740396,81.59315913483965,53.538155326708115,135.36889142758412,100.38979204838657,66.97687101491661,109.29016061917162,75.85922369203337,74.6295914591136,71.7974258545067,68.74192509150906,61.08336922028032,92.00369774859317,70.36240922483117,80.79832982388726,81.40422571139612,87.7028013477188,56.61260784585623,211.6221296680675,64.36356688646319,72.5809893177766,348.14426989475896,79.30306617491863,83.13045913357385,73.07373458763283,125.39954678206678,230.68350722892393,215.23833502499738,56.849684021770024,66.70785765743804,2087.574989685612,80.20331334152637,170.0621567729777,68.05649476210361,96.24133625957927,63.44755460806809,74.82337524642178,72.07593909642291,71.28441756852015,93.79353936438889,82.34091236409691,83.00266490880705,78.19773700696688,225.56808791890856,66.72812871044731,108.88327047241552,142.19091466394144,57.59507572059072,65.92482750316643,180.87634867110143,74.77715318229068,100.67250897260712,79.09590842354501,157.49884364624705,241.7749703645378,263.15118244096544,91.00207638713825,68.20862958575161,74.9035158484618,314.4413897496544,66.95077094188196,117.57395580981762,76.47563469052089,71.21231535514885,176.35035126750927,78.24671688706107,86.78342534396354,52.879426439119314,80.04673655522294,101.35761192946217,82.46510727432535,104.99743480708878,63.41948925717927,156.2199302182487,80.53984334073985,83.45231284673204,78.32271672304813,115.17476581060994,57.54765602828114,96.3494509102049,566.3265290690786,129.1141094812965,80.75873807134334,58.983353553410154,235.132992787464,86.89632107842489,113.14618625123195,263.6143774426326,270.9764381396964,73.89944627859973,132.63840379151986,194.34448959029055,98.02641641806889,62.181392998038355,284.9028358042487,83.48631239516355,295.0705197591767,95.99128414614938,611.0866697171804,483.896732701561,85.43104812357222,52.08015623900381,75.10992885483972,201.26179444640667,66.86155565586039,95.37410074613715,261.3941318241773,67.31045651403353,77.40127004556642,77.41522095764282,170.65203826717334
arc_pair_257950,107.20697853330009,43.72090577522677,348.1875746373067,72.09615771316896,71.18755091611071,98.64337516612397,62.168517121557215,66.00870074048703,187.7647008473755,229.76432096770498,157.88176998129123,90.43926490940781,281.2143953884806,66.70963729150213,105.22094416075741,72.82627521693598,73.97704037012089,268.5471396424165,263.818257667833,348.3963894949005,181.83922670877524,98.50144172086043,390.5660257707249,70.66991405259984,74.8254293581202,236.5134151587378,81.64885390955607,79.97167997129424,260.3732841925353,78.05407835112517,74.45282007193134,133.3818942745324,115.46907847454611,60.84677751508721,77.53492090841722,77.10173692166778,6.069401059416236e-11,104.79892554431134,73.94607683897746,102.36455600009896,66.63920881944196,95.37953880727355,101.95013891481781,100.8447370571217,61.462346266652766,146.47263807370197,118.61481033939975,80.42156660046182,122.42623728816076,78.72449351125245,78.97843107815652,96.81671751077589,69.4441475163748,62.31587563565219,92.17282269617962,69.10556644536908,79.89442459897975,102.94400729538671,109.7057199807519,56.471836616636324,226.92121124294854,71.38334638813905,83.61613660760693,376.20497628116993,97.14601938185632,72.40821642256134,76.4576643870983,147.04031083463326,254.05878740699427,246.078918950524,66.03990635050226,65.25665502282767,2062.225643748163,83.34758193887671,203.89329784702898,33.39675116338123,125.744947176083,72.33742199033045,91.70097011533906,81.35896055888419,84.2037462470933,90.37603538861015,111.2917753877129,104.78642627934909,78.79073439404327,265.21383803036275,68.97048759739887,113.83157291389324,157.17815153157557,63.348086251653825,70.34215970411485,224.36001922832452,80.56368378963975,132.2235022458941,84.84829635219774,164.82409195334398,268.5984008228566,246.27177064384819,87.90340383704549,86.73498114945787,89.30272775541545,350.82435012238545,88.29437973056116,104.5689851645277,91.54380988939998,93.83355312199623,176.3849623096424,94.1564150526192,112.74586090837593,58.24317508513999,75.73437771788448,124.40299051308746,90.55375164120204,137.5025058651925,90.71578168292638,173.62013259977007,76.97999121086936,120.90091467929307,100.51667876409819,129.52746330679972,67.95994665709118,82.02282310882889,590.1333976483879,155.2122021877493,86.79101942335043,63.13918540834078,258.1549670186565,69.93267520834593,139.53021156925868,275.05559301433937,296.2782757675264,81.22559359102416,159.61551748444123,228.62089915191004,86.60929339503933,71.07273142279486,350.1592532819974,90.9235151256471,335.57363060602205,109.91917387895971,612.109724121942,486.2871028250675,73.30088140561,54.50522929815553,96.71003023174775,224.04301911761004,68.73720679499405,107.9810691214251,278.0036962138912,62.971142964963086,75.05924900274398,81.9270789776246,191.75192605072215
arc_pair_364083,98.29536892461505,68.90381313491929,335.58972809614176,76.45075237321946,64.89816511557709,124.91775809660174,79.97765539568232,76.10460843841796,215.71107379471454,221.59270589539466,155.91523795124624,106.53743431237949,280.66687374392257,75.04999150729785,115.55869877365154,75.24713855476276,59.887919020706235,281.843988790616,267.0344332012161,372.2773609825297,189.59882700930987,106.3021650453435,420.0998281948037,78.58966758502964,81.59315913483965,213.54618200170177,71.91862671605139,76.08622981571695,246.14893574189784,69.45780363233455,81.70995297594125,131.0002215058213,100.67112348951918,60.70075962230646,69.27046161469491,74.69359725694099,100.8447370571217,101.07706212702237,69.8700569084522,105.62321872825352,66.20076304607923,87.66775657550563,88.30683093110443,6.897630019548856e-11,64.28096010018916,159.6325204912506,109.15284842019116,97.88133228574156,138.10331596559524,71.88416299528024,62.710729663665155,91.36192571211117,80.55256109899823,78.22035855692909,78.23755752649356,69.35586782295024,108.04637651820993,90.60826425093875,97.02033565987233,59.21761754311441,246.6049123695521,90.01296203473984,94.55661040895251,389.3671290091655,106.05828027077105,70.87685741671596,70.09481754943621,153.86604260502872,259.0402601141531,242.5619623593277,80.0091204357625,74.04744711579426,2154.01295278622,90.62169495191928,212.71354986957277,80.54299144960864,101.57493209752148,82.82437564021929,94.02031314895879,84.07956466372025,83.63818877071562,91.83261244924864,115.86878835550438,118.74524317196078,87.86141321617197,252.53397043671018,60.471889753575105,110.71583403185994,154.80135806271232,63.557675559788336,63.444047731547585,221.64627524108627,77.18667931789588,125.65319093309833,85.37981025692162,173.65033481053973,285.07563618000654,286.94366576152964,116.46627022889278,97.8814942581071,63.07132562079801,384.21361201564724,88.94211492403733,117.68292659876633,66.4548739753107,69.88897392205295,158.9624760712144,75.79800142087353,106.52102415076752,61.12998808483404,79.26463789497674,98.82187121869765,84.350218052963,115.39089066097526,69.69493440946215,173.4602164100034,78.21980272243874,99.1343043953463,114.67435886874564,151.61038492497153,60.09584793871568,93.31552426417741,617.0381103746541,133.16715049921822,101.90260980221575,79.51052476343095,283.4067902658212,93.20742823031493,109.279855621179,260.9336711730981,309.7629260246458,69.77733755663546,163.638279427656,229.4401633038214,108.72299953740381,66.94794003662219,341.74819194837227,123.24496023897757,342.3447402618915,116.27040366174228,672.7368518365124,519.1313501919883,90.55041435608146,67.24462530148125,98.31159511572625,222.1921325668148,63.288008790533496,143.86304699183592,297.9261599904843,74.13359275063951,74.13489419784054,109.87175606370911,205.85808119400804
arc_pair_446116,196.3882256807455,102.77249248428103,212.12245284471007,130.03716812678584,124.34971684555308,169.07397315433872,110.1522707826852,95.5528971336541,142.95211383436,144.0894589421252,151.61424145345114,121.90893022268719,181.5022020481271,179.50225496893452,114.17408084813593,133.83169389702923,172.62723532243325,179.06344789491936,167.52163410294656,211.13093854067498,119.77706047945642,106.68820068237093,263.47853540257904,146.1890829740738,109.29016061917162,124.99629575710966,115.67013840682225,139.37700894770546,164.705187476244,107.45177826032273,169.10391279280344,126.79297168656237,192.39760463976387,132.6733558167869,138.5044649067216,109.35915870784329,122.42623728816073,110.8776721408485,101.28801139897459,125.56587122895888,116.0090832132255,130.70951708350356,117.44339935686664,138.10331596559527,137.79740642224093,119.08367241970778,97.54968865745087,130.01723146989733,1.1982569731691577e-10,160.79252340541382,148.24445763458283,83.17973807490111,128.3124476814699,149.70606726765675,165.69769660493853,156.15543100723158,140.59445289155002,96.45802459362103,70.87641876239256,129.70927944318277,119.76336699941666,143.88276381635146,124.99561263020342,275.6642099927127,77.35241385276778,126.9505146345624,171.26260878480724,126.48700557957329,154.66826976952873,181.64712982032108,85.93277524116853,142.36224028083802,1767.998381981366,167.00972704938317,141.90814889680345,125.08398531854694,101.08380020715214,149.5183647817321,81.82000854335405,118.24527267698969,112.09663512520333,143.6926150047697,131.0585650365826,101.65795272736749,133.62135562320933,146.82194066564364,166.20395507934438,105.46178815409169,100.74607109107313,121.42098122169224,143.3148583197128,141.042444897383,129.0568271245299,148.17175519502024,134.96463089983817,124.81315587103242,146.43184175479237,196.49129566191593,106.82542422365589,81.44231015202126,129.3369307873219,192.91462700576324,83.8297913420644,156.35342823864235,157.20787992448794,147.0257630173304,182.89967704340282,147.49591536808717,91.47584681385939,129.25757226122394,168.77505134921068,150.2518451361904,122.51039707963389,86.46416716749204,117.25645505919537,124.19280664293964,147.17436993689984,131.6404010892107,94.24443764542187,112.22634744615186,126.53860858998519,174.75738907592915,379.3724018990729,132.75547451786153,160.11806168886503,118.47292260463689,146.066347043157,177.40841587072043,113.91773134067314,179.62710278912226,158.4797348016868,129.4783076213841,95.3619341531894,126.6397784487677,160.97506276073176,130.24297246685842,227.19258669291298,115.69973690367718,171.13180678657346,103.3149959341522,439.2364507124758,365.6726170528527,143.30389172172198,102.7932502745689,88.53508312296874,165.94250185040198,148.40687059672123,116.06444363198335,170.77266928707914,109.08845719338822,124.76874135219478,161.07814596677403,164.29255424499223
arc_pair_358495,291.6466641045818,232.66058181438393,266.174514546502,232.0664917818109,236.90152742028152,276.62964359534254,222.82802487344182,203.91547694899782,224.99775613863062,203.92529261331515,208.12665956663733,242.6932781824302,220.35081203104235,284.1465349798676,236.8294143104222,248.17094382534646,274.61859415816315,271.34291255164516,196.12649243113358,230.9364147921538,200.08814504992253,221.96153927676903,272.57311344376456,258.6552946113542,215.2383350249974,187.20941614938386,225.53766721874078,239.69189340134892,237.7472695670511,223.5552550173373,290.187393152364,190.93504007749573,295.9346979639047,254.3594473341241,239.48404880544837,232.83552379603407,246.078918950524,219.13403558660934,209.46004377967782,242.4033062584069,242.4635702243125,230.25107624434958,231.3809551775644,242.56196235932774,245.18043249256442,207.04360849696351,214.23895502559026,251.46351013736623,181.64712982032106,251.84319635069377,243.22486156018505,180.13197777230923,238.71297799844285,258.3849351015293,263.2160141155869,264.8354783520703,257.508258447468,191.23097136266244,179.46635610229225,253.0203488149879,203.6951160118598,256.33601083728644,224.106639805097,342.9203175369963,186.5219223057884,246.0981648235107,276.3255657992399,230.42639450317392,223.47949709905222,1.3350873937315528e-10,190.78113149080482,253.557434742619,1628.8381982910582,281.565985725664,206.9091119300416,256.2447216358866,215.12559652627397,259.0737810999889,182.8091683210946,229.75534551507246,207.70665719257843,252.40122686842358,228.05638127684517,234.3096397444417,242.37601853608348,227.9636185723889,273.045482347269,212.2026369652088,177.96570263290624,231.15996312975608,241.82375230530602,234.32682145497603,246.42859340749888,248.74148812305452,261.15527140162226,214.79974143495315,234.10881601310183,272.47333170016424,194.54424028437725,214.0718122384704,219.64444391198583,232.7806433051079,212.96618490637127,249.46624831638695,258.92031025358386,256.54609752398505,234.9358768989316,240.82333475032914,180.67442557781345,233.87619639876573,266.82206486577434,267.68304681648465,244.25963038563165,174.5314673804461,226.11587367878747,189.79046247088206,233.38500231176297,194.80719670865517,204.27401176658472,220.42418857197512,250.53968752190082,289.2423523310087,399.42375906970324,209.3758010962755,262.6027394459854,239.77764616461232,233.75267899639954,272.8221781884876,204.24198456894965,263.16970454040575,235.07152171955858,231.02956452541517,162.5311637118139,201.71778117534268,264.73536785202066,235.88077959750728,234.35767715427338,240.21361274085473,253.44219324423375,188.48671710578026,483.38757096152403,374.0971269494688,237.38465680502622,208.39595592911604,222.4032018510939,234.89811205623528,246.362519407001,233.56885580542934,228.45909941675393,242.1329589659183,228.3306389191999,273.87526290212725,274.9931675453561
arc_pair_156269,91.78430955392378,47.102339134363916,343.9926633706111,62.03391459071389,59.979148198217175,93.66965660381325,51.99159244022053,58.76863351123695,200.97088268843316,221.18034692578073,168.27437671626095,87.30415673038507,289.5830043757605,55.93226612080086,103.12456937338601,57.92848547331995,56.16930974363621,278.1180390133606,275.05320857244175,363.2186345966673,180.70751632094175,93.47530111269074,403.7272132031957,57.420006265342735,68.05649476210361,238.89319603549254,72.21505491303957,67.33056848435798,258.74818262024843,61.13748605093037,58.111795723384695,135.66548205370026,94.45925019158368,46.088202299374096,67.09419745533053,60.76062932324877,33.396751163381225,96.2452706980088,64.32486347570847,99.44133121823793,51.530348922122855,82.41581526747566,84.11280029632336,80.54299144960864,49.31198021390491,153.8177205746162,111.0988338400014,69.91895637553613,125.08398531854695,67.90741978693649,60.45864618269017,91.38954338476663,55.12720440217116,50.53170124094228,84.05945410807529,51.87479861371942,77.44552432956533,86.56004822228877,97.01065527124923,43.33334220580105,240.62799642782278,60.88289962930523,74.4346132042042,392.5286515263016,100.79287431260015,57.79761379820153,61.27175554443129,143.99308942418816,264.4482219259192,256.2447216358866,63.75951249174337,52.74793793419248,2113.314433699529,64.78798015651844,197.09856639701604,6.442610692186775e-11,100.03753644552967,67.6743613041501,88.34043192357353,72.92050886914294,80.14869492062309,80.88292111392468,111.05668935764585,97.93874274663808,70.30956019289508,282.9239635937894,51.0746250932351,108.55258188624734,156.2053006145099,44.71117477641344,55.64128526746648,231.49441397335397,64.41423961600026,118.7049752609512,78.25495042909536,165.32822379368736,285.33079869242283,266.04779615430976,93.0822969795552,82.28920809102691,78.2663575082418,372.8626348295542,72.35357792227472,92.20864183112108,69.7955890806064,85.72441346492164,162.8833838052961,80.18283114784325,113.00243865975051,52.522474851111106,66.55417026035079,112.47676915397713,75.2759648838434,129.98784768521213,77.7997122900129,178.52462862861267,65.89288519776228,102.66173919075459,95.13869641402746,132.30505749592663,52.96574037508907,65.52285010070216,620.6872159628508,140.22749559304384,80.37397979035183,49.029019107859185,273.91304856035356,65.8264005263961,131.3687094013678,269.56885399474845,309.69766279441893,69.2886835721265,164.01012795132823,235.49457322727383,88.0358661852048,57.11370684474063,354.50557708031226,96.5238338052362,337.0393063872765,101.34248566330784,657.371550240437,497.7615961028082,68.37679526191391,50.35344300174337,91.41282206752605,221.8543526255691,50.70081814219898,117.13685851408641,293.89271935979,48.71641917888209,72.53176510791036,71.740503262254,196.9692508590731
arc_pair_82729,337.4820701172317,246.22865497747466,232.3604964839624,278.53562255411083,277.5681398336508,283.1635680156599,249.9234408292975,230.33031072708008,167.7174655759888,175.23289269063906,210.1277772178529,262.98244683251926,217.1477031195925,331.69599908531575,243.91208542352865,289.9355947796038,314.10826632692107,194.6316543353788,175.7743506800541,183.3547784606028,177.4319473701679,221.03326847014995,227.42234685366847,301.77991248676,225.56808791890856,162.75286278001516,252.98942489830813,286.6607798963421,199.65750743648573,248.6457628935234,313.1036554915514,223.0840221371614,320.3228399148028,290.9961459799674,269.6734959615434,243.4242932233861,265.21383803036275,205.432684271727,226.4721423076998,255.75675996165734,268.446009072388,266.50639652739653,241.97115377326668,252.53397043671018,278.99188933774553,175.6664353843687,203.5326942164786,272.9572867085819,146.8219406656436,307.81020333247346,284.43523160646646,183.77805627130056,268.2715348847689,304.431987051465,297.52519454538606,324.1093282207137,278.0413018784584,209.11754087473102,189.9050705940761,285.76460610108575,158.48749565249977,295.4549262475751,260.27776036772286,273.22889500367336,174.32013582639087,280.5008111942022,321.8191533471383,205.26144122551017,165.73480997364987,227.9636185723889,191.59763611364218,303.1375531563703,1560.0614309327284,327.7653394509549,205.00916758827313,282.9239635937893,204.12920043312494,294.30079464223445,199.73932474761708,253.69633797120173,215.68920411296696,280.7857472212884,236.22895806679753,224.00681669049794,297.2329114182634,1.9616171395683605e-10,317.59633142716564,181.85426757770713,167.6302626709778,277.9935009293167,298.8977936290867,202.4689390742868,269.7092653026144,273.1974441280758,273.0725139522003,196.36662906627026,162.53290867621905,223.6411999985037,222.35088135671307,209.21107757935508,260.9483636764086,176.33106269893716,206.03163852334822,301.6679733003059,290.96471206581094,260.1145094724702,244.2218937549455,278.54452188727606,193.7932980953097,269.7445802161711,321.223451139229,270.25013857026147,273.7565571747684,159.06400364927083,238.25861156591816,163.05395543391427,289.8196409924934,231.77504257850208,207.05582375798696,204.1451170353294,284.87862378999273,320.6295465010202,293.2330008538113,209.21773605906571,303.624642386191,256.32534069948207,159.29157747736653,306.713199968874,207.47167375357785,213.42558189747473,175.4230429290872,271.465293072022,148.97200070907277,135.1239636118083,283.87472535098254,276.02091420895897,227.84592197142248,227.37464152505703,163.62526389051072,204.96110512772682,372.74639736761617,318.3823261618479,249.48873362361442,241.2286295396026,198.60249068783514,206.61513405217391,295.6554433155036,241.9931936949469,186.53158429458688,261.5128353040459,269.4329162887529,301.92528516048355,258.6473111128967
