,arc_pair_221519,arc_pair_161493,arc_pair_48468,arc_pair_684529,arc_pair_206257,arc_pair_249616,arc_pair_337111,arc_pair_290847,arc_pair_726656,arc_pair_447717,arc_pair_218228,arc_pair_307657,arc_pair_48188,arc_pair_147702,arc_pair_169201,arc_pair_694660,arc_pair_25587,arc_pair_542791,arc_pair_682126,arc_pair_402982,arc_pair_578116,arc_pair_307953,arc_pair_313438,arc_pair_203062,arc_pair_197122,arc_pair_27742,arc_pair_255622,arc_pair_139628,arc_pair_58054,arc_pair_557730,arc_pair_610128,arc_pair_283483,arc_pair_370771,arc_pair_522221,arc_pair_624573,arc_pair_144158,arc_pair_257950,arc_pair_115275,arc_pair_593564,arc_pair_708260,arc_pair_496804,arc_pair_247784,arc_pair_230744,arc_pair_364083,arc_pair_511862,arc_pair_649551,arc_pair_489657,arc_pair_270697,arc_pair_446116,arc_pair_148500,arc_pair_90669,arc_pair_656372,arc_pair_664080,arc_pair_257072,arc_pair_261455,arc_pair_547258,arc_pair_67750,arc_pair_720681,arc_pair_347280,arc_pair_588558,arc_pair_594469,arc_pair_649403,arc_pair_599471,arc_pair_718797,arc_pair_695283,arc_pair_516918,arc_pair_724174,arc_pair_260376,arc_pair_551617,arc_pair_358495,arc_pair_450035,arc_pair_64470,arc_pair_665109,arc_pair_726873,arc_pair_461800,arc_pair_156269,arc_pair_269928,arc_pair_242245,arc_pair_384979,arc_pair_51712,arc_pair_595373,arc_pair_295568,arc_pair_142660,arc_pair_495861,arc_pair_167650,arc_pair_82729,arc_pair_169398,arc_pair_435729,arc_pair_653762,arc_pair_644674,arc_pair_365022,arc_pair_716732,arc_pair_692544,arc_pair_134659,arc_pair_639703,arc_pair_632661,arc_pair_566053,arc_pair_129381,arc_pair_271027,arc_pair_493828,arc_pair_336359,arc_pair_621082,arc_pair_731860,arc_pair_323321,arc_pair_462000,arc_pair_43532,arc_pair_131562,arc_pair_119264,arc_pair_625567,arc_pair_16513,arc_pair_101269,arc_pair_176092,arc_pair_523521,arc_pair_551110,arc_pair_521750,arc_pair_166773,arc_pair_532740,arc_pair_700005,arc_pair_474346,arc_pair_460240,arc_pair_594335,arc_pair_24655,arc_pair_278581,arc_pair_75573,arc_pair_641885,arc_pair_292663,arc_pair_39421,arc_pair_703887,arc_pair_22407,arc_pair_717256,arc_pair_89302,arc_pair_714315,arc_pair_464015,arc_pair_674772,arc_pair_280409,arc_pair_388971,arc_pair_674359,arc_pair_172674,arc_pair_217721,arc_pair_649523,arc_pair_492710,arc_pair_297765,arc_pair_208250,arc_pair_713999,arc_pair_564013,arc_pair_672184,arc_pair_649903,arc_pair_729575,arc_pair_642267,arc_pair_149569,arc_pair_281486,arc_pair_27275,arc_pair_723396
arc_pair_402982,455.8747557222041,348.25098109766185,199.1650010031321,364.5183696885905,382.33145065378807,408.9479657159582,332.43381009850503,328.513014154611,197.28169461642813,199.6710214149674,299.1889064772213,356.34678156057697,236.83706223924779,433.8456121054678,331.36539688477706,397.60423733545764,440.50893502543454,248.57827130691433,189.46158537213938,2.1133673827223438e-10,209.40592204340936,320.60823253724027,158.59188847324657,418.4309460337604,332.63090255984673,184.67767064929222,340.6949047566002,387.081072785725,249.65159460508994,347.8378016390145,421.96531362499076,320.45373898582966,439.5307981999457,403.75280442266944,383.1331061463119,340.24510272322283,348.39638949490046,281.19031846277386,325.1592749439115,361.193668190861,364.2831720731184,369.6356844829353,331.023066843471,372.2773609825297,388.65631293569913,217.5100664789554,284.1626372731549,368.41433867015326,211.130938540675,416.20771691503876,394.35624879575266,250.05550577957166,358.40132789926207,404.89189571834993,417.65068684235996,435.94502769979783,359.2176562779648,270.5127862842983,261.7692110524361,392.6305524283621,176.4307639170368,399.6952919405157,366.91915044458705,276.2338501040004,257.2529916559911,377.8658580947385,442.39781834219343,272.63024633785113,186.34608036700297,230.9364147921538,270.2265801870064,414.887863160111,1301.0835506263084,436.9416185862168,220.2201975502988,363.21863459666724,272.2776796410301,411.700727000321,290.2049977548909,364.12985351130783,288.4296773348701,365.28441754725566,336.58700722600435,302.042689482471,393.85824184010613,183.35477846060277,430.60457866645334,257.4391802578729,214.28074455039672,377.72894125274973,405.6685448015679,268.0263681586297,364.981474641961,363.88356633790653,381.14347311257217,247.03031850641597,183.24895520414066,287.18055958610205,291.6017751151323,292.0432269656364,364.299727864378,160.70819230267801,280.2941284909488,385.0390650458596,395.1330980523074,384.93294340760025,292.837312630353,401.3182963065504,274.62220249494123,381.9018446080175,433.1843934733722,365.2171835920769,385.70732130290975,214.09892826542867,360.4785554883559,208.12787149028068,377.41149513609287,326.51962394476146,284.6859751242396,280.9811692132914,399.4507338219898,419.81728662616285,250.65045564011487,276.3949610156785,398.9432857174373,360.06416702163773,190.43258039542425,389.62659055283575,286.42040367579506,225.24855547750997,171.39181506037204,363.12764896238247,200.6705446579893,158.1154595245058,388.1808774005862,383.60363759790846,236.3278894096987,316.2878600558689,165.8702418265453,279.4684412700905,351.7253028488905,264.89887864709544,357.9303087800255,334.0378149719606,286.91144783146376,277.32874752341314,401.5087062486248,317.5682123309325,218.05378263653822,350.389152633143,355.70786304952827,404.31628826953545,311.5107927833731
arc_pair_578116,245.90106813697224,153.85492479265918,215.81984964466486,174.81441112944427,179.59317670643264,210.73683969521826,170.8601771353404,157.63411156095094,157.01744438965892,163.45646658613828,193.0181973536446,162.37937313647947,204.32603717501775,232.18224939918326,168.19680404005823,188.1438043700265,231.18191233807968,184.57160516544144,183.57450850532,209.4059220434094,1.3269416817733616e-10,135.2483003645991,248.26744630430386,202.81017980664248,169.18413901718372,153.11901544375124,173.97744683231338,185.24726213924123,173.43757886206188,162.85758663015818,206.02375686044957,170.9710069606815,246.11006422737879,195.58145894932787,184.70556720490086,157.8658566144613,181.83922670877527,130.28896213880586,161.19631983457515,169.0670918441623,172.61137732431308,170.29705511200518,154.36806040450656,189.59882700930987,182.80722961824776,133.37740996666136,147.09163800920123,177.5429897135005,119.77706047945642,210.05501039644793,200.8804408637314,124.14466792528935,188.69564157716775,202.36932701190108,208.04343013462008,229.24314598948982,173.69417235635456,128.88823672008436,109.1606866091719,193.21658232020434,118.71235839403494,199.69601928531418,175.88837889418156,280.2543338106504,123.19495126087814,193.0185624340956,222.66161862719272,170.44376434568588,149.44330990752235,200.0881450499225,138.66837228243966,213.3505955351147,1675.2634815415056,233.0779129347713,172.42867010720474,180.70751632094175,130.2486858900392,199.42634431767343,130.37480667903867,163.95274210070278,164.5226908478044,207.06392167188557,173.2068851641199,137.1766311669619,211.65857143205085,177.4319473701679,214.17944785045512,133.76585464137037,124.25901300747701,178.9195448299908,203.6243066989043,165.4298416945399,177.0159878405289,205.16945059390008,185.852894628322,134.23213400005847,145.33234284474523,213.12245612317025,161.83788723362127,129.5785607021845,180.0511943683922,183.44331234030582,139.98451809265168,210.02058149186263,192.01220571307658,197.9242816368206,189.70756455256372,196.10892016235027,137.11834327164877,194.75104012024988,225.2803005540035,196.943036537236,190.3497503909181,119.89472966212344,159.68768822737294,127.35632667838058,181.12298998477962,170.48146022641646,151.16610738110165,146.381373133745,180.66231118181406,227.33078517800055,374.1154021616062,157.59707293940204,207.44068242220354,176.07409264889333,165.0137664459363,186.7986047755585,155.15326685040728,184.17510253830076,148.68632875252774,176.2344226744631,140.09036532227765,116.39258055743514,191.08943874101368,173.20905193170898,238.04979794233287,148.36187234429073,187.306461530304,151.87410094130834,416.1758505313288,331.92203410183214,199.24867337419408,159.09065423329113,132.99349357798374,205.93637825671885,202.7510034782693,164.78350414437836,169.4359817414516,152.4925455015268,182.41507976078066,194.58956399488116,174.4273140328625
arc_pair_307953,131.76084211102227,71.88355609241309,305.9378167843393,83.40442916608913,65.50916673711608,119.22195465936991,80.92533746566275,68.770008990683,188.0564297522862,202.26291604886967,140.78131044874323,41.43273356713441,253.96941079159953,118.88331414582389,46.85651209620339,73.5743937180155,111.6925154006285,167.4923614400605,240.89767393358343,320.60823253724027,135.2483003645991,1.1768802296475416e-10,332.7114587089944,96.15406323109178,79.05489982621884,170.63244325963782,89.99632276407195,78.02589710362994,173.18262087702846,80.10621340397527,102.35606257635999,77.23828478763528,138.96060268473263,76.979193540427,81.49161486985861,73.94672716110827,98.50144172086043,90.40633121813511,87.69383187511144,40.17356003133867,95.46339640789881,60.66934115098071,101.65688851660707,106.30216504534349,69.24749951264941,123.4461203523947,102.19023492075814,49.65793861383918,106.68820068237093,99.36097064218781,85.71606655171368,61.968277402036385,107.0500263353287,81.0314973404285,107.88922338806091,108.68417742933612,39.369468410863135,102.0388234381442,81.30794620346046,82.40083771653607,178.13914777133,74.877125938,63.34142629241205,347.7652290686068,86.80596836880412,107.64147400704536,101.74651897377674,154.0373157188517,198.51930349004144,221.96153927676897,67.23529413216829,89.24509796116186,2012.068816024381,111.72876658216808,183.0123806445645,93.47530111269074,93.66363212323962,85.6077003518584,75.40045457987621,52.2294494143122,94.3304181011541,118.13631823839269,41.975462745318566,56.10724863148187,95.70082735402053,221.03326847014998,100.20687484619843,124.85143812325592,124.19401221653253,84.0337325722342,96.69596557477644,120.4900282755514,81.50975007253192,138.06223463232234,84.85213583524236,132.17464298449488,202.1075940295275,235.1004236154575,95.75582529117602,64.19388613493344,96.7819392674796,270.8634757214906,77.19773758960628,125.73138755574853,81.65611589690826,90.24280866877096,171.5424985234505,80.72883629000503,79.90100414280734,79.69182789998374,98.71146316179195,113.858008825368,94.44371975758214,89.09369263362049,58.58946650231565,132.33762531172124,89.10560882438736,99.32390798530423,68.54997209783772,59.24186988069813,76.69285118385545,123.82631449854625,520.2244342391691,138.90610340494075,105.86664126879248,88.11136545537751,218.39336962918702,89.4048012206535,117.18126534089158,254.58209974476054,232.17515587765894,105.61226409605004,122.98497558582969,162.2932494414837,110.68237060345453,62.20657587123327,278.7153722285957,42.30233347398972,291.7395333633974,116.19520389722408,572.6440205902613,466.06339550264863,122.5103720948885,60.93775166659012,85.02347114010985,198.40275892220504,99.94410836976667,48.3033261235077,224.40736901353054,80.27558708535558,89.24694669465896,58.79740110835715,116.75464568191572
arc_pair_27742,288.890922094611,212.2898607361464,195.70576810166335,215.39571663960447,198.27467800475023,268.48769186397004,197.53765438077127,188.49681233061773,167.43886171482484,168.10573713634517,170.9476236434816,205.88268443027266,201.2468222783898,272.94602754108774,183.63774169102365,225.41822679665586,262.03203834931224,190.78467783244633,144.694153891832,184.67767064929222,153.11901544375124,170.63244325963782,211.26474197116528,249.99269371559453,199.28888586266788,1.6310627103605868e-10,196.79598101484788,210.56741798388924,182.9166715219761,203.12186954653413,267.5961318650721,179.21727805823878,265.3702088252352,236.4893890333646,232.8580073248841,198.59549033474804,236.5134151587378,176.1881586057203,180.48756403769733,223.3671292348119,218.99974167899222,204.13703673500558,204.25016687961678,213.54618200170177,225.30868432114187,144.68535503925509,160.38830075874046,222.53537447443654,124.99629575710964,252.91105994405163,219.21275527017602,126.22245615049431,221.7777698088709,253.2654288154888,249.0030972213023,265.8423299894453,229.3778986206944,174.90872320656095,144.52272599378824,229.9167146220301,151.16222613451333,247.13519228605713,204.4269957771024,278.4018140019487,147.68303868303627,213.56346896817905,266.235657662599,183.41992562759805,154.32277359717745,187.20941614938386,155.12816132021376,252.03015065235482,1598.526368711672,278.92141301079437,199.95898277550313,238.89319603549256,159.46383023416126,236.34302158812883,159.75690374552119,211.03700097093963,166.42738024549047,234.20584028454545,180.32649334344114,173.56589742380436,229.03053492644764,162.75286278001522,266.6499470060803,179.15608003749034,129.9239848558475,229.8908801872931,232.6182145102141,188.66753958828951,216.59403680076133,249.2609133824597,216.72350339354767,168.68481883587268,156.91517766866173,246.55115427425181,198.56932018442404,167.71798716413267,202.13895426697604,173.66020908126612,169.09336594315988,257.1918010915585,234.33917637994145,223.74069595021487,201.45005320289968,244.22311596974487,142.37013193383567,227.09418362536542,253.90467473177938,232.42052614002193,232.09606039340372,118.3995347622251,198.5033537828836,136.1235242196463,223.57007819572027,209.87750432461124,173.69207370376762,177.1730751109639,223.62090300610595,268.7911780892133,337.5676174512665,176.30914282302322,244.88444292690573,230.77245347596033,161.98405433135116,253.81911177063824,157.04703091518797,205.05089471883144,172.33008154274995,212.72239557701113,137.1205976334688,113.80572594273526,243.3355647659548,224.98594188303787,221.09845397984586,202.50508675729864,182.72114560154012,186.97984996259524,445.03072695976186,336.76892885654536,225.53772486829268,188.4269569331305,170.64557840191816,206.45817504227193,241.17447558080926,201.06020744020398,185.93361082644168,214.50251947099642,202.7848847906762,267.140277863944,197.3293058195576
arc_pair_58054,314.71955009357544,228.06677112244955,255.221299883554,245.22601198678944,231.42031402409256,293.95835520464783,230.52618407378606,221.6893754774406,210.39441289608487,227.1433314663978,219.20027261133572,201.97167181451172,230.9167578064228,304.6220191762411,183.90543845024143,246.38916725778284,292.53212230922327,180.2928267718729,225.00454415380085,249.65159460508988,173.43757886206186,173.18262087702843,258.98974341807116,280.99876577409117,220.43632481199708,182.91667152197613,221.4420611759765,233.97163715041052,1.499438783159264e-10,230.86009794381977,270.5627461694618,198.15526674376602,310.57501748544985,252.88508048094235,240.34390171294257,216.89777521355575,260.3732841925353,190.41717146667398,214.91233584068914,195.4904885902912,246.41761746209554,229.48375177044343,216.46349521256505,246.14893574189784,241.47251154355246,183.38942859601252,192.64338326816483,210.56107347007543,164.705187476244,277.4687769978585,266.405564842463,171.79727496265122,247.49886191311515,259.9456309642442,272.0924677054404,292.6302547048122,228.57816253710513,197.77609102884367,170.23018074981994,257.7976880158865,175.90232609358088,256.98625348134505,207.29805471137976,289.4586910525246,144.97868713569187,265.13617266068,289.6305106521468,211.78555539769553,170.8225983933521,237.7472695670511,191.0017704903048,267.98101642967805,1709.4942277014775,294.61764207774377,230.71951406208672,258.7481826202484,182.22533585096505,246.868994545721,178.5827890441094,190.69926690038344,221.568131038601,265.6949619776007,178.63330885537795,165.58822989565147,267.84976421543496,199.65750743648573,282.31447495658625,190.69994311602431,174.19809010710688,240.68672064918445,264.5011029644417,166.2693636833655,238.8069594321924,240.72601130933467,247.30766980615542,192.03395293069678,164.0885718972055,266.59172561566464,208.26537042599762,167.7633714389681,241.8738291441129,202.69575561362444,183.234962066812,277.4985544211316,239.60427827360022,256.6690317391611,259.5007819881065,232.31016541441696,168.10746844767058,243.1590860623284,287.49684508665734,227.72173757740086,253.70362291688895,173.81443366528973,198.32328258501988,169.02822721827494,265.9087948283657,223.01443812614315,172.54877904681769,152.92586258076608,244.5834194237733,295.41241866367903,377.95874600582204,224.77825820604465,262.43070268152894,234.04251801880298,193.19256832737378,261.0478437633048,211.16632959293767,211.4190450310632,183.83647058106754,241.050944340807,152.2924064897036,131.77096167245858,260.02520819990355,233.1307612580508,245.22624093642776,194.04835474189525,212.76122332172628,210.36728899648597,437.10891738107307,379.01205367892663,260.28940337586505,212.32969271622855,176.98247195889928,224.31805654728873,273.34695525575535,187.4796909121719,208.89417921049682,223.4992930279079,231.35916595312767,232.4441888542574,201.76923029241266
arc_pair_656372,130.06184194928807,74.16947716282176,246.27878394465682,84.86815858980265,75.35504207502706,121.42483866320846,69.83759721545272,62.79966245856162,138.80833578055336,148.27162859176775,121.38534017123666,83.68095566191329,213.04726472226338,112.32745468204446,84.35327072294241,95.19847403397046,102.98084966417363,162.8897689486234,174.17931663765103,250.05550577957155,124.14466792528935,61.968277402036385,256.6012434539024,108.9531603352056,71.7974258545067,126.22245615049431,80.14193985725518,90.9886079678959,171.79727496265122,70.98960678858333,112.45875317659605,80.519306624871,126.82761590476811,77.03455725348104,81.95101642100255,76.1395091797022,96.8167175107759,74.6969633648874,58.712889639317495,84.98060575895957,86.67348686347597,81.93586881641119,83.81723765527363,91.36192571211117,70.73847526794901,98.92283703556109,91.91540628037622,74.55173218044021,83.1797380749011,99.02702952903509,89.59298189867391,1.271195091372519e-10,77.41011230060563,86.07183760112346,104.00722286354767,109.51950236886631,82.88361090893085,71.09575357655137,73.66175259807136,73.98914191904896,144.60146305310155,84.63076233650074,69.59888274177652,301.31244679457285,59.79416832641439,98.77195881912394,105.31353734585986,122.1761291073606,160.6312975745252,180.13197777230923,36.938790994493544,86.21695400539505,1882.7396543313935,107.37138525610996,147.2736898764959,91.38954338476663,84.93752872789702,92.68198722672089,62.251641790598825,85.04794274964149,64.31804681870376,98.36589413329213,69.27250447317202,78.95276031397077,96.48597517174284,183.7780562713006,99.46301871406628,81.63647396331547,96.9043259138904,77.67869548915928,88.70789760989528,148.31027114680654,93.33247804836189,123.00872321790082,99.44730410829864,122.36796384858394,165.39936906854922,211.11056078989284,81.98009236456147,64.52327444343487,88.93955222548351,224.78963001433894,64.2961166847348,114.4830877381472,82.94461460660159,93.61669550729397,144.29090937815255,94.1379063807623,73.77927488778326,64.16968427309288,99.2778734408595,106.84178431836952,102.58647047163475,69.8557476109101,72.5820773611465,98.30197501461659,89.63436617686523,81.2542260861108,66.72912859284443,90.86907962715225,92.2906143638272,115.04585022841124,439.7868949563589,113.46371737820301,106.81900449346062,85.69242759114488,172.03136290898894,94.15852381832136,84.85372320360611,206.6469593197222,193.49726179231493,89.67475834040098,88.44210780206342,125.75784468627742,106.00384094916109,80.72229934379983,246.45079433946705,82.24207981548749,225.98255918912483,88.3235452253362,511.4678656366696,388.5698739063379,95.82911141589477,60.16413143905319,75.97771726592583,172.95393299191866,89.52184033924267,86.59336331342703,191.07372999191114,79.34568136244278,82.44434244479929,90.07326027201839,135.86919363815403
arc_pair_695283,142.32107450410945,82.89780748710788,250.889350250399,85.22789833540685,82.19312481236354,131.45778894518583,85.25735000255287,79.13064647688073,140.83848471277554,169.9786391626547,131.2642132186354,100.29237914141942,193.64040330288915,123.67991276575466,94.39657196115222,96.87611416273177,109.8064990374073,173.30049759078221,177.2403230850639,257.2529916559911,123.19495126087813,86.80596836880412,276.9292357420864,109.3719713692515,79.30306617491863,147.68303868303627,68.65636284258994,92.20109143015188,144.97868713569187,79.82651389624303,107.23719649330077,93.60803985525887,148.20170646565504,91.060847065041,76.08716158528478,68.75311664624147,97.14601938185632,89.55467873273852,72.71289181363721,100.39986465929255,85.0200890095005,96.14210384753181,92.67338843852195,106.05828027077108,81.26610243030044,123.91325188238554,94.77635574516917,94.729704964816,77.35241385276777,108.7687540240107,99.11073568383924,59.79416832641439,85.6521148106883,98.22536555913926,110.30599972456793,109.18667497305398,112.99117116624771,82.14531131963005,66.94117610640612,91.70368688160076,126.90498413001275,87.19068611399835,86.48025158140236,308.2387445952493,1.0290462778001343e-10,114.05052417234873,107.14678794824636,114.8652298819852,146.6730920279436,186.5219223057884,58.607088481380146,98.53262772627457,1876.91910215307,113.69931008928687,146.22669382210663,100.79287431260015,89.23690270815004,97.14959568962077,54.39391393799457,87.27829423147344,77.00428488786494,119.55773223484516,86.03340549000112,74.90502206481122,118.08262790670696,174.32013582639087,103.25804437551658,88.18606977711394,92.03932415499537,81.01632571290075,94.5545193502937,136.59373558499433,92.07447595613283,140.11075223587062,91.32769215728203,112.35544356309501,144.92808106105502,191.33666979892806,68.72648826688518,54.76849785639582,91.1268490830316,219.9236394554811,71.50112568129944,133.40303772509037,105.83832012038775,114.13585051706123,158.08151462364089,95.6008626246585,52.38608525761014,78.23615766234644,125.8323228038453,115.9279471146869,96.57888110895826,84.86845719185214,71.99785007328988,99.07777221042113,108.08502879275244,98.05676417375247,69.93060911583248,89.79864802708335,89.4668785347369,133.01166188311652,424.25540196391864,135.40271771015568,107.72963248810218,74.08138309432462,170.64014184348156,119.93535886212973,84.34308880581281,205.40222558624123,181.57658433561278,86.97317495354034,91.87065414596943,121.39257019340418,110.46577229883906,80.30467930881619,222.87400867075982,99.78356136488182,224.79594633272848,87.11011854995733,464.90481089223624,389.03946395605146,98.29934468981733,65.86239141093347,74.80999312760687,172.65058784026357,96.4047733424825,107.16279117363766,174.4778239424591,64.7371878960401,91.35237997005123,105.19256562896007,155.95962179924388
arc_pair_260376,175.69737963474202,137.70971898853,277.213963213213,142.81013679740016,135.38468154685975,185.5501562003367,136.55156869913665,130.55143011306131,175.45901243295597,167.32024096768373,187.68023649143498,157.5341785221406,250.03994850315024,170.17271318302872,156.21370312145586,149.45908606777155,164.41491227964315,247.6008713152198,219.42245150650058,272.63024633785113,170.44376434568585,154.0373157188517,310.5314829945578,150.07512732021266,125.39954678206676,183.41992562759805,126.56208160220062,150.12446201809874,211.7855553976956,134.2340724413079,159.4400252614423,167.92610649299147,185.16203477327068,152.9324329684123,137.20015242558102,129.95581928647553,147.04031083463332,144.18766529151304,111.81065581379565,161.40046467919228,130.7829162761053,158.78653221068834,137.11504770838332,153.86604260502875,133.57157546551562,147.22494710658054,151.88732935089914,148.74753084060666,126.48700557957328,166.81269080380696,148.56349256578739,122.17612910736062,145.30581900277107,159.02503355043987,164.04616150953763,153.69940971098305,159.89945077494488,123.44058520373848,108.45607854412955,145.37505901954935,199.46499310121345,153.14341231853524,155.11305992543907,287.55207089937596,114.86522988198521,147.09809987775338,156.14857555999006,1.1270361943005667e-10,205.9506265137657,230.42639450317395,121.63491638335344,149.09218066430006,1873.4068323769498,161.90539901801316,200.3456916165216,143.99308942418816,144.04988656347135,156.9522999955178,110.67021358664533,158.46867351867567,135.91200928890677,162.03166286586293,167.28435192664105,141.5171414690184,163.40524075696476,205.26144122551023,158.2829987674197,115.28145021675799,144.70368532797258,135.86672598050595,147.6151261015737,211.4965134968151,149.52847051182565,151.2004901956749,143.92058611787118,165.05274998265563,213.04228626172602,247.90212871264032,149.61136250878656,123.26591033311641,146.56389398850214,273.48468314028065,126.51628920227608,181.79121292593283,150.1887291801392,147.91220690752675,192.84065093367064,159.81402070272924,135.33266016360875,147.11937398757297,167.20616453516794,156.59942237715836,152.99187169742038,135.70431047795788,129.7559227911409,156.5188488359123,147.62181328061743,128.6821494701864,147.26965585697658,165.22555240425214,140.51680553247408,178.4935449833489,471.1758123101966,144.17680535015262,164.3168551373372,146.62504679677934,208.60175375325156,165.1994743761654,145.59165188967805,211.30665937970196,210.52574763628556,136.60781798995293,157.16886613867422,184.34360040955895,163.36263365108059,142.08358013145946,268.968951520847,150.38172212032902,236.06033792342333,137.5653335737041,514.2807570923832,427.5833463496321,142.58783140947156,132.27794789985478,133.42419265161993,224.13783911947567,139.56959199344251,169.846362660517,248.15368433446918,127.19336196158062,147.75966077051095,176.86717798423314,208.20555903237386
arc_pair_450035,110.89921138266126,56.25824254830924,258.5457405066854,67.55608790108371,59.55530261211226,102.5889092620277,59.33085015727835,43.91408374061217,148.59629138907968,166.24124899624087,119.63734840135544,77.52420314307545,210.65332447829525,84.22973269564922,79.4645196756484,73.68675464291206,77.53719183469347,174.42326843692243,187.5996307626928,270.2265801870063,138.66837228243966,67.23529413216826,295.58558118561257,75.53501628431363,56.849684021770024,155.12816132021374,65.05851240963437,77.8165079889123,191.00177049030484,54.367628389597044,87.35188418543135,84.97741090947245,101.65741441299286,59.58825207993806,62.54871172163584,50.81000750417566,66.03990635050226,65.09816048390815,57.228063284157685,81.87755668609877,56.02583954996827,68.72834708961733,58.82819330292671,80.0091204357625,60.53588077695747,104.77409964767003,78.12778722438387,58.942572004461276,85.93277524116853,73.15276824079525,69.27844699777106,36.93879099449354,55.26973671258136,63.38033170849201,93.93827126251769,76.28159897626185,71.89293878974232,58.55361574263142,66.66401179411804,48.03468447854428,155.77921245141638,60.505068713951545,62.8750634757656,320.64885674864723,58.607088481380146,73.93233883007612,80.76169195491617,121.63491638335346,177.7512000473145,190.78113149080482,1.2612712465964278e-10,57.76767365839809,1916.47590291078,72.1101067262199,147.07062455532923,63.759512491743365,87.43686175235273,63.244676537283624,54.52619074859163,68.29254209895076,42.59420192387562,71.87168005422276,63.637093391449156,74.2978995642914,67.84350809639224,191.59763611364212,74.58595091851623,78.39614528482636,98.39120780468696,54.346555831585384,66.76323642678587,152.06833764376506,70.24305493127835,108.0033081101692,82.17192329386637,122.98259386013476,196.3280935209845,214.11857747904568,68.05862228954197,56.42452626591324,67.86968324796494,254.6824951524478,49.467873027227895,100.43258717571582,73.64766928966863,80.4880328757506,147.64264513393283,77.96494249318104,71.37741259857665,48.47168513059171,80.34086385941576,85.16626754064932,87.1233624878626,85.43620976714698,61.06882743106979,124.35004718211391,79.05634943813844,74.36088941129341,59.54137193296547,87.82635157512009,68.54257740368537,92.04685039032424,470.1521496818868,113.39212411485272,95.17466488955085,58.729311878875,189.69456265976044,83.04718982531831,102.4982288717745,214.17465266376126,213.86733750448929,63.90844568326259,86.8789156820857,145.02508038703405,94.15228817545103,64.08475667178513,269.8291629613617,68.54928412247904,245.75507503848894,70.46541940057547,540.5147191957809,399.9904717471984,63.45252126539614,40.233743466417074,64.82821994374264,179.36516672472635,63.226519585884546,74.4806287350979,199.5659696513128,61.611310716180505,62.472388758606115,78.66979295211686,146.34127188746936
arc_pair_295568,103.93624905314067,88.40484820818286,324.67237373074306,83.65609701419537,82.28671465457876,131.45174810698649,82.67187630911884,70.90718411965352,215.68941927910225,214.30352311658768,154.95199183440462,117.5838398018069,271.4738852920734,83.29053569108291,130.40062210826912,87.3682407970657,79.99629640254732,279.27423121060536,278.56171597044613,365.2844175472556,207.0639216718856,118.1363182383927,392.4924633095186,83.33201455083194,93.79353936438889,234.2058402845454,85.97692838992761,92.23737246994222,265.69496197760077,92.63171632519797,93.53160724290947,149.0070025233203,95.584615456331,75.11921038822226,78.4663901079947,89.90478648219485,90.37603538861015,122.02508525686706,85.31254301821012,122.61297594325012,87.98299059224921,95.83750334855023,101.8851567574344,91.83261244924864,75.14550541146646,156.6654561009198,135.29287945151668,96.9178121992542,143.6926150047697,80.03227449520416,81.17856101617551,98.3658941332921,77.13164384146752,77.59784487364337,104.57989573075227,76.53755106840867,110.0422789846333,97.40943604647258,109.59863540785568,60.72197274720371,245.9176276130821,86.28539454673789,82.43518759780295,401.72178520588386,119.55773223484516,80.07045418817779,80.93242839455972,162.03166286586293,259.1041497510207,252.40122686842358,71.87168005422276,63.18067439434348,2073.71674546987,75.01143086371593,218.76287500327987,80.88292111392468,135.3560406469703,80.97268441359245,93.46242657156255,98.8762573754498,87.39208607679294,8.619825735640449e-11,122.47983109974636,131.93202071380023,85.157787174557,280.7857472212884,78.74554070569394,111.6333284317137,169.29762740465782,74.074804638969,71.45251795466825,237.14196973674308,76.89500062409954,133.9162724247207,95.66100318228757,190.55118575763947,288.2509730533792,288.3183668014748,124.62032023128208,108.18021105844639,92.81697860378377,367.45064774674904,84.26212679942105,111.96257164245166,85.49886901554301,79.07766539537153,159.06246977267065,92.78195048399715,130.27378013588623,67.91287823590594,69.05599423747385,111.02760710255937,97.3047151959268,138.543533333441,88.45772857792835,185.1291626463934,77.05983309274716,103.54825083277407,130.1024499135399,163.29388375921192,79.46663023469026,105.84628289538023,603.0201009787245,148.2713664165055,112.58364468528987,89.76515448469411,277.62675890887476,104.27611164129709,144.01518349987538,290.04957176799024,303.42746344696695,84.24435215114924,160.94374911725052,240.04400143256294,120.88702224003498,80.1445919744335,353.03466183329147,123.5987996034288,343.3302236359468,109.8337912246192,673.8446932308927,508.7784872396035,85.12628377187124,73.8826219307444,115.54498335708867,222.24198035350148,67.23862770150185,146.0435977105803,280.2877155965805,88.78926245934952,88.74228061731213,108.50462412720017,217.77480715158356
