,arc_pair_221519,arc_pair_161493,arc_pair_48468,arc_pair_684529,arc_pair_206257,arc_pair_249616,arc_pair_337111,arc_pair_290847,arc_pair_726656,arc_pair_447717,arc_pair_218228,arc_pair_307657,arc_pair_48188,arc_pair_147702,arc_pair_169201,arc_pair_694660,arc_pair_25587,arc_pair_542791,arc_pair_682126,arc_pair_402982,arc_pair_578116,arc_pair_307953,arc_pair_313438,arc_pair_203062,arc_pair_197122,arc_pair_27742,arc_pair_255622,arc_pair_139628,arc_pair_58054,arc_pair_557730,arc_pair_610128,arc_pair_283483,arc_pair_370771,arc_pair_522221,arc_pair_624573,arc_pair_144158,arc_pair_257950,arc_pair_115275,arc_pair_593564,arc_pair_708260,arc_pair_496804,arc_pair_247784,arc_pair_230744,arc_pair_364083,arc_pair_511862,arc_pair_649551,arc_pair_489657,arc_pair_270697,arc_pair_446116,arc_pair_148500,arc_pair_90669,arc_pair_656372,arc_pair_664080,arc_pair_257072,arc_pair_261455,arc_pair_547258,arc_pair_67750,arc_pair_720681,arc_pair_347280,arc_pair_588558,arc_pair_594469,arc_pair_649403,arc_pair_599471,arc_pair_718797,arc_pair_695283,arc_pair_516918,arc_pair_724174,arc_pair_260376,arc_pair_551617,arc_pair_358495,arc_pair_450035,arc_pair_64470,arc_pair_665109,arc_pair_726873,arc_pair_461800,arc_pair_156269,arc_pair_269928,arc_pair_242245,arc_pair_384979,arc_pair_51712,arc_pair_595373,arc_pair_295568,arc_pair_142660,arc_pair_495861,arc_pair_167650,arc_pair_82729,arc_pair_169398,arc_pair_435729,arc_pair_653762,arc_pair_644674,arc_pair_365022,arc_pair_716732,arc_pair_692544,arc_pair_134659,arc_pair_639703,arc_pair_632661,arc_pair_566053,arc_pair_129381,arc_pair_271027,arc_pair_493828,arc_pair_336359,arc_pair_621082,arc_pair_731860,arc_pair_323321,arc_pair_462000,arc_pair_43532,arc_pair_131562,arc_pair_119264,arc_pair_625567,arc_pair_16513,arc_pair_101269,arc_pair_176092,arc_pair_523521,arc_pair_551110,arc_pair_521750,arc_pair_166773,arc_pair_532740,arc_pair_700005,arc_pair_474346,arc_pair_460240,arc_pair_594335,arc_pair_24655,arc_pair_278581,arc_pair_75573,arc_pair_641885,arc_pair_292663,arc_pair_39421,arc_pair_703887,arc_pair_22407,arc_pair_717256,arc_pair_89302,arc_pair_714315,arc_pair_464015,arc_pair_674772,arc_pair_280409,arc_pair_388971,arc_pair_674359,arc_pair_172674,arc_pair_217721,arc_pair_649523,arc_pair_492710,arc_pair_297765,arc_pair_208250,arc_pair_713999,arc_pair_564013,arc_pair_672184,arc_pair_649903,arc_pair_729575,arc_pair_642267,arc_pair_149569,arc_pair_281486,arc_pair_27275,arc_pair_723396
arc_pair_684529,82.23559389284935,62.523403725641785,351.4332643738335,7.954713570176678e-11,39.879707952664305,81.84868914690705,63.2330406033864,64.47847544593412,208.76908593462804,222.2193921076973,161.35637792379916,76.7332539446656,270.2213409881257,70.37632092480666,94.55960880654732,45.83454820976125,52.09488575207895,280.2141344032592,258.30969416028324,364.5183696885904,174.81441112944427,83.40442916608913,398.28602932853505,50.093575701202425,76.95256967372376,215.39571663960442,49.979168650798954,45.83843747296861,245.2260119867895,58.394423694803564,58.696706394226915,121.09423519705362,99.67289860620933,50.28021246616089,41.22115244189994,56.97307022651572,72.09615771316896,100.67823657281431,69.3310963442566,89.12832242091615,54.23564105610127,56.39947206395897,82.13422027842167,76.45075237321946,40.24145442202146,152.45553692495565,116.66376633424295,70.89479970182114,130.03716812678584,57.52880041567795,47.58389838565952,84.86815858980265,78.1093108632449,50.06978521948145,66.38325371185626,52.0182444579773,74.17699267155132,97.12879688892964,81.74808996346675,47.180075803856234,226.9088721916533,46.446029810073796,67.61346081350575,391.42445347687584,85.22789833540685,66.99615884632446,46.194796291940285,142.81013679740016,243.17656612991163,232.0664917818109,67.55608790108371,53.83337182001146,2124.9582563001422,66.13379894706819,197.87259180623124,62.0339145907139,103.5445228856938,65.57511699837448,67.0289633265837,71.7365498972553,72.51081386499462,83.65609701419538,92.4210746190517,96.78542087522834,74.9497507957178,278.5356225541109,46.31639575650995,115.3996405775643,146.76739031690573,44.24106995962632,48.706093965948995,215.9687748414147,42.98137642859919,133.71639595909247,59.70328371383446,163.96108790358886,263.996598199767,256.953583848498,92.3273220052246,70.05166761197435,66.18381114025343,356.9523029511543,76.40288823291431,86.01616177923084,50.36882065517275,69.06076915847851,144.11534999966986,64.25291653540265,89.41178186385692,56.26148536486281,61.346753384585256,116.7942311993516,56.52585857021448,115.38662226888142,56.89443383003548,157.20706175099087,48.67325434274637,91.014876817872,105.97673203557123,126.56416516106962,37.761098637856335,78.62688359661611,605.9896564892496,136.37734759372103,62.18519912508006,60.10161766606072,264.3628280155641,71.9383414974632,118.78288442228612,285.7416901027553,282.6682354882427,59.53635849048364,165.2639539078766,217.71665027579473,78.1537185567031,34.29259746552235,325.69299953277255,102.29747530992472,346.12822730067705,109.13325016586263,642.7420438297133,489.51105627001533,75.17982804600265,48.74946221946895,87.39834963132633,217.8547398018486,44.70126937464182,122.18507829212784,250.09716142363288,44.28633988171855,57.93675572647248,83.84496625187995,186.7797847259437
arc_pair_203062,74.18703254777799,62.960529987470665,389.4865004228507,50.093575701202425,34.39861485162034,91.19475830441303,63.71763711822934,61.25904958050988,238.92269490434848,246.01435137395274,172.85248325022215,85.6280308763643,298.0569846038956,53.827619852643195,95.60873740993208,35.8241381340174,47.459664633629025,308.0977736895775,298.1148849365886,418.4309460337604,202.8101798066425,96.15406323109178,452.8340462346045,4.618448419589656e-11,69.34891676780768,249.99269371559456,53.47733964302425,42.164262600574304,280.9987657740912,58.807708881628486,56.119772409264485,124.90313308305305,85.50861758500012,37.3590445939906,40.76128764746456,54.02264452780739,70.66991405259984,108.65201748908659,73.8520673706061,95.91521822235548,46.79734624414767,58.61004253511878,89.39080346027978,78.58966758502966,42.0281464334907,173.21404079578596,120.91529956935605,66.42662825936992,146.18908297407378,45.6846788320565,43.02932317511006,108.95316033520558,68.86350257001757,40.453469418517045,73.15690633946329,29.935914877383667,70.4897348253337,92.83823970955152,88.90594190942349,35.18574753223881,267.6460184184138,39.97640849447134,66.5849250190395,422.27018565635296,109.3719713692515,58.90695996681218,40.06084920127059,150.07512732021266,290.7533550558866,258.6552946113542,75.53501628431363,34.84375123925547,2225.8745234695293,48.82295153343071,235.13123780244064,57.42000626534273,125.88604298610906,47.505483483902,71.14596437034922,68.4391602403851,85.66715432057907,83.33201455083194,108.88208797895459,99.82644967762906,54.43779171067365,301.77991248676,37.2544731478704,126.44355217818034,165.87654557770708,39.840647855036494,44.67293964500419,230.49790920580662,56.05125334522454,126.73409016338343,61.97714322303295,187.42126655324054,310.23907808378317,284.53128394050304,101.45949621147571,87.8111135393146,53.456287451435415,407.83964242958825,81.13435953392795,91.09518016966405,49.94711798290988,61.6875875869282,174.27373558413495,65.58372540924209,105.64667486587206,51.582995840847644,52.002806297288664,105.86381427125968,52.26309349998859,139.63811630975806,61.58719523319894,189.83543884574289,47.73503808408338,87.84469633921451,115.39227031673369,147.94432178897313,25.658307679837172,75.96439044236055,667.5580542631672,149.85557879532672,60.547618539975836,48.83303588018048,308.45429686894926,77.8081977619564,139.04611594675725,311.6422034733968,327.8167482847758,48.07302852648844,183.56879288523885,264.99619060226587,84.97915802479781,34.07176587728542,360.63389043828784,99.35579694443133,382.5188006524493,124.89361235504161,702.4728501512409,552.7324530770492,70.58470915805636,43.82229961656458,100.4262615078182,242.8335102233937,36.12504840909875,122.60346476420104,309.3664195091394,51.54396786883012,58.00577800081842,81.42218041050646,195.7886193365647
arc_pair_557730,94.40201375422157,60.585283992680075,336.79384559435994,58.394423694803564,53.58480522948643,93.00235936289778,59.60576390034726,53.719360369234955,194.13271917875647,208.87565856050813,162.87870252420552,84.6239190500354,269.67613746975223,84.33027065059193,88.10978648053786,47.2502617016487,62.34634886538501,242.27673471807265,240.3960572834775,347.8378016390145,162.85758663015815,80.10621340397527,389.11710969335604,58.807708881628486,61.20650761613161,203.12186954653413,57.31744162457964,71.01736110746644,230.8600979438198,6.74566610842448e-11,66.4577290207892,99.35286042249635,102.68177000814616,48.27469353702905,53.57025590991109,38.67591052213896,78.05407835112517,86.02426754672061,55.78584355144777,87.95348523704266,52.43599232120361,65.6351500900926,69.27090972247908,69.45780363233455,51.155359533813254,146.81176175717655,90.13080113209082,59.09550087111165,107.45177826032273,64.0720120625547,64.58044066009239,70.98960678858332,63.35422083483223,49.412583866825706,83.39420586096199,64.23789770854499,78.59390936823883,84.08938167206492,71.34457044998905,47.51063935079175,207.91070532498586,55.346886078800374,67.02829644006036,385.3393349420665,79.82651389624301,71.44028661071391,58.7574388657708,134.2340724413079,235.7640561541995,223.5552550173373,54.36762838959705,58.49617235672133,2139.8249457950606,69.91269821508043,192.68518495226186,61.13748605093035,79.37123472763162,58.67635266381004,67.79426119713341,64.98315671994673,74.71687715968434,92.63171632519797,87.42229895489429,77.92496040534047,59.14675617782014,248.6457628935234,54.70611400684132,101.64610589161366,123.87306383046199,41.956518346482554,54.84278031035532,191.03436726862603,61.796014535442346,116.11518027643777,72.72708958158148,156.85296833881728,257.07347285108233,269.4628656307154,90.64074643215844,52.665223279165886,68.09660052461847,339.70133056847123,53.65716831701101,102.28368872292967,66.99240034569836,66.85942173849953,171.4655815033999,73.0349804277881,84.76759742211897,50.41789460873535,76.69593016654608,109.55363974131609,74.21480492294621,106.1266370627403,58.03011657504345,155.14186232142407,73.12443797183806,92.36247890470958,73.6806466898144,111.5009307385058,43.2455776508517,85.48021099433348,581.1385128375701,127.59550139079454,81.23787626914688,44.81054262826263,251.40943618165204,80.35540512861785,112.13984950209627,266.83953326834035,278.41153164436065,58.30056317108232,139.68995568922827,200.9575749090245,91.30457208409582,48.547021648040705,316.7846083677914,93.09474902971832,317.74619304632046,97.76804211866671,632.2741809670442,486.1937579800948,86.38350908840962,46.45379029817221,72.4611000610848,203.34506676426076,53.61834075861028,107.22943174376391,262.5021421913053,49.80693989937344,64.81437394664233,81.0753840985278,171.73166459350745
arc_pair_522221,73.94637328829307,38.96330333423117,379.3137325761044,50.28021246616089,30.649119002235963,83.85397080395319,47.537159924376084,45.81189665297623,227.6899247697383,237.28064794433337,167.56463359104407,81.05664437505698,297.8592710972942,51.05348298740422,79.94639709572311,37.66117083015928,37.34930440594809,277.01866868841404,288.64984845347857,403.75280442266944,195.58145894932787,76.979193540427,444.15922893282743,37.3590445939906,51.66406404576745,236.4893890333646,56.13500113607755,46.83947480743764,252.88508048094235,48.27469353702905,51.686040840946106,102.24178624189938,84.68873946407939,6.871144035665296e-11,46.54437885489272,37.468450105235505,60.84677751508721,82.9799739677375,49.2660581519903,81.60470528391383,39.035934872078556,67.2801954455123,71.31730240866072,60.700759622306464,32.9167194235211,153.09069007919726,93.6756247915824,50.531113801962476,132.6733558167869,47.15992344837861,46.718870797490595,77.03455725348101,42.16380857707489,32.04219484636306,66.01478347392643,33.65562317673577,64.68534498506963,79.18734531791635,90.42703120522127,17.805372457739253,260.06121806422834,38.90842477759219,51.09101156039657,415.19226670755586,91.06084706504102,43.54487547534761,38.184910306253904,152.9324329684123,279.361499413175,254.3594473341241,59.588252079938066,33.16797092652832,2233.8827698059476,45.004868930272394,207.23932290335125,46.088202299374096,105.40047254385053,34.341881019990154,77.4903054824264,51.348715971584966,68.47359947941834,75.11921038822226,81.54570879909326,87.86015852017835,55.182928161256896,290.9961459799674,25.75337920276509,107.24741501283492,162.49252001498036,34.954509732681004,37.770463272486715,215.95516733830502,61.04894703475981,111.62021417384054,56.78515646323511,175.49678344566405,301.1369015301899,299.7532246865002,91.2787510331678,70.08866924526785,48.65057622475339,398.0209235023303,57.27701980424265,89.5421954695353,46.585482478728736,66.53024141680208,169.86224652088742,56.04218088995307,91.44133989423631,24.1119842621296,42.03557133675773,93.89807829547081,64.21423575287972,124.91658996395209,48.96476922543964,181.44708772551274,55.468031736402445,96.29204979318327,84.01928689543053,136.63007415010048,27.224504643934686,47.93309679580197,656.5335625947553,140.69142891321428,53.982587309322604,47.2960017184105,286.9674977943526,63.989261252771406,126.58958322169134,294.616567515419,323.75265763097104,48.73179970669143,152.71114243840526,234.4571456500334,79.6286516287654,38.68796188373046,357.6630454807105,92.53482617393155,371.3004482202065,108.4220620919882,692.922586154004,540.6391926471202,66.80579861725062,36.98593108812575,80.80437167037424,224.59217167136916,36.62957235456958,106.16169120157124,309.08748551468915,45.565510066974994,43.50549203490246,58.351137938592885,178.80544822028898
arc_pair_624573,70.07178782864588,66.41099381303778,367.21350269004176,41.22115244189994,31.884787503736455,96.24288488032502,64.22664399014647,56.721085819279125,206.40382788183496,211.78465748914675,154.23656829277905,73.47100566741065,275.6733678087495,57.542612105772115,85.91064276857969,48.48068400703934,39.76958818669146,266.3263943363037,262.55355291956425,383.1331061463119,184.70556720490086,81.49161486985862,398.8459884834489,40.761287647464556,63.04876690512425,232.8580073248841,34.510435302717035,44.739338348308834,240.34390171294257,53.5702559099111,51.76453095424469,105.26879301489507,82.16362254857476,46.54437885489272,6.907666632138624e-11,50.61567623194978,77.53492090841723,104.1795415471031,55.75420602124567,77.22186421860853,53.52129324829542,50.86520362379234,83.299473949951,69.27046161469492,26.869182796434625,146.04815616664922,120.0604683051982,61.409435201249515,138.50446490672164,44.779357907635145,31.153379832761182,81.95101642100255,69.39748340835112,40.966076357162436,50.75618515110815,32.21069422376692,65.47211870803696,87.1098292227303,74.02914570070432,39.11858692585393,227.96158446526465,32.55108161859257,56.12246276283413,404.6836869412413,76.08716158528479,65.03386523000978,27.51319224781391,137.20015242558102,238.3057492007798,239.48404880544837,62.548711721635826,35.0289082546565,2169.9259408248777,53.193616818241864,216.24244906348764,67.09419745533053,114.79357885661372,53.45631962547953,51.956583805071155,64.75325889288288,68.0642720168801,78.4663901079947,85.99439884099178,86.30805589008746,64.50023935137708,269.67349596154344,37.890912169505555,112.52866462847076,145.56031664312002,39.762636369171226,42.17395264674883,187.6188220993253,45.50535267607252,124.20943687516994,60.37590185302453,157.88998670525183,264.07049899233186,250.37014854355436,83.53730195055554,69.89932743365938,50.0748171638018,361.2903843817969,71.2422442668199,86.02996562678703,33.46638074925737,48.67390750120649,141.44253690963868,42.017765838514535,81.21003546004857,44.54659808475488,49.77455131104907,103.06638384987929,40.80898174910035,111.46950035745128,37.689695248486004,147.7478004874936,38.226702633511984,66.8278397462089,97.58047129717447,118.4860910304073,36.57521929414236,79.54647377107594,621.4151642618165,140.1075461271534,60.01088135598858,43.48878317198111,276.2562811719599,73.33913123145322,107.76090614441893,292.99593131324883,291.9141956394451,47.86660631612,166.01476111229724,229.0948654784426,69.26405252899605,17.880637042047177,324.65688116070527,81.60913158970821,347.2454014847563,113.2137148215681,651.5640243671523,519.8794564066626,59.30469126158549,41.56457360485733,87.35919594011871,212.22819987717997,33.705276799750024,111.2478636877228,267.08220900533877,44.63966452653229,54.573266366766546,65.97355156130922,182.73646281440537
arc_pair_247784,96.23054011765609,73.8723476570023,341.528484024421,56.399472063958974,40.75922707104215,109.92566118635764,83.23900829057536,61.76048084019664,215.63533772350291,222.8466654808373,156.43611090038019,48.651436698691114,280.7809821186887,89.21804883972294,78.20809407296066,52.10461968100176,74.81552052350862,249.56271237767749,253.58979077282126,369.6356844829353,170.29705511200515,60.66934115098071,384.73387415239466,58.61004253511878,83.94702363349793,204.1370367350056,62.9516797216333,46.604200750672746,229.48375177044346,65.63515009009258,77.3743367084702,100.5318527806025,110.68778469037755,67.2801954455123,50.86520362379234,60.69385239020191,95.37953880727358,112.79850192510091,81.10651627379596,67.97726898906475,71.25752026855373,6.653903696856576e-11,89.65305792727438,87.66775657550563,53.25288163370307,148.10162616578694,111.37548495839349,67.33966282370812,130.70951708350356,52.54964853965794,49.937862347371926,81.93586881641119,100.00885359183056,63.84362615495169,83.41889038081035,66.43929280012361,62.58036380328517,95.8676881146699,72.80925846402246,58.9712570370516,202.7857107581695,53.02663706082079,57.54736960850339,389.73309098194187,96.14210384753183,78.79374281213832,66.82332684735566,158.78653221068834,242.51465487397013,230.25107624434958,68.72834708961733,55.85409506270176,2118.364660670531,80.6986399940583,210.40405077678554,82.41581526747565,97.95525388136801,67.93680614708008,51.5610667012982,59.156816157379865,85.8818310037301,95.83750334855023,78.20697953866087,76.52467964908853,62.81862135304213,266.50639652739653,66.90145322594267,125.79440539479948,121.94448807126787,54.284235835223754,66.87319098829012,170.64385788731153,57.1675715893319,140.80336954322829,73.0164508472336,150.7876018653343,253.31210148138655,256.92769831009394,102.57915482488806,68.89660938985878,73.25812137702941,334.4953708475455,80.67492917303967,101.27217387583956,57.91131659302722,71.06685732306568,161.28998420123517,60.353224277957196,85.21759330780125,68.24784431333939,70.82136541030522,107.56403821409137,60.211351420950734,109.10950436612094,43.77666416854658,158.31201918230857,55.031092332129944,81.53383266076472,99.20602837760424,99.64173110359334,52.62357539755701,113.58205685073816,597.5304238700745,133.91974613111444,77.97723826926622,73.5787140066433,267.7324216230421,81.03202290472838,120.18477990804168,290.7876239034575,275.50490704588987,73.03073143310233,157.5221940781338,219.55831279764254,90.26915623443531,35.03794954112515,322.7182493057187,81.90085266979881,337.66185280769764,115.78681632297284,644.9580027238428,508.2665447834479,95.02720141953904,49.33548630441765,97.19068064113011,215.50816778792108,62.84988362233037,89.92192409813651,250.33749229006753,62.274633175617026,69.44507854089821,81.74354443487397,157.1397384497982
arc_pair_270697,112.05410963866531,67.71142596480615,348.88996268298877,70.89479970182116,44.703850328615765,102.07151800411677,71.47837375830288,61.42383393983668,211.4422654638489,226.5683118711074,157.8439668014081,50.63168866513865,287.22225118747804,88.13455809249909,51.44939855576834,52.5847181411785,77.59329969064231,207.0884100219541,271.74192822744214,368.4143386701533,177.5429897135005,49.657938613839185,380.44102084994597,66.4266282593699,66.97687101491658,222.53537447443654,68.15163691566457,58.77232536269052,210.56107347007543,59.095500871111646,69.1386910755506,75.88486696908919,118.30175460929442,50.531113801962476,61.40943520124952,52.298337351206534,80.42156660046182,85.30486358056133,69.04334077323568,42.2878490598164,64.69246588735024,67.33966282370812,79.97930287835236,97.88133228574159,55.746759888321826,138.9106465795103,97.6280895448769,8.787335842473702e-11,130.01723146989735,78.53092399293942,78.71960624079162,74.55173218044021,76.95578189040698,47.375421193870764,94.67227301040293,72.85239490092479,43.012450602720705,93.67536496965378,87.79743778370167,48.39184779532321,218.54139100883305,49.469429150061615,53.028833925290016,379.04440606271646,94.729704964816,84.62412169610054,68.47827554023827,148.7475308406067,243.87315055255743,251.46351013736626,58.94257200446128,49.375487708505894,2149.7167864700336,62.00813413406694,206.44959024088263,69.91895637553613,103.88062528377979,41.79710146002499,71.12258640516085,42.680469476714535,80.99110095070367,96.9178121992542,57.64306707066129,44.93385389921306,65.81573796603467,272.95728670858193,64.87354490825514,120.93888060316907,140.37102349513827,62.15339501539862,72.33216346847034,152.92727822167893,66.89552168019372,130.70933516491021,74.76138317021619,155.46915431833713,254.44414151582316,269.7076781582741,96.63758726457257,50.80682238642632,80.91091006201553,333.66675502559895,60.234996026632594,109.40959793764318,67.79996365189825,74.4314860396959,192.63207534794955,63.74852750456587,90.08004114771204,60.43199402703388,74.86496224298364,96.1594699771916,90.33305020862369,123.16377764339128,54.056838468132284,159.61647193153118,81.82101773172946,103.76701519701263,61.592298658888275,91.88061283325217,53.87718991243419,88.32028294433081,588.8724434801097,146.80862604696046,76.7385275893484,59.57772350041296,267.18505995145483,65.92136133801986,138.61563697223352,285.9600854705897,281.8585268616611,76.40003820692655,134.33071558508954,199.43789238029765,91.17814134819446,52.1489648168359,337.35456238847144,56.15241919942898,341.43415014890525,116.08397352993086,646.0572322700893,513.0543868350992,97.9038831922162,54.404408237224224,71.5931995969272,222.41019884377397,68.51023390124729,65.48999402336776,268.42196814869294,63.861600858804465,62.72720450663874,37.28845244200896,116.37835806267967
arc_pair_516918,87.69697374837205,57.62172794791189,345.21627815259774,66.99615884632445,40.37929402907676,108.89926122386669,62.466566161464016,56.70562290452765,219.79368171326982,219.8997248053729,170.064521754311,94.63770155323147,281.50485578070715,65.95091961029938,97.93452660707976,65.19819976256582,52.508668020183585,292.98005919484837,272.32818238994935,377.8658580947386,193.01856243409563,107.64147400704537,420.23731899285184,58.90695996681218,83.13045913357385,213.56346896817902,58.91627444895167,57.80268806732245,265.13617266068,71.44028661071391,72.68011696913243,126.25837632996986,97.73622983968173,43.54487547534761,65.03386523000978,57.487915652460124,72.40821642256134,106.26519925201802,57.57469157800418,113.59521432755373,42.33145029934191,78.7937428121383,79.24092418192959,70.87685741671596,63.1804877770592,142.92874851401695,98.23030606628751,84.62412169610056,126.9505146345624,69.1349346240741,48.9751058719754,98.77195881912392,67.58207699951501,67.73266082273204,80.20890154419855,41.11104405955166,98.04647373660038,77.9225794487626,85.78336813854658,34.68471462163541,253.30126958506452,74.3979872856336,79.41983114634229,391.84722832368436,114.05052417234873,8.324668899014173e-11,54.63410780935727,147.09809987775338,268.65313576263816,246.0981648235107,73.93233883007612,51.62260242602247,2156.2212581527515,77.17999447066529,212.0729191864383,57.79761379820153,111.88398157256016,60.37380119862168,83.54374653141639,72.53485587109081,75.85375735793903,80.0704541881778,117.62356877870215,110.52206848560718,51.28496109171253,280.5008111942022,52.01257026842629,105.26668440339131,157.08396539745,57.672235037507605,55.58032417265741,212.5384242362756,79.78756123411162,123.12506511148749,79.12620822353975,170.9738811524319,292.09478207598113,281.83440003300694,107.93845888040524,91.63640283445568,51.47428487395053,401.4555037658536,68.96345284267757,101.1426269162238,63.073690806675764,88.43537038827621,157.408933092947,77.7131687142606,106.55006258908517,55.21268773470242,52.14611790238712,118.86957088748431,74.10997277943291,116.98516239740847,70.44713026794369,177.78856359416721,62.25744320541616,108.37736704199193,110.00168886742172,154.7950552176208,44.707429605568876,64.72870954595419,638.022447807282,133.38327576847396,85.12948359785707,74.69994293099091,278.227751974633,97.17962080525243,122.52511304038084,277.6011348652662,313.5311107221188,47.16202795980697,166.34903139067396,241.0810668145324,99.13157206855006,57.265880802202844,348.95977032135335,118.16060300971125,346.12534535061235,117.68806689156011,674.6529402302622,525.6469564277659,68.95398948171257,64.96964571361927,99.11764375317654,221.1857655837851,53.960802958058125,134.11272360145378,310.85422778553516,65.69600869382636,43.396180541075154,105.92902137658251,188.76643710480144
arc_pair_461800,279.949858618129,177.4283129001197,233.19998009159173,197.8725918062312,209.09894041248393,240.0308173657878,185.61982236809612,176.85706348436696,189.29785503198838,193.84604268578448,207.754756069925,206.67119124194284,209.13407503457663,246.9439588398544,193.7692056317534,223.60132659829128,247.8593319595269,212.9959549354888,215.9255604704953,220.22019755029874,172.42867010720474,183.0123806445645,267.0171593528648,235.13123780244064,170.06215677297772,199.95898277550316,199.8881091513266,224.41904549923993,230.71951406208672,192.68518495226186,244.24380650061812,197.68151436579774,254.42132073997558,207.23932290335122,216.2424490634876,182.56731828445436,203.89329784702898,156.0798014853101,182.8469194769632,199.80265211407502,190.1804519392057,210.40405077678554,172.02732370425704,212.71354986957277,213.90878927119292,152.28042246573932,165.83750302608712,206.44959024088263,141.90814889680345,229.05042084117778,224.6644430294982,147.27368987649587,189.37627448724078,219.18839143351232,252.22236334739205,237.4966081762132,216.7779486633125,138.94220886962086,147.17364069601783,206.22584728692752,180.40833958885884,221.9271119928659,197.03521262648917,312.0476922171643,146.22669382210663,212.07291918643827,251.67855420907375,200.34569161652158,212.8550494050577,206.9091119300416,147.07062455532926,218.58882432786626,1661.5479540283854,234.8478496225751,1.2463363873286458e-10,197.09856639701604,167.42787297866022,228.22287342151296,154.56474298968,196.31965640973164,170.32824905731377,218.76287500327993,197.0588114422539,188.3137361359428,223.20365173205136,205.00916758827316,230.21426715091954,169.70826602453508,153.25039323623577,188.05209021031533,227.36028706950407,213.21321743656037,210.89711564141152,212.33739213014383,202.65961277380237,176.25875530512295,209.8965742183197,275.3931540660236,164.21989536458014,156.4651105719015,213.77417637893694,234.50744595883512,156.53379153917712,226.8729385268706,230.74133456022923,236.73573598764975,244.52352528654183,219.16588458157074,168.18693503541354,191.94020907999146,244.21622476402854,210.93297072702214,222.52837941379704,159.09417583267356,196.88339732670903,172.78423963135145,221.70410398007783,184.7300805481224,163.37566569435012,186.9943157219367,218.60640949647953,235.1788837068683,388.63282831907543,175.1551542952903,236.9008875823293,206.48908063474153,203.37356285223456,233.97109920265018,183.3968924870075,236.9536615189209,211.69168475507644,199.7283998781997,131.06655358990616,174.9816890470932,236.23790841746364,210.33549602712924,238.07335403812118,200.5791184577322,207.45070895764292,156.19685919930535,455.591677436996,340.59079982986975,205.62482365525776,172.49835395912868,170.68092256789615,247.21603462960348,215.29402029051363,196.14328844777918,227.49566976563727,183.2177711244674,193.93048323861,227.37365776996936,225.3870709988181
arc_pair_242245,92.7339064968307,57.603411801179064,382.6553406757457,65.57511699837448,37.88425484531248,105.33023516328291,71.59292416688373,58.12446666439604,231.0287072969657,245.58659184513283,166.69542239927887,72.44665950856066,305.0444552371057,67.09446933805935,81.25486271148587,42.45898426180852,48.42873144585876,272.6500357554032,288.57347771815637,411.700727000321,199.42634431767343,85.6077003518584,435.3255910302765,47.505483483902,63.44755460806809,236.34302158812883,59.347712970370594,48.64318044745235,246.86899454572097,58.67635266381004,50.354130611102434,92.23716836310223,96.78659500523037,34.341881019990154,53.45631962547953,45.54934566070942,72.33742199033045,99.63305649075092,61.86792365709087,83.72731280682584,52.135642523422405,67.93680614708008,77.96293129432115,82.82437564021927,48.138786718005385,157.4114345404064,96.16102779283875,41.79710146002499,149.5183647817321,56.532934870843725,65.69900312522842,92.68198722672088,62.544336117842846,39.6058571045738,73.56806301383449,50.61843159348964,74.16228107435809,92.13996281309953,100.11369213248999,30.69496562937367,248.73084722540997,52.186340823971705,58.78481025314865,411.8328609181312,97.14959568962078,60.37380119862168,45.47838543655243,156.9522999955178,273.0633650085042,259.0737810999889,63.24467653728361,37.68630125150522,2232.319460776225,53.04329322294174,228.22287342151304,67.6743613041501,116.46909082947165,7.641333085442163e-11,71.41533854048876,47.25134597846378,76.00914457647004,80.97268441359245,77.06711236649984,77.18173383234226,57.69157889635812,294.3007946422344,44.20551246247228,121.43547995163455,161.51209861545138,53.84056550981361,50.167476601482775,204.3580523934204,66.52647301026731,131.7772154140863,68.23343713832278,174.5412501850185,296.68616288483406,287.1237736310176,105.36884489354887,68.06116472905674,55.04981117076078,394.5543209272568,69.62544148135439,110.12224310498245,66.4114581762442,65.49802002133157,184.62610598513933,62.382188598584044,91.03045352936134,43.318908526220675,49.37897165716965,101.71738055396062,81.29158810048526,136.26896837360002,52.42871876575659,181.14415945695987,69.12011319716116,111.9848185432993,90.56457931025936,128.92368578044176,36.20755253564451,71.49597588545289,650.58212789851,152.4479044255736,62.350056671918765,57.40300037586323,297.28145785861796,66.2542855659621,138.98529272499187,310.48347146332594,324.2681282886386,55.48661485845456,157.89695356820096,233.48594907198915,86.62526079666414,52.52223519996926,356.95691609225287,93.91376857127644,378.00508813657547,126.12208054774186,695.4008397815197,544.2205909882485,81.92635939318336,54.56799291645987,77.12984761238548,237.66767617427013,50.638100307804024,108.01979993523189,304.6028156630283,61.55812123355353,46.29680686002958,60.37379498908075,160.10580714795844
