,arc_pair_221519,arc_pair_161493,arc_pair_48468,arc_pair_684529,arc_pair_206257,arc_pair_249616,arc_pair_337111,arc_pair_290847,arc_pair_726656,arc_pair_447717,arc_pair_218228,arc_pair_307657,arc_pair_48188,arc_pair_147702,arc_pair_169201,arc_pair_694660,arc_pair_25587,arc_pair_542791,arc_pair_682126,arc_pair_402982,arc_pair_578116,arc_pair_307953,arc_pair_313438,arc_pair_203062,arc_pair_197122,arc_pair_27742,arc_pair_255622,arc_pair_139628,arc_pair_58054,arc_pair_557730,arc_pair_610128,arc_pair_283483,arc_pair_370771,arc_pair_522221,arc_pair_624573,arc_pair_144158,arc_pair_257950,arc_pair_115275,arc_pair_593564,arc_pair_708260,arc_pair_496804,arc_pair_247784,arc_pair_230744,arc_pair_364083,arc_pair_511862,arc_pair_649551,arc_pair_489657,arc_pair_270697,arc_pair_446116,arc_pair_148500,arc_pair_90669,arc_pair_656372,arc_pair_664080,arc_pair_257072,arc_pair_261455,arc_pair_547258,arc_pair_67750,arc_pair_720681,arc_pair_347280,arc_pair_588558,arc_pair_594469,arc_pair_649403,arc_pair_599471,arc_pair_718797,arc_pair_695283,arc_pair_516918,arc_pair_724174,arc_pair_260376,arc_pair_551617,arc_pair_358495,arc_pair_450035,arc_pair_64470,arc_pair_665109,arc_pair_726873,arc_pair_461800,arc_pair_156269,arc_pair_269928,arc_pair_242245,arc_pair_384979,arc_pair_51712,arc_pair_595373,arc_pair_295568,arc_pair_142660,arc_pair_495861,arc_pair_167650,arc_pair_82729,arc_pair_169398,arc_pair_435729,arc_pair_653762,arc_pair_644674,arc_pair_365022,arc_pair_716732,arc_pair_692544,arc_pair_134659,arc_pair_639703,arc_pair_632661,arc_pair_566053,arc_pair_129381,arc_pair_271027,arc_pair_493828,arc_pair_336359,arc_pair_621082,arc_pair_731860,arc_pair_323321,arc_pair_462000,arc_pair_43532,arc_pair_131562,arc_pair_119264,arc_pair_625567,arc_pair_16513,arc_pair_101269,arc_pair_176092,arc_pair_523521,arc_pair_551110,arc_pair_521750,arc_pair_166773,arc_pair_532740,arc_pair_700005,arc_pair_474346,arc_pair_460240,arc_pair_594335,arc_pair_24655,arc_pair_278581,arc_pair_75573,arc_pair_641885,arc_pair_292663,arc_pair_39421,arc_pair_703887,arc_pair_22407,arc_pair_717256,arc_pair_89302,arc_pair_714315,arc_pair_464015,arc_pair_674772,arc_pair_280409,arc_pair_388971,arc_pair_674359,arc_pair_172674,arc_pair_217721,arc_pair_649523,arc_pair_492710,arc_pair_297765,arc_pair_208250,arc_pair_713999,arc_pair_564013,arc_pair_672184,arc_pair_649903,arc_pair_729575,arc_pair_642267,arc_pair_149569,arc_pair_281486,arc_pair_27275,arc_pair_723396
arc_pair_249616,14.958283893587618,13.722882587795617,50.39555998293387,12.476673323854113,12.259531931408677,2.4272992649507968e-12,13.552152953141238,13.607066937007858,32.169787105407835,32.70563459682494,27.150362665635313,17.677583859471703,40.526035462746094,13.725492319920281,18.850972057364274,13.145784156934468,10.65156401279923,40.03331643576414,38.53849336157711,51.71436942940302,28.130655692683824,17.169984770788176,56.23620259627589,13.631408041734707,15.437834128934059,34.997463917509734,14.600764469803456,12.999995567396908,37.0284072058619,13.45590962285701,12.016160303441765,21.365542568387554,17.339982529069673,11.957745151978003,12.037031795231119,13.031156387101667,14.429132123285726,18.48266433482945,14.590151697158204,17.22543327301189,14.092462128913692,14.436008491852565,16.453961430844828,15.383056105281064,11.253516457422474,25.809379082273004,21.309334386296825,15.150786316422506,22.587595364874367,12.61806579697841,11.84144427156383,16.921614705194727,15.104673656190256,12.337893423739192,14.095424974794751,12.006079269805813,15.845383466103188,18.24039962405387,18.079532508337856,12.179070750793167,34.911963290128526,11.913193622076978,13.816132999169298,52.51788199582711,17.95755022525828,14.367472540267773,10.596804485587299,24.458106711718855,37.16287626819872,34.80967848462484,14.808889117558532,11.7260137727835,240.1375224360596,12.780105787862272,30.848738846982723,13.270104123062115,21.005543233128336,14.423099944826715,15.056163727229958,16.24922942031035,14.53575874938958,16.777674056608223,18.169034963475788,20.628126262147013,15.275519800778225,37.18774637072647,10.684233866361858,19.97710567203368,24.948658017896214,11.231987055972523,11.505465192676018,33.60114681941685,13.456830188948562,21.13392811225292,15.573532598654028,27.08954248694451,39.80894015202922,36.52941855020171,19.470601386600194,16.271008288272398,15.081753730001486,49.453230041795216,15.737935300753017,15.975576862183585,13.133231461442556,15.742914758130802,23.8459846669531,13.354311152359251,19.371337460623238,11.294270346307936,11.1826731118849,19.18682766328557,13.478662075182978,22.461260699823868,13.775254500581323,27.506481203007684,11.89247664841518,17.7466731762389,19.8414142036074,24.007126994912547,12.229804400136969,15.619545797698546,76.76158047219113,23.113306169526165,14.675168793846229,13.545251349924028,39.07715031976937,15.431599057277742,21.44776948541027,40.79787471208361,42.495468787694136,14.237684148905492,26.28877686352809,33.36889248362493,16.058979940906937,11.140890111726167,46.61978468519888,18.700302895148614,48.53845022897824,18.28473425200751,79.46731591564232,63.255985800031695,12.962978807768817,12.874740683310016,18.76309468468304,33.14682604485888,11.625742955970372,21.47492548257705,39.12111937555931,13.056757965678301,14.583366163687776,15.893291858353253,30.853649838172565
arc_pair_726656,33.60944807843226,25.316197144338652,39.558370958128265,27.111398624844306,28.311422646251682,32.169787105407835,26.276255945375485,25.41676935796478,6.32640717028737e-12,31.864808517856723,31.312802453599655,30.158570333026077,38.69308393395326,30.70828820479858,30.911495883960967,29.5439113843143,29.045734623666327,38.728058627819436,31.430128087244945,36.81591920206067,28.004434360317852,27.820578961676105,39.83625878724609,29.912719314101025,28.118000657283368,30.334618739668734,26.88478861341457,28.964888648215812,33.21306117209444,26.38039515192512,29.967231568880884,30.81877080106444,33.59869664031537,28.345123098283775,27.545392153540707,26.64794767716591,25.474824619969272,24.878997139596102,25.54904574544366,30.468360129153126,28.719668925050776,28.615294525150986,27.11570551083299,28.29264215220998,26.664869465077054,27.972342269048198,28.46754803811456,30.029525454512164,24.715286753249174,29.757488754794846,27.82589531164698,22.760132287480847,26.74570160033008,29.52285165388132,30.29830028435629,30.529209894532897,30.226666433001945,25.64313500768798,24.629625698026217,27.408665721454323,28.851117911773336,29.456014943724302,26.503763579494407,47.38792677715196,22.501607261134357,29.710140657165116,29.353773153049733,30.78305914094861,28.786048685510888,35.09553640332186,22.031346250743127,28.398224992817898,203.74810814566055,30.93626880741631,32.33802473080739,27.022265232635025,28.40173118439648,30.282332731354042,23.548802673493363,29.722639322722955,25.05585316828176,30.589022701476168,28.709197934002944,29.602062066816238,30.954158824069467,31.17153931428959,28.858796367590344,24.058733377248956,24.19214909441852,27.35157566829354,28.27825560476969,35.02201409442032,28.273213334285487,33.08391862379603,28.259263546982055,27.979558849740727,29.541873191903882,33.371269922853315,26.211539183409133,25.48556856357382,29.249950726136532,34.46001750255887,24.285074069416872,29.866222344196,29.209354211280164,30.29566050112459,31.586554898500538,29.94239545562654,26.322313119455686,26.16430146915638,29.350276659343745,32.30839045877538,29.43845231878753,23.51038849391401,27.769090111285074,24.987202241649264,27.18779194990165,27.100047300978503,28.028680941991453,29.182943379913517,28.53422369397384,31.570917332172826,56.567827824205736,31.654337538004413,30.496936804798054,27.070288846349623,30.798007907315377,29.80914512800977,27.42109362819023,36.58619799495028,33.36922420670194,27.921616614309322,24.764066306344624,24.663447183232307,30.079397174136698,26.88220396053925,41.602281303709404,28.882764329947197,33.59955954302555,25.066845681488232,60.80717407747226,52.549815307991096,26.072240042763003,24.6395423424379,26.561831697000684,34.58445558470999,27.776358938217488,31.262164374835642,33.68635277051634,27.34617369999408,29.441289221945855,31.22763625890363,38.12583481828136
arc_pair_447717,32.70067107623906,26.270458435558087,38.75510118150143,27.19263754882185,25.924177854758454,32.70563459682495,26.979242343139955,24.919202643474353,31.86480851785672,5.5998211481745284e-12,32.24796932117159,29.153796452731953,37.19235558600391,30.376248577767388,29.210421976821348,29.159969734954274,28.253799361425138,37.39695477977763,30.553331907155965,37.024848991482216,24.649135964231228,26.937337002925396,37.53033608752598,29.286884993445824,26.869187104107606,29.364059697502356,25.635789021129256,27.21315163898997,35.22836233782425,26.518819453990446,30.338450349123296,29.694278367063703,32.18173703378338,27.88791414112449,25.664681179477945,26.08888628311311,28.523121753789162,25.664139153016833,23.664964159219934,29.685874380006876,26.746033544324312,27.1556296369393,25.11828417368377,28.621896551898253,26.878763273971387,24.670255368782893,26.537117863991888,28.886210552577694,23.80828120594797,28.06044529584821,26.537364750771705,22.422351293314325,27.34083019827375,28.72270228980144,29.44282354942665,28.56998062749841,29.137811865028674,22.720620263238327,20.91687095190229,26.329107602293043,29.656419269707442,28.760052211310615,26.837613848536865,42.883327463763734,24.910345747540802,28.1607702809296,29.014343645859476,28.41258460192791,28.324048467272554,33.01190218253549,23.62436372498047,27.498272354908178,205.0501339914291,30.635603137887706,32.38326802433474,27.51161471984536,25.617976515950165,29.677664594013052,21.799178199719268,29.13608181257596,24.31090614734393,29.42342779295123,29.142567000772253,28.516356675564673,29.093748679636814,31.019057436310806,28.470945136487778,24.91009351288853,25.99196579274335,26.395640900951435,28.213599269919328,33.038677943659664,27.620941246496578,30.054641723695553,30.944648443598805,27.261456013245827,33.22053208506625,36.371949420301746,25.40887713628608,25.07367830878018,26.5926158965609,35.61037767595918,23.963670594917822,28.89309133001165,27.291500338807758,29.23760543553049,28.98733861522055,28.21935485863481,26.102038891475914,26.27133793565703,27.46198810409958,30.839765062121824,26.994208422915538,22.818470012004376,26.592779002756018,25.52117934441842,24.8895182067396,27.269689948172644,27.780091036691346,30.39679288297986,27.86077993154754,31.72123548315242,56.80574152107108,29.902362565313126,29.059563420772598,27.66474810749291,32.9483667912283,29.904418085721122,26.769938610901953,34.95229743360391,32.51478225247538,27.173787044126765,26.741660773764636,26.81117624136314,30.067319566216916,26.11198092873583,41.35393607890881,27.646454911876447,35.51876926339257,24.99055862794116,65.85592532076814,53.20560740300186,26.305259050893003,25.582590230128506,26.557199673246153,34.42772836016663,26.849200554668183,30.410822869355968,34.84393614015085,26.762397023686894,25.495241183399532,31.53851002272044,34.10791525552965
arc_pair_218228,24.58699732059638,21.50569933442268,47.37335980581439,22.05344479470316,19.218391653251594,27.150362665635313,21.889098355858195,21.389444750274976,31.312802453599655,32.24796932117159,6.066739895661573e-12,24.017600558008155,38.09951462829319,20.645402470719596,23.186544117870724,22.060972076078258,21.27209208741618,31.94857659705049,34.410233359632976,47.548887317639945,31.060410488995977,21.821085211969347,45.21388400773094,22.553257441084643,21.378365662429488,30.073020398543335,20.43748803045751,20.780288003257308,34.05980790515274,23.207074200964293,24.528581217678212,21.65757393201705,23.931641158498167,21.639031667486673,21.268039534784947,21.96975186491988,22.518965234743785,20.94906150424725,21.473807352473724,23.024935075217115,23.28466971309598,21.940701651794946,25.103131436025308,23.54631745620025,21.081727822284684,27.130503838110407,23.647799803869955,22.22547300970288,24.705255535215386,21.862472781473258,19.56420523713624,19.156612704867186,22.67000515944576,21.724904005405126,22.781857586489323,21.88439077135698,23.096318566588295,22.546485045536375,22.980841571528373,21.01159953637471,34.84579585861896,21.767545253337868,18.98496721782878,49.21397254570158,20.17300427725787,23.20852463219059,22.370776747878075,28.986911517075026,32.71031512358029,33.10988869720768,18.141845782997184,20.72906471666125,218.2752632479904,23.811379910478696,33.2373537744256,23.09883554681522,26.254118165873592,22.3542007353598,19.6045118993291,23.46088664082636,20.075382339589638,22.16586633135396,21.735292345112967,24.185328656602444,22.260177622208463,33.82238476214097,21.208792458510278,26.1837511755042,24.520497414505996,21.832563715853546,22.020069963176574,30.260096064482255,21.936006022798157,27.86739296952736,23.27348915591292,27.756653816561276,33.358052738327245,38.534075233410476,21.426184806224317,23.55711901449634,21.735385162572825,41.99129869132112,22.221640191014245,25.918982104831088,21.43599959254199,23.55993917098036,26.90121019883106,22.05611214402891,20.693070121738195,19.41596041007393,20.79835529080042,24.840249589408106,22.995634375137033,24.283270149270656,21.38073173322675,25.283226111310036,20.20573910659861,21.87682716120394,22.30644890113829,26.46712465797396,21.170869831358317,24.659665760751693,67.33626706825143,28.336912236787562,23.741990110276102,22.17737772965594,32.95931956383353,23.526157648290756,22.951553677862098,39.49352925223735,37.630826037550705,23.71485766706241,23.84671817594134,28.938379504546532,23.764422773820534,20.16056688868384,43.23487066484391,22.55461481035507,40.91092910670538,24.856840862749593,74.86679566078678,63.005911154899344,19.973467925934216,18.728032843768624,22.849563697168065,33.631669679754985,21.123189243219297,23.571548008150643,38.215940007363784,22.687272229785037,21.559689353177312,24.184869300607335,31.775898048287996
arc_pair_313438,56.35510106211734,49.313332703414126,43.37557460315276,50.5187103023395,48.801303421329344,56.23620259627589,48.74824279470002,46.16141711084205,39.83625878724609,37.53033608752598,45.21388400773094,48.56592178955416,45.221584220601926,53.760585450639866,49.287299636329294,53.3445835624199,53.347556088200534,37.90278324825887,36.51161378198343,34.14496781505672,41.71140296288588,45.96437989899397,9.91215386457627e-12,53.80814949978814,48.224987431613776,38.994630392620486,45.955020277005005,49.17029908797298,43.460276415484,50.53787973059669,55.80680653964377,46.91225121390564,56.81834597932782,52.44669310805847,48.40211496758208,49.212357920221635,48.54299744159904,44.435459636744994,45.95395461855526,48.74496341847585,50.47953549256279,50.044057903631064,48.80452269550752,52.21349237600802,49.07129979462012,38.72027832363526,47.810094513115956,48.25678657354378,40.244794870959346,52.53032147135569,50.033706418071915,36.55816768434369,48.34350550404729,51.697647659897726,53.52439211059048,52.59745660134003,50.09757203017012,41.1638734000617,43.57807088304098,49.4532246021289,35.20742116327517,51.558458911785415,44.44933575292855,54.90159318920029,40.245284551345804,50.95176106189989,53.76205449604845,46.800602298591585,30.755573222215567,44.70782506267156,38.91325870766169,49.629757851336905,171.97026471773785,53.32524358195214,44.58948418184681,49.91098238694275,46.795842099632516,52.91794529953992,41.10688925329292,49.2545584656848,43.25372069071712,49.7411627289889,47.37447389434597,44.940520053418034,52.75047486538878,39.55019247288517,53.26877661807939,42.79336832678213,39.410220525542215,50.22589823261862,53.304570336763256,45.93921512193541,50.79508956642112,53.83548793451658,51.5549256068003,42.00906378843483,32.19404821169729,46.31211188530104,43.37450927366572,46.44333169915466,50.08307560234999,33.03416285973434,41.83178416514998,50.20237685024225,50.09950524167604,52.07751109488791,45.6138948965487,51.822150044668575,43.11043360197325,48.377357821447696,49.13805636861921,49.937686159618096,51.566051143910165,38.164480827256035,49.459531649883814,28.340683611756447,45.38344135608753,43.95882422612166,45.83025727000696,46.9361399938263,52.92508443143608,54.984093211003305,44.22524017869643,47.80674309530413,52.09451749508929,50.44706360610355,37.6031641638275,50.06386930079562,43.82341747668118,47.090336115029075,32.81730228795345,49.857447679238994,33.428271858573495,33.510862046816314,53.04010306969035,50.40718588201337,47.22288196324267,46.588373832246965,37.182342451375064,43.62835373817983,59.72915353771429,53.92290476979946,44.53503055866136,46.484072053158236,47.11357646127797,49.09142830351978,51.335889927526324,48.085833831691325,37.07772987691799,49.620091008808714,48.929313895285816,51.54973214750122,48.42318678592597
arc_pair_283483,20.349847535262544,12.434817882502713,44.592236718311185,15.23779882847571,11.172468690246404,21.365542568387554,16.97346915821361,13.448158197213004,30.818770801064435,29.694278367063703,21.65757393201705,12.148507346364818,37.433991537393055,18.55577312869753,10.920584936305907,12.980487798701859,15.713268319533611,27.56635419553468,32.07622130428881,45.06413570369304,25.02609518377749,10.48788703673861,46.912251213905634,15.514203853923682,14.489493524794923,27.730074084458693,14.011464620148658,12.593874773316472,29.673903227451216,13.118626722667313,17.710248461551725,4.735558282099431e-12,22.364944799910447,13.179283574659696,13.642425967124836,11.519582005743523,16.928225500537273,16.101078221736973,13.442185169404244,10.329403339668024,14.63913276029831,12.931643632222638,15.115460846649583,17.636141989272286,14.801997706659863,21.177975446168183,13.335844309750641,9.439914615510219,18.38731508999738,15.89573633862821,15.302493990920317,11.89351845833838,16.719189500923765,15.188983298663958,17.09197545503431,15.530809143449805,11.834047121772137,15.15315494608709,14.47606864932744,13.915910426713472,28.719495135474503,12.976679251700778,12.99217962918377,48.70825738154454,14.684004891058983,16.222888122299985,15.18158128867318,25.072033614729676,31.072186810157444,28.14700716052458,11.752123788017197,13.871174622897561,232.68845507401403,16.501702650860267,28.442385392239103,17.901952502902258,18.388063853166585,11.646480285919374,12.07047149191164,10.756793958833667,15.087684249164926,20.26007683703194,9.89630713764901,10.6636632803928,14.566391088963666,31.341699363561073,14.957987161710207,19.386574191687142,20.162949019692768,15.52120055490968,15.810109051784336,12.58560409082628,15.45029306422319,23.316103703112113,17.10992542353419,19.692674536920592,30.110996696892734,35.15114349691652,15.99573902410539,13.241923582117202,11.965334411876572,37.94842335743858,13.028819278824567,20.777786171831302,15.824963815291412,16.290349453560026,26.94705517467186,13.569560923161614,11.181744230237577,12.81268244129322,15.50179459225007,19.48588438140866,16.362543722505407,16.565826266826072,11.458018019195501,20.071523542586988,16.285023507145578,17.240580147765574,7.260655846235384,13.123833432639831,13.577965346322713,18.197434646441664,66.5740699199389,23.095655971338175,14.764372061581607,13.93225933840063,32.81507061618834,15.625430980896416,21.022132042966735,36.7757723620097,35.81431806736653,16.126576241431735,16.944968001475857,24.24458822138716,17.751819567772102,12.556394333779348,38.61122091504948,12.848788811279709,40.022900135885926,18.119514177237086,76.96494172660987,60.04634426185089,17.628808779602963,12.572382888397447,14.002150702591873,30.756958670036276,16.27165399651899,10.570839477352902,33.14760976020106,16.194647785262415,12.09259369384641,13.531422896653869,17.11215522961979
arc_pair_230744,16.068661961218595,9.832901239714289,39.67203666347072,10.261567642847094,9.367408720692385,16.453961430844828,12.03977889436645,11.330501821010142,27.115705510832992,25.11828417368377,25.103131436025308,13.072672831649601,34.35264038243592,12.595298118589982,12.358994334963242,9.677728382704021,10.366078760742088,31.6827864003247,30.24292730106392,43.20388232868013,21.27372228525344,13.298822085934502,48.80452269550753,11.081623446056565,11.487743804368671,27.038330024376613,11.407557762821629,10.224054000492735,29.486766030320133,9.056116241896783,12.107884743037754,15.115460846649583,14.52412189120945,9.065825430335497,10.69387574962734,7.053704845867131,12.923156761399172,10.685369939528101,11.426358921712124,13.311436624594144,9.359889673224167,11.392108585512434,3.753414789984917e-12,11.219121714067178,9.560517699220927,19.516286337521628,9.855609999779286,10.730361909458013,16.2400216790844,11.154223586328822,10.941825236062272,11.943140552113945,10.821263350105887,11.009911615554325,13.700455837999971,11.369905669182977,13.88400299315641,11.550888963192698,9.131489824412558,9.015806272692256,27.82254400416965,10.691491131510121,12.076866014170147,45.086226275872725,12.946224465157039,11.220489268283444,10.244134862245838,20.426256128544267,30.8738761402209,31.4906212972901,8.666021119166238,10.741039224378344,232.56607876059118,12.333493088734084,23.544581264246595,10.947237698995954,13.42556722692605,9.7829083351989,11.328833928812948,10.074534617622643,10.565634604285876,14.618517611824918,13.292668667717539,13.821552889841087,11.311747677157516,31.208831418074332,9.262054394782126,13.476914285976989,18.109326043175855,8.66719338913843,11.009204712377581,25.459817035192053,11.45141763877783,17.637272355328797,13.301332471368152,18.040611965882537,32.902294853470856,34.87759957996879,15.492458913758899,9.331091498127979,9.904771502022252,43.94078700199742,8.828589060190657,13.713580145303947,11.572387872662425,13.91071494831603,23.02192607292991,11.540069865483524,12.72827430629318,9.431474537954852,11.493706938403138,15.84538663925019,13.015194343706263,16.39137690162481,8.885492120707317,22.334615491109133,12.322479694120661,15.141838745936347,11.47475661263749,15.689187030959129,9.818259811216901,14.372193806986868,66.42556663561342,18.570533184819066,12.254251752278583,10.913711103542273,30.223435233923258,12.512788415840934,18.023331739224798,30.171465959096235,33.915307290573324,10.127332564550393,16.39769698448729,22.28485049963475,14.111016874850286,9.516490911188985,40.02593860075267,15.135749802383602,38.26154884138762,14.534201988440667,75.52764730889915,56.89647442510915,12.10170080115496,9.828735368208523,10.73197858440176,27.05543410212449,8.800442019945784,16.495673516854865,33.69987821459946,8.820477723400165,10.048422089046598,15.274228689281596,19.280842415882866
arc_pair_489657,21.595852782635998,11.521309856115584,37.99003864731365,14.633209141284091,11.490391880507167,21.309334386296825,14.901256789871228,12.766836487151414,28.467548038114565,26.537117863991888,23.647799803869958,14.948358869742663,35.94127041543088,16.13299395208955,11.829253432308608,13.416109137989341,15.241996583440105,30.21621226747222,30.041171459026067,40.18516861417635,23.138934946108908,14.113849594915939,47.810094513115956,14.762374933859913,13.974428367471312,24.092632629694208,13.929236008812603,13.583098535495308,29.24450799930237,11.67026788591675,16.888497328579405,13.335844309750641,20.607393662296698,11.424398592157928,15.57489037333498,8.703058845445169,14.805291152539914,11.156123062605992,13.19335409888074,14.983732306289673,10.73750397879246,14.291200509252006,9.855609999779286,15.484067444726724,15.195385841823807,18.639700366133845,4.938848821985376e-12,12.620816232414233,15.032678033431136,16.488752379308423,14.679994721964672,13.448851457296154,12.825402197566316,15.430174625732828,18.208281916913016,14.86370439689972,14.970697225978839,12.516892749350385,12.76337362185939,11.79090590526095,25.923234105319686,14.623946572166604,15.053319312364073,43.94226232700126,13.482776775805936,12.923896636177998,16.202429002422253,23.94695884949546,29.578139806223792,32.00578530754116,11.028986439496101,14.473118713861677,229.2466612318736,17.268125314336192,24.31291607338921,14.063127569516709,14.117454808251786,11.86811212576905,11.999055522571535,12.678780255620872,12.771561926332922,19.61735639936441,14.182733308501076,13.65556148772433,13.14542400420359,29.256584936609556,14.163876714788799,14.847056509261556,16.21389151612837,13.164764989870262,15.449277923307843,21.007436864967424,14.65758731324322,21.093350531699326,17.489859221351356,17.97714386456319,29.365614964797047,36.228523281137726,15.294121139058763,11.30980606618076,11.831674713396588,40.48544231409776,10.403869938364085,17.473267795402037,16.23863325646848,18.30442063815991,25.516732712843304,15.825921961769298,11.967831522108,12.660892675450107,16.450074081780038,18.804605463016877,16.29613396967588,16.35019937875561,11.708589081616633,22.084378356202926,16.82817207901066,21.054183364213706,10.192193168619813,16.753042315999082,12.70015219807862,16.39945811726091,64.27193557638981,18.902850203038934,15.059105112905755,12.081465664548826,29.76586063069401,17.057597418438995,19.83728948453466,31.1414245457108,33.26500988363037,13.307292581716855,15.617614102882403,21.245055323787895,17.496167860663753,13.53089829482952,39.98172876476772,16.17436098846625,35.19011249510025,17.2864715934918,72.88421606516692,54.68169386016311,15.859242582879588,12.036213068114375,9.967389544411828,28.721647854423654,14.978642014781167,15.558678768303961,34.00349584384719,13.315243737966098,11.438388600015658,18.3453252488885,15.317291022753576
arc_pair_720681,16.282459383269305,11.170504688099541,35.48547701005796,12.493646020338293,10.64071779888167,18.24039962405387,12.773345453449274,10.39831408574587,25.643135007687984,22.720620263238324,22.54648504553638,14.117249759603352,30.700091665661223,12.83734619027434,15.323349003878073,12.295473037348529,12.979869978626443,29.212943919643614,27.916283750662586,38.25280627556984,19.53544417039199,14.205355419905372,41.1638734000617,11.96236631717515,12.234995404697852,26.662141024954867,12.28938889681224,12.79141738426712,29.05532369615478,12.199053179093342,14.612272015959025,15.15315494608709,16.298817686118447,10.385212133942035,11.448646745321906,9.50013170709471,13.27647753263093,11.413769394653661,11.51785858968935,14.372471073369903,9.888254258291044,13.254358686794859,11.550888963192698,13.580292494156087,11.149892783569609,17.160397636340104,12.516892749350385,12.989492958144988,15.076280688456025,12.561835622535815,12.268515669770746,11.659596458471214,10.208865247960105,11.963770610085025,14.956411962175746,10.855114466562327,14.013909020469917,4.846504813728684e-12,11.321244331818214,10.397410005190007,23.139845468547026,11.996925615606731,13.367854812312384,42.12424151100017,13.060963708733649,10.903915117262859,12.909374578363941,20.170601083060102,26.9260942245808,28.557677151152745,9.57648717979752,10.307590919576143,222.37821465137165,12.17512967371719,22.50361339257041,12.000472141197445,16.037527673799964,11.886271825206137,10.367949433795005,11.899775461484666,10.507166330427406,14.778183118540785,15.60372454623009,14.05336479390401,13.19318909318823,29.724929187396544,11.697267071211439,12.173089129539953,17.211752388146067,9.635020745911294,12.303233790133405,22.66905756485022,13.306083845353372,18.220765516088978,14.646852977440002,19.010281474148954,29.17148538163552,33.0484423737152,14.706240541334344,12.506565098853926,10.839128866428904,38.27292801498514,10.271364022532428,14.901788644426311,12.822286639297317,15.086301944972082,22.38361671404338,13.261901882728825,13.565075231366233,10.093657226867911,12.470636897795444,14.80919411349091,13.090301641698249,15.012394418936402,10.952369413680046,18.67707020229794,12.348587352979033,13.590949859918275,13.027584323019099,17.629399685958163,11.438800186383638,14.127462651429319,62.4317798481501,18.397664938377204,12.8091047679747,12.354222408246608,28.1577795799746,14.33787735103493,18.25268810883548,32.43049813721314,29.871718896051703,11.390437054229846,15.288589225414318,23.13619942034766,16.479694587881905,11.451698699380012,36.60909230932222,15.294917056543301,30.103237730873712,14.201468824878425,68.1846110666091,51.86362849370873,11.9713006687568,10.363997597744572,12.432235833877566,27.263518029402505,11.635768884890258,16.294365075455005,30.320159358225723,11.581029203015959,11.344479593669444,14.908999957941514,19.621440410696792
arc_pair_595373,15.069778894553608,10.875633179791352,38.229433746016696,10.456771969974502,9.53531343629609,14.53575874938958,11.481270926585696,11.068473523025995,25.05585316828176,24.310906147343925,20.075382339589638,15.4789377620816,31.576428199761303,11.444905372983921,13.830364981921688,12.014518058433161,9.792067421168603,30.680319351141794,28.00094633166134,39.10630131917982,23.570817160637617,14.542913473687472,43.253720690717124,12.123193540346136,11.534116240106375,22.684965523277935,10.398577183936876,9.782109920243634,31.126169747610184,11.884884037589597,12.766854577429745,15.087684249164928,15.480664394594905,9.74812243437915,10.951664623618605,9.310159238798336,11.665031458366242,9.949636286041635,11.704760380408867,14.902939804273696,10.712529552332336,12.596559659596421,10.565634604285876,12.37819338604854,10.66844854078802,17.601502737137565,12.771561926332922,12.504070907095047,16.60171200038086,10.63492976941886,9.91477371282923,10.793019730585993,9.969968118070561,11.188201395489308,13.097291359555388,10.416706411813742,13.537127306776968,10.507166330427408,14.09410241923778,9.76872076165005,28.812958303898863,10.027097176649443,11.296115456259965,43.62397731063069,12.150261069117185,10.851567834683445,10.422120888006159,21.133240749712037,28.38596774659062,29.60933278626848,7.596182177247033,9.913453261739479,225.48276103667934,11.27189189565316,24.29101849107347,11.574187223226827,16.764607968858744,11.229335600691153,10.87999173417985,13.142944301796149,4.285855355674859e-12,14.290562518778362,11.76384024242793,15.448557687001001,11.444759736100774,29.884753124213617,9.720709581709722,14.384209201320544,16.777914702089042,9.974202063014921,10.1883543412698,25.631494717116247,11.961705808351477,17.697964473334938,13.749579766879982,20.503756727204006,31.79818562114021,32.53337422862835,14.036509458083199,12.957475272460268,9.542497609241536,38.5806148859377,10.660426015371716,14.75485691708814,11.922656172336103,14.378315158928466,20.353004152793908,12.916273078390317,12.201037914724653,7.998403004831838,9.147071641707218,13.71705433223193,12.514067209951676,14.694085016994418,11.502366883046609,20.637872572426808,10.603169779976431,15.064078787468429,12.19242187775494,18.414282653239965,11.02507472959996,13.09989198407009,65.79276059553895,16.929471179796998,12.683938882339554,11.415812318499695,27.61217206582347,13.534244363087556,16.539255312752942,32.13943675218353,33.99450719131504,10.947994739731529,15.290793319411886,21.499793743127086,14.253557767468081,10.234480814821865,39.84918976725217,14.975604440879245,35.220455528722155,13.255885004816822,72.04568709691158,53.80812096649893,8.815980407140842,9.563191714142565,13.157108193865355,26.888158911585787,9.858486098025718,15.116100698337295,31.92594926874214,11.250364868474046,10.269139649971882,15.039935788727469,21.44329732274984
