,cell547_K562_,cell434_HeLa_,cell583_GM12878_,cell7_HeLa_,cell35_HAP1_,cell529_GM12878_,cell593_K562_,cell393_HAP1_,cell278_HeLa_,cell614_K562_,cell493_HeLa_,cell328_HAP1_,cell155_HAP1_,cell503_K562_,cell561_K562_,cell206_HeLa_,cell556_K562_,cell608_K562_,cell361_HAP1_,cell275_HAP1_,cell456_HAP1_,cell577_GM12878_,cell378_HAP1_,cell587_K562_,cell74_HAP1_,cell261_HeLa_,cell256_HeLa_,cell539_GM12878_,cell575_K562_,cell517_GM12878_,cell132_HeLa_,cell580_GM12878_,cell596_K562_,cell30_HAP1_,cell504_GM12878_,cell124_HAP1_,cell288_HeLa_,cell524_GM12878_,cell183_HeLa_,cell372_HAP1_,cell611_GM12878_,cell572_K562_,cell363_HeLa_,cell606_GM12878_,cell501_K562_,cell563_K562_,cell569_GM12878_,cell459_HeLa_,cell380_HAP1_,cell548_K562_,cell55_HeLa_,cell599_K562_,cell227_HAP1_,cell388_HeLa_,cell553_GM12878_,cell315_HeLa_,cell566_K562_,cell557_GM12878_,cell585_K562_,cell394_HeLa_,cell32_HeLa_,cell518_K562_,cell50_HeLa_,cell67_HeLa_,cell143_HeLa_,cell130_HeLa_,cell594_K562_,cell248_HAP1_,cell601_GM12878_,cell540_K562_,cell84_HAP1_,cell515_K562_,cell527_GM12878_,cell605_GM12878_,cell236_HAP1_,cell415_HAP1_,cell578_GM12878_,cell579_K562_,cell610_K562_,cell497_HeLa_,cell552_K562_,cell213_HAP1_,cell508_GM12878_,cell185_HeLa_,cell604_GM12878_,cell343_HAP1_,cell521_K562_,cell600_GM12878_,cell617_GM12878_,cell115_HAP1_,cell568_K562_,cell379_HeLa_,cell413_HAP1_,cell70_HeLa_,cell329_HeLa_,cell392_HAP1_,cell603_GM12878_,cell25_HeLa_,cell34_HAP1_,cell279_HAP1_,cell542_GM12878_,cell274_HAP1_,cell28_HeLa_,cell535_K562_,cell546_GM12878_,cell424_HeLa_,cell180_HAP1_,cell551_GM12878_,cell313_HeLa_,cell505_K562_,cell562_GM12878_,cell532_K562_,cell567_K562_,cell550_K562_,cell598_K562_,cell120_HeLa_,cell571_GM12878_,cell142_HeLa_,cell131_HAP1_,cell258_HAP1_,cell22_HAP1_,cell319_HeLa_,cell581_GM12878_,cell441_HAP1_,cell398_HeLa_,cell516_GM12878_,cell341_HAP1_,cell414_HAP1_,cell541_K562_,cell514_K562_,cell10_HeLa_,cell134_HeLa_,cell528_GM12878_,cell595_GM12878_,cell573_K562_,cell502_GM12878_,cell544_K562_,cell193_HAP1_,cell619_GM12878_,cell80_HAP1_,cell373_HAP1_,cell426_HAP1_,cell537_K562_,cell500_K562_,cell284_HeLa_,cell112_HeLa_,cell381_HAP1_
cell547_K562_,0.0,172.16114268229313,274.6354066743155,182.06248581519134,145.86701750126127,146.79542525683152,219.4420616307794,348.4645245011719,224.87041437675694,201.5627643076426,195.96736868227913,162.3994443906248,207.2630722898934,241.51395438530776,138.18501255968317,192.93379728507563,172.14997217388947,188.15475734871382,188.73884475506622,238.56964993878816,215.67766479626295,272.91270916537235,183.54589483060732,212.72116561746236,233.077692745406,237.41917105549405,228.74878155165544,171.49844598286472,214.67794651008802,199.03859280806034,180.73807984866704,269.87708148023705,163.66986402032654,228.1304663621874,249.3090429887402,190.82945458715662,187.29456747555963,231.41610498536545,184.89877444193925,240.2279252712898,221.83665729519328,172.57611232845983,195.46511249950316,210.42875632717295,178.9843257150681,223.85329078975323,223.35893103911383,157.6158855067422,273.95788015467656,188.35484754635831,207.4293941836539,187.80692819366422,197.09070831979665,172.86541579387676,184.27726184453834,186.7610547482108,192.06008829837273,192.7660515940827,212.89509639438202,270.5344478219944,260.034362990833,151.19268429852062,197.49125709910018,283.61262054005067,166.65847832718842,221.10255248000897,239.57171692056477,180.85552948483164,261.081465484911,203.68232174471868,261.46837994064134,208.9359136168805,186.2601563302533,141.80911892518054,248.62855742245165,242.06727290544197,212.18887042142427,152.60768984810343,167.72852219793998,259.19844356765486,186.71039870127402,270.24480151987973,250.38602970767886,235.47213620798203,238.52711739453454,266.2837265050749,142.1173030254946,223.6608812390229,201.49245210251144,234.81388346073527,147.4771807390069,271.82793436039185,228.1992763782624,211.52692885641312,190.55820938035413,216.53630174606752,244.61906044052816,236.13048897923363,184.52190946008912,184.97333116800382,178.2517376459412,202.7132011197594,233.76208531332594,209.6501489398816,221.92239597367535,196.73466184692944,308.44242697509776,169.52486011102332,192.597557192223,211.23733223489023,188.57644256185154,222.4693970425501,187.55754389077651,244.6013987944147,190.58917752563565,226.71275899954296,210.0891933812705,207.7002553027229,203.75249806620798,274.2314331545996,206.3016033521771,199.15427932914235,223.97590514737817,198.37057366306152,215.35601878826333,185.96941522652034,289.49878472141194,173.4020840497467,207.336725662182,180.90233057049198,243.50621864831223,215.60564971587928,145.7698208263821,179.92738512642012,188.126155811891,255.04780521215608,191.33775211495492,233.18266908585207,274.71259338891684,348.873404151248,164.43733748646798,170.33037921869675,164.4591063475901,183.66995777844386,242.66769686850682,178.85858000122516,236.50153644259422
cell434_HeLa_,172.16114268229313,0.0,363.05257671314513,166.35588675742426,199.38187779527465,236.6396979811026,289.7617134305622,327.3147887050072,245.59614419414288,251.01639030628544,253.74855224681414,217.17649873368333,237.0671644263131,277.5170176914801,177.56188918489948,210.659359509468,205.95716687497577,239.85188822697097,182.84555190375633,283.5381715256126,310.56382514779864,283.69405905964277,243.42226837208807,242.52270334235448,268.9637248657676,182.95534988953705,225.29387851188423,259.1145604477314,206.9969918306398,241.08652748000134,163.08363883707588,390.40744336001154,206.6846772595191,235.99560337630592,241.76313750902264,242.75292716435166,223.47062473904168,302.76873849704907,175.99774118713162,303.7161897092607,283.46070996959327,213.26341330984621,249.2344642700179,267.8072851236242,187.68710420733444,242.44340560294998,292.90209712618014,179.7253963175852,241.04476032562766,209.1606194750675,136.83239950186316,229.3558516325969,284.79206898798196,183.6850558023912,257.08957087867714,193.48234826890726,215.52294832672888,250.40926018650381,245.77638810495654,237.78327809041406,226.25676425269626,185.61871617727843,125.15863855385525,237.82272764875063,193.99082199754025,205.6749679401704,227.77531437753015,188.74645793973085,326.17239084489177,214.60170917839002,295.079601610426,263.6303099763893,226.16070806741664,203.56278290423495,248.38199568236124,295.7067083162495,214.43796125646418,193.927776396175,254.39104257694197,375.17594393706236,190.04074313026746,232.59636138938268,227.80816785625854,284.2299256292342,284.8789762321876,372.417604820292,154.18158175880282,270.80470959299913,232.00050107805498,281.0370866996677,195.52175299851092,279.80227810371036,260.99791481267954,195.9221137678315,269.6904836380929,202.2381107727285,287.2417358746743,228.7858130270709,206.0014157677395,202.2233322016876,170.753069595539,238.6072261339033,201.7582050810775,264.23908784465107,223.25256110248006,166.63999507983078,282.0118997482016,240.8389477759083,174.20101211987722,232.8831489659382,244.53451827911368,234.05389738957524,212.88673524995897,211.6738418401902,191.5672072474503,211.1750578975346,237.60235640717735,216.24710358465092,217.57092947461848,356.60878122698097,254.1848841036329,179.88155867046552,202.6356761493836,162.05623141802505,185.09501251957371,209.58400345024393,316.297061055319,207.2876690732631,251.43663796023444,226.93927283229564,204.84636383761057,213.27813968092843,209.5617023826131,228.11350598450173,267.03413058693206,308.18899581515154,188.86189138138542,309.4390762846374,328.0367494110012,402.74237209093855,215.63427723421938,207.04462214163743,231.7252638909446,200.24059962986942,221.3964471110767,157.98239560870067,297.7214032478775
cell583_GM12878_,274.6354066743155,363.05257671314513,0.0,295.4651913315447,273.5501150799743,225.8990780319202,302.88957899844496,484.28328831881396,348.49946325461076,329.50884645273715,311.3210829194685,279.6342099226758,304.52010637322167,424.1358528728353,285.7410301356684,255.79084048277872,368.1645853117428,271.42358827036696,330.7248600111288,330.7238350787776,310.4995466463564,332.04026052006265,385.2655760035894,324.75067632519904,393.97903569916275,364.0839655687528,394.03321901803076,219.83499321486562,477.29875055497604,317.41919290524675,339.7610939687843,454.6069909492859,351.97985144674544,359.7412455608468,395.32881603710416,337.48023974524904,274.28185294378227,285.7549032209354,266.68946356693493,338.64202300666557,290.317394925181,272.00541864867586,306.53393180659805,304.24072523946074,374.09040725917885,387.83909397181515,248.27151323490324,271.5521014223518,571.4260756427622,376.80831443838485,418.0093885088745,328.04633526148854,232.45301548861366,333.373869135125,220.62363040604538,272.9773806843847,394.40963538758814,255.91978974520902,403.0908086673459,428.04300645408875,362.4379114087426,371.04660167688724,351.1013697874122,478.7994445009609,258.9868752833427,419.3295816379986,437.2786527922621,355.0987666284977,226.62136698197014,445.4696093807427,375.96538617296613,362.4910324862157,264.18072909819136,241.023884043919,365.3185240648789,289.8647887116445,393.70825928875183,304.94336979040605,272.7448392005391,260.2739828806905,385.1753615987044,481.64526792926796,395.9153773590309,351.27139891407626,343.16592774995706,215.5916141722635,316.03185933707437,242.1344709799902,418.961766794397,244.35709439404087,314.81828205440087,345.66401706907385,269.9787482717962,276.3077462924275,266.46113967569624,437.98351289320533,298.53832159233446,468.5467185556003,330.15118967567247,297.6256980165466,363.19769526306595,312.0163895633322,389.0254012681799,345.64775273479734,359.98715816990966,402.2595485210518,611.9855736296104,274.89039137025054,319.6176151677215,368.1387642693898,275.59134337550813,415.86124930778146,372.2527942367092,458.3923254180186,464.66642792927513,389.12464237290175,321.6791484931236,244.6132827613186,340.3789487499248,302.5459906846668,367.4873091806693,320.07950938364,262.26150813793373,336.36197606398594,370.9714187249446,302.6153188918138,368.6391735176982,267.4608032195512,372.6715028601459,346.86270425329184,430.49960047089024,440.02580216284133,284.60241298619854,223.49386565656906,290.887583758197,344.7376708411671,342.2414083163244,257.3271452077054,350.3744359369075,451.55913523850927,258.0023883865335,297.6616977703708,289.57950250537334,394.9461755732579,483.98171979547965,286.2775809356512,338.74125693298544
cell7_HeLa_,182.06248581519134,166.35588675742426,295.4651913315447,0.0,188.94785235987163,196.77655556010612,246.0590348330553,384.5176885535674,216.07295673704886,227.39922398311765,197.08114804658194,228.54992065316353,243.61027245243548,219.24474227670015,165.47066110919278,179.8465189093691,203.91761015838406,213.0603975740383,186.54286953489446,235.35609843951022,273.5439362117214,296.341094560599,238.8325375688211,236.51207278880827,255.27291911702724,177.05511465481277,228.09866630395345,223.94263074068226,213.11664483662943,228.4887703602956,155.05188990600044,290.6716050048709,203.10895828397946,180.10446460953335,193.73444222383262,196.2210961908509,152.4509811770191,308.3757506287684,181.46176851990873,331.38955987313074,252.80492640498812,220.89982347782353,217.06220955445576,258.2188561682021,176.1552398598945,184.62354522052422,238.42099033245245,219.92842049369125,261.1252806073645,196.7223309431543,173.92963206864113,246.4866096262325,260.91872769959684,202.87162592515818,212.98116189541057,168.81275183412475,208.86331346647938,228.43220400698226,215.3727825019332,246.64916203362876,223.64073028063234,169.41312624662757,194.8820657607206,218.76390207561025,169.28686958501993,203.79475715208721,227.06355750524176,196.08992783368154,322.57160593569614,208.07023014590715,277.7491512539218,198.79101700942374,214.46291725695045,189.58787471167926,270.08097649351623,274.8301029990969,212.28553063887716,206.35888723386202,249.9443776132493,331.4721185221245,157.16319552542723,234.87639861516251,260.4840029727929,243.97839135810196,269.6123868669752,255.23665174088416,162.54280683910468,233.7715975285298,225.8421297808998,242.8670224707183,184.13192193002214,227.70465188169507,278.00874615051015,189.4367845965612,242.30264542306662,205.38378000853612,295.8217257150753,222.39133685428732,190.1966547872671,193.1935861338958,185.96914279635382,196.93473687076334,185.64593909045954,234.42831360447354,255.6999014607199,191.4954724630178,306.25802900412543,199.99612010902263,151.2245786350812,232.0746519100474,196.80713466268347,220.5598028901654,205.9544705934461,216.5404429199691,197.50997732866165,157.85936551322087,210.1095354492647,227.95691026489297,214.66696744664847,292.16708759652215,267.1049226027232,182.25468456801258,181.9319033308795,172.60636775006537,145.1447327727388,192.89461603617988,340.1681705533053,208.1112518300854,231.7169781542599,215.10944877560766,188.8711504419258,184.65530268669397,193.4869800334473,208.16023418936012,226.4694939619917,217.86950733162837,192.63696179033394,276.7645245517793,245.32783857860383,306.32244450967187,250.32622265972685,231.0214960763065,248.36118725450592,208.8724760171629,218.37331388383083,168.04561015103755,261.4996622134849
cell35_HAP1_,145.86701750126127,199.38187779527465,273.5501150799743,188.94785235987163,0.0,164.3906015588065,251.9543914764585,386.91456761044765,255.4190815715346,226.2158603767826,243.87633082967216,132.7305019307115,201.59586278234445,282.9297214944281,140.06574664954806,196.85997653112227,179.20827298099275,168.02505472610815,172.7444233546623,243.16024250180502,207.7274735077009,282.1549436310511,244.55044789738267,246.89671107112258,244.8590620933992,238.20666404671715,236.64531964419757,191.1802324378345,238.1858264595852,216.72451004170688,189.24971421760247,331.12077258131524,215.86527701985136,260.6421809613601,231.30182520411773,247.21812582257192,185.2599262672897,241.18026115601896,175.16241726438076,254.05088441011353,252.88341705358852,145.4430723148506,189.90771060406522,238.9842846197016,181.6065153245131,269.2387323562032,215.87013771334148,163.7990126966277,312.11783853371537,210.17530679450167,246.9716845449164,215.73590995715267,184.95050935260076,156.84438337532714,179.99546615016322,170.02172539503982,203.80045045053188,178.93013001740022,213.15733838624075,253.61455454082216,219.0588450789196,200.40451199378276,225.39162456613332,287.046978037039,191.79857628118046,242.59688932609998,244.20005899928276,182.05021945795428,251.64353870056772,250.68617677409708,264.7422088492011,242.0696618693606,202.80645119995725,155.82271254799497,236.79926733120388,277.154022838325,216.6014729180827,173.30573071384515,168.49125462693883,231.01198285275763,196.2812538837875,284.26792651269227,218.1243247684796,302.8905020145003,262.7286709491534,239.5337224242833,149.10610554421913,226.44411366374612,222.98198967617634,202.72715876810264,186.81871586498247,334.4126455428611,210.563391599279,178.71964410181852,175.4063194650406,242.07140182520092,245.18397402794838,298.46585459398455,168.50272309828347,192.2293186708236,229.63498192190065,185.94884597021206,264.9135621071538,244.68554324520466,260.51060921769226,233.64210675390058,347.0215894362831,196.46362433894691,175.21663672526054,235.9838690216679,187.72057394204825,263.0839280827036,217.88690247179034,245.75979479934176,244.52432272101612,261.2894728781648,186.3124026006674,175.01307677232256,229.32542662295174,253.95601639693848,267.5558411753669,224.0522723774522,211.95377603375292,189.29053331898496,202.7412515547746,187.25472771364966,277.9140737852957,169.6705336982538,261.8652659512402,216.26392900175236,292.107517678,234.5240299941942,181.35286182311864,188.19135458741965,203.43335242580287,255.99256815704172,197.85583034143468,228.18629293328905,274.25078562725776,342.34849057967347,172.03637494130584,220.40758073374928,171.31309006100506,230.6300549276179,275.0469876794935,195.1237696235861,196.1305072661632
cell529_GM12878_,146.79542525683152,236.6396979811026,225.8990780319202,196.77655556010612,164.3906015588065,0.0,239.42925994603823,415.89942213371336,258.64379366405353,208.86676431560508,216.93552815812646,173.47901779116415,201.09517290105995,238.88310894669414,154.60589927175573,195.79026184907983,225.9878165958639,185.0916707632435,212.59433288812832,245.99149740828818,214.09877891113638,248.083990427125,226.16239464682383,214.8525036275572,296.78718731448674,251.85617128612046,265.5671412351931,179.54449783723052,290.20767838961547,188.08948312929232,204.80300920359048,298.83735311038885,214.18470460661288,225.93473093495973,232.25495735438545,217.76454634292384,204.32140496798038,182.436586881173,195.7093134568475,284.5129939788113,224.31113039928738,181.55770389427946,203.8207239949965,193.67665279879367,230.72362084654503,235.74349896414208,166.25896958863774,208.32955526215645,349.82209626375914,208.97611824144434,263.21817503033583,213.4276408930977,184.52618931493956,236.6353257550613,169.75577518388502,183.95505801270474,234.9778886065404,197.93660653025353,220.00977973225662,315.60547367155095,251.06637135824107,201.28152151416657,231.16022156040367,314.44966698969984,189.04526146633822,254.9153436458394,260.701114106432,198.52024516245461,233.4501487385434,266.54475089033224,263.715032499278,234.82140265591437,199.36067003736136,155.97115431107105,263.88562853022995,238.19421222045304,245.96339460635244,173.4679460573807,210.9113129909358,241.87606549863722,228.8028258879027,293.94008170138596,281.91805463933395,219.02842907735106,234.3470215378528,239.31075944660853,188.60090515776807,169.6253943734544,233.11068532033653,159.21903540917805,178.4621246993999,260.9226793146914,241.7450600558728,206.04698451330037,192.51537175427347,287.64420427260455,217.7593583255733,291.7864726750439,220.13476140631462,191.03769222288076,210.54666060819164,197.8046451798786,293.5890657257519,197.05912633543159,236.65545834127582,256.3880923388492,389.54083711027164,194.55909665103098,235.98975077549505,235.50639299865074,173.6076178367913,277.7923221092357,210.68818121204384,295.383668210211,283.86313786319147,273.4535948307502,202.90532216228556,218.89460499013813,236.55455287978373,254.52105266220934,239.83651172818276,211.018449858476,221.07718639877257,244.9811563394719,259.6547746810093,218.51427919834714,293.12092760822725,190.45939860542683,239.0882823682597,217.60295293455366,280.8735692068233,259.0836138811849,157.98457637535438,157.60372244094106,219.92738595747582,217.31354653225168,226.92389737607698,234.79883968148283,220.35632855252467,300.83014028770174,192.79005499239932,217.13905942348833,192.5840902950115,227.52576254926922,293.1785825803336,176.7698603190263,243.85375680058647
cell593_K562_,219.4420616307794,289.7617134305622,302.88957899844496,246.0590348330553,251.9543914764585,239.42925994603823,0.0,400.4539075176208,259.1722668232907,224.47291416641428,244.03644773035472,249.06322378380807,309.7295983520422,242.14848950592622,194.49381289046033,253.94462172266788,245.16775120307085,242.52019591735,262.68459996513644,278.1504569746869,299.11803131712196,298.7729862784928,242.50738536021404,212.9815981844032,293.0247388376141,301.78991816982955,339.75871307871546,243.3180026336039,292.0892836728978,290.3650437822496,260.38603980647787,297.0597015295524,206.7080826684978,277.9553354891332,275.07318655906516,270.67369770072776,288.0130899158407,284.84280106030394,316.53579802106947,325.18523033516783,246.74511713449687,227.7640300268533,239.77028331667287,294.1530206238839,229.06321857685904,260.1884924431429,269.08232903022093,246.04965711033321,383.0764067059055,217.03827062452592,337.2029324988452,227.0799643639365,275.33632590552565,266.9580139806338,188.46708498228853,233.27609902649846,283.3900334276277,229.29006977600423,248.6204878283295,320.73232394522597,291.9570872218558,215.64083085861088,268.74622942211096,334.62356650806424,259.15788677513376,224.5526814871285,235.6193406641367,300.8598975848687,298.434840332824,265.908759794157,250.62693636620475,208.48885473309562,262.6666948488754,224.22328799710652,286.40991897911624,245.8569070545201,287.1411527156108,198.50726985721153,266.4256952235304,306.3236099728831,231.08359901900081,359.8304321334193,277.9964360518887,294.5919590107453,286.45124176789693,321.8849008198455,214.6818030269637,267.96150435094233,304.80031198192444,333.9288475935212,233.45533412261048,283.67210574137835,286.3069046942389,230.78192434329554,215.84155864981705,341.23155462343334,318.98423917942955,404.2993883554815,285.5216514949373,259.1054342184545,243.43506411399835,241.55106936660425,301.26813669419175,220.20465603719285,296.7383218864081,262.9368769671944,391.79342046600146,213.1315233996025,273.16535794118045,178.47941304023848,249.11508129496946,226.07542776729846,236.82338548262442,314.38382462935107,300.5255737835791,339.81021998943214,273.6787929664283,288.7695597553282,290.61664383441376,320.89237730193366,272.89683083322626,273.5932831096886,287.55303457261266,271.8063478588841,276.7175448541551,222.659667410547,308.7828331583348,272.37290621871847,223.58923899015377,231.50656803204,297.81435104763983,254.182022153221,198.8585921706422,195.44294224645486,224.0803567034547,299.39729112675934,205.85148059366378,322.045502161563,292.5089230944691,409.6481589897038,233.5336651818949,258.29571606842245,250.98010165621287,236.19947982305393,273.7487839022218,226.11368907217997,306.6728458237063
cell393_HAP1_,348.4645245011719,327.3147887050072,484.28328831881396,384.5176885535674,386.91456761044765,415.89942213371336,400.4539075176208,0.0,401.9615215058607,407.29740415571865,363.5350287220331,377.6582257762898,284.0761746468892,555.0890810066868,408.43282744844,454.22113173668447,453.9041010904162,392.4532318905139,354.2296596215465,405.51685257238614,447.8462633467162,418.35143693888034,495.73076933859204,489.93069203724644,293.95747024824095,379.2468431006165,418.2388180168392,400.477808177788,458.35449870582073,426.32662730997555,444.098057267826,545.1593666814783,344.2218657112395,474.8237041786267,360.5038233224456,456.1629750514235,471.893054199812,448.30008305872246,443.7418625964386,395.2525115737703,366.2546236160599,383.82710669766,458.5780835499021,452.3012281751153,392.7442288338175,542.7139257600277,495.0772963824517,366.7010977446024,514.0308383376419,448.31103501611653,397.45252827630316,456.45955805766346,443.51869443042085,335.7611835238621,440.50380387799134,385.8191490364809,474.41510846600704,409.66947373881334,473.57576009066304,357.52034440087095,434.5235248699851,439.77753092309905,369.3051919536175,538.5831684045085,425.9273718709303,437.7509924380363,505.96501592159353,355.8099557991386,423.878195514759,444.0224655168793,411.6026716349253,475.78985812766433,335.7195337649247,386.4234385152052,431.06290874125443,388.5957723498046,503.1470214968175,387.3541000162906,406.1557239348355,500.872832981493,395.1982041702455,566.2159835795705,384.2056450495084,417.7281134879937,427.28433692433686,489.29451926697357,354.9784251871852,433.02854740122723,447.72567670218496,494.29643961768556,368.95638015174393,472.2365654992064,407.56709710378806,428.5867544691811,418.14264708267456,475.7076374396521,412.33240675258605,440.23418409289945,321.8637083238466,352.8421102901291,394.2310131284604,364.3196348968389,441.7701495032868,467.4600788242635,324.53832427841695,358.96065771918893,545.3198377000946,346.91225725263973,467.9149850880654,412.813911750246,432.004677956942,414.9286583770297,421.48854540776824,455.12887557693176,417.3692080013574,418.54105448747293,419.68730659795267,332.9916007740675,331.0694476317409,534.7059418780764,427.4426439405649,418.14720576025695,424.23407215510406,335.54286748236495,437.3970850539754,360.51389712042715,381.57572961826236,396.8886308959851,440.84206216741154,391.81608102536484,487.00517008784783,483.9210218001684,386.3539023506232,412.1668199786245,420.551310884715,502.83359363833506,378.44091645708215,424.64328981298144,535.0389901576608,586.8601316009264,433.9616921751762,323.20635003411195,398.4422867725218,456.9270328866303,504.61120169219765,397.507672888093,457.2343453930441
cell278_HeLa_,224.87041437675694,245.59614419414288,348.49946325461076,216.07295673704886,255.4190815715346,258.64379366405353,259.1722668232907,401.9615215058607,0.0,214.87104897768955,236.38353641900898,240.1049828855908,291.8821827427468,274.7271002441962,218.58502170685856,260.4674300003616,233.11544398572573,272.8076432865187,267.6225351404709,244.9409669287483,221.90518600876152,313.8870163812595,276.99925773132134,201.35591991646163,296.993537175342,216.44322207630034,257.5887097126122,267.3742416313355,288.3341713491643,261.95729886155505,208.75344407382158,316.8616929061327,245.4829809295542,223.0050725140663,249.54445302327173,259.57593141243143,280.7829477119286,292.1037026763768,251.71368168984782,356.4127575158995,252.47177403341243,220.04581663604927,248.3787154568042,295.7610306178441,218.7073471456818,265.0555425698399,250.55601162834128,257.19702817132566,301.00376481292545,246.59880565949862,277.8199611497896,277.7069704390419,294.91599306254955,211.954416727732,245.2227938120425,198.25293547350293,254.3631744784911,249.90627176190367,230.72178969353618,255.0439620601348,247.12615082307897,217.99155811875173,230.12529850834255,260.33455183569316,222.39512304248143,255.14864026909902,209.55929304471545,298.5156917196452,320.1761539373177,230.7581379627559,280.3771978767757,249.04391734013947,225.82278783611602,257.05923893053097,240.67141346044247,267.64663043792757,292.00144036473984,193.04876671352125,289.11689465255904,325.9465276454782,186.966467414162,340.91290421265325,340.7170061901587,319.2956640530033,279.1528645220283,362.8255980894424,223.8852217631959,250.16961156440067,252.05437954022122,322.98342448796916,256.3659810678479,222.34729485429125,335.21169452447066,181.3782739527867,210.9187098947135,263.05389369891145,328.23927558750086,314.1245016910678,276.6198773201335,233.61291676787562,188.03552048100323,265.6374411840211,210.28896798215897,276.31825918703964,263.50605814696246,295.477016994821,363.63124147611325,234.43829016841877,269.8437884957534,226.02294845110038,247.18510955241635,264.8775743181723,193.43287827044574,247.48363414398523,251.13211845530668,259.97729135662786,301.0558263610259,291.78176314250385,225.8469256189152,326.44277108866646,351.9315110583294,240.23871492901299,239.56777593193183,209.7615351707835,229.51144693988945,213.64534842004034,299.0718261326029,248.37599984247868,262.9621898243722,263.78247913909263,208.37284659287513,246.20889814799418,209.84785942997274,241.9053844985079,231.02051045361245,341.9290699584485,204.17706139891996,377.76149244677754,287.29408366644805,368.9351055483078,294.4487621179382,297.18949797511664,243.39306603497857,254.45084822988318,276.2228297798986,244.672548005645,342.9515967179227
cell614_K562_,201.5627643076426,251.01639030628544,329.50884645273715,227.39922398311765,226.2158603767826,208.86676431560508,224.47291416641428,407.29740415571865,214.87104897768955,0.0,243.56954559317379,221.19834810330696,280.6172814802667,196.21722028748076,156.1125546301738,213.2347886933506,209.05577003662927,225.34400310454947,241.35111364454514,233.8809750447632,266.97117573802984,284.5732770274444,233.46934769998614,158.26780188567568,279.6946615400587,210.84388085307495,229.48276048318075,228.8175469973385,208.4127895643055,201.6753027224379,185.09565982883157,265.4423516944074,202.09733226945835,193.74833441726543,242.6117636311356,196.85638896333367,232.39550462053353,235.04612192769952,212.5823259145499,307.1696840666757,223.80169726563946,211.327443033084,256.5362706871771,226.9193999942645,184.25253816483655,223.34945252465383,231.84576638102888,264.2710258807595,261.38967483438415,174.32416873565086,238.70427581869325,218.12806777218975,277.0252623183017,248.61389085745463,198.38582018311973,202.2034161159449,193.30362791259134,220.79234178615556,191.05314109626198,265.1706152718306,248.8629052491117,182.88501078787877,197.79432215561067,239.0436834546607,210.60254429142572,199.487110005489,193.25236166178314,257.4330405946591,311.1748936376724,191.5653400215857,242.1903584150997,197.79833929219814,232.59203784481707,229.07696938949,204.93178380136217,253.33071107934595,225.40543178885008,195.91944288073793,233.552728550202,356.41580043006786,177.878798687666,243.53776811854374,296.78864482826907,294.1960697943048,222.4232023043383,341.45119565257835,220.88601513374985,207.48199465657027,216.64983025051544,292.3640029953194,160.45217904093306,242.24692882365974,297.24129676897473,194.5795911737397,219.8865119295565,239.1044195766665,241.7584454378863,284.72686718841135,245.3076503558384,180.9141213588196,174.79146230154598,270.08656478141785,214.75839319984124,199.61184041590766,238.47287083027058,233.50186293200244,294.55088288499655,227.54700653447216,232.34098011728025,163.50299100029042,220.31710148918546,196.09225854726373,169.27582719353012,218.74824130827895,246.14970430782074,287.4685540896401,215.5028519262201,277.5881458981824,235.25034583877857,285.9601414132291,263.6427726838889,196.74465160378233,247.28120050145117,214.4450512336364,238.35703178761648,207.15346240599303,295.30581999038793,220.52132241525072,181.3704559382806,199.63959496666436,213.07181613447767,195.8463104729617,178.5264611238401,210.68926078021735,183.41355486847675,238.87496046112508,179.0823359292326,346.16058377672636,266.858769603662,323.5295644439452,230.95572853839,256.22370352267495,202.79390505466102,166.62648239933472,219.0612783095422,190.27745854510889,288.19384214532226
