,cell547_K562_,cell256_HeLa_,cell363_HeLa_,cell501_K562_,cell227_HAP1_,cell605_GM12878_,cell25_HeLa_,cell571_GM12878_,cell514_K562_,cell502_GM12878_,cell373_HAP1_,cell381_HAP1_
cell547_K562_,0.0,2551.0395102585326,2437.7615511097547,2505.8977252372842,2730.8908497774187,2428.8283090501054,2430.0098958870485,2227.3658303382563,2193.5779995628727,2286.957634241806,2489.4630713371953,2675.5454446707417
cell256_HeLa_,2551.0395102585326,0.0,1985.4467901887624,1777.8504968246084,2053.0233564750365,1904.3089320732047,1341.8065505590498,1681.4830255122538,1636.3564877380857,1649.8805486570639,2062.3883976756993,2046.4495956538053
cell363_HeLa_,2437.7615511097547,1985.4467901887624,0.0,1974.0867541166658,1979.6221256135807,1794.824705141599,1580.6159229460238,1784.322044281204,1477.2306652921925,1636.6337204452207,1977.2782793861918,1858.781189439805
cell501_K562_,2505.8977252372842,1777.8504968246084,1974.0867541166658,0.0,1938.2375528541115,1737.7417490656146,1345.1288267751672,1522.415036208186,1294.570618153929,1415.8653153219975,1559.8938175931053,1528.2887482303222
cell227_HAP1_,2730.8908497774187,2053.0233564750365,1979.6221256135807,1938.2375528541115,0.0,2003.2626642534071,1949.0000203088339,2022.8926424398842,1701.3056280374806,1908.539227990584,1962.0362053184083,1956.9971450022294
cell605_GM12878_,2428.8283090501054,1904.3089320732047,1794.824705141599,1737.7417490656146,2003.2626642534071,0.0,1626.0553280421682,1728.2180413549809,1433.583949819211,1593.2129764908714,2038.6319049752956,1760.7132431933578
cell25_HeLa_,2430.0098958870485,1341.8065505590498,1580.6159229460238,1345.1288267751672,1949.0000203088339,1626.0553280421682,0.0,1442.01583813006,1177.6707372056144,1247.6956498717716,1607.5025194940488,1463.1040721964182
cell571_GM12878_,2227.3658303382563,1681.4830255122538,1784.322044281204,1522.415036208186,2022.8926424398842,1728.2180413549809,1442.01583813006,0.0,1248.7721793966396,1266.8989193094474,1699.8402520711925,1579.4423147268353
cell514_K562_,2193.5779995628727,1636.3564877380857,1477.2306652921925,1294.570618153929,1701.3056280374806,1433.583949819211,1177.6707372056144,1248.7721793966396,0.0,1171.0648113119646,1553.357430904005,1340.9886940914826
cell502_GM12878_,2286.957634241806,1649.8805486570639,1636.6337204452207,1415.8653153219975,1908.539227990584,1593.2129764908714,1247.6956498717716,1266.8989193094474,1171.0648113119646,0.0,1726.659609023707,1353.8987310356133
cell373_HAP1_,2489.4630713371953,2062.3883976756993,1977.2782793861918,1559.8938175931053,1962.0362053184083,2038.6319049752956,1607.5025194940488,1699.8402520711925,1553.357430904005,1726.659609023707,0.0,1696.9947512365666
cell381_HAP1_,2675.5454446707417,2046.4495956538053,1858.781189439805,1528.2887482303222,1956.9971450022294,1760.7132431933578,1463.1040721964182,1579.4423147268353,1340.9886940914826,1353.8987310356133,1696.9947512365666,0.0
