,cell_name,total_mass_4mb_85,total_mass_1mb_95,total_mass_1mb_98,cell_line
0,cell231_HAP1_,120.76701770290629,938.503116795564,360.0111122188831,HAP1
1,cell447_HAP1_,34.35458984001308,495.1448849423358,289.55684011045537,HAP1
2,cell470_HAP1_,45.52073610348477,490.37649257241924,275.9475765528258,HAP1
3,cell312_HAP1_,69.05066529291351,741.299689801762,328.74751077426066,HAP1
4,cell29_HAP1_,113.9490165024654,883.5591289606965,355.57225524256,HAP1
5,cell264_HAP1_,96.82319926239222,834.5904971928671,346.2265230358589,HAP1
6,cell181_HeLa_,86.57820102699831,844.4508224567147,357.4945082593507,HeLa
7,cell412_HAP1_,64.6585617903456,729.3916612311167,332.34881857096036,HAP1
8,cell303_HeLa_,107.5700554627472,860.451756025258,348.9574911022729,HeLa
9,cell149_HeLa_,110.41466586079403,894.9395564284132,363.60719646680127,HeLa
10,cell547_K562_,68.45324934568202,739.0311110539288,331.83917932091117,K562
11,cell217_HeLa_,96.85954841296356,834.4771136489225,353.4042710443913,HeLa
12,cell220_HeLa_,74.78894222790613,794.7587573039094,345.39321326047394,HeLa
13,cell570_K562_,73.46701759810405,837.5357257064142,351.6660856751625,K562
14,cell403_HeLa_,60.685132410734596,624.9401460915071,313.73212824700994,HeLa
15,cell434_HeLa_,90.43416296666818,867.911669402204,357.2353850816944,HeLa
16,cell356_HeLa_,90.09846813084135,866.7716529174186,358.63236981180717,HeLa
17,cell525_K562_,79.04515778842372,856.6362316013337,355.630840410141,K562
18,cell512_K562_,85.12006112748259,832.2111467691179,351.1216646805999,K562
19,cell382_HeLa_,70.64840996825359,812.4540176614953,352.492219957928,HeLa
20,cell583_GM12878_,64.86418595019904,748.2507905021231,318.29168095480026,GM12878
21,cell60_HAP1_,38.282006501585315,552.8677311673861,286.1537879542276,HAP1
22,cell7_HeLa_,92.98122027238193,859.4162866810778,354.70072237370493,HeLa
23,cell482_HeLa_,82.94023756886321,776.6819347731323,334.2118085219304,HeLa
24,cell439_HAP1_,71.38592951311583,730.8985847980387,335.42442887899745,HAP1
25,cell35_HAP1_,66.00573807583775,747.5647537963633,340.28066712163013,HAP1
