,cell_name,total_mass_1mb_87,total_mass_1mb_95,total_mass_1mb_98,total_mass_2mb_85,total_mass_4mb_85,cell_line
0,cell231_HAP1_,1941.566416468455,938.503116795564,360.0111122188831,516.8999659764256,120.76701770290629,HAP1
1,cell447_HAP1_,571.5218907358276,495.1448849423358,289.55684011045537,136.62581390743722,34.35458984001308,HAP1
2,cell470_HAP1_,586.3398461036479,490.37649257241924,275.9475765528258,138.43352853732148,45.52073610348477,HAP1
3,cell312_HAP1_,1108.256461940016,741.299689801762,328.74751077426066,265.20606700856047,69.05066529291351,HAP1
4,cell29_HAP1_,1675.8210602318866,883.5591289606965,355.57225524256,435.64003975972264,113.9490165024654,HAP1
5,cell264_HAP1_,1435.3594867019842,834.5904971928671,346.2265230358589,357.72143855047966,96.82319926239222,HAP1
6,cell181_HeLa_,1407.1547902146954,844.4508224567147,357.4945082593507,352.67123635762255,86.57820102699831,HeLa
7,cell412_HAP1_,999.7134907991294,729.3916612311167,332.34881857096036,250.12931059962966,64.6585617903456,HAP1
8,cell303_HeLa_,1697.497450255073,860.451756025258,348.9574911022729,438.1684403410193,107.5700554627472,HeLa
9,cell149_HeLa_,1721.9830382556179,894.9395564284132,363.60719646680127,436.1586609479201,110.41466586079403,HeLa
10,cell547_K562_,1103.459038416796,739.0311110539288,331.83917932091117,276.16857688796273,68.45324934568202,K562
11,cell217_HeLa_,1442.9377774452018,834.4771136489225,353.4042710443913,365.6801653899434,96.85954841296356,HeLa
12,cell220_HeLa_,1291.7677392382593,794.7587573039094,345.39321326047394,326.36971859656137,74.78894222790613,HeLa
13,cell570_K562_,1344.9078226523434,837.5357257064142,351.6660856751625,333.2135642702201,73.46701759810405,K562
14,cell403_HeLa_,848.076395034421,624.9401460915071,313.73212824700994,212.3885911743377,60.685132410734596,HeLa
15,cell434_HeLa_,1443.8218313040793,867.911669402204,357.2353850816944,359.4461835698921,90.43416296666818,HeLa
16,cell356_HeLa_,1513.2467990031796,866.7716529174186,358.63236981180717,371.8746996098205,90.09846813084135,HeLa
17,cell525_K562_,1413.6730746027647,856.6362316013337,355.630840410141,348.71511616200667,79.04515778842372,K562
18,cell512_K562_,1439.25332064467,832.2111467691179,351.1216646805999,349.15501461852705,85.12006112748259,K562
19,cell382_HeLa_,1246.367350337453,812.4540176614953,352.492219957928,305.2887101972092,70.64840996825359,HeLa
20,cell583_GM12878_,1264.6913257995607,748.2507905021231,318.29168095480026,312.14399567810756,64.86418595019904,GM12878
21,cell60_HAP1_,720.2658917430477,552.8677311673861,286.1537879542276,170.36214434886116,38.282006501585315,HAP1
22,cell7_HeLa_,1581.119864439836,859.4162866810778,354.70072237370493,399.86225119481327,92.98122027238193,HeLa
23,cell482_HeLa_,1223.1155377295395,776.6819347731323,334.2118085219304,308.6303351764799,82.94023756886321,HeLa
24,cell439_HAP1_,1081.5687865312098,730.8985847980387,335.42442887899745,266.9052588253614,71.38592951311583,HAP1
25,cell35_HAP1_,1055.598149652288,747.5647537963633,340.28066712163013,258.65311650736925,66.00573807583775,HAP1
26,cell529_GM12878_,1132.7790662258735,725.3862604458088,318.56816123508133,277.3740195134133,70.56851247066118,GM12878
27,cell593_K562_,1359.546743243401,817.3162089424625,340.9287142598001,334.9826255606398,84.71850362585732,K562
28,cell71_HeLa_,1504.0864493549698,864.7495547442647,359.77120483608246,380.6124950954369,91.64700723722439,HeLa
29,cell46_HeLa_,1470.9775986404031,879.8672282329593,365.59032027122305,363.3445414093701,86.71333120631486,HeLa
30,cell162_HeLa_,1588.1436693159626,888.6265767710503,365.2377812127408,406.237996455134,95.9241851144889,HeLa
31,cell393_HAP1_,1409.7093675008732,848.4385952185044,356.88174933325183,352.52120628924894,94.44978889415701,HAP1
32,cell13_HeLa_,1609.6934037892104,872.604269481692,364.2031332001252,411.04324491079797,108.75745471865254,HeLa
33,cell269_HeLa_,1905.9112996235854,952.3413703439273,371.3362648759859,482.72800335625243,119.63419463119112,HeLa
34,cell428_HeLa_,1204.5246445839648,827.7723430907812,358.4640641779197,289.269654373041,70.56291289209082,HeLa
